,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2016-06-01,989.049988,1025.0,989.049988,1021.700012,958.489075,2068760,75.010159,7.486,49.709999,20760.980469,26713.929688,2099.330078,67.231003,112.289062,72.946875,212841.409091,99.326436,8.99,231267.909091,True,True,True,True,27.143555,1.289741,19.561162,80.557696,16.618567,6.640395,8.980898,2.281322,11.898169,48.999598,124
2016-06-02,1007.0,1029.0,996.549988,1024.050049,960.693665,2420319,75.381805,7.486,50.040001,20859.220703,26843.140625,2105.26001,67.426003,112.25625,72.8875,212646.818182,99.318373,9.02,230895.818182,True,True,True,True,27.135794,1.289534,19.564166,80.589814,16.612081,6.684478,9.006947,2.276343,11.920783,49.104759,123
2016-06-03,1023.5,1032.099976,1013.5,1025.300049,961.866211,2045789,75.589755,7.488,49.639999,20947.240234,26843.029297,2099.129883,67.292,112.223438,72.828125,212452.227273,99.310309,9.05,230523.727273,True,True,True,True,27.128032,1.289328,19.56717,80.621931,16.605595,6.629273,8.986645,2.273824,11.930578,49.157145,122
2016-06-06,1017.099976,1032.349976,1016.599976,1026.300049,962.804443,1574228,75.766114,7.475,50.549999,21030.220703,26777.449219,2109.409912,66.991997,112.190625,72.76875,212257.636364,99.302245,9.08,230151.636364,True,True,True,True,27.120271,1.289121,19.570174,80.654049,16.599109,6.762542,8.96214,2.271863,11.93746,49.197541,121
2016-06-07,1025.349976,1037.449951,1024.599976,1032.75,968.855408,755934,76.924161,7.482,51.439999,21328.240234,27009.669922,2112.129883,66.801003,112.157812,72.709375,212063.045455,99.294182,9.11,229779.545455,True,True,True,True,27.11251,1.288915,19.573178,80.686166,16.592623,6.875167,8.928228,2.257927,12.007702,49.499136,120
2016-06-08,1029.0,1029.0,1011.25,1018.049988,955.06488,933533,68.849079,7.488,52.509998,21297.880859,27020.660156,2119.120117,66.763,112.125,72.65,211868.454545,99.286118,9.14,229407.454545,True,True,True,True,27.104749,1.288709,19.576182,80.718283,16.586138,7.012553,8.915999,2.290786,11.832076,48.787086,119
2016-06-09,1018.0,1019.0,995.700012,998.799988,937.005859,1024252,59.970925,7.486,51.950001,21297.880859,26763.460938,2115.47998,66.510002,112.092188,72.590625,211673.863636,99.278055,9.17,229035.363636,True,True,True,True,27.096988,1.288502,19.579186,80.750401,16.579652,6.939621,8.884585,2.335196,11.60373,47.857242,118
2016-06-10,994.950012,999.0,989.599976,992.049988,930.673523,1313970,57.186254,7.491,50.540001,21042.640625,26635.75,2096.070068,66.740997,112.059375,72.53125,211479.272727,99.269991,9.2,228663.272727,True,True,True,True,27.089227,1.288296,19.58219,80.782518,16.573166,6.746763,8.909491,2.351347,11.520729,47.526528,117
2016-06-13,987.0,996.5,985.099976,994.900024,933.347168,808571,58.07152,7.525,50.349998,20512.990234,26396.769531,2079.060059,66.945,112.026562,72.471875,211284.681818,99.261927,9.19,228291.181818,True,True,True,True,27.081466,1.288089,19.585194,80.814636,16.56668,6.69103,8.896345,2.344871,11.549234,47.655752,116
2016-06-14,995.0,999.0,978.599976,986.5,925.466858,699283,54.494991,7.517,49.830002,20387.529297,26395.710938,2075.320068,67.153999,111.99375,72.4125,211090.090909,99.253864,9.18,227919.090909,True,True,True,True,27.073704,1.287883,19.588198,80.846753,16.560194,6.628975,8.933617,2.365099,11.447174,47.246145,115
2016-06-15,986.0,1002.0,986.0,998.400024,936.630432,731016,58.403469,7.517,48.970001,20467.519531,26726.339844,2071.5,67.297997,111.960938,72.353125,210895.5,99.2458,9.17,227547.0,True,True,True,True,27.065943,1.287676,19.591202,80.87887,16.553709,6.514567,8.952773,2.337168,11.580657,47.808726,114
2016-06-16,993.75,1009.0,986.200012,1006.549988,949.315674,740810,60.881588,7.504,47.189999,20038.419922,26525.460938,2077.98999,67.072998,111.928125,72.29375,210700.909091,99.237736,9.16,227174.909091,True,True,True,True,27.058182,1.28747,19.594206,80.910988,16.547223,6.288646,8.938299,2.306192,11.73284,48.448794,113
2016-06-17,1010.0,1014.849976,994.0,999.599976,942.761047,365441,57.723444,7.501,49.169998,20169.980469,26625.910156,2071.219971,67.306999,111.895312,72.234375,210506.318182,99.229673,9.15,226802.818182,True,True,True,True,27.050421,1.287263,19.597211,80.943105,16.540737,6.555126,8.97307,2.322481,11.647206,48.1069,112
