,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2016-06-01,183.595001,183.899994,177.404999,179.854996,179.25177,1716460,44.446615,7.486,49.709999,20760.980469,26713.929688,2099.330078,67.231003,112.289062,72.946875,212841.409091,99.326436,8.99,231267.909091,False,False,True,False,15.112514,0.203866,14.494518,105.632243,1.896024,6.640395,8.980898,8.905735,1.696942,12.366866,124
2016-06-02,180.490005,186.789993,179.134995,185.139999,184.519028,1857070,53.87367,7.486,50.040001,20859.220703,26843.140625,2105.26001,67.426003,112.25625,72.8875,212646.818182,99.318373,9.02,230895.818182,True,True,True,False,15.109502,0.203838,14.504931,105.743749,1.895575,6.684478,9.006947,8.658919,1.744964,12.721124,123
2016-06-03,187.0,192.095001,184.5,185.580002,184.957581,1699900,54.564946,7.488,49.639999,20947.240234,26843.029297,2099.129883,67.292,112.223438,72.828125,212452.227273,99.310309,9.05,230523.727273,True,True,True,False,15.10649,0.20381,14.515344,105.855255,1.895126,6.629273,8.986645,8.645773,1.747269,12.742211,122
2016-06-06,185.5,189.199997,185.494995,186.600006,185.974136,480810,56.203545,7.475,50.549999,21030.220703,26777.449219,2109.409912,66.991997,112.190625,72.76875,212257.636364,99.302245,9.08,230151.636364,True,True,True,False,15.103478,0.203781,14.525757,105.966761,1.894676,6.762542,8.96214,8.605856,1.755023,12.80306,121
2016-06-07,188.300003,188.399994,185.800003,187.675003,187.045532,626870,57.925762,7.482,51.439999,21328.240234,27009.669922,2112.129883,66.801003,112.157812,72.709375,212063.045455,99.294182,9.11,229779.545455,True,True,True,False,15.100466,0.203753,14.53617,106.078267,1.894227,6.875167,8.928228,8.563857,1.763279,12.867594,120
2016-06-08,187.699997,190.289993,185.054993,186.020004,185.396103,574780,54.380355,7.488,52.509998,21297.880859,27020.660156,2119.120117,66.763,112.125,72.65,211868.454545,99.286118,9.14,229407.454545,True,True,True,False,15.097453,0.203725,14.546583,106.189773,1.893777,7.012553,8.915999,8.647405,1.745894,12.744993,119
2016-06-09,186.229996,187.699997,183.149994,184.035004,183.417725,500870,50.39617,7.486,51.950001,21297.880859,26763.460938,2115.47998,66.510002,112.092188,72.590625,211673.863636,99.278055,9.17,229035.363636,False,True,True,False,15.094441,0.203696,14.556996,106.301279,1.893328,6.939621,8.884585,8.74811,1.725452,12.599971,118
2016-06-10,185.0,185.0,180.014999,181.214996,180.607193,789840,45.316578,7.491,50.540001,21042.640625,26635.75,2096.070068,66.740997,112.059375,72.53125,211479.272727,99.269991,9.2,228663.272727,False,False,True,False,15.091429,0.203668,14.567409,106.412785,1.892879,6.746763,8.909491,8.891789,1.697232,12.398031,117
2016-06-13,181.0,181.0,176.600006,177.184998,176.590714,798660,39.231022,7.525,50.349998,20512.990234,26396.769531,2079.060059,66.945,112.026562,72.471875,211284.681818,99.261927,9.19,228291.181818,False,False,True,False,15.088417,0.20364,14.577822,106.524291,1.892429,6.69103,8.896345,9.101741,1.657751,12.113656,116
2016-06-14,177.5,189.699997,176.210007,187.389999,186.76149,2500860,55.520191,7.517,49.830002,20387.529297,26395.710938,2075.320068,67.153999,111.99375,72.4125,211090.090909,99.253864,9.18,227919.090909,True,True,True,False,15.085405,0.203611,14.588235,106.635798,1.89198,6.628975,8.933617,8.613361,1.751396,12.802199,115
2016-06-15,188.794998,195.199997,187.994995,194.690002,194.036987,3065700,63.133066,7.517,48.970001,20467.519531,26726.339844,2071.5,67.297997,111.960938,72.353125,210895.5,99.2458,9.17,227547.0,True,True,True,True,15.082393,0.203583,14.598648,106.747304,1.89153,6.514567,8.952773,8.297412,1.817723,13.291436,114
2016-06-16,194.895004,214.960007,190.809998,204.395004,203.709457,6193990,70.389037,7.504,47.189999,20038.419922,26525.460938,2077.98999,67.072998,111.928125,72.29375,210700.909091,99.237736,9.16,227174.909091,True,True,True,True,15.079381,0.203555,14.609061,106.85881,1.891081,6.288646,8.938299,7.910112,1.906342,13.944049,113
2016-06-17,206.5,209.990005,202.199997,205.615005,204.925369,1832920,71.15753,7.501,49.169998,20169.980469,26625.910156,2071.219971,67.306999,111.895312,72.234375,210506.318182,99.229673,9.15,226802.818182,True,True,True,True,15.076368,0.203526,14.619474,106.970316,1.890632,6.555126,8.97307,7.869811,1.915722,14.017288,112
2016-06-20,203.764999,205.994995,199.399994,200.785004,200.111588,1266670,64.068247,7.494,50.650002,20510.199219,26866.919922,2083.25,67.066002,111.8625,72.175,210311.727273,99.221609,9.14,226430.727273,True,True,True,True,15.073356,0.203498,14.629887,107.081822,1.890182,6.758741,8.949293,8.065912,1.868773,13.678273,111
2016-06-21,201.199997,203.339996,200.634995,201.304993,200.629807,411640,64.478549,7.498,50.619999,20668.439453,26812.779297,2088.899902,67.129997,111.829688,72.115625,210117.136364,99.213545,9.13,226058.636364,True,True,True,True,15.070344,0.20347,14.6403,107.193328,1.889733,6.751133,8.953054,8.051846,1.871663,13.703941,110
2016-06-22,201.800003,205.0,200.5,202.559998,201.880615,575400,65.502431,7.476,49.880001,20795.119141,26765.650391,2085.449951,67.606003,111.796875,72.05625,209922.545455,99.205482,9.12,225686.545455,True,True,True,True,15.067332,0.203441,14.650713,107.304834,1.889283,6.672017,9.043072,8.008682,1.881375,13.779577,109
2016-06-23,202.494995,202.494995,198.220001,200.289993,199.618225,514630,62.020196,7.479,50.91,20868.339844,27002.220703,2113.320068,67.421997,111.764062,71.996875,209727.954545,99.197418,9.11,225314.454545,True,True,True,True,15.06432,0.203413,14.661126,107.41634,1.888834,6.80706,9.014841,8.106244,1.85836,13.615478,108
2016-06-24,197.800003,209.899994,191.899994,207.764999,207.06813,1704710,68.044605,7.473,48.41,20259.130859,26397.710938,2037.410034,67.241997,111.73125,71.9375,209533.363636,99.189355,9.1,224942.363636,True,True,True,True,15.061308,0.203385,14.671538,107.527846,1.888385,6.477987,8.997992,7.821145,1.925716,14.113594,107
2016-06-27,209.100006,224.399994,209.0,218.190002,217.458191,5237010,74.192849,7.459,47.16,20227.300781,26402.960938,2000.540039,67.876999,111.698438,71.878125,209338.772727,99.181291,9.077778,224570.272727,True,True,True,True,15.058296,0.203356,14.681951,107.639352,1.887935,6.322563,9.100013,7.453686,2.020248,14.811259,106
2016-06-28,220.0,224.695007,219.005005,219.610001,218.873444,2202390,74.901212,7.453,48.580002,20172.460938,26524.550781,2036.089966,67.920998,111.665625,71.81875,209144.181818,99.173227,9.055556,224198.181818,True,True,True,True,15.055283,0.203328,14.692364,107.750858,1.887486,6.518181,9.113243,7.411679,2.031292,14.897088,105
2016-06-29,220.539993,239.0,218.050003,229.809998,229.039215,3250930,79.297078,7.444,50.610001,20436.119141,26740.390625,2070.77002,67.705002,111.632812,71.759375,208949.590909,99.165164,9.033333,223826.090909,True,True,True,True,15.052271,0.2033,14.702777,107.862364,1.887036,6.798764,9.095245,7.088627,2.12344,15.577956,104
2016-06-30,232.0,235.970001,227.955002,232.160004,231.381317,2998350,80.159268,7.448,49.68,20794.369141,26999.720703,2098.860107,67.416,111.6,71.7,208755.0,99.1571,9.011111,223454.0,True,True,True,True,15.049259,0.203271,14.71319,107.97387,1.886587,6.670247,9.051558,7.022722,2.142938,15.726115,103
2016-07-01,232.100006,239.0,231.625,235.479996,234.690186,2038290,81.341495,7.419,49.84,20794.369141,27144.910156,2102.949951,67.500999,111.615873,71.704762,210392.714286,99.148438,8.988889,225179.285714,True,True,True,True,15.046247,0.203243,14.723603,108.085377,1.886138,6.717887,9.098396,6.929473,2.171341,15.939725,102
2016-07-04,237.0,239.970001,232.880005,235.175003,234.386215,1653710,80.864801,7.425,49.84,21059.199219,27278.759766,2102.949951,67.181999,111.631746,71.709524,212030.428571,99.139776,8.966667,226904.571429,True,True,True,True,15.043235,0.203215,14.734016,108.196883,1.885688,6.717887,9.048081,6.944227,2.166294,15.907829,101
2016-07-05,238.899994,238.899994,230.600006,231.464996,230.68866,816040,75.099343,7.394,47.959999,20750.720703,27166.869141,2088.550049,67.237,111.647619,71.714286,213668.142857,99.131114,8.944444,228629.857143,True,True,True,True,15.040223,0.203186,14.744429,108.308389,1.885239,6.48634,9.093454,7.061389,2.129924,15.645818,100
2016-07-07,232.600006,233.990005,230.0,232.380005,231.600586,709600,75.562122,7.381,46.400002,20706.919922,27201.490234,2097.899902,67.401001,111.663492,71.719048,215305.857143,99.122452,8.922222,230355.142857,True,True,True,True,15.037211,0.203158,14.754842,108.419895,1.884789,6.286411,9.13169,7.039416,2.136145,15.696582,99
2016-07-08,231.384995,232.320007,229.205002,230.604996,229.831543,412340,72.737999,7.384,46.759998,20564.169922,27126.900391,2129.899902,67.497002,111.679365,71.72381,216943.571429,99.11379,8.9,232080.428571,True,True,True,True,15.034198,0.20313,14.765255,108.531401,1.88434,6.332611,9.140981,7.099472,2.11765,15.565701,98
2016-07-11,232.5,239.899994,232.0,235.914993,235.123718,2822870,75.667806,7.384,46.25,20880.5,27626.689453,2137.159912,67.132004,111.695238,71.728571,218581.285714,99.105129,8.91,233805.714286,True,True,True,True,15.031186,0.203101,14.775668,108.642907,1.883891,6.263543,9.09155,6.945415,2.164188,15.912899,97
2016-07-12,237.5,249.035004,236.505005,242.910004,242.095291,2797700,78.886762,7.337,48.470001,21224.740234,27808.140625,2152.139893,67.144997,111.711111,71.733333,220219.0,99.096467,8.92,235531.0,True,True,False,True,15.028174,0.203073,14.786081,108.754413,1.883441,6.606242,9.15156,6.750979,2.226073,16.373189,96
2016-07-13,244.800003,244.800003,235.0,236.184998,235.392807,1101000,69.383381,7.284,46.259998,21322.369141,27815.179688,2152.429932,66.870003,111.726984,71.738095,221856.714286,99.087805,8.93,237256.285714,True,True,False,True,15.025162,0.203045,14.796494,108.865919,1.882992,6.350906,9.180396,6.94893,2.162227,15.908688,95
2016-07-14,237.800003,243.5,237.794998,239.729996,238.925934,933110,71.343173,7.285,47.369999,21561.060547,27942.109375,2163.75,67.005997,111.742857,71.742857,223494.428571,99.079143,8.94,238981.571429,True,True,False,True,15.02215,0.203016,14.806907,108.977425,1.882543,6.502402,9.197803,6.85181,2.192435,16.136114,94
