,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2016-06-01,318.639496,328.373077,317.512939,327.381714,312.689697,3081625,57.852625,7.486,49.709999,20760.980469,26713.929688,2099.330078,67.231003,112.289062,72.946875,212841.409091,99.326436,8.99,231267.909091,True,True,False,True,5.004834,0.404016,8.023943,152.900296,1.461344,6.640395,8.980898,2.447284,2.045056,38.96958,124
2016-06-02,325.669312,331.662659,324.272369,330.040405,315.229065,2604662,59.742111,7.486,50.040001,20859.220703,26843.140625,2105.26001,67.426003,112.25625,72.8875,212646.818182,99.318373,9.02,230895.818182,True,True,False,True,4.988405,0.403717,8.004992,152.919328,1.456478,6.684478,9.006947,2.419902,2.061408,39.379061,123
2016-06-03,328.958893,329.589783,320.26178,322.785278,308.299591,3677399,52.787597,7.488,49.639999,20947.240234,26843.029297,2099.129883,67.292,112.223438,72.828125,212452.227273,99.310309,9.05,230523.727273,True,True,False,True,4.971976,0.403417,7.98604,152.93836,1.451611,6.629273,8.986645,2.466451,2.015842,38.604812,122
2016-06-06,321.74884,323.596436,312.916534,314.313477,300.207886,5264582,46.046937,7.475,50.549999,21030.220703,26777.449219,2109.409912,66.991997,112.190625,72.76875,212257.636364,99.302245,9.08,230151.636364,True,True,False,True,4.955547,0.403117,7.967089,152.957393,1.446745,6.762542,8.96214,2.524875,1.96269,37.681,121
2016-06-07,314.313477,317.332672,313.006653,314.673981,300.552277,4463323,46.360823,7.482,51.439999,21328.240234,27009.669922,2112.129883,66.801003,112.157812,72.709375,212063.045455,99.294182,9.11,229779.545455,True,True,False,True,4.939117,0.402818,7.948138,152.976425,1.441879,6.875167,8.928228,2.513934,1.964697,37.814176,120
2016-06-08,320.487091,322.875427,316.88205,317.828369,303.565063,2654000,49.14854,7.488,52.509998,21297.880859,27020.660156,2119.120117,66.763,112.125,72.65,211868.454545,99.286118,9.14,229407.454545,True,True,False,True,4.922688,0.402518,7.929186,152.995457,1.437012,7.012553,8.915999,2.481013,1.984144,38.284517,119
2016-06-09,320.396942,321.208099,315.259796,316.56662,302.359985,1549979,48.072313,7.486,51.950001,21297.880859,26763.460938,2115.47998,66.510002,112.092188,72.590625,211673.863636,99.278055,9.17,229035.363636,True,True,False,True,4.906259,0.402219,7.910235,153.01449,1.432146,6.939621,8.884585,2.482897,1.976022,38.223895,118
2016-06-10,315.169678,318.639496,313.277039,316.431427,302.230835,2180603,47.951153,7.491,50.540001,21042.640625,26635.75,2096.070068,66.740997,112.059375,72.53125,211479.272727,99.269991,9.2,228663.272727,True,True,False,True,4.88983,0.401919,7.891283,153.033522,1.427279,6.746763,8.909491,2.475948,1.974932,38.299326,117
2016-06-13,313.907898,315.890686,307.824432,308.590485,294.74176,2180335,41.429316,7.525,50.349998,20512.990234,26396.769531,2079.060059,66.945,112.026562,72.471875,211284.681818,99.261927,9.19,228291.181818,True,True,False,True,4.873401,0.401619,7.872332,153.052555,1.422413,6.69103,8.896345,2.530644,1.925755,37.44021,116
2016-06-14,309.311493,310.483124,304.039124,308.815796,294.957001,3358585,41.674802,7.517,49.830002,20387.529297,26395.710938,2075.320068,67.153999,111.99375,72.4125,211090.090909,99.253864,9.18,227919.090909,True,True,False,True,4.856972,0.40132,7.853381,153.071587,1.417547,6.628975,8.933617,2.520586,1.926922,37.557966,115
