,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2016-06-01,165.833328,166.0,163.683334,164.516663,96.845055,6444396,60.361974,7.486,49.709999,20760.980469,26713.929688,2099.330078,67.231003,112.289062,72.946875,212841.409091,99.326436,8.99,231267.909091,True,True,True,True,28.738393,2.044514,22.292462,73.202534,8.748045,6.640395,8.980898,21.722567,1.322974,4.344296,124
2016-06-02,164.449997,167.75,163.116669,167.183334,98.414871,8659596,63.168781,7.486,50.040001,20859.220703,26843.140625,2105.26001,67.426003,112.25625,72.8875,212646.818182,99.318373,9.02,230895.818182,True,True,True,True,28.728628,2.044502,22.293923,73.256648,8.743721,6.684478,9.006947,21.384603,1.343426,4.414426,123
2016-06-03,168.666672,172.324997,167.308334,168.75,99.337097,11162388,64.748117,7.488,49.639999,20947.240234,26843.029297,2099.129883,67.292,112.223438,72.828125,212452.227273,99.310309,9.05,230523.727273,True,True,True,True,28.718862,2.04449,22.295385,73.310761,8.739397,6.629273,8.986645,21.194516,1.355014,4.4555,122
2016-06-06,167.733337,168.21666,165.0,165.708328,99.013435,7691856,59.420699,7.475,50.549999,21030.220703,26777.449219,2109.409912,66.991997,112.190625,72.76875,212257.636364,99.302245,9.08,230151.636364,True,True,True,True,28.709097,2.044478,22.296846,73.364874,8.735073,6.762542,8.96214,21.272258,1.349603,4.440692,121
2016-06-07,167.0,167.041672,162.233337,162.708328,97.220894,7041228,54.645034,7.482,51.439999,21328.240234,27009.669922,2112.129883,66.801003,112.157812,72.709375,212063.045455,99.294182,9.11,229779.545455,True,True,True,True,28.699332,2.044466,22.298308,73.418988,8.730749,6.875167,8.928228,21.673077,1.324193,4.360012,120
2016-06-08,162.041672,164.233337,161.524994,163.358337,97.609299,6137646,55.479935,7.488,52.509998,21297.880859,27020.660156,2119.120117,66.763,112.125,72.65,211868.454545,99.286118,9.14,229407.454545,True,True,True,True,28.689567,2.044453,22.299769,73.473101,8.726425,7.012553,8.915999,21.595396,1.328504,4.377144,119
2016-06-09,165.050003,167.633331,164.5,166.241669,99.332115,7902216,59.078438,7.486,51.950001,21297.880859,26763.460938,2115.47998,66.510002,112.092188,72.590625,211673.863636,99.278055,9.17,229035.363636,True,True,True,True,28.679802,2.044441,22.301231,73.527215,8.722101,6.939621,8.884585,21.229246,1.350957,4.454109,118
2016-06-10,166.5,167.391663,164.09166,164.475006,98.27652,5078658,56.087052,7.491,50.540001,21042.640625,26635.75,2096.070068,66.740997,112.059375,72.53125,211479.272727,99.269991,9.2,228663.272727,True,True,True,True,28.670036,2.044429,22.302692,73.581328,8.717777,6.746763,8.909491,21.465752,1.335618,4.406487,117
2016-06-13,163.708328,168.824997,163.333328,168.108337,100.447502,7468200,60.515084,7.525,50.349998,20512.990234,26396.769531,2079.060059,66.945,112.026562,72.471875,211284.681818,99.261927,9.19,228291.181818,True,True,True,True,28.660271,2.044417,22.304154,73.635441,8.713453,6.69103,8.896345,21.010097,1.364119,4.503533,116
2016-06-14,169.333328,169.5,164.691666,165.191666,98.704727,6453570,55.662756,7.517,49.830002,20387.529297,26395.710938,2075.320068,67.153999,111.99375,72.4125,211090.090909,99.253864,9.18,227919.090909,True,True,True,True,28.650506,2.044405,22.305615,73.689555,8.70913,6.628975,8.933617,21.389482,1.339467,4.425107,115
2016-06-15,165.875,168.96666,165.875,168.5,100.681519,5033340,59.618063,7.517,48.970001,20467.519531,26726.339844,2071.5,67.297997,111.960938,72.353125,210895.5,99.2458,9.17,227547.0,True,True,True,True,28.640741,2.044393,22.307077,73.743668,8.704806,6.514567,8.952773,20.977766,1.36529,4.513434,114
2016-06-16,169.03334,170.0,166.766663,168.583328,100.731285,6597216,59.715543,7.504,47.189999,20038.419922,26525.460938,2077.98999,67.072998,111.928125,72.29375,210700.909091,99.237736,9.16,227174.909091,True,True,True,True,28.630976,2.044381,22.308538,73.797781,8.700482,6.288646,8.938299,20.975633,1.364964,4.515369,113
2016-06-17,169.458328,169.958328,166.833328,167.491669,100.079018,5262264,57.748781,7.501,49.169998,20169.980469,26625.910156,2071.219971,67.306999,111.895312,72.234375,210506.318182,99.229673,9.15,226802.818182,True,True,True,True,28.621211,2.044368,22.31,73.851895,8.696158,6.555126,8.97307,21.120617,1.355131,4.485837,112
2016-06-20,166.65834,168.75,165.675003,167.46666,100.064064,3727578,57.701894,7.494,50.650002,20510.199219,26866.919922,2083.25,67.066002,111.8625,72.175,210311.727273,99.221609,9.14,226430.727273,True,True,True,True,28.611445,2.044356,22.311462,73.906008,8.691834,6.758741,8.949293,21.132039,1.353937,4.484873,111
2016-06-21,167.46666,168.699997,166.516663,168.09166,100.437523,4405194,58.606391,7.498,50.619999,20668.439453,26812.779297,2088.899902,67.129997,111.829688,72.115625,210117.136364,99.213545,9.13,226058.636364,True,True,True,True,28.60168,2.044344,22.312923,73.960121,8.68751,6.751133,8.953054,21.061688,1.357996,4.501316,110
2016-06-22,168.0,168.925003,167.208328,168.225006,100.51722,4655760,58.808776,7.476,49.880001,20795.119141,26765.650391,2085.449951,67.606003,111.796875,72.05625,209922.545455,99.205482,9.12,225686.545455,True,True,True,True,28.591915,2.044332,22.314385,74.014235,8.683186,6.672017,9.043072,21.053196,1.35808,4.504593,109
2016-06-23,168.5,171.75,167.166672,170.641663,101.961197,4479852,62.397037,7.479,50.91,20868.339844,27002.220703,2113.320068,67.421997,111.764062,71.996875,209727.954545,99.197418,9.11,225314.454545,True,True,True,True,28.58215,2.04432,22.315846,74.068348,8.678862,6.80706,9.014841,20.763121,1.376583,4.569004,108
2016-06-24,168.666672,170.733337,166.016663,168.90834,100.925507,6516624,58.463246,7.473,48.41,20259.130859,26397.710938,2037.410034,67.241997,111.73125,71.9375,209533.363636,99.189355,9.1,224942.363636,True,True,True,True,28.572385,2.044308,22.317308,74.122462,8.674538,6.477987,8.997992,20.984343,1.361605,4.522298,107
2016-06-27,170.0,174.483337,169.425003,173.03334,103.390236,8603070,64.241034,7.459,47.16,20227.300781,26402.960938,2000.540039,67.876999,111.698438,71.878125,209338.772727,99.181291,9.077778,224570.272727,True,True,True,True,28.562619,2.044296,22.318769,74.176575,8.670215,6.322563,9.100013,20.492044,1.393839,4.632434,106
2016-06-28,173.633331,175.683334,173.366669,175.28334,104.73468,7127814,66.942171,7.453,48.580002,20172.460938,26524.550781,2036.089966,67.920998,111.665625,71.81875,209144.181818,99.173227,9.055556,224198.181818,True,True,True,True,28.552854,2.044283,22.320231,74.230688,8.665891,6.518181,9.113243,20.236831,1.410935,4.692365,105
2016-06-29,175.816666,176.766663,173.883331,175.725006,104.998558,4994928,67.46175,7.444,50.610001,20436.119141,26740.390625,2070.77002,67.705002,111.632812,71.759375,208949.590909,99.165164,9.033333,223826.090909,True,True,True,True,28.543089,2.044271,22.321692,74.284802,8.661567,6.798764,9.095245,20.193779,1.413459,4.70388,104
2016-06-30,177.0,179.666672,175.183334,178.691666,106.771202,14095068,70.783482,7.448,49.68,20794.369141,26999.720703,2098.860107,67.416,111.6,71.7,208755.0,99.1571,9.011111,223454.0,True,True,True,True,28.533324,2.044259,22.323154,74.338915,8.657243,6.670247,9.051558,19.866184,1.436276,4.78298,103
2016-07-01,179.166672,183.71666,177.833328,181.991669,108.743004,6395178,73.967121,7.419,49.84,20794.369141,27144.910156,2102.949951,67.500999,111.615873,71.704762,210392.714286,99.148438,8.988889,225179.285714,True,True,True,True,28.523559,2.044247,22.324615,74.393028,8.652919,6.717887,9.098396,19.513475,1.461736,4.870991,102
2016-07-04,182.5,185.0,182.5,184.358337,110.15715,10156236,75.987963,7.425,49.84,21059.199219,27278.759766,2102.949951,67.181999,111.631746,71.709524,212030.428571,99.139776,8.966667,226904.571429,True,True,True,True,28.513794,2.044235,22.326077,74.447142,8.648595,6.717887,9.048081,19.270383,1.479669,4.934013,101
2016-07-05,184.583328,186.300003,182.066666,182.991669,109.34053,11752260,72.48859,7.394,47.959999,20750.720703,27166.869141,2088.550049,67.237,111.647619,71.714286,213668.142857,99.131114,8.944444,228629.857143,True,True,True,True,28.504028,2.044223,22.327538,74.501255,8.644271,6.48634,9.093454,19.421763,1.467633,4.897115,100
2016-07-07,183.191666,186.833328,181.583328,185.683334,110.948845,15105402,74.936676,7.381,46.400002,20706.919922,27201.490234,2097.899902,67.401001,111.663492,71.719048,215305.857143,99.122452,8.922222,230355.142857,True,True,True,True,28.494263,2.044211,22.329,74.555368,8.639947,6.286411,9.13169,19.147566,1.48814,4.968823,99
2016-07-08,186.850006,187.316666,184.074997,185.78334,111.008606,17025198,75.025596,7.384,46.759998,20564.169922,27126.900391,2129.899902,67.497002,111.679365,71.72381,216943.571429,99.11379,8.9,232080.428571,True,True,True,True,28.484498,2.044198,22.330462,74.609482,8.635623,6.332611,9.140981,19.144584,1.487862,4.971174,98
2016-07-11,187.816666,191.666672,186.683334,188.883331,112.860893,18865734,77.670216,7.384,46.25,20880.5,27626.689453,2137.159912,67.132004,111.695238,71.728571,218581.285714,99.105129,8.91,233805.714286,True,True,True,True,28.474733,2.044186,22.331923,74.663595,8.6313,6.263543,9.09155,18.837578,1.511592,5.053792,97
2016-07-12,188.699997,192.666672,185.516663,186.758331,111.591171,22119798,72.038797,7.337,48.470001,21224.740234,27808.140625,2152.139893,67.144997,111.711111,71.733333,220219.0,99.096467,8.92,235531.0,True,True,True,True,28.464968,2.044174,22.333385,74.717709,8.626976,6.606242,9.15156,19.059188,1.493504,4.996608,96
2016-07-13,186.633331,187.666672,181.199997,181.866669,108.66832,11222685,61.063263,7.284,46.259998,21322.369141,27815.179688,2152.429932,66.870003,111.726984,71.738095,221856.714286,99.087805,8.93,237256.285714,True,True,True,True,28.455202,2.044162,22.334846,74.771822,8.622652,6.350906,9.180396,19.579279,1.453333,4.865416,95
2016-07-14,182.083328,185.483337,182.083328,184.46666,110.221855,4710903,64.186507,7.285,47.369999,21561.060547,27942.109375,2163.75,67.005997,111.742857,71.742857,223494.428571,99.079143,8.94,238981.571429,True,True,True,True,28.445437,2.04415,22.336308,74.825935,8.618328,6.502402,9.197803,19.310657,1.473043,4.93465,94
2016-07-15,184.666672,185.96666,182.333328,184.916672,110.490738,7296570,64.714083,7.272,47.610001,21659.25,27836.5,2161.73999,66.837997,111.75873,71.747619,225132.142857,99.070481,8.95,240706.857143,True,True,True,True,28.435672,2.044138,22.337769,74.880049,8.614004,6.54703,9.191144,19.270977,1.47557,4.946364,93
2016-07-18,185.333328,187.583328,183.866669,185.383331,110.769592,5087847,65.285185,7.294,46.959999,21803.179688,27746.660156,2166.889893,67.133003,111.774603,71.752381,226769.857143,99.061819,8.96,242432.142857,True,True,True,True,28.425907,2.044126,22.339231,74.934162,8.60968,6.438168,9.203867,19.229749,1.478226,4.958523,92
2016-07-19,185.199997,191.333328,184.683334,190.71666,113.956329,8744865,71.051752,7.28,46.66,21673.199219,27787.619141,2163.780029,67.139,111.790476,71.757143,228407.571429,99.053157,8.97,244157.428571,True,True,True,True,28.416142,2.044113,22.340692,74.988275,8.605356,6.409341,9.22239,18.699071,1.519655,5.100841,91
2016-07-20,190.0,194.333328,190.0,191.5,114.424393,6950838,71.792888,7.27,47.169998,21882.480469,27915.890625,2173.02002,67.206001,111.806349,71.761905,230045.285714,99.044495,8.98,245882.714286,True,True,True,True,28.406377,2.044101,22.342154,75.042389,8.601032,6.488308,9.244292,18.629615,1.524797,5.121458,90
2016-07-21,194.066666,196.866669,191.100006,192.083328,114.772926,8300904,72.360374,7.261,46.200001,22000.490234,27710.519531,2165.169922,67.164001,111.822222,71.766667,231683.0,99.035833,8.99,247608.0,True,True,True,True,28.396611,2.044089,22.343615,75.096502,8.596709,6.36276,9.249966,18.580045,1.528339,5.136721,89
2016-07-22,192.566666,194.983337,189.516663,194.399994,116.157181,5877606,74.550229,7.249,45.689999,21964.269531,27803.240234,2175.030029,67.153999,111.838095,71.771429,233320.714286,99.027171,9.0,249333.285714,True,True,True,True,28.386846,2.044077,22.345077,75.150615,8.592385,6.302938,9.263898,18.365537,1.545658,5.198334,88
2016-07-25,195.666672,200.616669,195.133331,197.833328,118.208664,9220002,77.407111,7.248,44.720001,21993.439453,28095.339844,2168.47998,67.146004,111.853968,71.77619,234958.428571,99.01851,8.86,251058.571429,True,True,True,True,28.377081,2.044065,22.346538,75.204729,8.588061,6.169978,9.264073,18.053589,1.571825,5.289798,87
2016-07-26,198.166672,200.28334,195.166672,196.116669,117.182915,6438093,72.994924,7.252,44.869999,22129.730469,27976.519531,2169.179932,67.404999,111.869841,71.780952,236596.142857,99.009848,8.72,252783.857143,True,True,True,True,28.367316,2.044053,22.348,75.258842,8.583737,6.187259,9.294677,18.218452,1.557065,5.243553,86
2016-07-27,196.21666,198.78334,194.149994,196.166672,117.212814,6539757,73.043123,7.25,43.470001,22218.990234,28024.330078,2166.580078,67.283997,111.885714,71.785714,238233.857143,99.001186,8.58,254509.142857,True,True,True,True,28.357551,2.04404,22.349462,75.312955,8.579413,5.995862,9.280551,18.220627,1.556343,5.244548,85
2016-07-28,196.483337,197.633331,191.683334,194.600006,116.276688,12794370,68.894146,7.185,42.700001,22174.339844,28208.619141,2170.060059,67.063004,111.901587,71.790476,239871.571429,98.992524,8.44,256234.428571,True,True,True,True,28.347785,2.044028,22.350923,75.367069,8.575089,5.942937,9.333751,18.374186,1.542805,5.202321,84
2016-07-29,195.866669,199.0,194.199997,197.550003,118.039352,5296830,72.106973,7.163,42.459999,21891.369141,28051.859375,2173.600098,67.007004,111.91746,71.795238,241509.285714,98.983862,8.3,257959.714286,True,True,True,True,28.33802,2.044016,22.352385,75.421182,8.570765,5.927684,9.354601,18.106563,1.565069,5.280839,83
2016-08-01,198.983337,201.166672,196.75,198.199997,118.427734,6665085,72.774237,7.139,42.450001,22129.140625,28003.119141,2170.840088,66.648003,111.949206,71.804762,243495.818182,98.967055,8.6,259641.227273,True,True,True,True,28.328255,2.044004,22.353846,75.475296,8.566441,5.946211,9.335762,18.053908,1.569093,5.297868,82
2016-08-02,198.850006,199.899994,192.383331,193.116669,115.390366,8036001,60.570644,7.174,41.799999,22129.140625,27981.710938,2157.030029,66.750999,111.965079,71.809524,243844.636364,98.958909,8.75,259597.454545,True,True,True,True,28.31849,2.043992,22.355308,75.529409,8.562117,5.826596,9.304572,18.536026,1.527754,5.161654,81
2016-08-03,193.333328,194.350006,189.25,190.96666,114.105698,8537019,56.27248,7.194,43.099998,21739.119141,27697.509766,2163.790039,66.676003,111.980952,71.814286,244193.454545,98.950764,8.9,259553.681818,True,True,True,True,28.308725,2.04398,22.356769,75.583522,8.557794,5.991103,9.268279,18.751676,1.509664,5.103855,80
2016-08-04,191.416672,192.699997,186.0,189.766663,113.388702,7452468,53.970499,7.169,44.290001,21832.230469,27714.369141,2164.25,66.760002,111.996825,71.819048,244542.272727,98.942618,9.05,259509.909091,True,True,True,True,28.29896,2.043968,22.358231,75.637636,8.55347,6.177989,9.312317,18.877246,1.499104,5.071452,79
2016-08-05,191.933334,195.933334,191.183334,195.516663,116.824448,8297040,61.993486,7.166,44.27,22146.089844,28078.349609,2182.870117,66.841003,112.012698,71.82381,244891.090909,98.934473,9.2,259466.136364,True,True,True,True,28.289194,2.043955,22.359692,75.691749,8.549146,6.177784,9.327519,18.328857,1.543424,5.224779,78
2016-08-08,197.699997,205.899994,196.333328,202.25,120.847687,24490668,68.842262,7.173,45.389999,22494.759766,28182.570312,2180.889893,66.834999,112.028571,71.828571,245239.909091,98.926327,9.144444,259422.363636,True,True,True,True,28.279429,2.043943,22.361154,75.745862,8.544822,6.327896,9.31758,17.725203,1.595436,5.404358,77
2016-08-09,202.983337,204.583328,197.46666,198.550003,118.636902,14751804,62.208494,7.124,44.98,22465.609375,28085.160156,2181.73999,66.793999,112.044444,71.833333,245588.727273,98.918182,9.088889,259378.590909,True,True,True,True,28.269664,2.043931,22.362615,75.799976,8.540498,6.313869,9.375912,18.06217,1.565131,5.305144,76
2016-08-10,199.183334,201.5,192.800003,194.516663,116.226898,12475206,55.886419,7.101,44.049999,22492.429688,27774.880859,2175.48999,66.782997,112.060317,71.838095,245937.545455,98.910036,9.033333,259334.818182,True,True,True,True,28.259899,2.043919,22.364077,75.854089,8.536174,6.203352,9.404731,18.443484,1.532243,5.197035,75
2016-08-11,196.333328,200.0,193.666672,198.949997,118.875893,12648321,60.623369,7.083,46.040001,22580.550781,27859.599609,2185.790039,66.758003,112.07619,71.842857,246286.363636,98.901891,8.977778,259291.045455,True,True,True,True,28.250134,2.043907,22.365538,75.908202,8.53185,6.500071,9.425103,18.039123,1.566048,5.315137,74
2016-08-12,196.399994,198.166672,191.649994,193.316666,115.509872,9017328,52.856525,7.101,46.970001,22766.910156,28152.400391,2184.050049,66.739998,112.092063,71.847619,246635.181818,98.893745,8.922222,259247.272727,True,True,True,True,28.240368,2.043895,22.367,75.962316,8.527526,6.614562,9.398676,18.571606,1.520621,5.164299,73
2016-08-16,193.333328,200.833328,192.733337,198.800003,118.78624,9808143,58.438185,7.104,49.23,22910.839844,28064.609375,2178.149902,66.864899,112.107937,71.852381,246984.0,98.8856,8.866667,259203.5,True,True,True,True,28.230603,2.043883,22.368462,76.016429,8.523202,6.929899,9.412289,18.065978,1.562639,5.310434,72
2016-08-17,198.666672,199.600006,194.516663,195.78334,116.983749,5871177,54.607631,7.104,49.849998,22799.779297,28005.369141,2182.219971,66.857697,112.12381,71.857143,247332.818182,98.877455,8.811111,259159.727273,True,True,True,True,28.220838,2.04387,22.369923,76.070543,8.518879,6.929899,9.412289,18.351049,1.537832,5.229511,71
2016-08-18,196.03334,198.96666,195.0,195.699997,116.933952,7606128,54.501339,7.14,50.889999,23023.160156,28123.439453,2187.02002,66.905502,112.139683,71.861905,247681.636364,98.869309,8.755556,259115.954545,True,True,True,True,28.211073,2.043858,22.371385,76.124656,8.514555,7.127451,9.370519,18.365566,1.536085,5.226943,70
2016-08-19,196.333328,198.366669,193.766663,197.733337,118.148911,7811124,56.714989,7.099,50.880001,22937.220703,28077.0,2183.870117,66.82,112.155556,71.866667,248030.454545,98.861164,8.7,259072.181818,True,True,True,True,28.201308,2.043846,22.372846,76.178769,8.510231,7.167207,9.412593,18.183332,1.550943,5.280907,69
2016-08-22,198.333328,201.800003,197.916672,199.166672,119.005341,9868461,58.256755,7.156,49.16,22997.910156,27985.539062,2182.639893,67.127502,112.171429,71.871429,248379.272727,98.853018,8.74,259028.409091,True,True,True,True,28.191543,2.043834,22.374308,76.232883,8.505907,6.86976,9.38059,18.059043,1.561076,5.318839,68
2016-08-23,200.333328,200.699997,190.5,192.03334,114.74305,11280069,48.918174,7.158,49.959999,22998.929688,27990.210938,2186.899902,67.187401,112.187302,71.87619,248728.090909,98.844873,8.78,258984.636364,True,True,True,True,28.181777,2.043822,22.375769,76.286996,8.501583,6.979603,9.386337,18.736674,1.504097,5.128005,67
