,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2016-06-01,221.727264,223.136368,217.363632,218.227264,202.034042,11862710,58.095983,7.486,49.709999,20760.980469,26713.929688,2099.330078,67.231003,112.289062,72.946875,212841.409091,99.326436,8.99,231267.909091,True,False,False,False,9.752919,0.082514,15.201352,164.735291,1.015101,6.640395,8.980898,7.952372,1.226416,13.290531,124
2016-06-02,217.363632,220.363632,216.0,219.409088,203.128159,15349530,59.186717,7.486,50.040001,20859.220703,26843.140625,2105.26001,67.426003,112.25625,72.8875,212646.818182,99.318373,9.02,230895.818182,True,False,False,False,9.740417,0.082502,15.185336,164.770899,1.013729,6.684478,9.006947,7.901107,1.232791,13.3766,123
2016-06-03,220.818176,224.0,220.0,221.590912,205.148087,16566716,61.194903,7.488,49.639999,20947.240234,26843.029297,2099.129883,67.292,112.223438,72.828125,212452.227273,99.310309,9.05,230523.727273,True,False,False,False,9.727915,0.08249,15.16932,164.806506,1.012356,6.629273,8.986645,7.814958,1.244781,13.523882,122
2016-06-06,221.27272,223.636368,220.0,221.363632,204.937698,11592082,60.85897,7.475,50.549999,21030.220703,26777.449219,2109.409912,66.991997,112.190625,72.76875,212257.636364,99.302245,9.08,230151.636364,True,False,False,False,9.715413,0.082478,15.153304,164.842113,1.010984,6.762542,8.96214,7.814615,1.243236,13.524292,121
2016-06-07,223.181824,231.681824,222.454544,231.0,213.859009,25311345,68.703552,7.482,51.439999,21328.240234,27009.669922,2112.129883,66.801003,112.157812,72.709375,212063.045455,99.294182,9.11,229779.545455,True,True,False,False,9.702911,0.082466,15.137287,164.877721,1.009611,6.875167,8.928228,7.480601,1.297076,14.127961,120
2016-06-08,232.0,237.454544,229.818176,234.227264,216.846802,25139392,70.81329,7.488,52.509998,21297.880859,27020.660156,2119.120117,66.763,112.125,72.65,211868.454545,99.286118,9.14,229407.454545,True,True,False,False,9.690409,0.082453,15.121271,164.913328,1.008239,7.012553,8.915999,7.369616,1.314914,14.340514,119
2016-06-09,233.636368,235.681824,230.181824,231.409088,214.237732,13787240,66.591738,7.486,51.950001,21297.880859,26763.460938,2115.47998,66.510002,112.092188,72.590625,211673.863636,99.278055,9.17,229035.363636,True,True,False,False,9.677907,0.082441,15.105255,164.948935,1.006866,6.939621,8.884585,7.451351,1.298812,14.182993,118
2016-06-10,230.0,234.227264,228.636368,229.636368,212.596527,13236448,64.006857,7.491,50.540001,21042.640625,26635.75,2096.070068,66.740997,112.059375,72.53125,211479.272727,99.269991,9.2,228663.272727,True,True,False,False,9.665405,0.082429,15.089239,164.984543,1.005494,6.746763,8.909491,7.500792,1.288585,14.089281,117
2016-06-13,225.818176,225.818176,220.409088,221.590912,205.148087,14297870,53.799888,7.525,50.349998,20512.990234,26396.769531,2079.060059,66.945,112.026562,72.471875,211284.681818,99.261927,9.19,228291.181818,True,False,False,False,9.652903,0.082417,15.073223,165.02015,1.004121,6.69103,8.896345,7.764749,1.24317,13.610101,116
2016-06-14,224.545456,224.954544,222.090912,222.681824,206.158081,11988708,54.851221,7.517,49.830002,20387.529297,26395.710938,2075.320068,67.153999,111.99375,72.4125,211090.090909,99.253864,9.18,227919.090909,True,False,False,False,9.640401,0.082405,15.057206,165.055757,1.002749,6.628975,8.933617,7.718367,1.249021,13.691655,115
2016-06-15,223.181824,226.545456,219.636368,225.409088,208.682938,15761615,57.45762,7.517,48.970001,20467.519531,26726.339844,2071.5,67.297997,111.960938,72.353125,210895.5,99.2458,9.17,227547.0,True,True,False,False,9.627899,0.082393,15.04119,165.091364,1.001377,6.514567,8.952773,7.616736,1.264045,13.874097,114
2016-06-16,221.545456,221.545456,216.409088,217.318176,205.333069,17042021,48.510459,7.504,47.189999,20038.419922,26525.460938,2077.98999,67.072998,111.928125,72.29375,210700.909091,99.237736,9.16,227174.909091,True,False,False,False,9.615397,0.082381,15.025174,165.126972,1.000004,6.288646,8.938299,7.732614,1.243486,13.665936,113
2016-06-17,219.5,220.181824,213.77272,216.77272,204.817657,15150943,47.968161,7.501,49.169998,20169.980469,26625.910156,2071.219971,67.306999,111.895312,72.234375,210506.318182,99.229673,9.15,226802.818182,True,False,False,False,9.602895,0.082368,15.009158,165.162579,0.998632,6.555126,8.97307,7.743663,1.240097,13.646179,112
2016-06-20,212.409088,217.681824,212.409088,216.454544,204.517014,17780316,47.633651,7.494,50.650002,20510.199219,26866.919922,2083.25,67.066002,111.8625,72.175,210311.727273,99.221609,9.14,226430.727273,True,False,False,False,9.590393,0.082356,14.993142,165.198186,0.997259,6.758741,8.949293,7.746619,1.23801,13.640704,111
2016-06-21,218.409088,219.090912,214.77272,216.227264,204.302307,12191664,47.379482,7.498,50.619999,20668.439453,26812.779297,2088.899902,67.129997,111.829688,72.115625,210117.136364,99.213545,9.13,226058.636364,True,False,False,False,9.577891,0.082344,14.977126,165.233794,0.995887,6.751133,8.953054,7.746321,1.236444,13.640956,110
2016-06-22,215.545456,220.318176,214.363632,217.27272,205.29007,13478056,48.73456,7.476,49.880001,20795.119141,26765.650391,2085.449951,67.606003,111.796875,72.05625,209922.545455,99.205482,9.12,225686.545455,True,False,False,False,9.565389,0.082332,14.961109,165.269401,0.994514,6.672017,9.043072,7.700646,1.242154,13.721581,109
2016-06-23,217.318176,219.5,214.590912,219.0,206.922089,7979235,50.980606,7.479,50.91,20868.339844,27002.220703,2113.320068,67.421997,111.764062,71.996875,209727.954545,99.197418,9.11,225314.454545,True,True,False,False,9.552887,0.08232,14.945093,165.305008,0.993142,6.80706,9.014841,7.631568,1.251759,13.845487,108
2016-06-24,208.181824,211.727264,201.0,209.954544,198.375519,33755632,40.879815,7.473,48.41,20259.130859,26397.710938,2037.410034,67.241997,111.73125,71.9375,209533.363636,99.189355,9.1,224942.363636,True,False,False,False,9.540385,0.082308,14.929077,165.340615,0.991769,6.477987,8.997992,7.951652,1.199799,13.287862,107
2016-06-27,208.454544,213.090912,208.454544,211.545456,199.878693,13172968,43.018205,7.459,47.16,20227.300781,26402.960938,2000.540039,67.876999,111.698438,71.878125,209338.772727,99.181291,9.077778,224570.272727,True,False,False,False,9.527883,0.082296,14.913061,165.376223,0.990397,6.322563,9.100013,7.883208,1.20863,13.402929,106
2016-06-28,209.636368,212.909088,209.090912,211.954544,200.265198,11302737,43.58329,7.453,48.580002,20172.460938,26524.550781,2036.089966,67.920998,111.665625,71.81875,209144.181818,99.173227,9.055556,224198.181818,True,False,False,False,9.515381,0.082283,14.897045,165.41183,0.989024,6.518181,9.113243,7.859361,1.210707,13.443284,105
2016-06-29,214.454544,216.636368,212.954544,215.136368,203.271561,7959976,47.910172,7.444,50.610001,20436.119141,26740.390625,2070.77002,67.705002,111.632812,71.759375,208949.590909,99.165164,9.033333,223826.090909,True,False,False,False,9.502879,0.082271,14.881028,165.447437,0.987652,6.798764,9.095245,7.734613,1.228617,13.659779,104
2016-06-30,217.727264,220.727264,217.545456,218.681824,206.62146,16851065,52.300173,7.448,49.68,20794.369141,26999.720703,2098.860107,67.416,111.6,71.7,208755.0,99.1571,9.011111,223454.0,True,True,False,False,9.490377,0.082259,14.865012,165.483045,0.986279,6.670247,9.051558,7.600839,1.248596,13.899851,103
2016-07-01,219.727264,220.590912,217.77272,218.5,206.449677,9108853,52.057869,7.419,49.84,20794.369141,27144.910156,2102.949951,67.500999,111.615873,71.704762,210392.714286,99.148438,8.988889,225179.285714,True,True,False,False,9.477874,0.082247,14.848996,165.518652,0.984907,6.717887,9.098396,7.598777,1.24729,13.903275,102
2016-07-04,221.0,226.318176,219.909088,225.590912,213.149521,10389222,59.866899,7.425,49.84,21059.199219,27278.759766,2102.949951,67.181999,111.631746,71.709524,212030.428571,99.139776,8.966667,226904.571429,True,True,False,False,9.465372,0.082235,14.83298,165.554259,0.983534,6.717887,9.048081,7.3518,1.28749,14.369973,101
