,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2016-06-01,623.025024,634.25,623.0,629.099976,510.184479,4840534,62.690884,7.486,49.709999,20760.980469,26713.929688,2099.330078,67.231003,112.289062,72.946875,212841.409091,99.326436,8.99,231267.909091,True,True,True,True,21.717324,0.840858,31.109765,152.453862,17.875636,6.640395,8.980898,6.489594,3.346484,16.399496,124
2016-06-02,627.5,637.450012,627.0,630.775024,511.543121,5053552,63.442132,7.486,50.040001,20859.220703,26843.140625,2105.26001,67.426003,112.25625,72.8875,212646.818182,99.318373,9.02,230895.818182,True,True,True,True,21.728332,0.84098,31.129109,152.437409,17.884377,6.684478,9.006947,6.474939,3.355758,16.432951,123
2016-06-03,630.025024,639.650024,630.025024,633.450012,513.712341,3998380,64.665742,7.488,49.639999,20947.240234,26843.029297,2099.129883,67.292,112.223438,72.828125,212452.227273,99.310309,9.05,230523.727273,True,True,True,True,21.73934,0.841101,31.148453,152.420955,17.893117,6.629273,8.986645,6.450168,3.370352,16.492387,122
2016-06-06,632.450012,638.5,630.549988,633.375,513.65155,4225768,64.600445,7.475,50.549999,21030.220703,26777.449219,2109.409912,66.991997,112.190625,72.76875,212257.636364,99.302245,9.08,230151.636364,True,True,True,True,21.750348,0.841223,31.167798,152.404502,17.901858,6.762542,8.96214,6.453501,3.370317,16.4802,121
2016-06-07,633.5,636.25,627.549988,628.700012,509.860107,5692420,60.500213,7.482,51.439999,21328.240234,27009.669922,2112.129883,66.801003,112.157812,72.709375,212063.045455,99.294182,9.11,229779.545455,True,True,True,True,21.761356,0.841344,31.187142,152.388049,17.910599,6.875167,8.928228,6.504079,3.345801,16.348408,120
2016-06-08,631.974976,631.974976,617.674988,619.049988,502.034271,8741370,53.019527,7.488,52.509998,21297.880859,27020.660156,2119.120117,66.763,112.125,72.65,211868.454545,99.286118,9.14,229407.454545,True,True,True,True,21.772364,0.841466,31.206486,152.371595,17.91934,7.012553,8.915999,6.608094,3.294802,16.087498,119
2016-06-09,613.125,613.125,590.025024,592.75,486.302734,12740804,38.901771,7.486,51.950001,21297.880859,26763.460938,2115.47998,66.510002,112.092188,72.590625,211673.863636,99.278055,9.17,229035.363636,True,True,True,True,21.783372,0.841587,31.22583,152.355142,17.928081,6.939621,8.884585,6.824574,3.191902,15.573733,118
2016-06-10,587.700012,595.0,585.049988,590.299988,484.292786,6383956,37.889615,7.491,50.540001,21042.640625,26635.75,2096.070068,66.740997,112.059375,72.53125,211479.272727,99.269991,9.2,228663.272727,True,True,True,True,21.794381,0.841709,31.245174,152.338688,17.936822,6.746763,8.909491,6.85562,3.179053,15.499763,117
2016-06-13,588.400024,592.450012,583.0,590.450012,484.415924,5286722,37.995999,7.525,50.349998,20512.990234,26396.769531,2079.060059,66.945,112.026562,72.471875,211284.681818,99.261927,9.19,228291.181818,True,True,True,True,21.805389,0.84183,31.264518,152.322235,17.945563,6.69103,8.896345,6.856599,3.180205,15.494111,116
2016-06-14,591.200012,591.200012,583.625,587.5,481.995697,2940728,36.666086,7.517,49.830002,20387.529297,26395.710938,2075.320068,67.153999,111.99375,72.4125,211090.090909,99.253864,9.18,227919.090909,True,True,True,True,21.816397,0.841951,31.283862,152.305781,17.954304,6.628975,8.933617,6.893761,3.164658,15.407167,115
2016-06-15,591.849976,596.325012,589.525024,594.974976,488.128204,6711572,42.187817,7.517,48.970001,20467.519531,26726.339844,2071.5,67.297997,111.960938,72.353125,210895.5,99.2458,9.17,227547.0,True,True,True,True,21.827405,0.842073,31.303206,152.289328,17.963045,6.514567,8.952773,6.809852,3.205269,15.593553,114
2016-06-16,594.75,594.75,585.049988,593.0,486.507812,5302564,41.166594,7.504,47.189999,20038.419922,26525.460938,2077.98999,67.072998,111.928125,72.29375,210700.909091,99.237736,9.16,227174.909091,True,True,True,True,21.838413,0.842194,31.322551,152.272874,17.971785,6.288646,8.938299,6.835241,3.194974,15.53219,113
2016-06-17,594.5,596.375,587.549988,589.75,483.841553,8515082,39.47326,7.501,49.169998,20169.980469,26625.910156,2071.219971,67.306999,111.895312,72.234375,210506.318182,99.229673,9.15,226802.818182,True,True,True,True,21.849421,0.842316,31.341895,152.256421,17.980526,6.555126,8.97307,6.875628,3.177807,15.437534,112
