,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2016-06-01,84.712524,84.712524,83.475021,83.756271,57.221954,5018958,58.160049,7.486,49.709999,20760.980469,26713.929688,2099.330078,67.231003,112.289062,72.946875,212841.409091,99.326436,8.99,231267.909091,True,True,True,True,15.856194,0.13481,7.465089,54.40917,3.88215,6.640395,8.980898,15.076772,1.051697,7.665274,124
2016-06-02,83.756271,84.712524,83.306267,84.487518,57.721554,3951078,61.112169,7.486,50.040001,20859.220703,26843.140625,2105.26001,67.426003,112.25625,72.8875,212646.818182,99.318373,9.02,230895.818182,True,True,True,True,15.855599,0.13483,7.454441,54.429024,3.881879,6.684478,9.006947,14.951171,1.060492,7.743243,123
2016-06-03,84.712524,84.853149,83.953148,84.600021,57.79842,3453446,61.561528,7.488,49.639999,20947.240234,26843.029297,2099.129883,67.292,112.223438,72.828125,212452.227273,99.310309,9.05,230523.727273,True,True,True,True,15.855004,0.13485,7.443794,54.448879,3.881607,6.629273,8.986645,14.936173,1.061517,7.764646,122
2016-06-06,84.487518,84.768768,83.559395,83.953148,57.356483,2395810,57.450825,7.475,50.549999,21030.220703,26777.449219,2109.409912,66.991997,112.190625,72.76875,212257.636364,99.302245,9.08,230151.636364,True,True,True,True,15.854409,0.13487,7.433146,54.468733,3.881336,6.762542,8.96214,15.05618,1.053017,7.716314,121
2016-06-07,84.037521,84.909393,83.953148,84.318771,57.606266,3771426,59.112686,7.482,51.439999,21328.240234,27009.669922,2112.129883,66.801003,112.157812,72.709375,212063.045455,99.294182,9.11,229779.545455,True,True,True,True,15.853814,0.134891,7.422498,54.488587,3.881065,6.875167,8.928228,14.995798,1.057217,7.761035,120
2016-06-08,84.375023,86.006271,83.98127,85.809395,58.624668,3804592,65.097829,7.488,52.509998,21297.880859,27020.660156,2119.120117,66.763,112.125,72.65,211868.454545,99.286118,9.14,229407.454545,True,True,True,True,15.853219,0.134911,7.41185,54.508441,3.880794,7.012553,8.915999,14.740113,1.075515,7.909586,119
2016-06-09,85.893768,86.878143,85.696899,85.95002,58.720726,4520638,65.609283,7.486,51.950001,21297.880859,26763.460938,2115.47998,66.510002,112.092188,72.590625,211673.863636,99.278055,9.17,229035.363636,True,True,True,True,15.852623,0.134931,7.401202,54.528296,3.880522,6.939621,8.884585,14.720808,1.076885,7.933944,118
2016-06-10,86.006271,87.271896,85.978149,86.850021,59.335602,8988984,68.764095,7.491,50.540001,21042.640625,26635.75,2096.070068,66.740997,112.059375,72.53125,211479.272727,99.269991,9.2,228663.272727,True,True,True,True,15.852028,0.134951,7.390555,54.54815,3.880251,6.746763,8.909491,14.573018,1.087766,8.028572,117
2016-06-13,86.484398,86.484398,85.134399,85.38752,58.33643,7199310,59.252059,7.525,50.349998,20512.990234,26396.769531,2079.060059,66.945,112.026562,72.471875,211284.681818,99.261927,9.19,228291.181818,True,True,True,True,15.851433,0.134972,7.379907,54.568004,3.87998,6.69103,8.896345,14.82746,1.069059,7.904765,116
2016-06-14,85.359398,85.725021,84.54377,84.684395,57.85606,2914984,55.292058,7.517,49.830002,20387.529297,26395.710938,2075.320068,67.153999,111.99375,72.4125,211090.090909,99.253864,9.18,227919.090909,True,True,True,True,15.850838,0.134992,7.369259,54.587858,3.879709,6.628975,8.933617,14.955448,1.05987,7.851001,115
2016-06-15,85.021896,87.046898,85.021896,86.850021,59.335602,5287666,63.404557,7.517,48.970001,20467.519531,26726.339844,2071.5,67.297997,111.960938,72.353125,210895.5,99.2458,9.17,227547.0,True,True,True,True,15.850243,0.135012,7.358611,54.607713,3.879437,6.514567,8.952773,14.587288,1.086579,8.063424,114
2016-06-16,86.850021,87.91877,85.415649,86.962524,59.41246,5385026,63.772326,7.504,47.189999,20038.419922,26525.460938,2077.98999,67.072998,111.928125,72.29375,210700.909091,99.237736,9.16,227174.909091,True,True,True,True,15.849648,0.135032,7.347964,54.627567,3.879166,6.288646,8.938299,14.573167,1.087591,8.085568,113
2016-06-17,87.187523,88.846893,86.006271,88.340645,60.353992,8985642,68.012957,7.501,49.169998,20169.980469,26625.910156,2071.219971,67.306999,111.895312,72.234375,210506.318182,99.229673,9.15,226802.818182,True,True,True,True,15.849053,0.135053,7.337316,54.647421,3.878895,6.555126,8.97307,14.350498,1.104425,8.225623,112
2016-06-20,88.312523,88.593773,87.328148,88.115646,60.200283,5237563,66.641408,7.494,50.650002,20510.199219,26866.919922,2083.25,67.066002,111.8625,72.175,210311.727273,99.221609,9.14,226430.727273,True,True,True,True,15.848457,0.135073,7.326668,54.667275,3.878623,6.758741,8.949293,14.391826,1.101212,8.216598,111
2016-06-21,88.059395,88.48127,87.215645,87.750023,59.950478,5276594,64.369762,7.498,50.619999,20668.439453,26812.779297,2088.899902,67.129997,111.829688,72.115625,210117.136364,99.213545,9.13,226058.636364,True,True,True,True,15.847862,0.135093,7.31602,54.68713,3.878352,6.751133,8.953054,14.4565,1.096245,8.194411,110
2016-06-22,87.778145,88.143768,86.962524,87.525024,59.796768,4797461,62.947738,7.476,49.880001,20795.119141,26765.650391,2085.449951,67.606003,111.796875,72.05625,209922.545455,99.205482,9.12,225686.545455,True,True,True,True,15.847267,0.135113,7.305372,54.706984,3.878081,6.672017,9.043072,14.498379,1.093037,8.185314,109
2016-06-23,87.468773,88.790649,85.978149,88.115646,60.200283,5027803,65.125676,7.479,50.91,20868.339844,27002.220703,2113.320068,67.421997,111.764062,71.996875,209727.954545,99.197418,9.11,225314.454545,True,True,True,True,15.846672,0.135134,7.294725,54.726838,3.87781,6.80706,9.014841,14.405883,1.100014,8.252578,108
2016-06-24,86.315643,87.834396,84.712524,87.63752,59.873627,6010853,61.951017,7.473,48.41,20259.130859,26397.710938,2037.410034,67.241997,111.73125,71.9375,209533.363636,99.189355,9.1,224942.363636,True,True,True,True,15.846077,0.135154,7.284077,54.746692,3.877538,6.477987,8.997992,14.489189,1.093648,8.219796,107
2016-06-27,86.090645,88.312523,86.062523,86.625023,59.181889,5121198,55.753052,7.459,47.16,20227.300781,26402.960938,2000.540039,67.876999,111.698438,71.878125,209338.772727,99.181291,9.077778,224570.272727,True,True,True,True,15.845482,0.135174,7.273429,54.766547,3.877267,6.322563,9.100013,14.663309,1.080621,8.136724,106
2016-06-28,86.934395,87.750023,86.428146,87.440643,59.739136,5842035,59.286646,7.453,48.580002,20172.460938,26524.550781,2036.089966,67.920998,111.665625,71.81875,209144.181818,99.173227,9.055556,224198.181818,True,True,True,True,15.844887,0.135194,7.262781,54.786401,3.876996,6.518181,9.113243,14.53125,1.090401,8.22538,105
2016-06-29,87.63752,90.196899,87.496895,89.578148,61.199455,9838712,66.775218,7.444,50.610001,20436.119141,26740.390625,2070.77002,67.705002,111.632812,71.759375,208949.590909,99.165164,9.033333,223826.090909,True,True,True,True,15.844291,0.135215,7.252134,54.806255,3.876725,6.798764,9.095245,14.189118,1.116651,8.438821,104
