,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2016-06-01,437.942505,441.668427,435.130951,435.953827,419.581635,4521404,42.369954,7.486,49.709999,20760.980469,26713.929688,2099.330078,67.231003,112.289062,72.946875,212841.409091,99.326436,8.99,231267.909091,False,False,True,True,12.216377,0.473449,45.187263,444.274267,4.585911,6.640395,8.980898,12.935318,0.94442,9.285396,124
2016-06-02,436.365295,437.576782,432.067932,437.165344,420.74765,5126912,43.558331,7.486,50.040001,20859.220703,26843.140625,2105.26001,67.426003,112.25625,72.8875,212646.818182,99.318373,9.02,230895.818182,False,True,True,True,12.219911,0.473636,45.229895,444.345324,4.586559,6.684478,9.006947,12.905266,0.946893,9.302424,123
2016-06-03,438.8797,440.205475,436.982452,438.719696,422.243622,4321647,45.121871,7.488,49.639999,20947.240234,26843.029297,2099.129883,67.292,112.223438,72.828125,212452.227273,99.310309,9.05,230523.727273,False,True,True,True,12.223445,0.473822,45.272526,444.416381,4.587206,6.629273,8.986645,12.86532,0.950108,9.326708,122
2016-06-06,439.336884,440.25119,435.473816,436.502441,420.109589,4336421,43.280049,7.475,50.549999,21030.220703,26777.449219,2109.409912,66.991997,112.190625,72.76875,212257.636364,99.302245,9.08,230151.636364,False,True,True,True,12.22698,0.474008,45.315158,444.487437,4.587854,6.762542,8.96214,12.936479,0.945155,9.27084,121
2016-06-07,437.622498,439.314026,435.03949,436.61673,420.219574,9477134,43.408277,7.482,51.439999,21328.240234,27009.669922,2112.129883,66.801003,112.157812,72.709375,212063.045455,99.294182,9.11,229779.545455,False,True,True,True,12.230514,0.474194,45.357789,444.558494,4.588502,6.875167,8.928228,12.9389,0.945251,9.264551,120
2016-06-08,437.965363,437.965363,433.919434,436.182434,419.801636,6067758,43.010362,7.488,52.509998,21297.880859,27020.660156,2119.120117,66.763,112.125,72.65,211868.454545,99.286118,9.14,229407.454545,False,False,True,True,12.234049,0.474381,45.400421,444.629551,4.58915,7.012553,8.915999,12.957595,0.94416,9.246646,119
2016-06-09,438.8797,446.400085,437.142456,443.977112,427.303528,7821747,51.588004,7.486,51.950001,21297.880859,26763.460938,2115.47998,66.510002,112.092188,72.590625,211673.863636,99.278055,9.17,229035.363636,False,True,True,True,12.237583,0.474567,45.443053,444.700607,4.589798,6.939621,8.884585,12.735819,0.960879,9.403055,118
2016-06-10,445.280029,450.034576,442.674194,446.514374,429.745575,8158380,54.014315,7.491,50.540001,21042.640625,26635.75,2096.070068,66.740997,112.059375,72.53125,211479.272727,99.269991,9.2,228663.272727,False,True,True,True,12.241117,0.474753,45.485684,444.771664,4.590445,6.746763,8.909491,12.669129,0.966216,9.44793,117
2016-06-13,443.40564,449.60025,440.274048,448.525909,431.681519,5107234,55.901291,7.525,50.349998,20512.990234,26396.769531,2079.060059,66.945,112.026562,72.471875,211284.681818,99.261927,9.19,228291.181818,False,True,True,True,12.244652,0.474939,45.528316,444.842721,4.591093,6.69103,8.896345,12.617969,0.970414,9.481605,116
2016-06-14,448.457336,450.49173,443.131348,446.308655,429.547577,5461924,53.304824,7.517,49.830002,20387.529297,26395.710938,2075.320068,67.153999,111.99375,72.4125,211090.090909,99.253864,9.18,227919.090909,False,True,True,True,12.248186,0.475126,45.570947,444.913777,4.591741,6.628975,8.933617,12.68634,0.965463,9.425908,115
2016-06-15,448.023041,450.994598,445.165741,450.126007,433.221588,5564541,57.007259,7.517,48.970001,20467.519531,26726.339844,2071.5,67.297997,111.960938,72.353125,210895.5,99.2458,9.17,227547.0,True,True,True,True,12.251721,0.475312,45.613579,444.984834,4.592389,6.514567,8.952773,12.584391,0.973565,9.497645,114
2016-06-16,448.480194,449.691681,442.102722,446.331512,429.569519,4686103,52.547193,7.504,47.189999,20038.419922,26525.460938,2077.98999,67.072998,111.928125,72.29375,210700.909091,99.237736,9.16,227174.909091,False,True,True,True,12.255255,0.475498,45.656211,445.055891,4.593036,6.288646,8.938299,12.697068,0.965204,9.408786,113
2016-06-17,446.65152,447.405853,443.49707,445.691467,428.953552,5267439,51.810861,7.501,49.169998,20169.980469,26625.910156,2071.219971,67.306999,111.895312,72.234375,210506.318182,99.229673,9.15,226802.818182,False,True,True,True,12.258789,0.475684,45.698842,445.126947,4.593684,6.555126,8.97307,12.720999,0.963666,9.38653,112
2016-06-20,444.434265,453.783325,442.537048,452.686127,435.685577,5379304,58.632973,7.494,50.650002,20510.199219,26866.919922,2083.25,67.066002,111.8625,72.175,210311.727273,99.221609,9.14,226430.727273,True,True,True,True,12.262324,0.47587,45.741474,445.198004,4.594332,6.758741,8.949293,12.53005,0.978633,9.524957,111
2016-06-21,454.469086,454.491943,447.885895,451.268921,434.321594,6966534,56.87606,7.498,50.619999,20668.439453,26812.779297,2088.899902,67.129997,111.829688,72.115625,210117.136364,99.213545,9.13,226058.636364,True,True,True,True,12.265858,0.476057,45.784105,445.269061,4.59498,6.751133,8.953054,12.57503,0.975414,9.486296,110
2016-06-22,450.308868,450.720306,446.697235,448.251617,431.417572,6394355,53.21968,7.476,49.880001,20795.119141,26765.650391,2085.449951,67.606003,111.796875,72.05625,209922.545455,99.205482,9.12,225686.545455,False,True,True,True,12.269393,0.476243,45.826737,445.340117,4.595628,6.672017,9.043072,12.665346,0.968737,9.414102,109
2016-06-23,448.000183,448.937378,443.451355,448.22876,431.395569,4918763,53.191783,7.479,50.91,20868.339844,27002.220703,2113.320068,67.421997,111.764062,71.996875,209727.954545,99.197418,9.11,225314.454545,False,True,True,False,12.272927,0.476429,45.869368,445.411174,4.596275,6.80706,9.014841,12.671662,0.968533,9.404873,108
2016-06-24,441.119812,441.119812,426.719086,434.970917,418.63562,12492548,40.071279,7.473,48.41,20259.130859,26397.710938,2037.410034,67.241997,111.73125,71.9375,209533.363636,99.189355,9.1,224942.363636,False,False,True,False,12.276462,0.476615,45.912,445.482231,4.596923,6.477987,8.997992,13.063737,0.939736,9.118218,107
2016-06-27,429.964966,438.148224,429.964966,436.891022,420.483582,4581699,42.291433,7.459,47.16,20227.300781,26402.960938,2000.540039,67.876999,111.698438,71.878125,209338.772727,99.181291,9.077778,224570.272727,False,False,True,False,12.279996,0.476802,45.954632,445.553287,4.597571,6.322563,9.100013,13.012143,0.943734,9.149972,106
2016-06-28,437.233917,439.588318,436.593872,437.873932,421.429626,3802488,43.446431,7.453,48.580002,20172.460938,26524.550781,2036.089966,67.920998,111.665625,71.81875,209144.181818,99.173227,9.055556,224198.181818,False,False,True,False,12.28353,0.476988,45.997263,445.624344,4.598219,6.518181,9.113243,12.988741,0.945706,9.162059,105
2016-06-29,439.794037,442.971344,438.8797,442.034149,425.433594,3761993,48.174379,7.444,50.610001,20436.119141,26740.390625,2070.77002,67.705002,111.632812,71.759375,208949.590909,99.165164,9.033333,223826.090909,False,True,True,False,12.287065,0.477174,46.039895,445.695401,4.598866,6.798764,9.095245,12.872252,0.954539,9.240542,104
2016-06-30,444.365692,446.880127,442.102722,443.062775,426.423584,6379141,49.302931,7.448,49.68,20794.369141,26999.720703,2098.860107,67.416,111.6,71.7,208755.0,99.1571,9.011111,223454.0,False,True,True,False,12.290599,0.47736,46.082526,445.766457,4.599514,6.670247,9.051558,12.848109,0.956608,9.253477,103
2016-07-01,444.708588,446.560089,443.451355,445.028595,428.315613,3305096,51.477587,7.419,49.84,20794.369141,27144.910156,2102.949951,67.500999,111.615873,71.704762,210392.714286,99.148438,8.988889,225179.285714,False,True,True,False,12.294134,0.477547,46.125158,445.837514,4.600162,6.717887,9.098396,12.797073,0.960699,9.285944,102
2016-07-04,445.96579,454.240479,445.96579,451.08606,434.145599,3901752,57.52382,7.425,49.84,21059.199219,27278.759766,2102.949951,67.181999,111.631746,71.709524,212030.428571,99.139776,8.966667,226904.571429,True,True,True,False,12.297668,0.477733,46.167789,445.908571,4.60081,6.717887,9.048081,12.630868,0.97362,9.403647,101
