,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2016-06-01,1285.599976,1322.5,1285.5,1316.775024,1108.132446,1911942,61.628211,7.486,49.709999,20760.980469,26713.929688,2099.330078,67.231003,112.289062,72.946875,212841.409091,99.326436,8.99,231267.909091,True,True,False,True,32.896502,1.218579,65.626879,219.349595,26.90002,6.640395,8.980898,6.511708,5.051901,16.885344,124
2016-06-02,1300.0,1327.150024,1300.0,1325.074951,1115.11731,1408756,63.038262,7.486,50.040001,20859.220703,26843.140625,2105.26001,67.426003,112.25625,72.8875,212646.818182,99.318373,9.02,230895.818182,True,True,False,True,32.883215,1.218368,65.625126,219.364085,26.889146,6.684478,9.006947,6.468733,5.083409,16.992231,123
2016-06-03,1325.699951,1329.0,1310.25,1314.775024,1106.449219,1554922,60.087388,7.488,49.639999,20947.240234,26843.029297,2099.129883,67.292,112.223438,72.828125,212452.227273,99.310309,9.05,230523.727273,True,True,False,True,32.869927,1.218158,65.623372,219.378575,26.878271,6.629273,8.986645,6.517206,5.043561,16.860597,122
2016-06-06,1310.25,1319.5,1301.599976,1306.25,1110.679199,1322026,57.680682,7.475,50.549999,21030.220703,26777.449219,2109.409912,66.991997,112.190625,72.76875,212257.636364,99.302245,9.08,230151.636364,True,True,False,True,32.85664,1.217947,65.621619,219.393065,26.867397,6.762542,8.96214,6.49019,5.062508,16.925507,121
2016-06-07,1307.0,1319.5,1306.5,1315.574951,1118.608154,1202194,59.587423,7.482,51.439999,21328.240234,27009.669922,2112.129883,66.801003,112.157812,72.709375,212063.045455,99.294182,9.11,229779.545455,True,True,False,True,32.843352,1.217737,65.619866,219.407555,26.856522,6.875167,8.928228,6.442005,5.098312,17.046791,120
2016-06-08,1308.625,1314.275024,1302.75,1306.550049,1110.934692,938266,56.914675,7.488,52.509998,21297.880859,27020.660156,2119.120117,66.763,112.125,72.65,211868.454545,99.286118,9.14,229407.454545,True,True,False,True,32.830065,1.217526,65.618113,219.422045,26.845648,7.012553,8.915999,6.484305,5.063004,16.930305,119
2016-06-09,1311.199951,1311.199951,1277.599976,1288.625,1095.693359,1562138,51.932225,7.486,51.950001,21297.880859,26763.460938,2115.47998,66.510002,112.092188,72.590625,211673.863636,99.278055,9.17,229035.363636,True,True,False,True,32.816777,1.217316,65.61636,219.436534,26.834773,6.939621,8.884585,6.572277,4.993213,16.698478,118
2016-06-10,1283.0,1301.625,1276.599976,1277.875,1086.552979,1396832,49.153134,7.491,50.540001,21042.640625,26635.75,2096.070068,66.740997,112.059375,72.53125,211479.272727,99.269991,9.2,228663.272727,True,True,False,True,32.80349,1.217105,65.614607,219.451024,26.823899,6.746763,8.909491,6.625318,4.951232,16.55962,117
2016-06-13,1270.0,1276.675049,1259.0,1273.5,1082.832764,1029978,48.026708,7.525,50.349998,20512.990234,26396.769531,2079.060059,66.945,112.026562,72.471875,211284.681818,99.261927,9.19,228291.181818,True,True,False,True,32.790202,1.216895,65.612854,219.465514,26.813024,6.69103,8.896345,6.645826,4.933954,16.503363,116
2016-06-14,1279.474976,1279.474976,1259.125,1267.425049,1077.667236,977570,46.435414,7.517,49.830002,20387.529297,26395.710938,2075.320068,67.153999,111.99375,72.4125,211090.090909,99.253864,9.18,227919.090909,True,True,False,True,32.776915,1.216684,65.611101,219.480004,26.80215,6.628975,8.933617,6.675416,4.910093,16.425075,115
2016-06-15,1265.0,1282.449951,1261.0,1278.425049,1087.02063,1270844,49.686206,7.517,48.970001,20467.519531,26726.339844,2071.5,67.297997,111.960938,72.353125,210895.5,99.2458,9.17,227547.0,True,True,False,True,32.763628,1.216474,65.609348,219.494494,26.791275,6.514567,8.952773,6.615731,4.952382,16.568075,114
