,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2020-02-03,364.0,370.0,355.5,367.350006,354.411102,2857926,38.872535,6.503,58.200001,26356.980469,39872.308594,3248.919922,71.496498,104.575,69.0875,207749.1,99.73225,9.83,262154.1,False,False,False,False,17.312551,0.181,23.572429,146.644286,7.106286,8.949716,10.994387,7.163395,2.416808,15.034985,124
2020-02-04,370.100006,376.0,366.350006,372.5,359.3797,3061868,44.210045,6.504,53.959999,26675.980469,40789.378906,3297.590088,71.314102,104.665625,69.107812,207535.2,99.7311,9.76,261594.2,False,False,False,False,17.323812,0.181,23.600343,146.744429,7.110029,8.296433,10.964653,7.07378,2.449018,15.227732,123
2020-02-05,372.0,372.5,361.100006,366.600006,353.687561,3441871,39.910531,6.505,55.279999,26786.740234,41142.660156,3334.689941,71.099998,104.75625,69.128125,207321.3,99.72995,9.69,261034.3,False,False,False,False,17.335073,0.181,23.628257,146.844571,7.113771,8.498078,10.930054,7.197204,2.408585,14.968838,122
2020-02-06,370.0,373.200012,367.649994,370.200012,357.160706,4172547,43.519891,6.446,54.93,27493.699219,41306.03125,3345.780029,71.18,104.846875,69.148438,207107.4,99.7288,9.62,260474.4,False,False,False,False,17.346335,0.181,23.656171,146.944714,7.117514,8.521564,11.042507,7.136709,2.430579,15.097993,121
2020-02-07,370.200012,373.700012,367.200012,369.549988,356.53363,2197903,43.017447,6.439,54.470001,27404.269531,41141.851562,3327.709961,71.470001,104.9375,69.16875,206893.5,99.72765,9.55,259914.5,False,False,False,False,17.357596,0.181,23.684086,147.044857,7.121257,8.459388,11.09955,7.158778,2.424659,15.053722,120
2020-02-10,370.049988,373.450012,366.149994,368.25,355.279419,1537598,41.973756,6.44,53.27,27241.339844,40979.621094,3352.090088,71.515503,105.028125,69.189062,206679.6,99.7265,9.48,259354.6,False,False,False,False,17.368857,0.181,23.712,147.145,7.125,8.271739,11.104892,7.193607,2.414485,14.983106,119
2020-02-11,370.5,378.399994,369.049988,374.200012,361.019806,2836917,48.171827,6.464,54.009998,27583.880859,41216.140625,3357.75,71.279999,105.11875,69.209375,206465.7,99.72535,9.41,258794.7,False,False,False,False,17.380118,0.181,23.739914,147.245143,7.128743,8.355507,11.027228,7.088636,2.451828,15.207292,118
2020-02-12,376.950012,378.899994,371.600006,374.100006,360.92334,1873710,48.07887,6.473,55.790001,27823.660156,41565.898438,3379.449951,71.275299,105.209375,69.229688,206251.8,99.7242,9.34,258234.8,False,False,False,False,17.39138,0.181,23.767829,147.345286,7.132486,8.618879,11.011169,7.09995,2.449507,15.185373,117
2020-02-13,374.0,374.700012,367.0,369.100006,356.099487,1602247,43.553654,6.423,56.34,27730.0,41459.789062,3373.939941,71.296204,105.3,69.25,206037.9,99.72305,9.27,257674.9,False,False,False,False,17.402641,0.181,23.795743,147.445429,7.136229,8.771602,11.100141,7.205682,2.415127,14.96484,116
2020-02-14,370.299988,372.0,366.0,366.850006,353.928711,1012713,41.653731,6.369,57.32,27815.599609,41257.738281,3380.159912,71.268501,105.390625,69.270312,205824.0,99.7219,9.2,257115.0,False,False,False,False,17.413902,0.181,23.823657,147.545571,7.139971,8.999843,11.189904,7.259496,2.398776,14.856187,115
