,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2020-02-03,3143.0,3315.149902,3115.100098,3284.5,2818.45874,921166,71.425571,6.503,58.200001,26356.980469,39872.308594,3248.919922,71.496498,104.575,69.0875,207749.1,99.73225,9.83,262154.1,True,True,True,True,20.400714,0.930163,162.005592,910.859918,16.596735,8.949716,10.994387,6.593034,3.094283,17.397293,124
2020-02-04,3270.0,3313.0,3151.0,3162.800049,2714.0271,1546450,53.225518,6.504,53.959999,26675.980469,40789.378906,3297.590088,71.314102,104.665625,69.107812,207535.2,99.7311,9.76,261594.2,True,True,True,True,20.386971,0.929559,161.979102,911.65142,16.585816,8.296433,10.964653,6.848057,2.977045,16.755415,123
2020-02-05,3185.0,3220.899902,3150.0,3161.5,2712.911133,646723,53.06995,6.505,55.279999,26786.740234,41142.660156,3334.689941,71.099998,104.75625,69.128125,207321.3,99.72995,9.69,261034.3,True,True,True,True,20.373229,0.928955,161.952612,912.442922,16.574898,8.498078,10.930054,6.852199,2.973239,16.751265,122
2020-02-06,3170.0,3211.0,3141.399902,3149.800049,2702.871582,514236,51.608015,6.446,54.93,27493.699219,41306.03125,3345.780029,71.18,104.846875,69.148438,207107.4,99.7288,9.62,260474.4,True,True,True,True,20.359486,0.928351,161.926122,913.234424,16.56398,8.521564,11.042507,6.878974,2.959669,16.692005,121
2020-02-07,3164.800049,3189.0,3106.600098,3134.850098,2690.042725,454698,49.723159,6.439,54.470001,27404.269531,41141.851562,3327.709961,71.470001,104.9375,69.16875,206893.5,99.72765,9.55,259914.5,True,True,True,True,20.345743,0.927747,161.899633,914.025927,16.553061,8.459388,11.09955,6.913101,2.94307,16.615496,120
2020-02-10,3138.0,3150.850098,3091.699951,3103.300049,2662.969238,386072,45.9122,6.44,53.27,27241.339844,40979.621094,3352.090088,71.515503,105.028125,69.189062,206679.6,99.7265,9.48,259354.6,True,True,True,True,20.332,0.927143,161.873143,914.817429,16.542143,8.271739,11.104892,6.98471,2.91093,16.450964,119
2020-02-11,3125.0,3150.0,3100.0,3145.449951,2699.138428,274244,51.284095,6.464,54.009998,27583.880859,41216.140625,3357.75,71.279999,105.11875,69.209375,206465.7,99.72535,9.41,258794.7,True,True,True,True,20.318257,0.926539,161.846653,915.608931,16.531224,8.355507,11.027228,6.892413,2.947916,16.677135,118
2020-02-12,3164.699951,3184.649902,3136.850098,3146.300049,2699.868408,345354,51.388957,6.473,55.790001,27823.660156,41565.898438,3379.449951,71.275299,105.209375,69.229688,206251.8,99.7242,9.34,258234.8,True,True,True,True,20.304514,0.925935,161.820163,916.400433,16.520306,8.618879,11.011169,6.891842,2.946167,16.684376,117
2020-02-13,3149.0,3172.199951,3120.399902,3136.399902,2691.372559,268031,50.038106,6.423,56.34,27730.0,41459.789062,3373.939941,71.296204,105.3,69.25,206037.9,99.72305,9.27,257674.9,True,True,True,True,20.290771,0.925331,161.793673,917.191935,16.509388,8.771602,11.100141,6.914885,2.934361,16.634597,116
2020-02-14,3145.0,3205.0,3136.800049,3146.399902,2699.953857,381580,51.427021,6.369,57.32,27815.599609,41257.738281,3380.159912,71.268501,105.390625,69.270312,205824.0,99.7219,9.2,257115.0,True,True,True,True,20.277029,0.924727,161.767184,917.983437,16.498469,8.999843,11.189904,6.894183,2.941179,16.690368,115
2020-02-17,3152.550049,3159.449951,3070.0,3075.600098,2639.199951,269986,42.432943,6.387,57.32,27959.599609,41055.691406,3380.159912,71.514801,105.48125,69.290625,205610.1,99.72075,9.177778,256555.1,True,True,True,True,20.263286,0.924122,161.740694,918.774939,16.487551,8.999843,11.196931,7.054183,2.872521,16.317476,114
2020-02-18,3064.699951,3090.550049,3033.5,3082.5,2645.12085,337054,43.470557,6.384,57.75,27530.199219,40894.378906,3370.290039,71.349197,105.571875,69.310938,205396.2,99.7196,9.155556,255995.2,True,True,True,True,20.249543,0.923518,161.714204,919.566441,16.476633,9.046053,11.176253,7.039678,2.876487,16.356763,113
