,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2020-02-03,444.0,450.649994,439.399994,444.549988,428.101105,1690394,30.123647,6.503,58.200001,26356.980469,39872.308594,3248.919922,71.496498,104.575,69.0875,207749.1,99.73225,9.83,262154.1,False,False,False,False,13.446306,0.765429,28.163061,222.065265,9.304755,8.949716,10.994387,6.974889,1.927817,15.200802,124
2020-02-04,446.700012,452.450012,444.200012,448.450012,431.856812,2030860,34.938449,6.504,53.959999,26675.980469,40789.378906,3297.590088,71.314102,104.665625,69.107812,207535.2,99.7311,9.76,261594.2,False,False,False,False,13.462873,0.765743,28.209735,222.194784,9.318461,8.296433,10.964653,6.926787,1.943596,15.308787,123
2020-02-05,449.549988,459.149994,437.5,447.549988,430.990112,3637403,34.350216,6.505,55.279999,26786.740234,41142.660156,3334.689941,71.099998,104.75625,69.128125,207321.3,99.72995,9.69,261034.3,False,False,False,False,13.479441,0.766057,28.256408,222.324302,9.332167,8.498078,10.930054,6.953309,1.938565,15.252827,122
2020-02-06,462.5,464.350006,435.350006,439.649994,423.382446,7118843,29.634005,6.446,54.93,27493.699219,41306.03125,3345.780029,71.18,104.846875,69.148438,207107.4,99.7288,9.62,260474.4,False,False,False,False,13.496008,0.766371,28.303082,222.45382,9.345873,8.521564,11.042507,7.091079,1.903237,14.958882,121
2020-02-07,440.0,445.899994,437.299988,443.200012,426.801086,6386193,34.018073,6.439,54.470001,27404.269531,41141.851562,3327.709961,71.470001,104.9375,69.16875,206893.5,99.72765,9.55,259914.5,False,False,False,False,13.512576,0.766686,28.349755,222.583339,9.35958,8.459388,11.09955,7.047016,1.917489,15.054842,120
2020-02-10,444.200012,451.0,442.100006,444.75,428.293701,3557480,35.896013,6.44,53.27,27241.339844,40979.621094,3352.090088,71.515503,105.028125,69.189062,206679.6,99.7265,9.48,259354.6,False,False,False,False,13.529143,0.767,28.396429,222.712857,9.373286,8.271739,11.104892,7.035158,1.923076,15.082661,119
2020-02-11,447.100006,452.0,443.350006,450.600006,433.927277,1889638,42.542831,6.464,54.009998,27583.880859,41216.140625,3357.75,71.279999,105.11875,69.209375,206465.7,99.72535,9.41,258794.7,False,False,False,False,13.54571,0.767314,28.443102,222.842376,9.386992,8.355507,11.027228,6.956369,1.947239,15.255976,118
2020-02-12,454.950012,454.950012,445.0,446.799988,430.267853,1683136,39.665711,6.473,55.790001,27823.660156,41565.898438,3379.449951,71.275299,105.209375,69.229688,206251.8,99.7242,9.34,258234.8,False,False,False,False,13.562278,0.767629,28.489776,222.971894,9.400698,8.618879,11.011169,7.028196,1.929695,15.102536,117
2020-02-13,446.799988,448.899994,440.5,443.399994,426.993652,2041017,37.239059,6.423,56.34,27730.0,41459.789062,3373.939941,71.296204,105.3,69.25,206037.9,99.72305,9.27,257674.9,False,False,False,False,13.578845,0.767943,28.536449,223.101412,9.414404,8.771602,11.100141,7.094858,1.913899,14.963097,116
2020-02-14,444.0,448.899994,441.5,447.100006,430.556793,1814780,41.437802,6.369,57.32,27815.599609,41257.738281,3380.159912,71.268501,105.390625,69.270312,205824.0,99.7219,9.2,257115.0,False,False,False,False,13.595412,0.768257,28.583122,223.230931,9.42811,8.999843,11.189904,7.048818,1.928751,15.063323,115
2020-02-17,444.5,445.75,430.100006,431.899994,415.919159,4581786,31.974225,6.387,57.32,27959.599609,41055.691406,3380.159912,71.514801,105.48125,69.290625,205610.1,99.72075,9.177778,256555.1,False,False,False,False,13.61198,0.768571,28.629796,223.360449,9.441816,8.999843,11.196931,7.310021,1.862099,14.527493,114
2020-02-18,433.0,437.649994,428.100006,436.0,419.867493,2453801,36.206376,6.384,57.75,27530.199219,40894.378906,3370.290039,71.349197,105.571875,69.310938,205396.2,99.7196,9.155556,255995.2,False,False,False,False,13.628547,0.768886,28.676469,223.489967,9.455522,9.046053,11.176253,7.254297,1.878686,14.641534,113
2020-02-19,437.799988,449.200012,437.399994,447.5,430.942017,2359566,46.298295,6.384,59.119999,27655.810547,41323.0,3386.149902,71.574997,105.6625,69.33125,205182.3,99.71845,9.133333,255435.3,False,False,False,False,13.645114,0.7692,28.723143,223.619486,9.469229,9.046053,11.176253,7.080566,1.927122,15.003303,112
2020-02-20,448.0,448.799988,434.5,435.75,419.62677,3048500,39.434052,6.422,59.310001,27609.160156,41170.121094,3373.22998,71.827499,105.753125,69.351562,204968.4,99.7173,9.111111,254875.4,False,False,False,False,13.661682,0.769514,28.769816,223.749004,9.482935,9.235441,11.1846,7.284539,1.875435,14.58566,111
2020-02-24,436.0,436.700012,426.549988,430.149994,414.233887,2569563,36.645472,6.367,56.299999,26820.880859,40363.230469,3225.889893,71.886803,105.84375,69.371875,204754.5,99.71615,9.088889,254315.5,False,False,False,False,13.678249,0.769829,28.81649,223.878522,9.496641,8.842469,11.29053,7.392602,1.850262,14.374891,110
2020-02-25,430.200012,431.200012,420.0,425.799988,410.044861,2438218,34.598752,6.367,54.950001,26893.230469,40281.199219,3128.209961,72.0467,105.934375,69.392188,204540.6,99.715,9.066667,253755.6,False,False,False,False,13.694816,0.770143,28.863163,224.008041,9.510347,8.630438,11.315643,7.481496,1.830492,14.206511,109
2020-02-26,406.0,425.0,405.799988,422.200012,406.578094,8068909,32.958179,6.346,53.43,26696.490234,39888.960938,3116.389893,71.870003,106.025,69.4125,204326.7,99.71385,9.044444,253195.7,False,False,False,False,13.711384,0.770457,28.909837,224.137559,9.524053,8.419477,11.325245,7.558784,1.813967,14.063659,108
2020-02-27,411.100006,424.0,409.0,421.200012,405.615143,5109022,32.497216,6.378,52.18,26778.619141,39745.660156,2978.76001,71.663399,106.115625,69.432812,204112.8,99.7127,9.022222,252635.8,False,False,False,False,13.727951,0.770771,28.95651,224.267078,9.537759,8.181248,11.23603,7.590268,1.808625,14.007736,107
2020-02-28,413.0,416.450012,398.049988,402.100006,387.221832,4200936,25.236875,6.371,50.52,26129.929688,38297.289062,2954.219971,71.93,106.20625,69.453125,203898.9,99.71155,9.0,252075.9,False,False,False,False,13.744518,0.771086,29.003184,224.396596,9.551465,7.929681,11.290221,7.965003,1.725614,13.351011,106
2020-03-02,407.0,411.25,394.649994,401.950012,387.077393,3460583,25.189281,6.346,50.48,26291.679688,38144.019531,3090.22998,72.150002,106.3875,69.49375,199243.333333,99.187062,9.02,246249.047619,False,False,False,False,13.761086,0.7714,29.049857,224.526114,9.565171,7.954617,11.369367,7.982184,1.723975,13.324589,105
2020-03-03,402.0,429.200012,402.0,425.299988,409.563416,5476676,43.160061,6.342,51.860001,26284.820312,38623.699219,3003.370117,72.824997,106.478125,69.514062,194801.666667,98.663724,9.03,240982.095238,False,False,False,False,13.777653,0.771714,29.096531,224.655633,9.578878,8.177231,11.48297,7.557382,1.823072,14.076022,104
2020-03-04,425.600006,449.799988,420.0,447.649994,431.086426,9297945,54.441165,6.226,51.130001,26222.070312,38409.480469,3130.120117,73.342003,106.56875,69.534375,190360.0,98.140386,9.04,235715.142857,False,False,False,False,13.79422,0.772029,29.143204,224.785151,9.592584,8.212336,11.779955,7.192841,1.917771,14.792005,103
2020-03-05,447.850006,472.0,437.450012,440.600006,424.297302,9637431,51.002537,6.239,49.990002,26767.869141,38470.609375,3023.939941,74.042503,106.659375,69.554688,185918.333333,97.617048,9.05,230448.190476,False,False,False,False,13.810788,0.772343,29.189878,224.914669,9.60629,8.012502,11.867688,7.320925,1.886481,14.535768,102
2020-03-06,425.0,438.149994,423.049988,434.399994,418.326691,2916146,48.123772,6.185,45.27,26146.669922,37576.621094,2972.370117,73.855103,106.75,69.575,181476.666667,97.09371,9.06,225181.238095,False,False,False,False,13.827355,0.772657,29.236551,225.044188,9.619996,7.319321,11.941003,7.438602,1.858865,14.308346,101
2020-03-09,425.0,432.649994,423.5,426.149994,410.381989,2986596,44.522621,6.066,34.360001,25040.460938,35634.949219,2746.560059,73.9953,106.840625,69.595312,177035.0,96.570371,9.07,219914.285714,False,False,False,False,13.843922,0.772971,29.283224,225.173706,9.633702,5.664359,12.198368,7.596063,1.822513,14.014235,100
2020-03-11,425.0,426.149994,410.200012,417.100006,401.666809,5314547,40.906425,6.125,35.790001,25231.609375,35697.398438,2741.379883,74.205002,106.93125,69.615625,172593.333333,96.047033,9.08,214647.333333,False,False,False,False,13.86049,0.773286,29.329898,225.303224,9.647408,5.843265,12.115102,7.774636,1.782783,13.694791,99
2020-03-12,412.5,412.5,390.75,394.75,380.143799,5636464,33.639715,6.236,33.220001,24309.070312,32778.140625,2480.639893,74.760002,107.021875,69.635938,168151.666667,95.523695,9.09,209380.380952,False,False,False,False,13.877057,0.7736,29.376571,225.432743,9.661114,5.327133,11.988454,8.229368,1.686285,12.940373,98
2020-03-13,388.0,434.950012,355.299988,425.549988,409.804138,6096891,47.484631,6.322,33.849998,24032.910156,34103.480469,2711.02002,75.300003,107.1125,69.65625,163710.0,95.000357,9.1,204113.428571,False,False,False,False,13.893624,0.773914,29.423245,225.562261,9.67482,5.354318,11.910788,7.647256,1.816812,13.927904,97
2020-03-16,416.0,423.899994,392.75,396.399994,381.732697,5394603,39.157907,6.208,30.049999,23063.570312,31390.070312,2386.129883,73.903999,107.203125,69.676562,159268.333333,94.477019,8.98,198846.47619,False,False,False,False,13.910192,0.774229,29.469918,225.69178,9.688527,4.840528,11.904639,8.224121,1.691389,12.9533,96
2020-03-17,397.0,422.0,390.75,401.75,386.884766,2989674,41.19602,6.265,28.73,23263.730469,30579.089844,2529.189941,75.154999,107.29375,69.696875,154826.666667,93.953681,8.86,193579.52381,False,False,False,False,13.926759,0.774543,29.516592,225.821298,9.702233,4.585794,11.996009,8.128929,1.713234,13.107366,95
2020-03-18,411.799988,411.799988,381.700012,386.0,371.71756,4200456,37.240936,6.296,24.879999,22291.820312,28869.509766,2398.100098,74.012398,107.384375,69.717188,150385.0,93.430343,8.74,188312.571429,False,False,False,False,13.943327,0.774857,29.563265,225.950816,9.715939,3.951715,11.755463,8.475537,1.645126,12.57363,94
2020-03-19,374.799988,390.75,362.899994,374.700012,361.772888,2926091,34.6692,6.41,28.469999,21709.130859,28288.230469,2409.389893,74.982002,107.475,69.7375,145943.333333,92.907005,8.62,183045.619048,False,False,False,False,13.959894,0.775171,29.609939,226.080335,9.729645,4.441498,11.69766,8.723864,1.600196,12.217955,93
2020-03-20,379.799988,399.799988,372.450012,392.799988,379.248474,4718358,41.623144,6.259,26.98,22805.070312,29915.960938,2304.919922,75.159698,107.565625,69.757812,141501.666667,92.383667,8.5,177778.666667,False,False,False,False,13.976461,0.775486,29.656612,226.209853,9.743351,4.310593,12.00826,8.336522,1.676534,12.78799,92
2020-03-23,370.0,406.899994,370.0,375.25,362.303894,5507004,37.459629,6.379,27.030001,21696.130859,25981.240234,2237.399902,75.622101,107.65625,69.778125,137060.0,91.860329,8.38,172511.714286,False,False,False,False,13.993029,0.7758,29.703286,226.339371,9.757057,4.237341,11.854852,8.741759,1.600711,12.197435,91
2020-03-24,380.0,409.75,372.549988,377.450012,364.42804,6649616,38.292913,6.304,27.15,22663.490234,26674.029297,2447.330078,76.505997,107.746875,69.798438,132618.333333,91.33699,8.26,167244.761905,False,False,False,False,14.009596,0.776114,29.749959,226.46889,9.770763,4.306789,12.136104,8.706074,1.609175,12.249699,90
2020-03-25,378.0,394.899994,374.0,376.450012,363.462524,6418955,38.044778,6.304,27.389999,23527.189453,28535.779297,2475.560059,77.260002,107.8375,69.81875,128176.666667,90.813652,8.14,161977.809524,False,False,False,False,14.026163,0.776429,29.796633,226.598408,9.784469,4.306789,12.136104,8.744523,1.603994,12.198107,89
2020-03-26,383.0,394.700012,380.5,386.149994,372.82785,4291225,41.972651,6.225,26.34,23352.339844,29946.769531,2630.070068,75.845497,107.928125,69.839062,123735.0,90.290314,8.02,156710.857143,False,False,False,False,14.042731,0.776743,29.843306,226.727927,9.798176,4.231325,12.184016,8.539811,1.644384,12.492847,88
2020-03-27,393.0,411.0,391.950012,407.649994,393.58609,6471291,49.599827,6.144,24.93,23484.279297,29815.589844,2541.469971,74.725601,108.01875,69.859375,119293.333333,89.766976,7.9,151443.904762,False,False,False,False,14.059298,0.777057,29.88998,226.857445,9.811882,4.057617,12.16237,8.10358,1.734949,13.167827,87
2020-03-30,413.799988,438.700012,407.649994,431.75,416.854675,9020926,56.501696,6.209,22.76,23175.109375,28440.320312,2626.649902,75.464996,108.109375,69.879688,114851.666667,89.243638,8.1,146176.952381,False,False,False,False,14.075865,0.777371,29.936653,226.986963,9.825588,3.665647,12.154131,7.664633,1.83647,13.924558,86
2020-03-31,446.0,446.600006,420.0,422.850006,408.261719,9434602,53.583446,6.138,22.74,23603.480469,29468.490234,2584.590088,75.400002,108.2,69.9,110410.0,88.7203,8.3,140910.0,False,False,False,False,14.092433,0.777686,29.983327,227.116482,9.839294,3.70479,12.284132,7.839637,1.797587,13.616292,85
2020-04-01,424.899994,430.899994,410.399994,413.75,399.475647,6329668,50.700038,6.138,22.76,23085.789062,28265.310547,2470.5,75.324997,108.237705,69.529508,104743.842105,87.700363,8.5,143116.794872,False,False,False,False,14.109,0.778,30.03,227.246,9.853,3.70479,12.284132,8.026056,1.7579,13.302552,84
2020-04-03,425.0,454.700012,416.25,449.200012,433.702637,17906762,59.779878,6.306,34.110001,23236.109375,27590.949219,2488.649902,77.139999,108.27541,69.159016,99077.684211,86.680426,8.7,145323.589744,False,False,False,False,14.103927,0.778202,30.035806,227.371302,9.852113,5.409134,12.232794,7.394072,1.907464,14.43952,83
2020-04-07,479.0,513.400024,452.0,492.25,475.267426,20843608,67.587017,6.418,31.870001,24253.289062,30067.210938,2659.409912,75.964897,108.313115,68.788525,93411.526316,85.660489,8.9,147530.384615,True,True,False,False,14.098855,0.778403,30.041613,227.496605,9.851226,4.965722,11.836226,6.748709,2.089119,15.820303,82
2020-04-08,496.950012,530.0,490.0,512.75,495.060181,19456188,70.521425,6.441,32.84,23970.369141,29893.960938,2749.97998,76.660004,108.35082,68.418033,87745.368421,84.640553,9.1,149737.179487,True,True,False,False,14.093782,0.778605,30.047419,227.621907,9.850339,5.098587,11.901879,6.480129,2.174923,16.475963,81
2020-04-09,564.0,610.0,564.0,579.599976,559.603882,27207708,77.632696,6.49,31.48,24300.330078,31159.619141,2789.820068,75.959,108.388525,68.047541,82079.210526,83.620616,9.3,151943.974359,True,True,False,False,14.08871,0.778806,30.053226,227.74721,9.849452,4.850539,11.704006,5.733814,2.457127,18.620426,80
2020-04-13,605.0,605.0,583.0,592.849976,572.396729,15483858,78.728033,6.495,31.74,24300.330078,30690.019531,2761.629883,76.166496,108.463934,67.306557,70746.894737,81.580742,9.533333,156357.564103,True,True,False,False,14.083637,0.779008,30.059032,227.872512,9.848565,4.886836,11.726943,5.60673,2.511917,19.04242,79
2020-04-15,604.450012,614.0,578.599976,592.349976,571.91394,16213806,78.571668,6.425,27.690001,24145.339844,30379.810547,2783.360107,75.931,108.501639,66.936066,65080.736842,80.560805,9.566667,158564.358974,True,True,False,False,14.078565,0.77921,30.064839,227.997815,9.847677,4.309728,11.818054,5.612526,2.508419,19.022684,78
