,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2020-02-03,1994.900024,2022.0,1962.400024,1972.75,1892.802612,910769,71.886763,6.503,58.200001,26356.980469,39872.308594,3248.919922,71.496498,104.575,69.0875,207749.1,99.73225,9.83,262154.1,True,True,True,True,23.149327,0.698245,70.830429,337.914122,19.908571,8.949716,10.994387,4.132752,5.601431,26.723015,124
2020-02-04,1979.0,1996.949951,1954.199951,1961.300049,1881.816528,565885,67.749597,6.504,53.959999,26675.980469,40789.378906,3297.590088,71.314102,104.665625,69.107812,207535.2,99.7311,9.76,261594.2,True,True,True,True,23.168118,0.698539,70.930743,338.219269,19.924657,8.296433,10.964653,4.164011,5.563895,26.530337,123
2020-02-05,1962.050049,1990.0,1946.199951,1962.650024,1883.111816,519051,67.983553,6.505,55.279999,26786.740234,41142.660156,3334.689941,71.099998,104.75625,69.128125,207321.3,99.72995,9.69,261034.3,True,True,True,True,23.18691,0.698833,71.031057,338.524416,19.940743,8.498078,10.930054,4.168279,5.562706,26.511105,122
2020-02-06,1950.0,2079.399902,1930.0,2023.0,1941.016113,1730330,76.270909,6.446,54.93,27493.699219,41306.03125,3345.780029,71.18,104.846875,69.148438,207107.4,99.7288,9.62,260474.4,True,True,True,True,23.205702,0.699127,71.131371,338.829563,19.956829,8.521564,11.042507,4.050857,5.728591,27.287765,121
2020-02-07,2023.0,2095.0,2011.0,2085.949951,2001.414917,890175,81.616293,6.439,54.470001,27404.269531,41141.851562,3327.709961,71.470001,104.9375,69.16875,206893.5,99.72765,9.55,259914.5,True,True,True,True,23.224494,0.69942,71.231686,339.13471,19.972914,8.459388,11.09955,3.935332,5.901534,28.097256,120
2020-02-10,2085.0,2112.449951,2076.149902,2088.949951,2004.293335,628865,81.826404,6.44,53.27,27241.339844,40979.621094,3352.090088,71.515503,105.028125,69.189062,206679.6,99.7265,9.48,259354.6,True,True,True,True,23.243286,0.699714,71.332,339.439857,19.989,8.271739,11.104892,3.936399,5.904708,28.098095,119
2020-02-11,2085.0,2160.0,2085.0,2146.899902,2059.89502,1068378,85.317311,6.464,54.009998,27583.880859,41216.140625,3357.75,71.279999,105.11875,69.209375,206465.7,99.72535,9.41,258794.7,True,True,True,True,23.262078,0.700008,71.432314,339.745004,20.005086,8.355507,11.027228,3.836688,6.063062,28.837019,118
2020-02-12,2159.0,2179.949951,2112.0,2121.800049,2035.812012,984894,78.301613,6.473,55.790001,27823.660156,41565.898438,3379.449951,71.275299,105.209375,69.229688,206251.8,99.7242,9.34,258234.8,True,True,True,True,23.280869,0.700302,71.532629,340.050151,20.021171,8.618879,11.011169,3.8887,5.986799,28.459908,117
2020-02-13,2135.050049,2173.800049,2121.800049,2155.800049,2068.434326,591980,80.625699,6.423,56.34,27730.0,41459.789062,3373.939941,71.296204,105.3,69.25,206037.9,99.72305,9.27,257674.9,True,True,True,True,23.299661,0.700596,71.632943,340.355298,20.037257,8.771602,11.100141,3.833897,6.07728,28.875462,116
2020-02-14,2169.25,2190.0,2135.699951,2146.449951,2059.463135,660382,78.146805,6.369,57.32,27815.599609,41257.738281,3380.159912,71.268501,105.390625,69.270312,205824.0,99.7219,9.2,257115.0,True,True,True,True,23.318453,0.70089,71.733257,340.660445,20.053343,8.999843,11.189904,3.857158,6.045501,28.710018,115
2020-02-17,2158.0,2170.0,2133.600098,2154.850098,2067.522705,243414,78.778089,6.387,57.32,27959.599609,41055.691406,3380.159912,71.514801,105.48125,69.290625,205610.1,99.72075,9.177778,256555.1,True,True,True,True,23.337245,0.701184,71.833571,340.965592,20.069429,8.999843,11.196931,3.848663,6.063728,28.782123,114
2020-02-18,2154.850098,2180.199951,2142.5,2175.25,2087.096191,532206,80.268784,6.384,57.75,27530.199219,40894.378906,3370.290039,71.349197,105.571875,69.310938,205396.2,99.7196,9.155556,255995.2,True,True,True,True,23.356037,0.701478,71.933886,341.270739,20.085514,9.046053,11.176253,3.819053,6.115661,29.014089,113
2020-02-19,2170.0,2195.0,2155.75,2185.850098,2097.266602,365113,81.015029,6.384,59.119999,27655.810547,41323.0,3386.149902,71.574997,105.6625,69.33125,205182.3,99.71845,9.133333,255435.3,True,True,True,True,23.374829,0.701771,72.0342,341.575886,20.1016,9.046053,11.176253,3.806992,6.139973,29.114873,112
