,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2020-02-03,3124.0,3173.0,3117.149902,3144.149902,3046.556885,515242,66.435521,6.503,58.200001,26356.980469,39872.308594,3248.919922,71.496498,104.575,69.0875,207749.1,99.73225,9.83,262154.1,True,True,True,True,10.950143,0.762163,138.705694,1026.414245,7.187245,8.949716,10.994387,3.689208,2.968155,21.96418,124
2020-02-04,3154.0,3277.600098,3152.050049,3241.850098,3141.224854,1029957,73.469299,6.504,53.959999,26675.980469,40789.378906,3297.590088,71.314102,104.665625,69.107812,207535.2,99.7311,9.76,261594.2,True,True,True,True,10.939114,0.762159,138.496927,1026.860539,7.180739,8.296433,10.964653,3.575976,3.059057,22.680827,123
2020-02-05,3235.0,3250.0,3121.699951,3133.350098,3036.092773,956229,58.745976,6.505,55.279999,26786.740234,41142.660156,3334.689941,71.099998,104.75625,69.128125,207321.3,99.72995,9.69,261034.3,True,True,True,True,10.928086,0.762155,138.288159,1027.306833,7.174233,8.498078,10.930054,3.697679,2.95539,21.954828,122
2020-02-06,3167.600098,3176.800049,3136.600098,3158.949951,3060.897705,492532,60.744866,6.446,54.93,27493.699219,41306.03125,3345.780029,71.18,104.846875,69.148438,207107.4,99.7288,9.62,260474.4,True,True,True,True,10.917057,0.762151,138.079392,1027.753127,7.167727,8.521564,11.042507,3.665604,2.978242,22.167665,121
2020-02-07,3159.850098,3185.0,3137.0,3166.699951,3068.407227,535233,61.355331,6.439,54.470001,27404.269531,41141.851562,3327.709961,71.470001,104.9375,69.16875,206893.5,99.72765,9.55,259914.5,True,True,True,True,10.906029,0.762147,137.870624,1028.19942,7.16122,8.459388,11.09955,3.654525,2.984253,22.2557,120
2020-02-10,3166.449951,3173.25,3113.0,3149.100098,3051.353516,295595,59.107323,6.44,53.27,27241.339844,40979.621094,3352.090088,71.515503,105.028125,69.189062,206679.6,99.7265,9.48,259354.6,True,True,True,True,10.895,0.762143,137.661857,1028.645714,7.154714,8.271739,11.104892,3.672827,2.966379,22.16557,119
2020-02-11,3159.899902,3205.949951,3135.0,3191.199951,3092.146729,612104,62.634094,6.464,54.009998,27583.880859,41216.140625,3357.75,71.279999,105.11875,69.209375,206465.7,99.72535,9.41,258794.7,True,True,True,True,10.883971,0.762139,137.45309,1029.092008,7.148208,8.355507,11.027228,3.622276,3.004733,22.496015,118
2020-02-12,3172.149902,3213.600098,3164.050049,3195.699951,3096.506836,568633,63.001405,6.473,55.790001,27823.660156,41565.898438,3379.449951,71.275299,105.209375,69.229688,206251.8,99.7242,9.34,258234.8,True,True,True,True,10.872943,0.762135,137.244322,1029.538302,7.141702,8.618879,11.011169,3.615077,3.007666,22.562003,117
2020-02-13,3222.75,3336.899902,3197.100098,3324.600098,3221.406494,1716864,71.610255,6.423,56.34,27730.0,41459.789062,3373.939941,71.296204,105.3,69.25,206037.9,99.72305,9.27,257674.9,True,True,True,True,10.861914,0.762131,137.035555,1029.984596,7.135196,8.771602,11.100141,3.472894,3.127626,23.507815,116
2020-02-14,3305.199951,3333.0,3277.0,3304.300049,3201.736328,706686,68.891597,6.369,57.32,27815.599609,41257.738281,3380.159912,71.268501,105.390625,69.270312,205824.0,99.7219,9.2,257115.0,True,True,True,True,10.850886,0.762127,136.826788,1030.43089,7.12869,8.999843,11.189904,3.492195,3.107182,23.399923,115
