,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2020-02-03,755.994019,779.898987,747.278687,777.309265,761.123047,1541064,51.163843,6.503,58.200001,26356.980469,39872.308594,3248.919922,71.496498,104.575,69.0875,207749.1,99.73225,9.83,262154.1,True,False,False,False,7.155469,0.297633,66.30898,969.457837,1.704041,8.949716,10.994387,9.114066,0.785102,11.478431,124
2020-02-04,776.960632,793.196106,776.960632,790.55658,774.094482,1075827,56.388829,6.504,53.959999,26675.980469,40789.378906,3297.590088,71.314102,104.665625,69.107812,207535.2,99.7311,9.76,261594.2,True,False,False,False,7.152833,0.297592,66.315955,970.003841,1.70349,8.296433,10.964653,8.963086,0.798032,11.672824,123
2020-02-05,790.55658,798.92334,784.928955,796.731995,780.141357,1062607,58.611845,6.505,55.279999,26786.740234,41142.660156,3334.689941,71.099998,104.75625,69.128125,207321.3,99.72995,9.69,261034.3,True,True,False,False,7.150196,0.297551,66.322931,970.549845,1.702939,8.498078,10.930054,8.895339,0.803814,11.76277,122
2020-02-06,799.222107,803.455322,790.158142,797.827698,781.214233,1222421,59.011075,6.446,54.93,27493.699219,41306.03125,3345.780029,71.18,104.846875,69.148438,207107.4,99.7288,9.62,260474.4,True,True,False,False,7.147559,0.29751,66.329906,971.095849,1.702388,8.521564,11.042507,8.884842,0.804467,11.777708,121
2020-02-07,797.827698,800.417358,782.438843,784.530518,768.193909,1086833,52.40463,6.439,54.470001,27404.269531,41141.851562,3327.709961,71.470001,104.9375,69.16875,206893.5,99.72765,9.55,259914.5,True,False,False,False,7.144922,0.297469,66.336882,971.641853,1.701837,8.459388,11.09955,9.037179,0.790614,11.580193,120
2020-02-10,783.883118,786.572449,749.021729,754.549744,738.837463,4260702,41.204017,6.44,53.27,27241.339844,40979.621094,3352.090088,71.515503,105.028125,69.189062,206679.6,99.7265,9.48,259354.6,False,False,False,False,7.142286,0.297429,66.343857,972.187857,1.701286,8.271739,11.104892,9.398066,0.759974,11.136486,119
2020-02-11,756.990051,765.954407,751.113403,756.292847,740.54425,3394755,41.980463,6.464,54.009998,27583.880859,41216.140625,3357.75,71.279999,105.11875,69.209375,206465.7,99.72535,9.41,258794.7,False,False,False,False,7.139649,0.297388,66.350833,972.733861,1.700735,8.355507,11.027228,9.378208,0.761302,11.161039,118
2020-02-12,759.081726,771.382812,751.511841,752.358459,736.691772,1852945,40.67481,6.473,55.790001,27823.660156,41565.898438,3379.449951,71.275299,105.209375,69.229688,206251.8,99.7242,9.34,258234.8,False,False,False,False,7.137012,0.297347,66.357808,973.279865,1.700184,8.618879,11.011169,9.429059,0.756917,11.10181,117
2020-02-13,752.358459,761.920471,742.348267,749.270752,733.668335,1884479,39.633016,6.423,56.34,27730.0,41459.789062,3373.939941,71.296204,105.3,69.25,206037.9,99.72305,9.27,257674.9,False,False,False,False,7.134376,0.297306,66.364784,973.825869,1.699633,8.771602,11.100141,9.469728,0.753388,11.055085,116
2020-02-14,751.511841,767.797058,734.180725,740.107178,724.695618,3412990,36.63416,6.369,57.32,27815.599609,41257.738281,3380.159912,71.268501,105.390625,69.270312,205824.0,99.7219,9.2,257115.0,False,False,False,False,7.131739,0.297265,66.371759,974.371873,1.699082,8.999843,11.189904,9.588806,0.743757,10.918735,115
