,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2020-02-03,591.400024,593.650024,577.5,579.099976,494.317261,4024193,44.231749,6.503,58.200001,26356.980469,39872.308594,3248.919922,71.496498,104.575,69.0875,207749.1,99.73225,9.83,262154.1,True,True,True,True,20.673327,0.909469,40.548306,215.580204,13.581673,8.949716,10.994387,9.015991,2.292962,12.190824,124
2020-02-04,583.0,589.25,582.5,586.5,500.633789,3246094,48.983416,6.504,53.959999,26675.980469,40789.378906,3297.590088,71.314102,104.665625,69.107812,207535.2,99.7311,9.76,261594.2,True,True,True,True,20.657718,0.909033,40.548873,215.710249,13.571682,8.296433,10.964653,8.900881,2.320862,12.346429,123
2020-02-05,589.400024,598.5,586.0,595.599976,508.401581,3006324,54.156274,6.505,55.279999,26786.740234,41142.660156,3334.689941,71.099998,104.75625,69.128125,207321.3,99.72995,9.69,261034.3,True,True,True,True,20.64211,0.908596,40.549441,215.840294,13.56169,8.498078,10.930054,8.763543,2.355453,12.53782,122
2020-02-06,598.950012,613.0,598.0,599.700012,511.901245,4704968,56.305953,6.446,54.93,27493.699219,41306.03125,3345.780029,71.18,104.846875,69.148438,207107.4,99.7288,9.62,260474.4,True,True,True,True,20.626502,0.908159,40.550008,215.970339,13.551698,8.521564,11.042507,8.702289,2.370239,12.623949,121
2020-02-07,601.650024,609.200012,599.150024,607.700012,518.730286,2865379,60.225085,6.439,54.470001,27404.269531,41141.851562,3327.709961,71.470001,104.9375,69.16875,206893.5,99.72765,9.55,259914.5,True,True,True,True,20.610894,0.907722,40.550576,216.100384,13.541706,8.459388,11.09955,8.586393,2.400414,12.792181,120
2020-02-10,608.900024,611.549988,601.650024,604.900024,516.340027,2286213,58.255585,6.44,53.27,27241.339844,40979.621094,3352.090088,71.515503,105.028125,69.189062,206679.6,99.7265,9.48,259354.6,True,True,True,True,20.595286,0.907286,40.551143,216.230429,13.531714,8.271739,11.104892,8.624796,2.387916,12.733057,119
2020-02-11,606.0,613.75,605.700012,610.650024,521.248291,2458748,61.071035,6.464,54.009998,27583.880859,41216.140625,3357.75,71.279999,105.11875,69.209375,206465.7,99.72535,9.41,258794.7,True,True,True,True,20.579678,0.906849,40.55171,216.360473,13.521722,8.355507,11.027228,8.542241,2.409166,12.853916,118
2020-02-12,613.0,620.5,610.299988,614.099976,524.193054,4873027,62.696684,6.473,55.790001,27823.660156,41565.898438,3379.449951,71.275299,105.209375,69.229688,206251.8,99.7242,9.34,258234.8,True,True,True,True,20.564069,0.906412,40.552278,216.490518,13.511731,8.618879,11.011169,8.492913,2.421321,12.926353,117
2020-02-13,612.0,613.950012,604.049988,612.450012,522.784607,2090363,61.376597,6.423,56.34,27730.0,41459.789062,3373.939941,71.296204,105.3,69.25,206037.9,99.72305,9.27,257674.9,True,True,True,True,20.548461,0.905976,40.552845,216.620563,13.501739,8.771602,11.100141,8.514442,2.413366,12.891441,116
2020-02-14,612.450012,623.25,612.25,621.650024,530.637756,3650630,65.71173,6.369,57.32,27815.599609,41257.738281,3380.159912,71.268501,105.390625,69.270312,205824.0,99.7219,9.2,257115.0,True,True,True,True,20.532853,0.905539,40.553412,216.750608,13.491747,8.999843,11.189904,8.387093,2.448149,13.08491,115
2020-02-17,623.0,623.5,612.349976,613.450012,523.638306,2190578,59.320725,6.387,57.32,27959.599609,41055.691406,3380.159912,71.514801,105.48125,69.290625,205610.1,99.72075,9.177778,256555.1,True,True,True,True,20.517245,0.905102,40.55398,216.880653,13.481755,8.999843,11.196931,8.497838,2.414408,12.912131,114
2020-02-18,613.450012,615.799988,605.150024,607.049988,518.175171,5237465,54.837832,6.384,57.75,27530.199219,40894.378906,3370.290039,71.349197,105.571875,69.310938,205396.2,99.7196,9.155556,255995.2,True,True,True,True,20.501637,0.904665,40.554547,217.010698,13.471763,9.046053,11.176253,8.586043,2.387786,12.77724,113
2020-02-19,614.450012,618.25,604.0,605.75,517.065674,3799862,53.94606,6.384,59.119999,27655.810547,41323.0,3386.149902,71.574997,105.6625,69.33125,205182.3,99.71845,9.133333,255435.3,True,True,True,True,20.486029,0.904229,40.555114,217.140743,13.461771,9.046053,11.176253,8.603069,2.381247,12.749703,112
2020-02-20,611.0,612.950012,605.150024,608.049988,519.028748,4820313,55.330134,6.422,59.310001,27609.160156,41170.121094,3373.22998,71.827499,105.753125,69.351562,204968.4,99.7173,9.111111,254875.4,True,True,True,True,20.47042,0.903792,40.555682,217.270788,13.45178,9.235441,11.1846,8.569129,2.388857,12.797929,111
2020-02-24,608.0,609.0,591.5,595.150024,508.017578,4070143,46.829362,6.367,56.299999,26820.880859,40363.230469,3225.889893,71.886803,105.84375,69.371875,204754.5,99.71615,9.088889,254315.5,True,True,True,True,20.454812,0.903355,40.556249,217.400833,13.441788,8.842469,11.29053,8.753424,2.336778,12.526247,110
2020-02-25,595.5,595.700012,575.0,582.450012,497.176819,5525575,40.269779,6.367,54.950001,26893.230469,40281.199219,3128.209961,72.0467,105.934375,69.392188,204540.6,99.715,9.066667,253755.6,True,True,True,True,20.439204,0.902918,40.556816,217.530878,13.431796,8.630438,11.315643,8.94281,2.285546,12.258773,109
2020-02-26,576.900024,589.049988,575.5,583.599976,498.158325,5460070,41.074647,6.346,53.43,26696.490234,39888.960938,3116.389893,71.870003,106.025,69.4125,204326.7,99.71385,9.044444,253195.7,True,True,True,True,20.423596,0.902482,40.557384,217.660922,13.421804,8.419477,11.325245,8.923707,2.28869,12.282802,108
2020-02-27,582.099976,582.400024,568.0,573.049988,489.152893,4078174,36.248767,6.378,52.18,26778.619141,39745.660156,2978.76001,71.663399,106.115625,69.432812,204112.8,99.7127,9.022222,252635.8,True,True,True,True,20.407988,0.902045,40.557951,217.790967,13.411812,8.181248,11.23603,9.086475,2.245974,12.060592,107
