,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2020-02-03,1197.0,1197.949951,1177.699951,1192.800049,1145.0625,6538505,31.15847,6.503,58.200001,26356.980469,39872.308594,3248.919922,71.496498,104.575,69.0875,207749.1,99.73225,9.83,262154.1,False,False,True,True,15.871,0.054837,57.101633,384.156673,1.89798,8.949716,10.994387,5.324557,2.980717,20.053061,124
2020-02-04,1198.0,1234.0,1198.0,1229.800049,1180.581665,10448852,44.935277,6.504,53.959999,26675.980469,40789.378906,3297.590088,71.314102,104.665625,69.107812,207535.2,99.7311,9.76,261594.2,True,True,True,True,15.8764,0.054841,57.149592,384.346482,1.898555,8.296433,10.964653,5.168671,3.07166,20.657744,123
2020-02-05,1234.900024,1248.0,1227.300049,1244.650024,1194.83728,9010341,49.319082,6.505,55.279999,26786.740234,41142.660156,3334.689941,71.099998,104.75625,69.128125,207321.3,99.72995,9.69,261034.3,True,True,True,True,15.8818,0.054845,57.197551,384.53629,1.899131,8.498078,10.930054,5.111264,3.107216,20.889658,122
2020-02-06,1244.650024,1248.699951,1237.199951,1239.800049,1190.181396,5913775,47.975706,6.446,54.93,27493.699219,41306.03125,3345.780029,71.18,104.846875,69.148438,207107.4,99.7288,9.62,260474.4,True,True,True,True,15.8872,0.054849,57.24551,384.726098,1.899706,8.521564,11.042507,5.135537,3.093581,20.790825,121
2020-02-07,1246.0,1247.0,1231.599976,1242.199951,1192.485229,3407724,48.720042,6.439,54.470001,27404.269531,41141.851562,3327.709961,71.470001,104.9375,69.16875,206893.5,99.72765,9.55,259914.5,True,True,True,True,15.8926,0.054853,57.293469,384.915906,1.900282,8.459388,11.09955,5.129887,3.098041,20.813633,120
2020-02-10,1242.949951,1242.949951,1226.050049,1240.300049,1190.661499,4609917,48.132921,6.44,53.27,27241.339844,40979.621094,3352.090088,71.515503,105.028125,69.189062,206679.6,99.7265,9.48,259354.6,True,True,True,True,15.898,0.054857,57.341429,385.105714,1.900857,8.271739,11.104892,5.142025,3.091778,20.76442,119
2020-02-11,1243.300049,1255.0,1238.050049,1240.599976,1190.949463,5806760,48.238966,6.464,54.009998,27583.880859,41216.140625,3357.75,71.279999,105.11875,69.209375,206465.7,99.72535,9.41,258794.7,True,True,True,True,15.9034,0.054861,57.389388,385.295522,1.901433,8.355507,11.027228,5.145062,3.091003,20.752085,118
2020-02-12,1245.199951,1252.900024,1244.050049,1249.0,1199.013306,3148965,51.245488,6.473,55.790001,27823.660156,41565.898438,3379.449951,71.275299,105.209375,69.229688,206251.8,99.7242,9.34,258234.8,True,True,True,True,15.9088,0.054865,57.437347,385.485331,1.902008,8.618879,11.011169,5.114713,3.110399,20.875151,117
2020-02-13,1259.900024,1259.900024,1233.599976,1241.400024,1191.717529,4556070,48.500599,6.423,56.34,27730.0,41459.789062,3373.939941,71.296204,105.3,69.25,206037.9,99.72305,9.27,257674.9,True,True,True,True,15.9142,0.054869,57.485306,385.675139,1.902584,8.771602,11.100141,5.150307,3.089952,20.73082,116
2020-02-14,1243.199951,1248.400024,1215.0,1219.349976,1170.549927,7344429,41.547256,6.369,57.32,27815.599609,41257.738281,3380.159912,71.268501,105.390625,69.270312,205824.0,99.7219,9.2,257115.0,True,True,True,True,15.9196,0.054873,57.533265,385.864947,1.903159,8.999843,11.189904,5.247803,3.033574,20.34562,115
