,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2020-02-03,2391.0,2469.0,2358.0,2376.149902,2094.788818,1507692,42.866376,6.503,58.200001,26356.980469,39872.308594,3248.919922,71.496498,104.575,69.0875,207749.1,99.73225,9.83,262154.1,False,False,False,False,20.68798,1.437878,130.864224,763.43898,14.528082,8.949716,10.994387,7.539667,2.743885,16.007345,124
2020-02-04,2412.0,2484.600098,2400.800049,2462.050049,2170.517334,1187298,53.156071,6.504,53.959999,26675.980469,40789.378906,3297.590088,71.314102,104.665625,69.107812,207535.2,99.7311,9.76,261594.2,False,False,False,False,20.659955,1.437531,130.813094,763.644755,14.50598,8.296433,10.964653,7.268712,2.842313,16.592508,123
2020-02-05,2472.0,2478.899902,2345.550049,2373.25,2092.232178,2176980,44.278271,6.505,55.279999,26786.740234,41142.660156,3334.689941,71.099998,104.75625,69.128125,207321.3,99.72995,9.69,261034.3,False,False,False,False,20.631931,1.437184,130.761963,763.850531,14.483878,8.498078,10.930054,7.532487,2.73906,16.000312,122
2020-02-06,2395.0,2427.0,2355.0,2411.300049,2125.776611,1632634,48.2654,6.446,54.93,27493.699219,41306.03125,3345.780029,71.18,104.846875,69.148438,207107.4,99.7288,9.62,260474.4,False,False,False,False,20.603906,1.436837,130.710833,764.056306,14.461776,8.521564,11.042507,7.40555,2.782225,16.263202,121
2020-02-07,2480.0,2496.0,2421.350098,2443.449951,2154.119873,2709754,51.427908,6.439,54.470001,27404.269531,41141.851562,3327.709961,71.470001,104.9375,69.16875,206893.5,99.72765,9.55,259914.5,False,False,False,False,20.575882,1.43649,130.659702,764.262082,14.439673,8.459388,11.09955,7.300135,2.818562,16.48649,120
2020-02-10,2449.5,2457.449951,2375.149902,2385.699951,2103.208252,949025,45.989562,6.44,53.27,27241.339844,40979.621094,3352.090088,71.515503,105.028125,69.189062,206679.6,99.7265,9.48,259354.6,False,False,False,False,20.547857,1.436143,130.608571,764.467857,14.417571,8.271739,11.104892,7.468674,2.751206,16.103141,119
2020-02-11,2415.0,2443.350098,2390.0,2396.449951,2112.685059,680119,47.110745,6.464,54.009998,27583.880859,41216.140625,3357.75,71.279999,105.11875,69.209375,206465.7,99.72535,9.41,258794.7,False,False,False,False,20.519833,1.435796,130.557441,764.673633,14.395469,8.355507,11.027228,7.42703,2.762859,16.182035,118
2020-02-12,2410.0,2430.0,2400.0,2423.050049,2136.135498,467714,49.883062,6.473,55.790001,27823.660156,41565.898438,3379.449951,71.275299,105.209375,69.229688,206251.8,99.7242,9.34,258234.8,False,False,False,False,20.491808,1.435449,130.50631,764.879408,14.373367,8.618879,11.011169,7.337438,2.792774,16.368063,117
2020-02-13,2419.0,2441.300049,2401.0,2408.949951,2123.70459,514501,48.433798,6.423,56.34,27730.0,41459.789062,3373.939941,71.296204,105.3,69.25,206037.9,99.72305,9.27,257674.9,False,False,False,False,20.463784,1.435102,130.45518,765.085184,14.351265,8.771602,11.100141,7.372277,2.775775,16.27919,116
2020-02-14,2424.0,2437.800049,2351.100098,2356.5,2077.465332,798770,43.384441,6.369,57.32,27815.599609,41257.738281,3380.159912,71.268501,105.390625,69.270312,205824.0,99.7219,9.2,257115.0,False,False,False,False,20.435759,1.434755,130.404049,765.290959,14.329163,8.999843,11.189904,7.528069,2.714608,15.930988,115
2020-02-17,2335.0,2335.0,2269.550049,2283.350098,2070.076904,818134,37.510919,6.387,57.32,27959.599609,41055.691406,3380.159912,71.514801,105.48125,69.290625,205610.1,99.72075,9.177778,256555.1,False,False,False,False,20.407735,1.434408,130.352918,765.496735,14.307061,8.999843,11.196931,7.546606,2.704227,15.880557,114
2020-02-18,2283.199951,2283.199951,2225.0,2252.649902,2042.244019,839607,35.347994,6.384,57.75,27530.199219,40894.378906,3370.290039,71.349197,105.571875,69.310938,205396.2,99.7196,9.155556,255995.2,False,False,False,False,20.37971,1.434061,130.301788,765.70251,14.284959,9.046053,11.176253,7.641004,2.667151,15.673185,113
2020-02-19,2274.0,2278.0,2227.050049,2251.600098,2041.292847,729471,35.273095,6.384,59.119999,27655.810547,41323.0,3386.149902,71.574997,105.6625,69.33125,205182.3,99.71845,9.133333,255435.3,False,False,False,False,20.351686,1.433714,130.250657,765.908286,14.262857,9.046053,11.176253,7.636104,2.665192,15.672035,112
2020-02-20,2267.0,2276.0,2235.449951,2240.25,2031.002686,886179,34.423818,6.422,59.310001,27609.160156,41170.121094,3373.22998,71.827499,105.753125,69.351562,204968.4,99.7173,9.111111,254875.4,False,False,False,False,20.323661,1.433367,130.199527,766.114061,14.240755,9.235441,11.1846,7.666284,2.651045,15.599156,111
2020-02-24,2220.0,2220.0,2175.0,2184.199951,1980.187744,808263,30.516318,6.367,56.299999,26820.880859,40363.230469,3225.889893,71.886803,105.84375,69.371875,204754.5,99.71615,9.088889,254315.5,False,False,False,False,20.295637,1.43302,130.148396,766.319837,14.218653,8.842469,11.29053,7.85428,2.584023,15.214846,110
2020-02-25,2190.199951,2214.0,2164.050049,2184.149902,1980.142212,861921,30.512987,6.367,54.950001,26893.230469,40281.199219,3128.209961,72.0467,105.934375,69.392188,204540.6,99.715,9.066667,253755.6,False,False,False,False,20.267612,1.432673,130.097265,766.525612,14.196551,8.630438,11.315643,7.845721,2.583269,15.220475,109
2020-02-26,2180.0,2195.0,2136.0,2142.550049,1942.428223,972076,27.797296,6.346,53.43,26696.490234,39888.960938,3116.389893,71.870003,106.025,69.4125,204326.7,99.71385,9.044444,253195.7,False,False,False,False,20.239588,1.432327,130.046135,766.731388,14.174449,8.419477,11.325245,7.989138,2.533388,14.936455,108
2020-02-27,2147.899902,2158.649902,2101.0,2110.25,1913.145142,1093297,25.871901,6.378,52.18,26778.619141,39745.660156,2978.76001,71.663399,106.115625,69.432812,204112.8,99.7127,9.022222,252635.8,False,False,False,False,20.211563,1.43198,129.995004,766.937163,14.152347,8.181248,11.23603,8.102364,2.494527,14.717067,107
2020-02-28,2080.0,2110.0,2033.949951,2051.75,1860.109009,1879071,22.792621,6.371,50.52,26129.929688,38297.289062,2954.219971,71.93,106.20625,69.453125,203898.9,99.71155,9.0,252075.9,False,False,False,False,20.183539,1.431633,129.943873,767.142939,14.130245,7.929681,11.290221,8.32406,2.424723,14.314711,106
2020-03-02,2100.0,2110.0,1961.0,1975.449951,1790.935791,1207967,19.528004,6.346,50.48,26291.679688,38144.019531,3090.22998,72.150002,106.3875,69.49375,199243.333333,99.187062,9.02,246249.047619,False,False,False,False,20.155514,1.431286,129.892743,767.348714,14.108143,7.954617,11.369367,8.635881,2.333927,13.787805,105
2020-03-03,1976.0,2063.850098,1976.0,2054.850098,1862.919556,1689926,30.658453,6.342,51.860001,26284.820312,38623.699219,3003.370117,72.824997,106.478125,69.514062,194801.666667,98.663724,9.03,240982.095238,False,False,False,False,20.12749,1.430939,129.841612,767.55449,14.086041,8.177231,11.48297,8.292868,2.427084,14.347631,104
2020-03-04,2070.0,2073.350098,2000.5,2046.349976,1855.213623,976550,30.177241,6.226,51.130001,26222.070312,38409.480469,3130.120117,73.342003,106.56875,69.534375,190360.0,98.140386,9.04,235715.142857,False,False,False,False,20.099465,1.430592,129.790482,767.760265,14.063939,8.212336,11.779955,8.317948,2.416397,14.293911,103
2020-03-05,2061.699951,2093.100098,2052.300049,2063.899902,1871.124023,899516,32.531853,6.239,49.990002,26767.869141,38470.609375,3023.939941,74.042503,106.659375,69.554688,185918.333333,97.617048,9.05,230448.190476,False,False,False,False,20.071441,1.430245,129.739351,767.966041,14.041837,8.012502,11.867688,8.237928,2.436467,14.422178,102
2020-03-06,1971.0,2053.449951,1971.0,2038.300049,1847.915527,606826,30.895187,6.185,45.27,26146.669922,37576.621094,2972.370117,73.855103,106.75,69.575,181476.666667,97.09371,9.06,225181.238095,False,False,False,False,20.043416,1.429898,129.68822,768.171816,14.019735,7.319321,11.941003,8.331976,2.405602,14.248908,101
2020-03-09,1995.0,2011.5,1915.300049,1956.050049,1773.347778,844134,26.314511,6.066,34.360001,25040.460938,35634.949219,2746.560059,73.9953,106.840625,69.595312,177035.0,96.570371,9.07,219914.285714,False,False,False,False,20.015392,1.429551,129.63709,768.377592,13.997633,5.664359,12.198368,8.672511,2.307912,13.679324,100
2020-03-11,1968.0,2049.800049,1948.900024,2036.050049,1845.875488,1848085,36.219726,6.125,35.790001,25231.609375,35697.398438,2741.379883,74.205002,106.93125,69.615625,172593.333333,96.047033,9.08,214647.333333,False,False,False,False,19.987367,1.429204,129.585959,768.583367,13.975531,5.843265,12.115102,8.322315,2.401659,14.24441,99
2020-03-12,1956.0,1978.949951,1793.75,1907.199951,1729.060669,2248848,29.371379,6.236,33.220001,24309.070312,32778.140625,2480.639893,74.760002,107.021875,69.635938,168151.666667,95.523695,9.09,209380.380952,False,False,False,False,19.959343,1.428857,129.534829,768.789143,13.953429,5.327133,11.988454,8.874487,2.24907,13.34823,98
2020-03-13,1761.0,1943.0,1535.0,1883.949951,1707.9823,1184611,28.33046,6.322,33.849998,24032.910156,34103.480469,2711.02002,75.300003,107.1125,69.65625,163710.0,95.000357,9.1,204113.428571,False,False,False,False,19.931318,1.42851,129.483698,768.994918,13.931327,5.354318,11.910788,8.973795,2.221058,13.190713,97
2020-03-16,1818.0,1845.0,1775.300049,1783.5,1616.914795,883109,24.320209,6.208,30.049999,23063.570312,31390.070312,2386.129883,73.903999,107.203125,69.676562,159268.333333,94.477019,8.98,198846.47619,False,False,False,False,19.903294,1.428163,129.432567,769.200694,13.909224,4.840528,11.904639,9.468419,2.102071,12.492333,96
2020-03-17,1783.0,1903.599976,1756.349976,1841.150024,1669.179932,1236906,30.40867,6.265,28.73,23263.730469,30579.089844,2529.189941,75.154999,107.29375,69.696875,154826.666667,93.953681,8.86,193579.52381,False,False,False,False,19.875269,1.427816,129.381437,769.406469,13.887122,4.585794,11.996009,9.161481,2.169438,12.901232,95
2020-03-18,1841.0,1860.0,1666.0,1681.150024,1524.12439,1118487,24.514137,6.296,24.879999,22291.820312,28869.509766,2398.100098,74.012398,107.384375,69.717188,150385.0,93.430343,8.74,188312.571429,False,False,False,False,19.847245,1.427469,129.330306,769.612245,13.86502,3.951715,11.755463,10.02194,1.98038,11.784743,94
2020-03-19,1648.0,1789.0,1561.949951,1712.449951,1552.500977,1276786,27.475848,6.41,28.469999,21709.130859,28288.230469,2409.389893,74.982002,107.475,69.7375,145943.333333,92.907005,8.62,183045.619048,False,False,False,False,19.81922,1.427122,129.279176,769.81802,13.842918,4.441498,11.69766,9.827493,2.016712,12.008902,93
2020-03-20,1725.0,1845.699951,1675.0,1815.699951,1646.106812,1244977,36.347847,6.259,26.98,22805.070312,29915.960938,2304.919922,75.159698,107.565625,69.757812,141501.666667,92.383667,8.5,177778.666667,False,False,False,False,19.791196,1.426776,129.228045,770.023796,13.820816,4.310593,12.00826,9.258021,2.137735,12.738,92
2020-03-23,1634.150024,1673.150024,1520.0,1616.0,1465.059692,750837,28.966882,6.379,27.030001,21696.130859,25981.240234,2237.399902,75.622101,107.65625,69.778125,137060.0,91.860329,8.38,172511.714286,False,False,False,False,19.763171,1.426429,129.176914,770.229571,13.798714,4.237341,11.854852,10.390143,1.902108,11.341498,91
2020-03-24,1650.0,1754.099976,1475.0,1627.050049,1475.077637,1488860,29.816146,6.304,27.15,22663.490234,26674.029297,2447.330078,76.505997,107.746875,69.798438,132618.333333,91.33699,8.26,167244.761905,False,False,False,False,19.735147,1.426082,129.125784,770.435347,13.776612,4.306789,12.136104,10.307698,1.914603,11.423572,90
