,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2020-02-03,2074.899902,2195.550049,2074.899902,2178.949951,2028.651855,4012542,74.967856,6.503,58.200001,26356.980469,39872.308594,3248.919922,71.496498,104.575,69.0875,207749.1,99.73225,9.83,262154.1,True,True,True,True,37.622429,1.202327,34.076306,175.983694,20.730306,8.949716,10.994387,3.263711,11.527499,59.532622,124
2020-02-04,2177.0,2204.199951,2140.0,2155.600098,2006.91272,1932121,69.384971,6.504,53.959999,26675.980469,40789.378906,3297.590088,71.314102,104.665625,69.107812,207535.2,99.7311,9.76,261594.2,True,True,True,True,37.396943,1.198318,34.089273,176.656727,20.661673,8.296433,10.964653,3.291833,11.360523,58.872264,123
2020-02-05,2167.399902,2184.0,2153.899902,2160.300049,2011.288574,1514368,69.871331,6.505,55.279999,26786.740234,41142.660156,3334.689941,71.099998,104.75625,69.128125,207321.3,99.72995,9.69,261034.3,True,True,True,True,37.171457,1.19431,34.102241,177.329759,20.593041,8.498078,10.930054,3.277305,11.342081,58.978194,122
2020-02-06,2166.0,2196.25,2134.050049,2156.399902,2007.657593,1302116,68.893257,6.446,54.93,27493.699219,41306.03125,3345.780029,71.18,104.846875,69.148438,207107.4,99.7288,9.62,260474.4,True,True,True,True,36.945971,1.190302,34.115208,178.002792,20.524408,8.521564,11.042507,3.275701,11.278798,58.849343,121
2020-02-07,2165.0,2172.0,2141.600098,2159.949951,2010.962769,908152,69.314319,6.439,54.470001,27404.269531,41141.851562,3327.709961,71.470001,104.9375,69.16875,206893.5,99.72765,9.55,259914.5,True,True,True,True,36.720486,1.186294,34.128176,178.675824,20.455776,8.459388,11.09955,3.262648,11.254812,58.923829,120
2020-02-10,2160.100098,2189.550049,2151.699951,2159.300049,2010.357666,1389847,69.129836,6.44,53.27,27241.339844,40979.621094,3352.090088,71.515503,105.028125,69.189062,206679.6,99.7265,9.48,259354.6,True,True,True,True,36.495,1.182286,34.141143,179.348857,20.387143,8.271739,11.104892,3.255807,11.209203,58.883725,119
2020-02-11,2169.0,2179.649902,2147.699951,2152.649902,2004.166138,777506,67.160082,6.464,54.009998,27583.880859,41216.140625,3357.75,71.279999,105.11875,69.209375,206465.7,99.72535,9.41,258794.7,True,True,True,True,36.269514,1.178278,34.15411,180.02189,20.31851,8.355507,11.027228,3.257867,11.132902,58.680086,118
2020-02-12,2157.100098,2272.0,2155.0,2260.350098,2104.437256,4753325,78.062177,6.473,55.790001,27823.660156,41565.898438,3379.449951,71.275299,105.209375,69.229688,206251.8,99.7242,9.34,258234.8,True,True,True,True,36.044029,1.174269,34.167078,180.694922,20.249878,8.618879,11.011169,3.094876,11.646355,61.592545,117
2020-02-13,2256.0,2288.949951,2233.050049,2283.399902,2125.897461,2950407,79.621432,6.423,56.34,27730.0,41459.789062,3373.939941,71.296204,105.3,69.25,206037.9,99.72305,9.27,257674.9,True,True,True,True,35.818543,1.170261,34.180045,181.367955,20.181245,8.771602,11.100141,3.055809,11.721461,62.197035,116
2020-02-14,2273.0,2297.600098,2246.25,2255.050049,2099.50293,1728651,72.770537,6.369,57.32,27815.599609,41257.738281,3380.159912,71.268501,105.390625,69.270312,205824.0,99.7219,9.2,257115.0,True,True,True,True,35.593057,1.166253,34.193012,182.040988,20.112612,8.999843,11.189904,3.086157,11.533133,61.40152,115
2020-02-17,2248.0,2289.0,2243.199951,2252.600098,2097.222412,1420851,72.19244,6.387,57.32,27959.599609,41055.691406,3380.159912,71.514801,105.48125,69.290625,205610.1,99.72075,9.177778,256555.1,True,True,True,True,35.367571,1.162245,34.20598,182.71402,20.04398,8.999843,11.196931,3.08129,11.478169,61.311573,114
2020-02-18,2252.600098,2262.949951,2222.100098,2234.399902,2080.277344,1194605,67.878442,6.384,57.75,27530.199219,40894.378906,3370.290039,71.349197,105.571875,69.310938,205396.2,99.7196,9.155556,255995.2,True,True,True,True,35.142086,1.158237,34.218947,183.387053,19.975347,9.046053,11.176253,3.097954,11.343643,60.793143,113
