,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2020-02-03,1222.0,1268.449951,1216.050049,1263.099976,1219.780762,7697534,32.292041,6.503,58.200001,26356.980469,39872.308594,3248.919922,71.496498,104.575,69.0875,207749.1,99.73225,9.83,262154.1,False,False,False,True,7.881224,0.058816,77.374694,598.420857,0.980959,8.949716,10.994387,3.866506,2.038333,15.764596,124
2020-02-04,1273.0,1284.0,1256.25,1272.650024,1229.003296,4632688,34.488478,6.504,53.959999,26675.980469,40789.378906,3297.590088,71.314102,104.665625,69.107812,207535.2,99.7311,9.76,261594.2,False,False,False,True,7.856094,0.058796,77.438327,598.650486,0.97831,8.296433,10.964653,3.826722,2.052956,15.870737,123
2020-02-05,1280.0,1288.650024,1265.199951,1272.800049,1229.148193,4360609,34.524412,6.505,55.279999,26786.740234,41142.660156,3334.689941,71.099998,104.75625,69.128125,207321.3,99.72995,9.69,261034.3,False,False,False,True,7.830963,0.058776,77.501959,598.880114,0.975661,8.498078,10.930054,3.815495,2.052411,15.859576,122
2020-02-06,1280.0,1339.400024,1262.400024,1334.25,1288.490723,7628363,47.280024,6.446,54.93,27493.699219,41306.03125,3345.780029,71.18,104.846875,69.148438,207107.4,99.7288,9.62,260474.4,False,False,False,True,7.805833,0.058755,77.565592,599.109743,0.973012,8.521564,11.042507,3.629479,2.150676,16.611628,121
2020-02-07,1345.0,1346.050049,1294.75,1298.800049,1254.25647,3850541,42.175441,6.439,54.470001,27404.269531,41141.851562,3327.709961,71.470001,104.9375,69.16875,206893.5,99.72765,9.55,259914.5,False,False,False,False,7.780702,0.058735,77.629224,599.339371,0.970363,8.459388,11.09955,3.717965,2.092732,16.157014,120
2020-02-10,1304.0,1304.0,1268.5,1274.949951,1231.224487,3955195,39.115646,6.44,53.27,27241.339844,40979.621094,3352.090088,71.515503,105.028125,69.189062,206679.6,99.7265,9.48,259354.6,False,False,False,False,7.755571,0.058714,77.692857,599.569,0.967714,8.271739,11.104892,3.776728,2.053516,15.847332,119
2020-02-11,1290.0,1309.900024,1285.050049,1292.650024,1248.317261,3456066,42.452438,6.464,54.009998,27583.880859,41216.140625,3357.75,71.279999,105.11875,69.209375,206465.7,99.72535,9.41,258794.7,False,False,False,False,7.730441,0.058694,77.75649,599.798629,0.965065,8.355507,11.027228,3.714366,2.081227,16.054187,118
2020-02-12,1260.0,1302.900024,1251.699951,1277.400024,1233.590332,8957173,40.398136,6.473,55.790001,27823.660156,41565.898438,3379.449951,71.275299,105.209375,69.229688,206251.8,99.7242,9.34,258234.8,False,False,False,False,7.70531,0.058673,77.820122,600.028257,0.962416,8.618879,11.011169,3.747925,2.055887,15.851817,117
2020-02-13,1281.75,1281.75,1225.25,1230.75,1188.540283,6508945,34.84356,6.423,56.34,27730.0,41459.789062,3373.939941,71.296204,105.3,69.25,206037.9,99.72305,9.27,257674.9,False,False,False,False,7.68018,0.058653,77.883755,600.257886,0.959767,8.771602,11.100141,3.878782,1.980049,15.260439,116
2020-02-14,1233.900024,1241.099976,1171.199951,1176.0,1135.667969,11532869,29.684848,6.369,57.32,27815.599609,41257.738281,3380.159912,71.268501,105.390625,69.270312,205824.0,99.7219,9.2,257115.0,False,False,False,False,7.655049,0.058633,77.947388,600.487514,0.957118,8.999843,11.189904,4.047628,1.891243,14.569673,115
2020-02-17,1176.0,1209.0,1164.5,1172.949951,1132.722534,9900428,29.423499,6.387,57.32,27959.599609,41055.691406,3380.159912,71.514801,105.48125,69.290625,205610.1,99.72075,9.177778,256555.1,False,False,False,False,7.629918,0.058612,78.01102,600.717143,0.954469,8.999843,11.196931,4.046377,1.885617,14.520032,114
2020-02-18,1172.699951,1172.699951,1108.449951,1140.699951,1101.578613,11207411,26.742508,6.384,57.75,27530.199219,40894.378906,3370.290039,71.349197,105.571875,69.310938,205396.2,99.7196,9.155556,255995.2,False,False,False,False,7.604788,0.058592,78.074653,600.946771,0.95182,9.046053,11.176253,4.148658,1.833072,14.109299,113
2020-02-19,1155.0,1168.0,1116.0,1142.150024,1102.978882,14324736,27.064308,6.384,59.119999,27655.810547,41323.0,3386.149902,71.574997,105.6625,69.33125,205182.3,99.71845,9.133333,255435.3,False,False,False,False,7.579657,0.058571,78.138286,601.1764,0.949171,9.046053,11.176253,4.131277,1.834701,14.115729,112
2020-02-20,1145.050049,1203.849976,1145.050049,1182.199951,1141.655273,15703698,35.492608,6.422,59.310001,27609.160156,41170.121094,3373.22998,71.827499,105.753125,69.351562,204968.4,99.7173,9.111111,254875.4,False,False,False,False,7.554527,0.058551,78.201918,601.406029,0.946522,9.235441,11.1846,3.979606,1.89831,14.598814,111
2020-02-24,1170.0,1189.5,1146.550049,1170.25,1130.115112,7179792,34.221879,6.367,56.299999,26820.880859,40363.230469,3225.889893,71.886803,105.84375,69.371875,204754.5,99.71615,9.088889,254315.5,False,False,False,False,7.529396,0.058531,78.265551,601.635657,0.943873,8.842469,11.29053,4.0084,1.878404,14.439496,110
2020-02-25,1181.0,1182.800049,1138.800049,1153.849976,1114.27771,6114855,32.502037,6.367,54.950001,26893.230469,40281.199219,3128.209961,72.0467,105.934375,69.392188,204540.6,99.715,9.066667,253755.6,False,False,False,False,7.504265,0.05851,78.329184,601.865286,0.941224,8.630438,11.315643,4.053349,1.851374,14.225575,109
2020-02-26,1145.0,1150.0,1125.199951,1135.0,1096.074097,5870515,30.598605,6.346,53.43,26696.490234,39888.960938,3116.389893,71.870003,106.025,69.4125,204326.7,99.71385,9.044444,253195.7,False,False,False,False,7.479135,0.05849,78.392816,602.094914,0.938576,8.419477,11.325245,4.108435,1.820434,13.981818,108
