,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2020-02-03,245.5,253.0,243.75,251.5,233.777542,7021154,38.265438,6.503,58.200001,26356.980469,39872.308594,3248.919922,71.496498,104.575,69.0875,207749.1,99.73225,9.83,262154.1,True,False,False,True,17.946898,0.562612,30.754327,183.50551,5.27851,8.949716,10.994387,14.087558,1.273954,7.601452,124
2020-02-04,253.25,259.700012,248.699997,258.350006,240.144821,5839343,45.219344,6.504,53.959999,26675.980469,40789.378906,3297.590088,71.314102,104.665625,69.107812,207535.2,99.7311,9.76,261594.2,True,True,False,True,17.979376,0.562547,30.811518,183.657522,5.288322,8.296433,10.964653,13.750234,1.307569,7.793995,123
2020-02-05,259.5,271.649994,256.350006,269.25,250.276749,7218905,54.082675,6.505,55.279999,26786.740234,41142.660156,3334.689941,71.099998,104.75625,69.128125,207321.3,99.72995,9.69,261034.3,True,True,False,True,18.011853,0.562482,30.86871,183.809535,5.298135,8.498078,10.930054,13.228358,1.361609,8.107781,122
2020-02-06,271.100006,277.5,267.75,276.450012,256.96936,8567243,58.8221,6.446,54.93,27493.699219,41306.03125,3345.780029,71.18,104.846875,69.148438,207107.4,99.7288,9.62,260474.4,True,True,False,True,18.044331,0.562416,30.925902,183.961547,5.307947,8.521564,11.042507,12.917738,1.396865,8.309195,121
2020-02-07,275.399994,280.0,272.75,279.299988,259.6185,5258442,60.557524,6.439,54.470001,27404.269531,41141.851562,3327.709961,71.470001,104.9375,69.16875,206893.5,99.72765,9.55,259914.5,True,True,False,True,18.076808,0.562351,30.983094,184.113559,5.317759,8.459388,11.09955,12.819524,1.4101,8.37936,120
2020-02-10,276.0,279.799988,273.200012,277.899994,258.317169,4972983,59.236828,6.44,53.27,27241.339844,40979.621094,3352.090088,71.515503,105.028125,69.189062,206679.6,99.7265,9.48,259354.6,True,True,False,True,18.109286,0.562286,31.040286,184.265571,5.327571,8.271739,11.104892,12.91791,1.401874,8.321997,119
2020-02-11,280.049988,293.5,278.600006,288.75,268.402618,10958494,65.514028,6.464,54.009998,27583.880859,41216.140625,3357.75,71.279999,105.11875,69.209375,206465.7,99.72535,9.41,258794.7,True,True,False,True,18.141763,0.56222,31.097478,184.417584,5.337384,8.355507,11.027228,12.46508,1.455407,8.631009,118
2020-02-12,288.649994,295.399994,288.5,293.700012,273.003815,9119052,67.939671,6.473,55.790001,27823.660156,41565.898438,3379.449951,71.275299,105.209375,69.229688,206251.8,99.7242,9.34,258234.8,True,True,False,True,18.174241,0.562155,31.154669,184.569596,5.347196,8.618879,11.011169,12.287053,1.479138,8.762854,117
2020-02-13,292.200012,294.600006,288.399994,293.350006,272.678436,6220243,67.577726,6.423,56.34,27730.0,41459.789062,3373.939941,71.296204,105.3,69.25,206037.9,99.72305,9.27,257674.9,True,True,False,True,18.206718,0.56209,31.211861,184.721608,5.357008,8.771602,11.100141,12.333848,1.476159,8.736372,116
2020-02-14,291.600006,296.75,288.299988,289.149994,268.774414,6086218,63.224946,6.369,57.32,27815.599609,41257.738281,3380.159912,71.268501,105.390625,69.270312,205824.0,99.7219,9.2,257115.0,True,True,False,True,18.239196,0.562024,31.269053,184.87362,5.36682,8.999843,11.189904,12.545637,1.453828,8.595541,115
2020-02-17,289.149994,290.899994,285.299988,288.149994,267.844879,6084235,62.197707,6.387,57.32,27959.599609,41055.691406,3380.159912,71.514801,105.48125,69.290625,205610.1,99.72075,9.177778,256555.1,True,True,False,True,18.271673,0.561959,31.326245,185.025633,5.376633,8.999843,11.196931,12.621962,1.44761,8.550175,114
2020-02-18,289.0,289.149994,281.100006,284.799988,264.730957,5463097,58.753815,6.384,57.75,27530.199219,40894.378906,3370.290039,71.349197,105.571875,69.310938,205396.2,99.7196,9.155556,255995.2,True,True,False,True,18.304151,0.561894,31.383437,185.177645,5.386445,9.046053,11.176253,12.803639,1.429605,8.435372,113
2020-02-19,287.200012,290.0,279.899994,280.850006,261.059326,4952306,54.894268,6.384,59.119999,27655.810547,41323.0,3386.149902,71.574997,105.6625,69.33125,205182.3,99.71845,9.133333,255435.3,True,True,False,True,18.336629,0.561829,31.440629,185.329657,5.396257,9.046053,11.176253,13.017428,1.408621,8.303248,112
2020-02-20,280.700012,285.850006,277.0,281.799988,261.942352,6960354,55.648856,6.422,59.310001,27609.160156,41170.121094,3373.22998,71.827499,105.753125,69.351562,204968.4,99.7173,9.111111,254875.4,True,True,False,True,18.369106,0.561763,31.49782,185.481669,5.406069,9.235441,11.1846,13.007184,1.412228,8.316206,111
2020-02-24,277.950012,277.950012,256.0,258.950012,240.702576,10565578,38.824479,6.367,56.299999,26820.880859,40363.230469,3225.889893,71.886803,105.84375,69.371875,204754.5,99.71615,9.088889,254315.5,True,True,False,True,18.401584,0.561698,31.555012,185.633682,5.415882,8.842469,11.29053,14.191596,1.296654,7.62803,110
2020-02-25,264.0,266.799988,258.399994,262.600006,244.095352,9928181,41.848831,6.367,54.950001,26893.230469,40281.199219,3128.209961,72.0467,105.934375,69.392188,204540.6,99.715,9.066667,253755.6,True,True,False,True,18.434061,0.561633,31.612204,185.785694,5.425694,8.630438,11.315643,14.030521,1.313854,7.721554,109
2020-02-26,256.0,263.700012,255.550003,260.799988,242.42218,8111249,40.77817,6.346,53.43,26696.490234,39888.960938,3116.389893,71.870003,106.025,69.4125,204326.7,99.71385,9.044444,253195.7,True,True,False,True,18.466539,0.561567,31.669396,185.937706,5.435506,8.419477,11.325245,14.163827,1.303782,7.654778,108
2020-02-27,259.0,259.0,248.300003,252.100006,234.335266,10258174,35.98604,6.378,52.18,26778.619141,39745.660156,2978.76001,71.663399,106.115625,69.432812,204112.8,99.7127,9.022222,252635.8,True,False,False,True,18.499016,0.561502,31.726588,186.089718,5.445318,8.181248,11.23603,14.690391,1.25926,7.386085,107
2020-02-28,245.5,245.5,232.649994,235.699997,219.090881,10723581,29.054564,6.371,50.52,26129.929688,38297.289062,2954.219971,71.93,106.20625,69.453125,203898.9,99.71155,9.0,252075.9,False,False,False,True,18.531494,0.561437,31.78378,186.241731,5.455131,7.929681,11.290221,15.752995,1.176379,6.893166,106
2020-03-02,242.199997,246.5,230.850006,235.0,218.440231,10865535,28.799579,6.346,50.48,26291.679688,38144.019531,3090.22998,72.150002,106.3875,69.49375,199243.333333,99.187062,9.02,246249.047619,False,False,False,True,18.563971,0.561371,31.840971,186.393743,5.464943,7.954617,11.369367,15.840526,1.171929,6.860351,105
2020-03-03,239.25,249.100006,238.649994,246.449997,229.083374,11580274,38.332964,6.342,51.860001,26284.820312,38623.699219,3003.370117,72.824997,106.478125,69.514062,194801.666667,98.663724,9.03,240982.095238,True,False,False,True,18.596449,0.561306,31.898163,186.545755,5.474755,8.177231,11.48297,15.143345,1.228028,7.18171,104
2020-03-04,246.550003,248.800003,236.850006,245.600006,228.293274,10790561,37.926983,6.226,51.130001,26222.070312,38409.480469,3130.120117,73.342003,106.56875,69.534375,190360.0,98.140386,9.04,235715.142857,False,False,False,True,18.628927,0.561241,31.955355,186.697767,5.484567,8.212336,11.779955,15.234698,1.222796,7.144132,103
2020-03-05,248.699997,252.75,244.350006,247.149994,229.734039,7130730,39.191706,6.239,49.990002,26767.869141,38470.609375,3023.939941,74.042503,106.659375,69.554688,185918.333333,97.617048,9.05,230448.190476,True,False,False,True,18.661404,0.561176,32.012547,186.84978,5.49438,8.012502,11.867688,15.177895,1.229512,7.176375,102
2020-03-06,235.0,240.0,228.199997,238.800003,221.972458,6850161,35.048773,6.185,45.27,26146.669922,37576.621094,2972.370117,73.855103,106.75,69.575,181476.666667,97.09371,9.06,225181.238095,False,False,False,True,18.693882,0.56111,32.069739,187.001792,5.504192,7.319321,11.941003,15.748753,1.187007,6.921555,101
2020-03-09,229.050003,231.649994,225.100006,229.050003,212.9095,7888019,30.936447,6.066,34.360001,25040.460938,35634.949219,2746.560059,73.9953,106.840625,69.595312,177035.0,96.570371,9.07,219914.285714,False,False,False,True,18.726359,0.561045,32.126931,187.153804,5.514004,5.664359,12.198368,16.461029,1.137618,6.627135,100
2020-03-11,227.0,228.5,220.100006,223.5,207.750595,10073347,28.860609,6.125,35.790001,25231.609375,35697.398438,2741.379883,74.205002,106.93125,69.615625,172593.333333,96.047033,9.08,214647.333333,False,False,False,True,18.758837,0.56098,32.184122,187.305816,5.523816,5.843265,12.115102,16.912776,1.109152,6.455065,99
2020-03-12,210.0,214.300003,199.050003,203.199997,188.881088,14115039,22.827195,6.236,33.220001,24309.070312,32778.140625,2480.639893,74.760002,107.021875,69.635938,168151.666667,95.523695,9.09,209380.380952,False,False,False,True,18.791314,0.560914,32.241314,187.457829,5.533629,5.327133,11.988454,18.649718,1.007592,5.858356,98
2020-03-13,188.0,217.949997,175.199997,214.899994,199.756607,12883941,31.690814,6.322,33.849998,24032.910156,34103.480469,2711.02002,75.300003,107.1125,69.65625,163710.0,95.000357,9.1,204113.428571,False,False,False,True,18.823792,0.560849,32.298506,187.609841,5.543441,5.354318,11.910788,17.679158,1.064745,6.184701,97
2020-03-16,202.0,207.149994,181.550003,186.0,172.893112,15167108,24.274426,6.208,30.049999,23063.570312,31390.070312,2386.129883,73.903999,107.203125,69.676562,159268.333333,94.477019,8.98,198846.47619,False,False,False,True,18.856269,0.560784,32.355698,187.761853,5.553253,4.840528,11.904639,20.477901,0.920811,5.343514,96
2020-03-17,188.899994,193.5,175.149994,176.449997,164.016083,14096871,22.408231,6.265,28.73,23263.730469,30579.089844,2529.189941,75.154999,107.29375,69.696875,154826.666667,93.953681,8.86,193579.52381,False,False,False,True,18.888747,0.560718,32.41289,187.913865,5.563065,4.585794,11.996009,21.640911,0.872826,5.060212,95
2020-03-18,180.050003,181.149994,156.449997,164.350006,152.768738,18951014,20.280782,6.296,24.879999,22291.820312,28869.509766,2398.100098,74.012398,107.384375,69.717188,150385.0,93.430343,8.74,188312.571429,False,False,False,True,18.921224,0.560653,32.470082,188.065878,5.572878,3.951715,11.755463,23.292964,0.812315,4.704908,94
2020-03-19,157.800003,168.699997,151.699997,163.300003,151.79274,12583063,20.102425,6.41,28.469999,21709.130859,28288.230469,2409.389893,74.982002,107.475,69.7375,145943.333333,92.907005,8.62,183045.619048,False,False,False,True,18.953702,0.560588,32.527273,188.21789,5.58269,4.441498,11.69766,23.501953,0.806473,4.66663,93
2020-03-20,167.0,179.100006,164.649994,175.75,163.365402,7449415,28.168859,6.259,26.98,22805.070312,29915.960938,2304.919922,75.159698,107.565625,69.757812,141501.666667,92.383667,8.5,177778.666667,False,False,False,True,18.98618,0.560522,32.584465,188.369902,5.592502,4.310593,12.00826,21.89218,0.867259,5.013598,92
2020-03-23,158.199997,164.25,136.100006,144.399994,134.224548,7422941,22.114391,6.379,27.030001,21696.130859,25981.240234,2237.399902,75.622101,107.65625,69.778125,137060.0,91.860329,8.38,172511.714286,False,False,False,True,19.018657,0.560457,32.641657,188.521914,5.602314,4.237341,11.854852,26.712205,0.711984,4.112063,91
2020-03-24,149.25,155.0,140.350006,147.100006,136.734268,6487043,23.636704,6.304,27.15,22663.490234,26674.029297,2447.330078,76.505997,107.746875,69.798438,132618.333333,91.33699,8.26,167244.761905,False,False,False,True,19.051135,0.560392,32.698849,188.673927,5.612127,4.306789,12.136104,26.287868,0.724712,4.181623,90
2020-03-25,145.0,156.0,142.550003,151.800003,141.103088,4384700,26.33581,6.304,27.389999,23527.189453,28535.779297,2475.560059,77.260002,107.8375,69.81875,128176.666667,90.813652,8.14,161977.809524,False,False,False,True,19.083612,0.560327,32.756041,188.825939,5.621939,4.306789,12.136104,25.537931,0.747265,4.307697,89
2020-03-26,151.0,157.449997,144.5,149.800003,139.244034,8021131,25.916031,6.225,26.34,23352.339844,29946.769531,2630.070068,75.845497,107.928125,69.839062,123735.0,90.290314,8.02,156710.857143,False,False,False,False,19.11609,0.560261,32.813233,188.977951,5.631751,4.231325,12.184016,25.943801,0.736827,4.243533,88
2020-03-27,152.100006,156.449997,146.199997,151.449997,140.77774,6108830,26.950526,6.144,24.93,23484.279297,29815.589844,2541.469971,74.725601,108.01875,69.859375,119293.333333,89.766976,7.9,151443.904762,False,False,False,False,19.148567,0.560196,32.870424,189.129963,5.641563,4.057617,12.16237,25.72543,0.744344,4.282809,87
2020-03-30,148.449997,148.449997,136.5,142.399994,132.365479,11851157,24.896991,6.209,22.76,23175.109375,28440.320312,2626.649902,75.464996,108.109375,69.879688,114851.666667,89.243638,8.1,146176.952381,False,False,False,False,19.181045,0.560131,32.927616,189.281976,5.651376,3.665647,12.154131,27.428799,0.699303,4.019893,86
2020-03-31,145.949997,152.399994,144.5,146.25,135.944199,9965197,27.430296,6.138,22.74,23603.480469,29468.490234,2584.590088,75.400002,108.2,69.9,110410.0,88.7203,8.3,140910.0,False,False,False,False,19.213522,0.560065,32.984808,189.433988,5.661188,3.70479,12.284132,26.773442,0.717634,4.121419,85
