,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2020-02-03,545.0,565.75,535.200012,558.700012,529.450806,3818209,51.483467,6.503,58.200001,26356.980469,39872.308594,3248.919922,71.496498,104.575,69.0875,207749.1,99.73225,9.83,262154.1,False,False,False,False,3.771204,0.438286,30.942592,332.360122,0.922102,8.949716,10.994387,2.367355,1.593003,17.110745,124
2020-02-04,562.0,578.799988,558.799988,576.900024,546.697937,2793702,60.45367,6.504,53.959999,26675.980469,40789.378906,3297.590088,71.314102,104.665625,69.107812,207535.2,99.7311,9.76,261594.2,True,False,False,False,3.788049,0.438229,30.993702,332.413069,0.926224,8.296433,10.964653,2.303277,1.644634,17.639001,123
2020-02-05,580.25,589.849976,577.400024,584.349976,553.757996,3320830,63.433949,6.505,55.279999,26786.740234,41142.660156,3334.689941,71.099998,104.75625,69.128125,207321.3,99.72995,9.69,261034.3,True,True,False,False,3.804894,0.438171,31.044812,332.466016,0.930347,8.498078,10.930054,2.284388,1.665608,17.837376,122
2020-02-06,585.0,589.150024,576.049988,580.150024,549.777832,2207104,60.658594,6.446,54.93,27493.699219,41306.03125,3345.780029,71.18,104.846875,69.148438,207107.4,99.7288,9.62,260474.4,True,True,False,False,3.821739,0.438114,31.095922,332.518963,0.934469,8.521564,11.042507,2.31148,1.653373,17.680062,121
2020-02-07,579.0,581.5,561.299988,569.099976,539.306213,4083215,53.968367,6.439,54.470001,27404.269531,41141.851562,3327.709961,71.470001,104.9375,69.16875,206893.5,99.72765,9.55,259914.5,True,False,False,False,3.838584,0.438057,31.147033,332.57191,0.938592,8.459388,11.09955,2.367125,1.621623,17.31485,120
2020-02-10,566.799988,567.0,526.049988,528.400024,500.737061,9648880,37.543612,6.44,53.27,27241.339844,40979.621094,3352.090088,71.515503,105.028125,69.189062,206679.6,99.7265,9.48,259354.6,False,False,False,False,3.855429,0.438,31.198143,332.624857,0.942714,8.271739,11.104892,2.561047,1.505411,16.05022,119
2020-02-11,533.200012,537.700012,522.700012,524.049988,496.614777,5404802,36.272961,6.464,54.009998,27583.880859,41216.140625,3357.75,71.279999,105.11875,69.209375,206465.7,99.72535,9.41,258794.7,False,False,False,False,3.872273,0.437943,31.249253,332.677804,0.946837,8.355507,11.027228,2.594001,1.49278,15.892053,118
2020-02-12,526.650024,534.299988,523.900024,531.0,503.201019,3426829,39.779754,6.473,55.790001,27823.660156,41565.898438,3379.449951,71.275299,105.209375,69.229688,206251.8,99.7242,9.34,258234.8,False,False,False,False,3.889118,0.437886,31.300363,332.730751,0.950959,8.618879,11.011169,2.571595,1.512337,16.076523,117
2020-02-13,530.450012,538.0,528.299988,533.599976,505.664856,3392352,41.085848,6.423,56.34,27730.0,41459.789062,3373.939941,71.296204,105.3,69.25,206037.9,99.72305,9.27,257674.9,False,False,False,False,3.905963,0.437829,31.351473,332.783698,0.955082,8.771602,11.100141,2.570558,1.5195,16.128902,116
2020-02-14,535.25,536.950012,520.650024,523.0,495.619751,3507540,37.513605,6.369,57.32,27815.599609,41257.738281,3380.159912,71.268501,105.390625,69.270312,205824.0,99.7219,9.2,257115.0,False,False,False,False,3.922808,0.437771,31.402584,332.836645,0.959204,8.999843,11.189904,2.634387,1.489078,15.78277,115
2020-02-17,524.099976,525.400024,516.0,522.75,495.382812,2652464,37.430944,6.387,57.32,27959.599609,41055.691406,3380.159912,71.514801,105.48125,69.290625,205610.1,99.72075,9.177778,256555.1,False,False,False,False,3.939653,0.437714,31.453694,332.889592,0.963327,8.999843,11.196931,2.647386,1.488129,15.749591,114
2020-02-18,520.5,524.900024,514.099976,523.200012,495.809357,2868873,37.697071,6.384,57.75,27530.199219,40894.378906,3370.290039,71.349197,105.571875,69.310938,205396.2,99.7196,9.155556,255995.2,False,False,False,False,3.956498,0.437657,31.504804,332.942539,0.967449,9.046053,11.176253,2.656841,1.489174,15.737579,113
2020-02-19,528.150024,529.650024,521.799988,526.400024,498.841797,1952880,39.66237,6.384,59.119999,27655.810547,41323.0,3386.149902,71.574997,105.6625,69.33125,205182.3,99.71845,9.133333,255435.3,False,False,False,False,3.973343,0.4376,31.555914,332.995486,0.971571,9.046053,11.176253,2.652354,1.498044,15.808187,112
