,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2020-02-03,104.349998,104.949997,101.550003,103.449997,76.919945,18445537,17.069574,6.503,58.200001,26356.980469,39872.308594,3248.919922,71.496498,104.575,69.0875,207749.1,99.73225,9.83,262154.1,False,False,False,False,7.242224,0.607959,17.484388,173.595592,2.939918,8.949716,10.994387,16.344503,0.443098,4.39935,124
2020-02-04,104.099998,106.900002,103.800003,106.150002,78.927536,16896688,25.044874,6.504,53.959999,26675.980469,40789.378906,3297.590088,71.314102,104.665625,69.107812,207535.2,99.7311,9.76,261594.2,False,False,False,False,7.252494,0.60711,17.475853,173.647102,2.94382,8.296433,10.964653,15.956086,0.454528,4.516377,123
2020-02-05,106.400002,107.400002,105.099998,106.800003,79.410835,11348275,26.868239,6.505,55.279999,26786.740234,41142.660156,3334.689941,71.099998,104.75625,69.128125,207321.3,99.72995,9.69,261034.3,False,False,False,False,7.262763,0.606261,17.467318,173.698612,2.947722,8.498078,10.930054,15.886143,0.457176,4.546252,122
2020-02-06,106.800003,107.800003,106.300003,107.25,79.74543,10750236,28.170962,6.446,54.93,27493.699219,41306.03125,3345.780029,71.18,104.846875,69.148438,207107.4,99.7288,9.62,260474.4,False,False,False,False,7.273033,0.605412,17.458784,173.750122,2.951624,8.521564,11.042507,15.846555,0.458966,4.56764,121
2020-02-07,107.300003,109.75,106.550003,109.25,81.232536,21415595,33.814054,6.439,54.470001,27404.269531,41141.851562,3327.709961,71.470001,104.9375,69.16875,206893.5,99.72765,9.55,259914.5,False,False,False,False,7.283302,0.604563,17.450249,173.801633,2.955527,8.459388,11.09955,15.583039,0.467386,4.655093,120
2020-02-10,109.150002,109.150002,105.75,106.199997,78.964706,32081049,29.949798,6.44,53.27,27241.339844,40979.621094,3352.090088,71.515503,105.028125,69.189062,206679.6,99.7265,9.48,259354.6,False,False,False,False,7.293571,0.603714,17.441714,173.853143,2.959429,8.271739,11.104892,16.057937,0.454204,4.527348,119
2020-02-11,107.150002,107.650002,106.300003,106.800003,79.410835,20946852,31.605678,6.464,54.009998,27583.880859,41216.140625,3357.75,71.279999,105.11875,69.209375,206465.7,99.72535,9.41,258794.7,False,False,False,False,7.303841,0.602865,17.43318,173.904653,2.963331,8.355507,11.027228,15.994945,0.456634,4.555155,118
2020-02-12,107.0,107.800003,106.5,106.699997,79.336479,13053367,31.472141,6.473,55.790001,27823.660156,41565.898438,3379.449951,71.275299,105.209375,69.229688,206251.8,99.7242,9.34,258234.8,False,False,False,False,7.31411,0.602016,17.424645,173.956163,2.967233,8.618879,11.011169,16.037195,0.456072,4.553119,117
2020-02-13,107.0,108.199997,104.25,105.349998,78.332703,17702073,29.650908,6.423,56.34,27730.0,41459.789062,3373.939941,71.296204,105.3,69.25,206037.9,99.72305,9.27,257674.9,False,False,False,False,7.32438,0.601167,17.41611,174.007673,2.971135,8.771602,11.100141,16.270321,0.450168,4.497715,116
2020-02-14,105.550003,106.300003,103.0,103.300003,76.808418,26644685,27.087528,6.369,57.32,27815.599609,41257.738281,3380.159912,71.268501,105.390625,69.270312,205824.0,99.7219,9.2,257115.0,False,False,False,False,7.334649,0.600318,17.407576,174.059184,2.975037,8.999843,11.189904,16.621394,0.441278,4.412356,115
2020-02-17,101.5,102.900002,98.800003,99.949997,74.317535,36666416,23.510558,6.387,57.32,27959.599609,41055.691406,3380.159912,71.514801,105.48125,69.290625,205610.1,99.72075,9.177778,256555.1,False,False,False,False,7.344918,0.599469,17.399041,174.110694,2.978939,8.999843,11.196931,17.207632,0.426841,4.271358,114
