,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2020-02-03,373.75,382.0,367.5,378.850006,364.522034,3318729,62.458203,6.503,58.200001,26356.980469,39872.308594,3248.919922,71.496498,104.575,69.0875,207749.1,99.73225,9.83,262154.1,True,True,True,True,5.767102,0.603816,8.450755,154.521735,4.209082,8.949716,10.994387,2.444688,2.359034,43.134848,124
2020-02-04,384.0,384.0,375.549988,379.899994,365.532288,5327138,63.065942,6.504,53.959999,26675.980469,40789.378906,3297.590088,71.314102,104.665625,69.107812,207535.2,99.7311,9.76,261594.2,True,True,True,True,5.774024,0.603596,8.471061,154.553216,4.21438,8.296433,10.964653,2.441355,2.36509,43.150708,123
2020-02-05,382.0,408.0,381.0,394.600006,379.676361,23579395,70.311988,6.505,55.279999,26786.740234,41142.660156,3334.689941,71.099998,104.75625,69.128125,207321.3,99.72995,9.69,261034.3,True,True,True,True,5.780947,0.603376,8.491367,154.584698,4.219678,8.498078,10.930054,2.353704,2.456106,44.713218,122
2020-02-06,396.0,397.350006,387.350006,392.049988,377.222809,4985380,67.826102,6.446,54.93,27493.699219,41306.03125,3345.780029,71.18,104.846875,69.148438,207107.4,99.7288,9.62,260474.4,True,True,True,True,5.787869,0.603155,8.511673,154.61618,4.224976,8.521564,11.042507,2.372333,2.439737,44.318289,121
2020-02-07,391.100006,404.0,390.549988,396.700012,381.69693,11308676,69.914916,6.439,54.470001,27404.269531,41141.851562,3327.709961,71.470001,104.9375,69.16875,206893.5,99.72765,9.55,259914.5,True,True,True,True,5.794792,0.602935,8.53198,154.647661,4.230273,8.459388,11.09955,2.347808,2.468171,44.737206,120
2020-02-10,398.450012,398.450012,388.350006,392.299988,377.463348,3145276,65.576522,6.44,53.27,27241.339844,40979.621094,3352.090088,71.515503,105.028125,69.189062,206679.6,99.7265,9.48,259354.6,True,True,True,True,5.801714,0.602714,8.552286,154.679143,4.235571,8.271739,11.104892,2.37746,2.440299,44.135961,119
2020-02-11,395.0,399.0,389.25,390.600006,375.827637,4171668,63.926041,6.464,54.009998,27583.880859,41216.140625,3357.75,71.279999,105.11875,69.209375,206465.7,99.72535,9.41,258794.7,True,True,True,True,5.808637,0.602494,8.572592,154.710624,4.240869,8.355507,11.027228,2.391144,2.42923,43.840608,118
2020-02-12,391.700012,396.75,391.600006,395.149994,380.205566,4018932,66.366047,6.473,55.790001,27823.660156,41565.898438,3379.449951,71.275299,105.209375,69.229688,206251.8,99.7242,9.34,258234.8,True,True,True,True,5.815559,0.602273,8.592898,154.742106,4.246167,8.618879,11.011169,2.366909,2.457027,44.246489,117
2020-02-13,394.549988,397.850006,389.549988,392.549988,377.703857,2860031,63.714002,6.423,56.34,27730.0,41459.789062,3373.939941,71.296204,105.3,69.25,206037.9,99.72305,9.27,257674.9,True,True,True,True,5.822482,0.602053,8.613204,154.773588,4.251465,8.771602,11.100141,2.385907,2.440364,43.851725,116
2020-02-14,393.0,400.0,390.5,396.899994,381.889374,4733600,66.151135,6.369,57.32,27815.599609,41257.738281,3380.159912,71.268501,105.390625,69.270312,205824.0,99.7219,9.2,257115.0,True,True,True,True,5.829404,0.601833,8.63351,154.805069,4.256763,8.999843,11.189904,2.363044,2.466905,44.233384,115
2020-02-17,397.700012,401.899994,375.850006,381.049988,366.638824,9537335,52.353363,6.387,57.32,27959.599609,41055.691406,3380.159912,71.514801,105.48125,69.290625,205610.1,99.72075,9.177778,256555.1,True,True,True,True,5.836327,0.601612,8.653816,154.836551,4.262061,8.999843,11.196931,2.46476,2.367909,42.367299,114
