,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2020-02-03,808.0,818.700012,790.5,793.150024,682.561584,3383074,56.172212,6.503,58.200001,26356.980469,39872.308594,3248.919922,71.496498,104.575,69.0875,207749.1,99.73225,9.83,262154.1,True,True,False,True,19.002694,0.992469,48.705224,252.549571,11.48002,8.949716,10.994387,7.031046,2.702684,14.014135,124
2020-02-04,794.299988,813.0,794.299988,811.099976,698.00885,1779834,63.902213,6.504,53.959999,26675.980469,40789.378906,3297.590088,71.314102,104.665625,69.107812,207535.2,99.7311,9.76,261594.2,True,True,False,True,19.001927,0.992233,48.731094,252.655857,11.480445,8.296433,10.964653,6.878062,2.762686,14.323685,123
2020-02-05,810.0,816.0,807.0,814.049988,700.547485,1613898,64.994926,6.505,55.279999,26786.740234,41142.660156,3334.689941,71.099998,104.75625,69.128125,207321.3,99.72995,9.69,261034.3,True,True,False,True,19.001159,0.991996,48.756963,252.762143,11.480869,8.498078,10.930054,6.855743,2.771568,14.368153,122
2020-02-06,812.700012,825.950012,810.049988,817.700012,703.688538,1553656,66.352115,6.446,54.93,27493.699219,41306.03125,3345.780029,71.18,104.846875,69.148438,207107.4,99.7288,9.62,260474.4,True,True,False,True,19.000392,0.991759,48.782833,252.868429,11.481294,8.521564,11.042507,6.827736,2.782825,14.424922,121
2020-02-07,817.700012,825.450012,814.25,824.450012,709.497375,1397438,68.764002,6.439,54.470001,27404.269531,41141.851562,3327.709961,71.470001,104.9375,69.16875,206893.5,99.72765,9.55,259914.5,True,True,False,True,18.999624,0.991522,48.808702,252.974714,11.481718,8.459388,11.09955,6.774408,2.804618,14.536289,120
2020-02-10,827.0,827.099976,811.5,813.650024,700.203308,1098971,61.204598,6.44,53.27,27241.339844,40979.621094,3352.090088,71.515503,105.028125,69.189062,206679.6,99.7265,9.48,259354.6,True,True,False,True,18.998857,0.991286,48.834571,253.081,11.482143,8.271739,11.104892,6.866934,2.766716,14.338271,119
2020-02-11,813.0,821.849976,811.049988,819.950012,705.624817,1143705,63.71074,6.464,54.009998,27583.880859,41216.140625,3357.75,71.279999,105.11875,69.209375,206465.7,99.72535,9.41,258794.7,True,True,False,True,18.99809,0.991049,48.860441,253.187286,11.482567,8.355507,11.027228,6.81676,2.786968,14.441638,118
2020-02-12,820.0,826.450012,816.799988,821.5,706.95874,1394424,64.32141,6.473,55.790001,27823.660156,41565.898438,3379.449951,71.275299,105.209375,69.229688,206251.8,99.7242,9.34,258234.8,True,True,False,True,18.997322,0.990812,48.88631,253.293571,11.482992,8.618879,11.011169,6.806479,2.791065,14.461282,117
2020-02-13,822.799988,830.0,814.349976,828.0,712.552368,1737974,66.841375,6.423,56.34,27730.0,41459.789062,3373.939941,71.296204,105.3,69.25,206037.9,99.72305,9.27,257674.9,True,True,False,True,18.996555,0.990576,48.91218,253.399857,11.483416,8.771602,11.100141,6.755608,2.811968,14.567995,116
2020-02-14,827.0,838.0,825.049988,834.150024,717.844849,2143044,69.067502,6.369,57.32,27815.599609,41257.738281,3380.159912,71.268501,105.390625,69.270312,205824.0,99.7219,9.2,257115.0,True,True,False,True,18.995788,0.990339,48.938049,253.506143,11.483841,8.999843,11.189904,6.708342,2.831666,14.66844,115
