,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2022-04-01,2018.0,2049.0,2013.050049,2043.650024,2039.917725,1267111,75.193503,6.843,107.669998,22039.550781,59276.691406,4545.859863,75.909203,137.750794,75.253968,186256.05,100.777565,9.5,267850.85,True,True,True,True,8.91,1.047,24.328,289.921,2.026,15.7694,11.081075,1.266324,7.036116,83.850613,124
2022-04-04,2050.0,2075.5,2032.0,2065.850098,2062.076904,1334265,76.358469,6.898,107.529999,22502.310547,60611.738281,4582.640137,75.994797,137.701587,75.207937,184558.1,100.77433,9.62,256200.7,True,True,True,True,8.910294,1.045347,24.355306,290.134113,2.026476,15.588576,11.016932,1.253678,7.107323,84.666432,123
2022-04-05,2078.0,2189.800049,2067.600098,2139.850098,2135.941895,4970260,79.769035,6.899,106.639999,22502.310547,60176.5,4525.120117,75.477997,137.652381,75.161905,182860.15,100.771095,9.74,244550.55,True,True,True,True,8.910589,1.043694,24.382613,290.347226,2.026952,15.457313,10.940426,1.211252,7.356509,87.601025,122
2022-04-06,2153.75,2182.850098,2124.199951,2160.0,2156.055176,2259018,80.590141,6.917,101.07,22080.519531,59610.410156,4481.149902,75.450699,137.603175,75.115873,181162.2,100.76786,9.86,232900.4,True,True,True,True,8.910883,1.04204,24.409919,290.560339,2.027427,14.611826,10.908009,1.200873,7.420335,88.327009,121
2022-04-07,2165.949951,2214.949951,2081.25,2099.050049,2095.216309,3499044,71.179435,6.914,100.580002,21808.980469,59034.949219,4500.209961,75.945099,137.553968,75.069841,179464.25,100.764625,9.98,221250.25,True,True,True,True,8.911177,1.040387,24.437226,290.773452,2.027903,14.547296,10.984249,1.23669,7.205666,85.738714,120
2022-04-08,2115.0,2176.0,2105.25,2170.949951,2166.985107,1924054,74.902573,7.119,102.779999,21872.009766,59447.179688,4488.279785,75.9132,137.504762,75.02381,177766.3,100.76139,10.1,209600.1,True,True,True,True,8.911472,1.038734,24.464532,290.986565,2.028379,14.437421,10.663464,1.196648,7.447028,88.576601,119
2022-04-11,2181.850098,2200.0,2158.5,2180.199951,2176.218018,1615715,75.343868,7.149,98.480003,21208.300781,58964.570312,4412.529785,75.917297,137.455556,74.977778,176068.35,100.758155,10.0625,197949.95,True,True,True,True,8.911766,1.037081,24.491839,291.199677,2.028855,13.775354,10.619289,1.192483,7.473284,88.854824,118
2022-04-12,2188.0,2219.0,2155.0,2196.949951,2192.9375,2632324,76.161281,7.189,104.639999,21319.130859,58576.371094,4397.450195,75.836998,137.406349,74.931746,174370.4,100.75492,10.025,186299.8,True,True,True,True,8.91206,1.035427,24.519145,291.41279,2.029331,14.555571,10.549033,1.184297,7.525193,89.437763,117
2022-04-13,2210.0,2217.149902,2173.449951,2199.449951,2195.433105,992512,76.287638,7.215,108.779999,21374.369141,58338.929688,4446.589844,76.149803,137.357143,74.885714,172672.45,100.751685,9.9875,174649.65,True,True,True,True,8.912355,1.033774,24.546452,291.625903,2.029806,15.076923,10.554373,1.183855,7.528251,89.439938,116
2022-04-18,2179.800049,2240.0,2156.75,2233.850098,2229.770264,1747434,78.014506,7.153,113.160004,21374.369141,57166.738281,4391.689941,76.331398,137.307937,74.839683,170974.5,100.74845,9.95,162999.5,True,True,True,True,8.912649,1.032121,24.573758,291.839016,2.030282,15.819936,10.671243,1.166514,7.640412,90.737862,115
2022-04-19,2245.0,2255.0,2140.100098,2168.300049,2164.340088,1639219,67.871448,7.151,107.25,21027.759766,56463.148438,4462.209961,76.280197,137.25873,74.793651,169276.55,100.745215,9.9125,151349.35,True,True,True,True,8.912944,1.030468,24.601065,292.052129,2.030758,14.997902,10.667067,1.202696,7.410801,87.977497,114
2022-04-20,2178.0,2207.949951,2161.899902,2183.949951,2179.961426,1119025,68.910716,7.105,106.800003,20944.669922,57037.5,4459.450195,76.445396,137.209524,74.747619,167578.6,100.74198,9.875,139699.2,True,True,True,True,8.913238,1.028815,24.628371,292.265242,2.031234,15.031668,10.75938,1.194989,7.458846,88.514235,113
2022-04-21,2216.0,2293.550049,2203.899902,2286.350098,2282.174316,2243636,74.681643,7.144,108.330002,20682.220703,57911.679688,4393.660156,76.276199,137.160317,74.701587,165880.65,100.738745,9.8375,128049.05,True,True,True,True,8.913532,1.027161,24.655677,292.478355,2.03171,15.163774,10.67696,1.142338,7.802883,92.561818,112
2022-04-22,2297.0,2306.0,2265.0,2273.300049,2269.148193,1786042,72.82632,7.167,106.650002,20638.519531,57197.148438,4271.779785,76.285202,137.111111,74.655556,164182.7,100.73551,9.8,116398.9,True,True,True,True,8.913827,1.025508,24.682984,292.691468,2.032185,14.880703,10.643952,1.149771,7.752697,91.931681,111
2022-04-25,2259.949951,2295.0,2242.600098,2284.199951,2280.028076,1683622,73.420272,7.043,102.32,19869.339844,56579.890625,4296.120117,76.463501,137.061905,74.609524,162484.75,100.732275,9.79,104748.75,True,True,True,True,8.914121,1.023855,24.71029,292.904581,2.032661,14.5279,10.856666,1.145156,7.784201,92.270388,110
2022-04-26,2297.0,2413.899902,2295.100098,2395.300049,2390.925537,3199358,78.563476,7.053,104.989998,19934.710938,57356.609375,4175.200195,76.527802,137.012698,74.563492,160786.8,100.72904,9.78,93098.6,True,True,True,True,8.914415,1.022202,24.737597,293.117694,2.033137,14.885864,10.85039,1.092871,8.156879,96.651488,109
2022-04-27,2404.949951,2420.949951,2325.0,2334.100098,2329.837402,2559876,70.473782,7.083,105.32,19946.359375,56819.390625,4183.959961,76.794098,136.963492,74.51746,159088.85,100.725805,9.77,81448.45,True,True,True,True,8.91471,1.020548,24.764903,293.330806,2.033613,14.869406,10.84203,1.122378,7.942696,94.078195,108
