,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2022-04-01,760.0,775.75,755.150024,774.549988,771.189819,9321859,62.399515,6.843,107.669998,22039.550781,59276.691406,4545.859863,75.909203,137.750794,75.253968,186256.05,100.777565,9.5,267850.85,True,True,False,True,8.723,0.049,75.04,421.801,0.852,15.7694,11.081075,4.77103,1.828326,10.27705,124
2022-04-04,780.0,785.5,767.0,784.099976,780.698425,10959783,64.621572,6.898,107.529999,22502.310547,60611.738281,4582.640137,75.994797,137.701587,75.207937,184558.1,100.77433,9.62,256200.7,True,True,False,True,8.76202,0.04902,75.080202,422.151524,0.856,15.588576,11.016932,4.737937,1.849332,10.398193,123
2022-04-05,776.0,796.0,776.0,783.099976,779.70282,7334134,64.193777,6.899,106.639999,22502.310547,60176.5,4525.120117,75.477997,137.652381,75.161905,182860.15,100.771095,9.74,244550.55,True,True,False,True,8.80104,0.04904,75.120403,422.502048,0.86,15.457313,10.940426,4.76907,1.845442,10.379375,122
2022-04-06,777.0,779.950012,769.200012,773.700012,770.343506,9954921,60.162038,6.917,101.07,22080.519531,59610.410156,4481.149902,75.450699,137.603175,75.115873,181162.2,100.76786,9.86,232900.4,True,True,False,True,8.84006,0.04906,75.160605,422.852573,0.864,14.611826,10.908009,4.852436,1.821778,10.249299,121
2022-04-07,769.5,795.0,769.200012,792.099976,788.663696,9820244,64.819761,6.914,100.580002,21808.980469,59034.949219,4500.209961,75.945099,137.553968,75.069841,179464.25,100.764625,9.98,221250.25,True,True,False,True,8.879081,0.049081,75.200806,423.203097,0.868,14.547296,10.984249,4.764584,1.863558,10.487437,120
2022-04-08,794.900024,800.700012,789.0,794.900024,791.451538,8104237,65.481164,7.119,102.779999,21872.009766,59447.179688,4488.279785,75.9132,137.504762,75.02381,177766.3,100.76139,10.1,209600.1,True,True,False,True,8.918101,0.049101,75.241008,423.553621,0.872,14.437421,10.663464,4.772616,1.868598,10.518885,119
2022-04-11,789.450012,794.25,784.049988,786.049988,782.639954,6340427,61.542861,7.149,98.480003,21208.300781,58964.570312,4412.529785,75.917297,137.455556,74.977778,176068.35,100.758155,10.0625,197949.95,True,True,False,True,8.957121,0.049121,75.28121,423.904145,0.876,13.775354,10.619289,4.851478,1.846266,10.396219,118
2022-04-12,780.099976,801.0,777.799988,798.450012,794.986145,7672215,64.742537,7.189,104.639999,21319.130859,58576.371094,4397.450195,75.836998,137.406349,74.931746,174370.4,100.75492,10.025,186299.8,True,True,False,True,8.996141,0.049141,75.321411,424.254669,0.88,14.555571,10.549033,4.800907,1.873842,10.554584,117
2022-04-13,805.799988,805.799988,790.849976,793.049988,789.609558,7640132,62.311158,7.215,108.779999,21374.369141,58338.929688,4446.589844,76.149803,137.357143,74.885714,172672.45,100.751685,9.9875,174649.65,True,True,False,True,9.035161,0.049161,75.361613,424.605194,0.884,15.076923,10.554373,4.858574,1.859632,10.47761,116
2022-04-18,780.0,801.650024,776.0,798.849976,795.384399,11478317,63.880164,7.153,113.160004,21374.369141,57166.738281,4391.689941,76.331398,137.307937,74.839683,170974.5,100.74845,9.95,162999.5,True,True,False,True,9.074181,0.049181,75.401815,424.955718,0.888,15.819936,10.671243,4.848128,1.871688,10.548611,115
2022-04-19,805.0,816.200012,785.549988,797.799988,794.338928,8711816,63.365873,7.151,107.25,21027.759766,56463.148438,4462.209961,76.280197,137.25873,74.793651,169276.55,100.745215,9.9125,151349.35,True,True,False,True,9.113202,0.049202,75.442016,425.306242,0.892,14.997902,10.667067,4.879405,1.867687,10.529132,114
2022-04-20,800.849976,802.450012,788.599976,794.700012,791.252441,6676491,61.784333,7.105,106.800003,20944.669922,57037.5,4459.450195,76.445396,137.209524,74.747619,167578.6,100.74198,9.875,139699.2,True,True,False,True,9.152222,0.049222,75.482218,425.656766,0.896,15.031668,10.75938,4.923467,1.858898,10.482634,113
2022-04-21,795.099976,804.0,790.549988,801.799988,798.321655,6851615,64.00051,7.144,108.330002,20682.220703,57911.679688,4393.660156,76.276199,137.160317,74.701587,165880.65,100.738745,9.8375,128049.05,True,True,False,True,9.191242,0.049242,75.522419,426.00729,0.9,15.163774,10.67696,4.90471,1.873962,10.570658,112
2022-04-22,796.0,798.0,778.200012,780.599976,777.213562,6255027,53.941602,7.167,106.650002,20638.519531,57197.148438,4271.779785,76.285202,137.111111,74.655556,164182.7,100.73551,9.8,116398.9,True,True,False,True,9.230262,0.049262,75.562621,426.357815,0.904,14.880703,10.643952,5.063466,1.822914,10.285688,111
