,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2022-04-01,7229.950195,7449.0,7220.299805,7408.100098,7313.279297,871513,66.420837,6.843,107.669998,22039.550781,59276.691406,4545.859863,75.909203,137.750794,75.253968,186256.05,100.777565,9.5,267850.85,True,True,True,False,23.465,0.111,190.333,899.571,4.719,15.7694,11.081075,2.886316,8.129741,38.423601,124
2022-04-04,7449.0,7590.899902,7430.0,7490.649902,7394.772461,1049759,68.367069,6.898,107.529999,22502.310547,60611.738281,4582.640137,75.994797,137.701587,75.207937,184558.1,100.77433,9.62,256200.7,True,True,True,False,23.459302,0.110976,190.521722,900.947766,4.717875,15.588576,11.016932,2.858182,8.20777,38.813278,123
2022-04-05,7435.0,7479.950195,7330.0,7388.450195,7293.880859,1072082,63.462925,6.899,106.639999,22502.310547,60176.5,4525.120117,75.477997,137.652381,75.161905,182860.15,100.771095,9.74,244550.55,True,True,True,False,23.453605,0.110952,190.710444,902.324532,4.71675,15.457313,10.940426,2.901441,8.083434,38.245839,122
2022-04-06,7350.0,7425.0,7300.0,7346.950195,7252.912109,767031,61.532712,6.917,101.07,22080.519531,59610.410156,4481.149902,75.450699,137.603175,75.115873,181162.2,100.76786,9.86,232900.4,True,True,True,False,23.447907,0.110927,190.899165,903.701298,4.715625,14.611826,10.908009,2.921572,8.025785,37.99342,121
2022-04-07,7310.0,7356.0,7270.0,7290.200195,7196.888184,718266,58.894774,6.914,100.580002,21808.980469,59034.949219,4500.209961,75.945099,137.553968,75.069841,179464.25,100.764625,9.98,221250.25,True,True,True,False,23.44221,0.110903,191.087887,905.078065,4.7145,14.547296,10.984249,2.948084,7.951677,37.662713,120
2022-04-08,7328.299805,7425.0,7260.0,7366.600098,7272.310059,881973,61.300131,7.119,102.779999,21872.009766,59447.179688,4488.279785,75.9132,137.504762,75.02381,177766.3,100.76139,10.1,209600.1,True,True,True,False,23.436512,0.110879,191.276609,906.454831,4.713375,14.437421,10.663464,2.921237,8.022805,38.019861,119
2022-04-11,7345.049805,7384.0,7295.0,7336.649902,7242.743652,597508,59.822259,7.149,98.480003,21208.300781,58964.570312,4412.529785,75.917297,137.455556,74.977778,176068.35,100.758155,10.0625,197949.95,True,True,True,False,23.430815,0.110855,191.465331,907.831597,4.71225,13.775354,10.619289,2.936903,7.97807,37.827964,118
2022-04-12,7299.950195,7299.950195,7220.0,7274.5,7181.388672,805598,56.764002,7.189,104.639999,21319.130859,58576.371094,4397.450195,75.836998,137.406349,74.931746,174370.4,100.75492,10.025,186299.8,True,True,True,False,23.425117,0.110831,191.654052,909.208363,4.711125,14.555571,10.549033,2.965765,7.898507,37.470581,117
2022-04-13,7313.0,7380.0,7282.049805,7328.450195,7234.648438,672317,58.736058,7.215,108.779999,21374.369141,58338.929688,4446.589844,76.149803,137.357143,74.885714,172672.45,100.751685,9.9875,174649.65,True,True,True,False,23.419419,0.110806,191.842774,910.585129,4.71,15.076923,10.554373,2.947673,7.945054,37.711342,116
2022-04-18,7265.5,7375.0,7231.600098,7261.450195,7168.506348,758222,55.359074,7.153,113.160004,21374.369141,57166.738281,4391.689941,76.331398,137.307937,74.839683,170974.5,100.74845,9.95,162999.5,False,True,True,False,23.413722,0.110782,192.031496,911.961895,4.708875,15.819936,10.671243,2.978643,7.860533,37.329847,115
2022-04-19,7300.0,7443.299805,7151.0,7259.549805,7166.630371,1191110,55.262022,7.151,107.25,21027.759766,56463.148438,4462.209961,76.280197,137.25873,74.793651,169276.55,100.745215,9.9125,151349.35,False,True,True,False,23.408024,0.110758,192.220218,913.338661,4.70775,14.997902,10.667067,2.983195,7.84663,37.283437,114
2022-04-20,7274.950195,7294.700195,6960.0,7032.5,6942.486816,1558181,45.090942,7.105,106.800003,20944.669922,57037.5,4459.450195,76.445396,137.209524,74.747619,167578.6,100.74198,9.875,139699.2,False,False,True,False,23.402327,0.110734,192.40894,914.715427,4.706625,15.031668,10.75938,3.083401,7.589778,36.081935,113
2022-04-21,7099.0,7187.0,7047.299805,7138.100098,7046.735352,875343,49.725574,7.144,108.330002,20682.220703,57911.679688,4393.660156,76.276199,137.160317,74.701587,165880.65,100.738745,9.8375,128049.05,False,True,True,False,23.396629,0.11071,192.597661,916.092194,4.7055,15.163774,10.67696,3.041617,7.692168,36.587855,112
2022-04-22,7080.0,7207.0,7071.399902,7110.75,7019.734863,807987,48.581842,7.167,106.650002,20638.519531,57197.148438,4271.779785,76.285202,137.111111,74.655556,164182.7,100.73551,9.8,116398.9,False,True,True,False,23.390931,0.110685,192.786383,917.46896,4.704375,14.880703,10.643952,3.05716,7.651196,36.411985,111
2022-04-25,7000.0,7074.950195,6950.0,7005.5,6915.83252,684953,44.35394,7.043,102.32,19869.339844,56579.890625,4296.120117,76.463501,137.061905,74.609524,162484.75,100.732275,9.79,104748.75,False,False,True,False,23.385234,0.110661,192.975105,918.845726,4.70325,14.5279,10.856666,3.10699,7.526653,35.837952,110
2022-04-26,7131.0,7262.950195,7097.0,7240.549805,7147.873047,1012419,53.984976,7.053,104.989998,19934.710938,57356.609375,4175.200195,76.527802,137.012698,74.563492,160786.8,100.72904,9.78,93098.6,False,True,True,False,23.379536,0.110637,193.163827,920.222492,4.702125,14.885864,10.85039,3.009899,7.767549,37.004201,109
2022-04-27,7100.0,7100.0,6688.850098,6714.100098,6628.162109,3984357,38.085575,7.083,105.32,19946.359375,56819.390625,4183.959961,76.794098,136.963492,74.51746,159088.85,100.725805,9.77,81448.45,False,False,True,False,23.373839,0.110613,193.352548,921.599258,4.701,14.869406,10.84203,3.249968,7.192022,34.28019,108
2022-04-28,6748.0,6805.0,6580.0,6727.649902,6641.538574,2499094,38.586912,7.155,107.589996,20276.169922,57521.058594,4287.5,76.472198,136.914286,74.471429,157390.9,100.72257,9.76,69798.3,False,False,True,False,23.368141,0.110589,193.54127,922.976024,4.699875,15.037037,10.687938,3.247476,7.195787,34.315878,107
2022-04-29,6800.0,6823.600098,6651.0,6671.799805,6586.402832,1337517,37.248106,7.139,109.339996,21089.390625,57060.871094,4131.930176,76.588997,136.865079,74.425397,155692.95,100.719335,9.75,58148.15,False,False,True,False,23.362444,0.110565,193.729992,924.35279,4.69875,15.31587,10.728253,3.278746,7.125421,33.997848,106
2022-05-02,6550.0,6649.850098,6525.5,6626.149902,6541.337402,1238741,36.144238,7.119,109.360001,21089.390625,56975.988281,4155.379883,76.523102,136.766667,74.333333,154883.0,100.7123,9.73,56238.619048,False,False,True,False,23.356746,0.11054,193.918714,925.729556,4.697625,15.361708,10.749136,3.305445,7.066143,33.732368,105
