,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2022-04-01,3210.0,3237.899902,3191.649902,3230.649902,3082.217041,260712,48.333855,6.843,107.669998,22039.550781,59276.691406,4545.859863,75.909203,137.750794,75.253968,186256.05,100.777565,9.5,267850.85,False,False,True,False,76.219,1.894,83.305,146.731,27.509,15.7694,11.081075,3.628456,21.005902,36.999184,124
2022-04-04,3230.0,3276.399902,3215.0,3270.0,3119.759033,275388,51.906018,6.898,107.529999,22502.310547,60611.738281,4582.640137,75.994797,137.701587,75.207937,184558.1,100.77433,9.62,256200.7,False,False,True,False,76.142496,1.893605,83.324532,146.799173,27.49173,15.588576,11.016932,3.582859,21.251884,37.441063,123
2022-04-05,3280.0,3314.949951,3271.899902,3303.399902,3151.624512,236853,54.76483,6.899,106.639999,22502.310547,60176.5,4525.120117,75.477997,137.652381,75.161905,182860.15,100.771095,9.74,244550.55,False,False,True,False,76.065992,1.89321,83.344065,146.867347,27.47446,15.457313,10.940426,3.544715,21.458987,37.814625,122
2022-04-06,3282.0,3295.0,3254.649902,3282.5,3131.685059,245111,52.655604,6.917,101.07,22080.519531,59610.410156,4481.149902,75.450699,137.603175,75.115873,181162.2,100.76786,9.86,232900.4,False,False,True,False,75.989488,1.892815,83.363597,146.93552,27.45719,14.611826,10.908009,3.565351,21.313329,37.566578,121
2022-04-07,3275.0,3322.0,3265.649902,3294.100098,3142.751953,302703,53.720991,6.914,100.580002,21808.980469,59034.949219,4500.209961,75.945099,137.553968,75.069841,179464.25,100.764625,9.98,221250.25,False,False,True,False,75.912984,1.892419,83.383129,147.003694,27.439919,14.547296,10.984249,3.550865,21.378728,37.690502,120
2022-04-08,3287.0,3354.300049,3287.0,3347.899902,3194.080078,168952,58.396922,7.119,102.779999,21872.009766,59447.179688,4488.279785,75.9132,137.504762,75.02381,177766.3,100.76139,10.1,209600.1,False,False,False,False,75.83648,1.892024,83.402661,147.071867,27.422649,14.437421,10.663464,3.491901,21.717818,38.2971,119
2022-04-11,3347.899902,3370.0,3297.050049,3350.649902,3196.703857,186130,58.627033,7.149,98.480003,21208.300781,58964.570312,4412.529785,75.917297,137.455556,74.977778,176068.35,100.758155,10.0625,197949.95,False,False,False,False,75.759976,1.891629,83.422194,147.14004,27.405379,13.775354,10.619289,3.487131,21.725588,38.319585,118
2022-04-12,3340.0,3364.899902,3302.300049,3344.100098,3190.454834,238043,57.806923,7.189,104.639999,21319.130859,58576.371094,4397.450195,75.836998,137.406349,74.931746,174370.4,100.75492,10.025,186299.8,False,False,False,False,75.683472,1.891234,83.441726,147.208214,27.388109,14.555571,10.549033,3.49205,21.673076,38.235724,117
2022-04-13,3340.0,3388.0,3340.0,3349.649902,3195.749756,205852,58.338714,7.215,108.779999,21374.369141,58338.929688,4446.589844,76.149803,137.357143,74.885714,172672.45,100.751685,9.9875,174649.65,False,False,False,False,75.606968,1.890839,83.461258,147.276387,27.370839,15.076923,10.554373,3.484353,21.698996,38.290218,116
2022-04-18,3345.0,3367.899902,3306.050049,3343.899902,3190.263916,197878,57.529681,7.153,113.160004,21374.369141,57166.738281,4391.689941,76.331398,137.307937,74.839683,170974.5,100.74845,9.95,162999.5,False,False,False,False,75.530464,1.890444,83.48079,147.34456,27.353569,15.819936,10.671243,3.488427,21.651725,38.215545,115
2022-04-19,3343.899902,3388.0,3245.300049,3267.899902,3117.755615,296680,48.045628,7.151,107.25,21027.759766,56463.148438,4462.209961,76.280197,137.25873,74.793651,169276.55,100.745215,9.9125,151349.35,False,False,False,False,75.45396,1.890048,83.500323,147.412734,27.336298,14.997902,10.667067,3.56759,21.149839,37.338246,114
