,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2022-04-01,2457.149902,2494.75,2422.0,2481.199951,2411.172363,745769,53.743563,6.843,107.669998,22039.550781,59276.691406,4545.859863,75.909203,137.750794,75.253968,186256.05,100.777565,9.5,267850.85,False,False,False,False,21.117,0.801,97.944,547.782,16.464,15.7694,11.081075,4.797464,4.401701,24.617867,124
2022-04-04,2495.0,2518.100098,2455.550049,2508.949951,2438.13916,660191,56.29661,6.898,107.529999,22502.310547,60611.738281,4582.640137,75.994797,137.701587,75.207937,184558.1,100.77433,9.62,256200.7,False,False,False,False,21.12952,0.800863,98.053202,548.230714,16.473847,15.588576,11.016932,4.751104,4.447287,24.865472,123
2022-04-05,2525.0,2600.0,2510.0,2543.449951,2471.665283,1240010,59.303932,6.899,106.639999,22502.310547,60176.5,4525.120117,75.477997,137.652381,75.161905,182860.15,100.771095,9.74,244550.55,False,False,False,False,21.14204,0.800726,98.162403,548.679427,16.483694,15.457313,10.940426,4.693274,4.504753,25.179348,122
2022-04-06,2531.0,2555.449951,2522.050049,2530.699951,2459.275391,469837,57.723084,6.917,101.07,22080.519531,59610.410156,4481.149902,75.450699,137.603175,75.115873,181162.2,100.76786,9.86,232900.4,False,False,False,False,21.15456,0.800589,98.271605,549.128141,16.49354,14.611826,10.908009,4.723572,4.478509,25.02529,121
2022-04-07,2523.0,2577.899902,2512.0,2538.399902,2466.758057,451071,58.443541,6.914,100.580002,21808.980469,59034.949219,4500.209961,75.945099,137.553968,75.069841,179464.25,100.764625,9.98,221250.25,False,False,False,False,21.167081,0.800452,98.380806,549.576855,16.503387,14.547296,10.984249,4.715881,4.488468,25.07357,120
2022-04-08,2548.0,2573.850098,2515.600098,2555.199951,2483.083984,800707,60.043465,7.119,102.779999,21872.009766,59447.179688,4488.279785,75.9132,137.504762,75.02381,177766.3,100.76139,10.1,209600.1,False,False,False,False,21.179601,0.800315,98.490008,550.025569,16.513234,14.437421,10.663464,4.691473,4.514488,25.211532,119
2022-04-11,2549.899902,2565.0,2540.0,2545.600098,2473.755127,332108,58.653845,7.149,98.480003,21208.300781,58964.570312,4412.529785,75.917297,137.455556,74.977778,176068.35,100.758155,10.0625,197949.95,False,False,False,False,21.192121,0.800177,98.59921,550.474282,16.523081,13.775354,10.619289,4.715793,4.493861,25.088995,118
2022-04-12,2534.0,2537.600098,2496.050049,2521.800049,2450.626709,359805,55.240458,7.189,104.639999,21319.130859,58576.371094,4397.450195,75.836998,137.406349,74.931746,174370.4,100.75492,10.025,186299.8,False,False,False,False,21.204641,0.80004,98.708411,550.922996,16.532927,14.555571,10.549033,4.766995,4.44822,24.826929,117
2022-04-13,2530.0,2555.0,2479.550049,2491.449951,2421.133057,383935,51.152357,7.215,108.779999,21374.369141,58338.929688,4446.589844,76.149803,137.357143,74.885714,172672.45,100.751685,9.9875,174649.65,False,False,False,False,21.217161,0.799903,98.817613,551.37171,16.542774,15.076923,10.554373,4.831846,4.391109,24.501028,116
2022-04-18,2480.0,2531.100098,2456.149902,2511.0,2440.131348,322926,53.53763,7.153,113.160004,21374.369141,57166.738281,4391.689941,76.331398,137.307937,74.839683,170974.5,100.74845,9.95,162999.5,False,False,False,False,21.229681,0.799766,98.926815,551.820423,16.552621,15.819936,10.671243,4.80096,4.421966,24.666026,115
2022-04-19,2516.0,2574.899902,2421.100098,2454.850098,2385.566406,636517,46.512561,7.151,107.25,21027.759766,56463.148438,4462.209961,76.280197,137.25873,74.793651,169276.55,100.745215,9.9125,151349.35,False,False,False,False,21.242202,0.799629,99.036016,552.269137,16.562468,14.997902,10.667067,4.917663,4.319572,24.087867,114
2022-04-20,2480.0,2578.5,2465.399902,2536.800049,2465.203369,1193877,55.657765,7.105,106.800003,20944.669922,57037.5,4459.450195,76.445396,137.209524,74.747619,167578.6,100.74198,9.875,139699.2,False,False,False,False,21.254722,0.799492,99.145218,552.717851,16.572315,15.031668,10.75938,4.765475,4.460148,24.864572,113
2022-04-21,2550.0,2674.449951,2541.699951,2651.5,2576.665771,1090334,64.743832,7.144,108.330002,20682.220703,57911.679688,4393.660156,76.276199,137.160317,74.701587,165880.65,100.738745,9.8375,128049.05,True,True,False,False,21.267242,0.799355,99.254419,553.166565,16.582161,15.163774,10.67696,4.565717,4.658029,25.960212,112
2022-04-22,2630.949951,2637.0,2582.0,2631.5,2557.230469,829575,62.344939,7.167,106.650002,20638.519531,57197.148438,4271.779785,76.285202,137.111111,74.655556,164182.7,100.73551,9.8,116398.9,True,True,False,False,21.279762,0.799218,99.363621,553.615278,16.592008,14.880703,10.643952,4.606859,4.619147,25.736084,111
2022-04-25,2610.0,2650.0,2580.0,2594.149902,2520.93457,630796,58.021327,7.043,102.32,19869.339844,56579.890625,4296.120117,76.463501,137.061905,74.609524,162484.75,100.732275,9.79,104748.75,False,False,False,False,21.292282,0.799081,99.472823,554.063992,16.601855,14.5279,10.856666,4.679728,4.549898,25.342948,110
2022-04-26,2613.0,2665.550049,2613.0,2649.300049,2574.528076,616251,62.190812,7.053,104.989998,19934.710938,57356.609375,4175.200195,76.527802,137.012698,74.563492,160786.8,100.72904,9.78,93098.6,True,True,False,False,21.304802,0.798944,99.582024,554.512706,16.611702,14.885864,10.85039,4.588718,4.642866,25.853341,109
2022-04-27,2625.0,2672.949951,2605.0,2655.449951,2580.504639,499338,62.636476,7.083,105.32,19946.359375,56819.390625,4183.959961,76.794098,136.963492,74.51746,159088.85,100.725805,9.77,81448.45,True,True,False,False,21.317323,0.798806,99.691226,554.961419,16.621548,14.869406,10.84203,4.584488,4.649881,25.884973,108
2022-04-28,2683.949951,2704.0,2666.0,2679.949951,2604.312988,739026,64.434999,7.155,107.589996,20276.169922,57521.058594,4287.5,76.472198,136.914286,74.471429,157390.9,100.72257,9.76,69798.3,True,True,False,False,21.329843,0.798669,99.800427,555.410133,16.631395,15.037037,10.687938,4.54892,4.688991,26.095209,107
2022-04-29,2684.0,2707.649902,2620.0,2630.350098,2556.112793,479794,58.315052,7.139,109.339996,21089.390625,57060.871094,4131.930176,76.588997,136.865079,74.425397,155692.95,100.719335,9.75,58148.15,True,True,False,False,21.342363,0.798532,99.909629,555.858847,16.641242,15.31587,10.728253,4.641165,4.598493,25.584249,106
2022-05-02,2624.899902,2626.75,2521.550049,2552.5,2480.460205,497152,50.248108,7.119,109.360001,21089.390625,56975.988281,4155.379883,76.523102,136.766667,74.333333,154883.0,100.7123,9.73,56238.619048,False,False,False,False,21.354883,0.798395,100.018831,556.30756,16.651089,15.361708,10.749136,4.789387,4.458793,24.799932,105
2022-05-04,2523.0,2562.0,2455.600098,2483.199951,2413.115967,515077,44.364748,7.378,110.139999,20869.519531,55669.03125,4300.169922,76.4673,136.71746,74.287302,155771.0,100.7085,9.72,65979.238095,False,False,False,False,21.367403,0.798258,100.128032,556.756274,16.660935,14.928165,10.364232,4.929906,4.334241,24.100304,104
2022-05-05,2494.050049,2529.199951,2419.949951,2433.550049,2364.867432,477759,40.68895,7.403,110.900002,20793.400391,55702.230469,4146.870117,76.001602,136.668254,74.24127,156659.0,100.7047,9.71,75719.857143,False,False,False,False,21.379923,0.798121,100.237234,557.204988,16.670782,14.980414,10.266325,5.037492,4.244161,23.592704,103
2022-05-06,2410.0,2418.199951,2351.350098,2362.449951,2295.773926,407390,36.07892,7.451,112.389999,20001.960938,54835.578125,4123.339844,76.541801,136.619048,74.195238,157547.0,100.7009,9.7,85460.47619,False,False,False,False,21.392444,0.797984,100.346435,557.653702,16.680629,15.083881,10.272688,5.19632,4.116845,22.87848,102
2022-05-09,2344.949951,2370.449951,2310.0,2344.300049,2278.13623,403218,34.989115,7.465,105.940002,20001.960938,54470.671875,3991.23999,76.957497,136.569841,74.149206,158435.0,100.6971,9.66,95201.095238,False,False,False,False,21.404964,0.797847,100.455637,558.102415,16.690476,14.191561,10.309109,5.243831,4.081932,22.678033,101
2022-05-10,2344.300049,2441.699951,2334.949951,2415.550049,2347.375488,841473,42.350901,7.301,102.459999,19633.689453,54364.851562,4001.050049,77.365501,136.520635,74.103175,159323.0,100.6933,9.62,104941.714286,False,False,False,False,21.417484,0.79771,100.564839,558.551129,16.700323,14.033694,10.596562,5.096228,4.202615,23.341911,100
2022-05-11,2396.25,2433.600098,2353.0,2389.149902,2321.720459,459255,40.519968,7.215,107.510002,19824.570312,54088.390625,3935.179932,77.2714,136.471429,74.057143,160211.0,100.6895,9.58,114682.333333,False,False,False,False,21.430004,0.797573,100.67404,558.999843,16.710169,14.900901,10.709827,5.159695,4.153347,23.061759,99
2022-05-12,2369.0,2401.0,2332.149902,2384.649902,2317.347412,419477,40.200935,7.244,107.449997,19380.339844,52930.308594,3930.080078,77.418404,136.422222,74.011111,161099.0,100.6857,9.54,124422.952381,False,False,False,False,21.442524,0.797435,100.783242,559.448556,16.720016,14.832965,10.687245,5.176604,4.142199,22.99338,98
2022-05-13,2400.0,2483.0,2397.850098,2432.649902,2363.992676,650616,45.160824,7.318,111.550003,19898.769531,52793.621094,4023.889893,77.443802,136.373016,73.965079,161987.0,100.6819,9.5,134163.571429,False,False,False,False,21.455044,0.797298,100.892444,559.89727,16.729863,15.243236,10.582646,5.081497,4.22219,23.43082,97
2022-05-16,2519.899902,2628.399902,2494.649902,2617.949951,2544.062988,2801368,59.22202,7.318,114.239998,19950.210938,52973.839844,4008.01001,77.486298,136.32381,73.919048,162875.0,100.6781,9.46,143904.190476,True,True,False,False,21.467565,0.797161,101.001645,560.345984,16.73971,15.243236,10.582646,4.728367,4.540165,25.188332,96
2022-05-17,2610.0,2714.699951,2600.149902,2706.699951,2630.308105,1462487,63.985131,7.366,111.93,20602.519531,54318.46875,4088.850098,77.805397,136.274603,73.873016,163763.0,100.6743,9.42,153644.809524,True,True,False,False,21.480085,0.797024,101.110847,560.794698,16.749556,15.195493,10.562775,4.57966,4.690323,26.014104,95
2022-05-18,2699.0,2769.899902,2683.399902,2696.0,2619.909912,1173271,63.029247,7.355,109.110001,20644.279297,54208.53125,3923.679932,77.372398,136.225397,73.826984,164651.0,100.6705,9.38,163385.428571,True,True,False,False,21.492605,0.796887,101.220048,561.243411,16.759403,14.834806,10.519701,4.604198,4.668046,25.88331,94
2022-05-19,2622.0,2738.0,2622.0,2650.5,2575.694336,1592952,58.99332,7.32,112.040001,20120.679688,52792.230469,3900.790039,77.82,136.17619,73.780952,165539.0,100.6667,9.34,173126.047619,True,True,False,False,21.505125,0.79675,101.32925,561.692125,16.76925,15.306011,10.631147,4.68971,4.585598,25.41906,93
2022-05-20,2693.949951,2720.0,2652.149902,2707.800049,2631.377197,687007,62.269877,7.359,112.550003,20717.240234,54326.390625,3901.360107,77.421097,136.126984,73.734921,166427.0,100.6629,9.3,182866.666667,True,True,False,False,21.517645,0.796613,101.438452,562.140839,16.779097,15.294198,10.5206,4.596812,4.680993,25.940629,92
2022-05-23,2721.0,2767.5,2715.050049,2741.300049,2663.931641,892535,64.077089,7.386,113.419998,20470.060547,54288.609375,3973.75,77.818398,136.077778,73.688889,167315.0,100.6591,9.3,192607.285714,True,True,False,False,21.530165,0.796476,101.547653,562.589552,16.788944,15.356079,10.535933,4.546906,4.735125,26.233316,91
2022-05-24,2745.949951,2769.899902,2702.100098,2719.300049,2642.55249,481731,61.977578,7.359,113.559998,20112.099609,54052.609375,3941.47998,77.526802,136.028571,73.642857,168203.0,100.6553,9.3,202347.904762,True,True,False,False,21.542685,0.796339,101.656855,563.038266,16.79879,15.431444,10.534964,4.590015,4.69338,25.994828,90
2022-05-25,2734.0,2749.850098,2673.0,2686.149902,2610.337891,556605,58.848625,7.305,114.029999,20171.269531,53749.261719,3978.72998,77.478798,135.979365,73.596825,169091.0,100.6515,9.3,212088.52381,True,True,False,False,21.555206,0.796202,101.766056,563.48698,16.808637,15.609856,10.606269,4.653067,4.632472,25.650379,89
2022-05-26,2700.100098,2738.899902,2663.949951,2725.100098,2648.188965,854405,61.319578,7.294,117.400002,20116.199219,54252.53125,4057.840088,77.497299,135.930159,73.550794,169979.0,100.6477,9.3,221829.142857,True,True,False,False,21.567726,0.796065,101.875258,563.935694,16.818484,16.095421,10.624801,4.592879,4.695906,25.994427,88
2022-05-27,2736.199951,2765.0,2729.699951,2742.100098,2664.708984,404877,62.381293,7.35,119.43,20697.359375,54884.660156,4158.240234,77.630203,135.880952,73.504762,170867.0,100.6439,9.3,231569.761905,True,True,False,False,21.580246,0.795927,101.98446,564.384407,16.828331,16.24898,10.561932,4.570688,4.721443,26.128579,87
2022-05-30,2755.300049,2796.0,2742.850098,2758.449951,2680.597412,589423,63.421204,7.409,119.43,21123.929688,55925.738281,4158.240234,77.692001,135.831746,73.45873,171755.0,100.6401,9.3,241310.380952,True,True,False,False,21.592766,0.79579,102.093661,564.833121,16.838177,16.24898,10.486166,4.549848,4.745822,26.256257,86
2022-05-31,2770.0,2818.649902,2717.199951,2780.75,2702.268066,1766731,64.848494,7.415,122.839996,21415.199219,55566.410156,4132.149902,77.520897,135.78254,73.412698,172643.0,100.6363,9.3,251051.0,True,True,False,False,21.605286,0.795653,102.202863,565.281835,16.848024,16.566419,10.454605,4.519565,4.780391,26.440238,85
2022-06-01,2770.149902,2818.0,2752.0,2771.699951,2693.473389,358924,63.761145,7.414,116.290001,21294.939453,55381.171875,4101.22998,77.598999,135.733333,73.366667,172971.954545,100.632141,9.3,252175.409091,True,True,False,False,21.617806,0.795516,102.312065,565.730548,16.857871,15.68519,10.46655,4.540551,4.761053,26.326058,84
2022-06-02,2777.399902,2785.350098,2715.050049,2723.550049,2646.682861,558032,58.172389,7.434,117.610001,21082.130859,55818.109375,4176.819824,77.584099,135.684127,73.320635,173300.909091,100.627982,9.3,253299.818182,True,True,False,False,21.630327,0.795379,102.421266,566.179262,16.867718,15.820554,10.436387,4.627167,4.674638,25.841146,83
2022-06-03,2741.0,2766.649902,2661.5,2685.25,2609.463379,808873,54.10962,7.456,119.720001,21082.130859,55769.230469,4108.540039,77.360497,135.634921,73.274603,173629.863636,100.623823,9.3,254424.227273,True,True,False,False,21.642847,0.795242,102.530468,566.627976,16.877565,16.056867,10.375603,4.699603,4.60525,25.450614,82
2022-06-06,2683.0,2696.0,2638.050049,2653.100098,2578.220947,906875,50.896282,7.5,119.510002,21653.900391,55675.320312,4121.430176,77.694199,135.585714,73.228571,173958.818182,100.619664,9.2,255548.636364,True,True,False,False,21.655367,0.795105,102.639669,567.07669,16.887411,15.934667,10.359226,4.763073,4.546512,25.119147,81
2022-06-07,2629.399902,2656.800049,2610.600098,2647.899902,2573.16748,453936,50.37518,7.518,120.57,21531.669922,55107.339844,4160.680176,77.820999,135.536508,73.18254,174287.772727,100.615505,9.1,256673.045455,True,True,False,False,21.667887,0.794968,102.748871,567.525403,16.897258,16.03751,10.35129,4.778965,4.534013,25.043268,80
2022-06-08,2661.100098,2674.800049,2619.149902,2649.149902,2574.38208,260633,50.506358,7.494,123.580002,22014.589844,54892.488281,4115.77002,77.670601,135.487302,73.136508,174616.727273,100.611345,9.0,257797.454545,True,True,False,False,21.680407,0.794831,102.858073,567.974117,16.907105,16.490526,10.364372,4.783249,4.532569,25.028488,79
