,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2022-04-01,569.900024,577.0,561.450012,570.5,558.446167,15300787,46.534451,6.843,107.669998,22039.550781,59276.691406,4545.859863,75.909203,137.750794,75.253968,186256.05,100.777565,9.5,267850.85,True,True,True,True,11.673,0.991,47.261,426.735,4.5088,15.7694,11.081075,8.919889,1.308649,11.816216,124
2022-04-04,572.0,589.650024,569.049988,587.5,575.086975,15845385,51.66274,6.898,107.529999,22502.310547,60611.738281,4582.640137,75.994797,137.701587,75.207937,184558.1,100.77433,9.62,256200.7,True,True,True,True,11.666685,0.990798,47.252637,426.941718,4.50855,15.588576,11.016932,8.661289,1.346992,12.170474,123
2022-04-05,590.950012,590.950012,582.049988,586.849976,574.450745,7065571,51.45949,6.899,106.639999,22502.310547,60176.5,4525.120117,75.477997,137.652381,75.161905,182860.15,100.771095,9.74,244550.55,True,True,True,True,11.660371,0.990597,47.244274,427.148435,4.508301,15.457313,10.940426,8.670385,1.34485,12.159161,122
2022-04-06,582.950012,589.450012,576.049988,581.25,568.969116,9648592,49.647361,6.917,101.07,22080.519531,59610.410156,4481.149902,75.450699,137.603175,75.115873,181162.2,100.76786,9.86,232900.4,True,True,True,True,11.654056,0.990395,47.235911,427.355153,4.508051,14.611826,10.908009,8.753412,1.331373,12.045266,121
2022-04-07,581.400024,584.900024,569.0,574.75,562.606384,9357569,47.554098,6.914,100.580002,21808.980469,59034.949219,4500.209961,75.945099,137.553968,75.069841,179464.25,100.764625,9.98,221250.25,True,True,True,True,11.647742,0.990194,47.227548,427.561871,4.507802,14.547296,10.984249,8.851891,1.315848,11.912674,120
2022-04-08,579.400024,584.549988,578.299988,581.75,569.458496,7157576,49.999076,7.119,102.779999,21872.009766,59447.179688,4488.279785,75.9132,137.504762,75.02381,177766.3,100.76139,10.1,209600.1,True,True,True,True,11.641427,0.989992,47.219185,427.768589,4.507552,14.437421,10.663464,8.744864,1.33123,12.059897,119
2022-04-11,583.400024,587.450012,574.549988,576.349976,564.172607,8297062,48.134822,7.149,98.480003,21208.300781,58964.570312,4412.529785,75.917297,137.455556,74.977778,176068.35,100.758155,10.0625,197949.95,True,True,True,True,11.635113,0.98979,47.210823,427.975306,4.507302,13.775354,10.619289,8.826272,1.318236,11.950069,118
2022-04-12,570.599976,570.799988,538.599976,542.349976,530.89093,16701775,38.421188,7.189,104.639999,21319.130859,58576.371094,4397.450195,75.836998,137.406349,74.931746,174370.4,100.75492,10.025,186299.8,True,True,True,True,11.628798,0.989589,47.20246,428.182024,4.507053,14.555571,10.549033,9.379031,1.239872,11.247103,117
2022-04-13,547.0,551.900024,543.549988,546.75,535.197998,7396320,40.10568,7.215,108.779999,21374.369141,58338.929688,4446.589844,76.149803,137.357143,74.885714,172672.45,100.751685,9.9875,174649.65,True,True,True,True,11.622484,0.989387,47.194097,428.388742,4.506803,15.076923,10.554373,9.302989,1.249328,11.340359,116
2022-04-18,544.950012,555.650024,537.400024,545.349976,533.827576,7550655,39.733239,7.153,113.160004,21374.369141,57166.738281,4391.689941,76.331398,137.307937,74.839683,170974.5,100.74845,9.95,162999.5,True,True,True,True,11.616169,0.989185,47.185734,428.59546,4.506554,15.819936,10.671243,9.326302,1.245528,11.313326,115
2022-04-19,552.0,556.200012,537.599976,540.799988,529.373718,8143101,38.482481,7.151,107.25,21027.759766,56463.148438,4462.209961,76.280197,137.25873,74.793651,169276.55,100.745215,9.9125,151349.35,True,True,True,True,11.609855,0.988984,47.177371,428.802177,4.506304,14.997902,10.667067,9.40419,1.234541,11.220925,114
2022-04-20,544.950012,549.0,536.599976,545.0,533.484985,4725779,40.349124,7.105,106.800003,20944.669922,57037.5,4459.450195,76.445396,137.209524,74.747619,167578.6,100.74198,9.875,139699.2,True,True,True,True,11.60354,0.988782,47.169008,429.008895,4.506054,15.031668,10.75938,9.331138,1.243529,11.310074,113
2022-04-21,545.0,547.349976,531.450012,540.25,528.835327,8575442,38.911108,7.144,108.330002,20682.220703,57911.679688,4393.660156,76.276199,137.160317,74.701587,165880.65,100.738745,9.8375,128049.05,True,True,True,True,11.597226,0.988581,47.160645,429.215613,4.505805,15.163774,10.67696,9.412591,1.232097,11.213488,112
