,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2022-04-01,250.0,255.350006,248.800003,253.300003,234.495789,14305709,66.92865,6.843,107.669998,22039.550781,59276.691406,4545.859863,75.909203,137.750794,75.253968,186256.05,100.777565,9.5,267850.85,True,True,True,True,29.164,0.861,15.264,55.645,23.528,15.7694,11.081075,6.920511,4.214139,15.36267,124
2022-04-04,253.100006,257.899994,251.100006,255.449997,236.486176,15907398,68.740047,6.898,107.529999,22502.310547,60611.738281,4582.640137,75.994797,137.701587,75.207937,184558.1,100.77433,9.62,256200.7,True,True,True,True,29.16125,0.860718,15.266306,55.661266,23.525972,15.588576,11.016932,6.863624,4.248667,15.490726,123
2022-04-05,256.049988,261.850006,255.100006,259.450012,240.18924,27183142,71.831319,6.899,106.639999,22502.310547,60176.5,4525.120117,75.477997,137.652381,75.161905,182860.15,100.771095,9.74,244550.55,True,True,True,True,29.1585,0.860435,15.268613,55.677532,23.523944,15.457313,10.940426,6.759143,4.313935,15.730914,122
2022-04-06,257.5,263.350006,257.299988,259.600006,240.328094,19597941,71.943361,6.917,101.07,22080.519531,59610.410156,4481.149902,75.450699,137.603175,75.115873,181162.2,100.76786,9.86,232900.4,True,True,True,True,29.15575,0.860153,15.270919,55.693798,23.521915,14.611826,10.908009,6.756574,4.315168,15.737631,121
2022-04-07,258.0,262.200012,255.800003,256.649994,237.597092,16061089,66.353352,6.914,100.580002,21808.980469,59034.949219,4500.209961,75.945099,137.553968,75.069841,179464.25,100.764625,9.98,221250.25,True,True,True,True,29.153,0.859871,15.273226,55.710065,23.519887,14.547296,10.984249,6.835587,4.264886,15.556445,120
2022-04-08,258.0,268.850006,256.0,267.799988,247.919327,37826800,74.437873,7.119,102.779999,21872.009766,59447.179688,4488.279785,75.9132,137.504762,75.02381,177766.3,100.76139,10.1,209600.1,True,True,True,True,29.15025,0.859589,15.275532,55.726331,23.517859,14.437421,10.663464,6.552278,4.448872,16.229832,119
2022-04-11,268.75,273.149994,266.0,267.5,247.641617,46147653,73.923229,7.149,98.480003,21208.300781,58964.570312,4412.529785,75.917297,137.455556,74.977778,176068.35,100.758155,10.0625,197949.95,True,True,True,True,29.1475,0.859306,15.277839,55.742597,23.515831,13.775354,10.619289,6.560922,4.442592,16.209205,118
2022-04-12,266.899994,268.649994,263.100006,264.799988,245.142044,23553762,69.280524,7.189,104.639999,21319.130859,58576.371094,4397.450195,75.836998,137.406349,74.931746,174370.4,100.75492,10.025,186299.8,True,True,True,True,29.14475,0.859024,15.280145,55.758863,23.513802,14.555571,10.549033,6.629129,4.396468,16.043175,117
2022-04-13,265.299988,270.600006,263.649994,269.549988,249.539429,21414383,72.547088,7.215,108.779999,21374.369141,58338.929688,4446.589844,76.149803,137.357143,74.885714,172672.45,100.751685,9.9875,174649.65,True,True,True,True,29.142,0.858742,15.282452,55.775129,23.511774,15.076923,10.554373,6.513595,4.474027,16.328495,116
2022-04-18,268.0,272.5,267.25,270.100006,250.048615,24399444,72.906351,7.153,113.160004,21374.369141,57166.738281,4391.689941,76.331398,137.307937,74.839683,170974.5,100.74845,9.95,162999.5,True,True,True,True,29.13925,0.85846,15.284758,55.791395,23.509746,15.819936,10.671243,6.501613,4.481849,16.359344,115
