,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2022-04-01,1749.300049,1780.0,1745.599976,1776.650024,1772.177856,2373773,50.257305,6.843,107.669998,22039.550781,59276.691406,4545.859863,75.909203,137.750794,75.253968,186256.05,100.777565,9.5,267850.85,False,False,True,False,14.25,0.089,74.94,562.854,2.558,15.7694,11.081075,4.525883,3.148557,23.647956,124
2022-04-04,1787.0,1840.0,1735.0,1836.050049,1831.428467,3997566,57.403743,6.898,107.529999,22502.310547,60611.738281,4582.640137,75.994797,137.701587,75.207937,184558.1,100.77433,9.62,256200.7,False,False,True,False,14.253161,0.089044,75.006573,563.220746,2.558266,15.588576,11.016932,4.383287,3.251706,24.416906,123
2022-04-05,1836.050049,1838.050049,1794.199951,1802.199951,1797.663574,2132871,52.752576,6.899,106.639999,22502.310547,60176.5,4525.120117,75.477997,137.652381,75.161905,182860.15,100.771095,9.74,244550.55,False,False,True,False,14.256323,0.089089,75.073145,563.587492,2.558532,15.457313,10.940426,4.469515,3.18968,23.945494,122
2022-04-06,1787.5,1793.0,1771.75,1779.400024,1774.921143,2349001,49.824241,6.917,101.07,22080.519531,59610.410156,4481.149902,75.450699,137.603175,75.115873,181162.2,100.76786,9.86,232900.4,False,False,True,False,14.259484,0.089133,75.139718,563.954238,2.558798,14.611826,10.908009,4.530734,3.147279,23.62161,121
2022-04-07,1771.0,1792.0,1763.0,1766.449951,1762.003662,4388783,48.188029,6.914,100.580002,21808.980469,59034.949219,4500.209961,75.945099,137.553968,75.069841,179464.25,100.764625,9.98,221250.25,False,False,True,False,14.262645,0.089177,75.20629,564.320984,2.559065,14.547296,10.984249,4.56793,3.122343,23.42894,120
2022-04-08,1775.25,1790.0,1756.099976,1784.5,1780.008179,2381671,50.622042,7.119,102.779999,21872.009766,59447.179688,4488.279785,75.9132,137.504762,75.02381,177766.3,100.76139,10.1,209600.1,False,False,True,False,14.265806,0.089222,75.272863,564.68773,2.559331,14.437421,10.663464,4.525668,3.152199,23.647409,119
2022-04-11,1775.0,1806.150024,1763.300049,1783.449951,1778.960693,1917942,50.473492,7.149,98.480003,21208.300781,58964.570312,4412.529785,75.917297,137.455556,74.977778,176068.35,100.758155,10.0625,197949.95,False,False,True,False,14.268968,0.089266,75.339435,565.054476,2.559597,13.775354,10.619289,4.532278,3.148299,23.61261,118
2022-04-12,1771.050049,1812.650024,1770.0,1801.849976,1797.314453,2412242,53.072192,7.189,104.639999,21319.130859,58576.371094,4397.450195,75.836998,137.406349,74.931746,174370.4,100.75492,10.025,186299.8,False,False,True,False,14.272129,0.08931,75.406008,565.421222,2.559863,14.555571,10.549033,4.489901,3.178718,23.835162,117
2022-04-13,1807.699951,1818.5,1772.75,1779.599976,1775.120483,1923692,49.67769,7.215,108.779999,21374.369141,58338.929688,4446.589844,76.149803,137.357143,74.885714,172672.45,100.751685,9.9875,174649.65,False,False,True,False,14.27529,0.089355,75.472581,565.787968,2.560129,15.076923,10.554373,4.549994,3.137431,23.520071,116
2022-04-18,1775.599976,1775.599976,1730.0,1750.400024,1745.994019,1960141,45.55934,7.153,113.160004,21374.369141,57166.738281,4391.689941,76.331398,137.307937,74.839683,170974.5,100.74845,9.95,162999.5,False,False,True,False,14.278452,0.089399,75.539153,566.154714,2.560395,15.819936,10.671243,4.62992,3.083952,23.113762,115
