,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2022-04-01,1759.0,1794.0,1759.0,1790.099976,1734.07312,2050573,52.573436,6.843,107.669998,22039.550781,59276.691406,4545.859863,75.909203,137.750794,75.253968,186256.05,100.777565,9.5,267850.85,False,True,True,True,12.194,0.559,87.693,635.555,3.22,15.7694,11.081075,4.469222,2.728439,19.774362,124
2022-04-04,1784.0,1829.849976,1776.599976,1826.349976,1769.188721,1955281,58.138694,6.898,107.529999,22502.310547,60611.738281,4582.640137,75.994797,137.701587,75.207937,184558.1,100.77433,9.62,256200.7,True,True,True,True,12.204774,0.559383,87.742847,635.525415,3.222734,15.588576,11.016932,4.384181,2.783821,20.163339,123
2022-04-05,1840.0,1845.0,1827.0,1836.050049,1778.585083,1718581,59.507951,6.899,106.639999,22502.310547,60176.5,4525.120117,75.477997,137.652381,75.161905,182860.15,100.771095,9.74,244550.55,True,True,True,False,12.215548,0.559766,87.792694,635.495831,3.225468,15.457313,10.940426,4.364666,2.798736,20.258919,122
2022-04-06,1833.0,1858.0,1827.699951,1852.800049,1794.810913,2245496,61.829736,6.917,101.07,22080.519531,59610.410156,4481.149902,75.450699,137.603175,75.115873,181162.2,100.76786,9.86,232900.4,True,True,True,False,12.226323,0.560149,87.84254,635.466246,3.228202,14.611826,10.908009,4.328821,2.8244,20.432138,121
2022-04-07,1849.900024,1855.849976,1810.150024,1826.300049,1769.140259,2003954,56.326932,6.914,100.580002,21808.980469,59034.949219,4500.209961,75.945099,137.553968,75.069841,179464.25,100.764625,9.98,221250.25,True,True,True,False,12.237097,0.560532,87.892387,635.436661,3.230935,14.547296,10.984249,4.395299,2.784133,20.128481,120
2022-04-08,1835.400024,1838.900024,1818.050049,1830.75,1773.45105,1903321,57.0187,7.119,102.779999,21872.009766,59447.179688,4488.279785,75.9132,137.504762,75.02381,177766.3,100.76139,10.1,209600.1,True,True,True,False,12.247871,0.560915,87.942234,635.407077,3.233669,14.437421,10.663464,4.388271,2.791047,20.166091,119
2022-04-11,1820.25,1829.75,1779.0,1781.5,1725.742432,2262446,47.963587,7.149,98.480003,21208.300781,58964.570312,4412.529785,75.917297,137.455556,74.977778,176068.35,100.758155,10.0625,197949.95,False,True,True,False,12.258645,0.561298,87.992081,635.377492,3.236403,13.775354,10.619289,4.513343,2.71609,19.612474,118
2022-04-12,1780.0,1781.5,1733.599976,1747.699951,1693.000244,4215141,42.925271,7.189,104.639999,21319.130859,58576.371094,4397.450195,75.836998,137.406349,74.931746,174370.4,100.75492,10.025,186299.8,False,False,True,False,12.269419,0.561681,88.041927,635.347907,3.239137,14.555571,10.549033,4.604459,2.664682,19.229477,117
2022-04-13,1754.199951,1772.849976,1747.099976,1760.800049,1705.690308,1673417,45.322578,7.215,108.779999,21374.369141,58338.929688,4446.589844,76.149803,137.357143,74.885714,172672.45,100.751685,9.9875,174649.65,False,False,True,False,12.280194,0.562065,88.091774,635.318323,3.241871,15.076923,10.554373,4.574003,2.684781,19.362651,116
2022-04-18,1746.300049,1749.949951,1715.0,1738.349976,1683.942871,1808707,42.061979,7.153,113.160004,21374.369141,57166.738281,4391.689941,76.331398,137.307937,74.839683,170974.5,100.74845,9.95,162999.5,False,False,True,False,12.290968,0.562448,88.141621,635.288738,3.244605,15.819936,10.671243,4.636923,2.650673,19.104968,115
2022-04-19,1748.300049,1760.75,1687.0,1705.75,1652.363159,2737766,37.808393,7.151,107.25,21027.759766,56463.148438,4462.209961,76.280197,137.25873,74.793651,169276.55,100.745215,9.9125,151349.35,False,False,True,False,12.301742,0.562831,88.191468,635.259153,3.247339,14.997902,10.667067,4.729465,2.601085,18.736089,114
2022-04-20,1709.949951,1712.400024,1671.349976,1691.599976,1638.656128,3832617,36.101841,7.105,106.800003,20944.669922,57037.5,4459.450195,76.445396,137.209524,74.747619,167578.6,100.74198,9.875,139699.2,False,False,True,False,12.312516,0.563214,88.241315,635.229569,3.250073,15.031668,10.75938,4.772981,2.579628,18.570169,113
2022-04-21,1702.949951,1725.800049,1700.0,1714.5,1660.839355,1797489,40.761944,7.144,108.330002,20682.220703,57911.679688,4393.660156,76.276199,137.160317,74.701587,165880.65,100.738745,9.8375,128049.05,False,False,True,False,12.32329,0.563597,88.291161,635.199984,3.252806,15.163774,10.67696,4.713131,2.614672,18.810936,112
2022-04-22,1701.0,1716.400024,1690.400024,1694.349976,1641.320068,1474689,38.127041,7.167,106.650002,20638.519531,57197.148438,4271.779785,76.285202,137.111111,74.655556,164182.7,100.73551,9.8,116398.9,False,False,True,False,12.334065,0.56398,88.341008,635.170399,3.25554,14.880703,10.643952,4.773129,2.584063,18.579368,111
2022-04-25,1675.0,1675.0,1652.0,1657.349976,1605.478027,1964344,33.805772,7.043,102.32,19869.339844,56579.890625,4296.120117,76.463501,137.061905,74.609524,162484.75,100.732275,9.79,104748.75,False,False,True,False,12.344839,0.564363,88.390855,635.140815,3.258274,14.5279,10.856666,4.883724,2.527751,18.163395,110
2022-04-26,1680.0,1703.099976,1664.0,1699.949951,1646.744751,2440990,41.961895,7.053,104.989998,19934.710938,57356.609375,4175.200195,76.527802,137.012698,74.563492,160786.8,100.72904,9.78,93098.6,False,False,True,False,12.355613,0.564746,88.440702,635.11123,3.261008,14.885864,10.85039,4.765273,2.592845,18.619761,109
2022-04-27,1675.0,1691.599976,1666.699951,1677.050049,1624.561646,1346726,39.168036,7.083,105.32,19946.359375,56819.390625,4183.959961,76.794098,136.963492,74.51746,159088.85,100.725805,9.77,81448.45,False,False,True,False,12.366387,0.565129,88.490548,635.081645,3.263742,14.869406,10.84203,4.834329,2.558036,18.358589,108
2022-04-28,1690.0,1731.0,1680.0,1719.25,1665.440552,3117433,46.267844,7.155,107.589996,20276.169922,57521.058594,4287.5,76.472198,136.914286,74.471429,157390.9,100.72257,9.76,69798.3,False,False,True,False,12.377161,0.565512,88.540395,635.05206,3.266476,15.037037,10.687938,4.719557,2.622526,18.809952,107
2022-04-29,1731.0,1739.0,1687.150024,1694.349976,1641.320068,2404830,43.073392,7.139,109.339996,21089.390625,57060.871094,4131.930176,76.588997,136.865079,74.425397,155692.95,100.719335,9.75,58148.15,False,False,True,False,12.387935,0.565895,88.590242,635.022476,3.26921,15.31587,10.728253,4.79286,2.584665,18.527098,106
2022-05-02,1668.599976,1685.949951,1655.050049,1679.449951,1626.886353,1399802,41.238576,7.119,109.360001,21089.390625,56975.988281,4155.379883,76.523102,136.766667,74.333333,154883.0,100.7123,9.73,56238.619048,False,False,True,False,12.39871,0.566278,88.640089,634.992891,3.271944,15.361708,10.749136,4.839362,2.562054,18.353844,105
2022-05-04,1679.5,1681.900024,1625.050049,1633.949951,1582.810425,1777673,36.171482,7.378,110.139999,20869.519531,55669.03125,4300.169922,76.4673,136.71746,74.287302,155771.0,100.7085,9.72,65979.238095,False,False,True,False,12.409484,0.566661,88.689935,634.963306,3.274677,14.928165,10.364232,4.978213,2.492759,17.846562,104
2022-05-05,1650.699951,1671.199951,1633.0,1637.650024,1586.394653,1707752,36.851007,7.403,110.900002,20793.400391,55702.230469,4146.870117,76.001602,136.668254,74.24127,156659.0,100.7047,9.71,75719.857143,False,False,True,False,12.420258,0.567044,88.739782,634.933722,3.277411,14.980414,10.266325,4.971046,2.49852,17.876927,103
2022-05-06,1616.0,1633.0,1612.099976,1622.449951,1571.670288,1439520,35.193435,7.451,112.389999,20001.960938,54835.578125,4123.339844,76.541801,136.619048,74.195238,157547.0,100.7009,9.7,85460.47619,False,False,True,False,12.431032,0.567427,88.789629,634.904137,3.280145,15.083881,10.272688,5.021736,2.475445,17.701057,102
2022-05-09,1607.550049,1629.849976,1591.25,1616.150024,1565.567505,1400010,34.500766,7.465,105.940002,20001.960938,54470.671875,3991.23999,76.957497,136.569841,74.149206,158435.0,100.6971,9.66,95201.095238,False,False,True,False,12.441806,0.56781,88.839476,634.874552,3.282879,14.191561,10.309109,5.045446,2.465948,17.622431,101
2022-05-10,1611.0,1629.599976,1601.0,1607.949951,1557.624146,1176030,33.574489,7.301,102.459999,19633.689453,54364.851562,4001.050049,77.365501,136.520635,74.103175,159323.0,100.6933,9.62,104941.714286,False,False,True,False,12.452581,0.568194,88.889323,634.844968,3.285613,14.033694,10.596562,5.075331,2.45355,17.523186,100
2022-05-11,1600.5,1609.0,1557.349976,1570.800049,1521.636963,2988788,29.68594,7.215,107.510002,19824.570312,54088.390625,3935.179932,77.2714,136.471429,74.057143,160211.0,100.6895,9.58,114682.333333,False,False,True,False,12.463355,0.568577,88.939169,634.815383,3.288347,14.900901,10.709827,5.199617,2.396976,17.108738,99
2022-05-12,1550.0,1554.949951,1513.099976,1526.150024,1478.384399,3407191,25.815911,7.244,107.449997,19380.339844,52930.308594,3930.080078,77.418404,136.422222,74.011111,161099.0,100.6857,9.54,124422.952381,False,False,True,False,12.474129,0.56896,88.989016,634.785798,3.291081,14.832965,10.687245,5.356117,2.32895,16.613111,98
2022-05-13,1530.0,1574.900024,1502.0,1534.5,1486.473022,4328846,27.713784,7.318,111.550003,19898.769531,52793.621094,4023.889893,77.443802,136.373016,73.965079,161987.0,100.6819,9.5,134163.571429,False,False,True,False,12.484903,0.569343,89.038863,634.756214,3.293815,15.243236,10.582646,5.331324,2.341801,16.694654,97
2022-05-16,1550.0,1567.5,1539.449951,1542.900024,1494.610107,1775914,29.663263,7.318,114.239998,19950.210938,52973.839844,4008.01001,77.486298,136.32381,73.919048,162875.0,100.6781,9.46,143904.190476,False,False,True,False,12.495677,0.569726,89.08871,634.726629,3.296548,15.243236,10.582646,5.306628,2.35473,16.77665,96
2022-05-17,1545.0,1607.900024,1545.0,1604.099976,1553.894775,1608711,41.947292,7.366,111.93,20602.519531,54318.46875,4088.850098,77.805397,136.274603,73.873016,163763.0,100.6743,9.42,153644.809524,False,False,True,False,12.506452,0.570109,89.138556,634.697044,3.299282,15.195493,10.562775,5.10833,2.448246,17.432353,95
2022-05-18,1623.0,1623.0,1565.0,1572.5,1523.283691,2984009,38.234237,7.355,109.110001,20644.279297,54208.53125,3923.679932,77.372398,136.225397,73.826984,164651.0,100.6705,9.38,163385.428571,False,False,True,False,12.517226,0.570492,89.188403,634.66746,3.302016,14.834806,10.519701,5.215231,2.400129,17.079392,94
2022-05-19,1550.0,1562.75,1540.349976,1547.949951,1499.502075,1798843,35.597893,7.32,112.040001,20120.679688,52792.230469,3900.790039,77.82,136.17619,73.780952,165539.0,100.6667,9.34,173126.047619,False,False,True,False,12.528,0.570875,89.23825,634.637875,3.30475,15.306011,10.631147,5.302256,2.362768,16.803356,93
