,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2022-04-01,7574.0,7729.0,7517.350098,7700.049805,7507.458008,449386,50.930671,6.843,107.669998,22039.550781,59276.691406,4545.859863,75.909203,137.750794,75.253968,186256.05,100.777565,9.5,267850.85,True,True,True,True,12.72,1.3,215.458,2469.551,9.442,15.7694,11.081075,4.184198,3.040009,34.844183,124
2022-04-04,7650.0,7794.0,7631.649902,7774.799805,7580.338379,491029,53.019021,6.898,107.529999,22502.310547,60611.738281,4582.640137,75.994797,137.701587,75.207937,184558.1,100.77433,9.62,256200.7,True,True,True,True,12.736593,1.299859,215.962625,2470.576073,9.454348,15.588576,11.016932,4.151097,3.068247,35.100233,123
2022-04-05,7781.0,7900.0,7730.0,7761.850098,7567.712402,488132,52.60136,6.899,106.639999,22502.310547,60176.5,4525.120117,75.477997,137.652381,75.161905,182860.15,100.771095,9.74,244550.55,True,True,True,True,12.753185,1.299718,216.46725,2471.601145,9.466696,15.457313,10.940426,4.165167,3.061866,34.96008,122
2022-04-06,7739.0,7849.0,7675.0,7744.200195,7550.503906,393628,52.000099,6.917,101.07,22080.519531,59610.410156,4481.149902,75.450699,137.603175,75.115873,181162.2,100.76786,9.86,232900.4,True,True,True,True,12.769778,1.299577,216.971875,2472.626218,9.479044,14.611826,10.908009,4.181825,3.053637,34.799459,121
2022-04-07,7659.75,7748.0,7621.049805,7640.5,7449.397461,458566,48.492857,6.914,100.580002,21808.980469,59034.949219,4500.209961,75.945099,137.553968,75.069841,179464.25,100.764625,9.98,221250.25,True,True,True,True,12.786371,1.299435,217.4765,2473.65129,9.491392,14.547296,10.984249,4.24585,3.011499,34.253804,120
2022-04-08,7708.799805,7730.5,7515.399902,7557.950195,7368.912598,849846,45.842231,7.119,102.779999,21872.009766,59447.179688,4488.279785,75.9132,137.504762,75.02381,177766.3,100.76139,10.1,209600.1,False,True,True,True,12.802964,1.299294,217.981125,2474.676363,9.50374,14.437421,10.663464,4.299575,2.977728,33.805278,119
2022-04-11,7614.850098,7616.549805,7485.0,7565.399902,7376.175781,496254,46.12841,7.149,98.480003,21208.300781,58964.570312,4412.529785,75.917297,137.455556,74.977778,176068.35,100.758155,10.0625,197949.95,False,True,True,True,12.819556,1.299153,218.48575,2475.701435,9.516088,13.775354,10.619289,4.30269,2.979429,33.760443,118
2022-04-12,7540.0,7711.5,7500.0,7618.350098,7427.801758,598047,48.222669,7.189,104.639999,21319.130859,58576.371094,4397.450195,75.836998,137.406349,74.931746,174370.4,100.75492,10.025,186299.8,False,True,True,True,12.836149,1.299012,218.990375,2476.726508,9.528436,14.555571,10.549033,4.280086,2.99904,33.918394,117
2022-04-13,7618.350098,7704.950195,7440.0,7469.5,7282.674805,527991,43.14497,7.215,108.779999,21374.369141,58338.929688,4446.589844,76.149803,137.357143,74.885714,172672.45,100.751685,9.9875,174649.65,False,False,True,True,12.852742,1.298871,219.495,2477.751581,9.540784,15.076923,10.554373,4.37283,2.939227,33.179229,116
2022-04-18,7374.5,7599.0,7355.0,7573.5,7384.073242,551783,47.318849,7.153,113.160004,21374.369141,57166.738281,4391.689941,76.331398,137.307937,74.839683,170974.5,100.74845,9.95,162999.5,False,True,True,True,12.869335,1.29873,219.999625,2478.776653,9.553132,15.819936,10.671243,4.320137,2.978918,33.564026,115
2022-04-19,7580.0,7678.0,7350.0,7435.100098,7249.135254,425990,42.814341,7.151,107.25,21027.759766,56463.148438,4462.209961,76.280197,137.25873,74.793651,169276.55,100.745215,9.9125,151349.35,False,False,True,True,12.885927,1.298589,220.50425,2479.801726,9.56548,14.997902,10.667067,4.408049,2.923272,32.875263,114
