,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2022-04-01,138.0,143.449997,136.800003,142.949997,131.185959,32589741,71.21186,6.843,107.669998,22039.550781,59276.691406,4545.859863,75.909203,137.750794,75.253968,186256.05,100.777565,9.5,267850.85,True,True,True,True,11.978,0.403,18.372,151.622,3.913,15.7694,11.081075,13.843923,0.865217,7.140538,124
2022-04-04,141.850006,146.0,141.5,144.300003,132.424896,15437496,72.954832,6.898,107.529999,22502.310547,60611.738281,4582.640137,75.994797,137.701587,75.207937,184558.1,100.77433,9.62,256200.7,True,True,True,True,11.984242,0.402911,18.38096,151.678915,3.915306,15.588576,11.016932,13.7267,0.873061,7.20446,123
2022-04-05,145.399994,150.600006,144.75,149.100006,136.829865,23958626,78.044702,6.899,106.639999,22502.310547,60176.5,4525.120117,75.477997,137.652381,75.161905,182860.15,100.771095,9.74,244550.55,True,True,True,True,11.990484,0.402823,18.389919,151.735831,3.917613,15.457313,10.940426,13.296703,0.901764,7.440482,122
2022-04-06,150.350006,155.300003,148.300003,153.0,140.408936,52737388,81.14897,6.917,101.07,22080.519531,59610.410156,4481.149902,75.450699,137.603175,75.115873,181162.2,100.76786,9.86,232900.4,True,True,True,True,11.996726,0.402734,18.398879,151.792746,3.919919,14.611826,10.908009,12.969374,0.925004,7.631385,121
2022-04-07,152.949997,158.0,152.199997,153.5,140.867752,37738903,81.509922,6.914,100.580002,21808.980469,59034.949219,4500.209961,75.945099,137.553968,75.069841,179464.25,100.764625,9.98,221250.25,True,True,True,True,12.002968,0.402645,18.407839,151.849661,3.922226,14.547296,10.984249,12.938707,0.927679,7.652596,120
2022-04-08,154.899994,154.899994,151.199997,152.050003,139.537094,17585569,76.910716,7.119,102.779999,21872.009766,59447.179688,4488.279785,75.9132,137.504762,75.02381,177766.3,100.76139,10.1,209600.1,True,True,True,True,12.00921,0.402556,18.416798,151.906577,3.924532,14.437421,10.663464,13.073785,0.918572,7.576621,119
2022-04-11,152.449997,154.600006,151.850006,153.100006,140.500687,15583159,77.883887,7.149,98.480003,21208.300781,58964.570312,4412.529785,75.917297,137.455556,74.977778,176068.35,100.758155,10.0625,197949.95,True,True,True,True,12.015452,0.402468,18.425758,151.963492,3.926839,13.775354,10.619289,12.995737,0.924569,7.625232,118
2022-04-12,152.699997,153.600006,150.850006,152.600006,140.04184,11306524,76.23609,7.189,104.639999,21319.130859,58576.371094,4397.450195,75.836998,137.406349,74.931746,174370.4,100.75492,10.025,186299.8,True,True,True,True,12.021694,0.402379,18.434718,152.020407,3.929145,14.555571,10.549033,13.049977,0.921204,7.596636,117
2022-04-13,153.050003,156.199997,152.75,153.949997,141.280746,19454061,77.613275,7.215,108.779999,21374.369141,58338.929688,4446.589844,76.149803,137.357143,74.885714,172672.45,100.751685,9.9875,174649.65,True,True,True,True,12.027935,0.40229,18.443677,152.077323,3.931452,15.076923,10.554373,12.947102,0.929006,7.660118,116
2022-04-18,154.899994,163.75,154.5,163.199997,149.769501,82098517,84.318976,7.153,113.160004,21374.369141,57166.738281,4391.689941,76.331398,137.307937,74.839683,170974.5,100.74845,9.95,162999.5,True,True,True,True,12.034177,0.402202,18.452637,152.134238,3.933758,15.819936,10.671243,12.224187,0.984456,8.116428,115
2022-04-19,164.899994,166.350006,159.5,160.649994,147.429367,38522118,77.433031,7.151,107.25,21027.759766,56463.148438,4462.209961,76.280197,137.25873,74.793651,169276.55,100.745215,9.9125,151349.35,True,True,True,True,12.040419,0.402113,18.461597,152.191153,3.936065,14.997902,10.667067,12.42931,0.968712,7.985732,114
2022-04-20,162.149994,163.199997,159.0,160.5,147.291702,20047692,77.034519,7.105,106.800003,20944.669922,57037.5,4459.450195,76.445396,137.209524,74.747619,167578.6,100.74198,9.875,139699.2,True,True,True,True,12.046661,0.402024,18.470556,152.248069,3.938371,15.031668,10.75938,12.452031,0.967445,7.974405,113
2022-04-21,161.600006,163.399994,160.350006,162.699997,149.310669,21966151,78.761075,7.144,108.330002,20682.220703,57911.679688,4393.660156,76.276199,137.160317,74.701587,165880.65,100.738745,9.8375,128049.05,True,True,True,True,12.052903,0.401935,18.479516,152.304984,3.940677,15.163774,10.67696,12.294615,0.98034,8.079793,112
2022-04-22,161.25,163.0,159.850006,160.449997,147.245819,9922564,72.738086,7.167,106.650002,20638.519531,57197.148438,4271.779785,76.285202,137.111111,74.655556,164182.7,100.73551,9.8,116398.9,True,True,True,True,12.059145,0.401847,18.488476,152.361899,3.942984,14.880703,10.643952,12.478142,0.966422,7.964195,111
2022-04-25,158.600006,160.899994,155.399994,156.100006,143.25383,12008027,62.747572,7.043,102.32,19869.339844,56579.890625,4296.120117,76.463501,137.061905,74.609524,162484.75,100.732275,9.79,104748.75,True,True,True,True,12.065387,0.401758,18.497435,152.418815,3.94529,14.5279,10.856666,12.837297,0.93987,7.744524,110
2022-04-26,157.600006,158.449997,156.0,157.0,144.079742,11735823,63.85375,7.053,104.989998,19934.710938,57356.609375,4175.200195,76.527802,137.012698,74.563492,160786.8,100.72904,9.78,93098.6,True,True,True,True,12.071629,0.401669,18.506395,152.47573,3.947597,14.885864,10.85039,12.775081,0.944936,7.785403,109
2022-04-27,156.800003,159.600006,155.199997,155.649994,142.840836,17873048,60.931012,7.083,105.32,19946.359375,56819.390625,4183.959961,76.794098,136.963492,74.51746,159088.85,100.725805,9.77,81448.45,True,True,True,True,12.077871,0.401581,18.515355,152.532645,3.949903,14.869406,10.84203,12.897359,0.936461,7.714723,108
2022-04-28,158.0,160.100006,155.25,159.699997,146.557541,29123808,65.964206,7.155,107.589996,20276.169922,57521.058594,4287.5,76.472198,136.914286,74.471429,157390.9,100.72257,9.76,69798.3,True,True,True,True,12.084113,0.401492,18.524315,152.58956,3.95221,15.037037,10.687938,12.581471,0.960469,7.911631,107
2022-04-29,160.399994,161.0,155.699997,156.199997,143.345581,28941216,58.902022,7.139,109.339996,21089.390625,57060.871094,4131.930176,76.588997,136.865079,74.425397,155692.95,100.719335,9.75,58148.15,True,True,True,True,12.090355,0.401403,18.533274,152.646476,3.954516,15.31587,10.728253,12.87483,0.939069,7.734498,106
2022-05-02,154.600006,158.350006,153.0,157.5,144.538589,13368198,60.589744,7.119,109.360001,21089.390625,56975.988281,4155.379883,76.523102,136.766667,74.333333,154883.0,100.7123,9.73,56238.619048,True,True,True,True,12.096597,0.401315,18.542234,152.703391,3.956823,15.361708,10.749136,12.779918,0.946532,7.795101,105
2022-05-04,158.0,161.899994,157.300003,158.649994,145.593948,24511385,62.073489,7.378,110.139999,20869.519531,55669.03125,4300.169922,76.4673,136.71746,74.287302,155771.0,100.7085,9.72,65979.238095,True,True,True,True,12.102839,0.401226,18.551194,152.760306,3.959129,14.928165,10.364232,12.698559,0.953088,7.848225,104
2022-05-05,159.600006,160.75,157.0,158.399994,145.364517,33396072,61.531146,7.403,110.900002,20793.400391,55702.230469,4146.870117,76.001602,136.668254,74.24127,156659.0,100.7047,9.71,75719.857143,True,True,True,True,12.109081,0.401137,18.560153,152.817222,3.961435,14.980414,10.266325,12.729902,0.951231,7.832075,103
2022-05-06,156.449997,160.350006,156.050003,159.0,145.915161,22604305,62.380677,7.451,112.389999,20001.960938,54835.578125,4123.339844,76.541801,136.619048,74.195238,157547.0,100.7009,9.7,85460.47619,True,True,True,True,12.115323,0.401048,18.569113,152.874137,3.963742,15.083881,10.272688,12.693126,0.954479,7.85795,102
2022-05-09,158.949997,159.800003,155.949997,159.0,145.915161,22958742,62.380677,7.465,105.940002,20001.960938,54470.671875,3991.23999,76.957497,136.569841,74.149206,158435.0,100.6971,9.66,95201.095238,True,True,True,True,12.121565,0.40096,18.578073,152.931052,3.966048,14.191561,10.309109,12.704393,0.954124,7.85416,101
2022-05-10,158.949997,161.25,154.5,155.449997,142.657288,20322427,54.171767,7.301,102.459999,19633.689453,54364.851562,4001.050049,77.365501,136.520635,74.103175,159323.0,100.6933,9.62,104941.714286,True,True,True,True,12.127806,0.400871,18.587032,152.987968,3.968355,14.033694,10.596562,13.006055,0.932474,7.675098,100
2022-05-11,154.050003,156.949997,150.050003,152.550003,139.995956,13794764,48.551104,7.215,107.510002,19824.570312,54088.390625,3935.179932,77.2714,136.471429,74.057143,160211.0,100.6895,9.58,114682.333333,True,True,True,True,12.134048,0.400782,18.595992,153.044883,3.970661,14.900901,10.709827,13.265055,0.914738,7.528287,99
2022-05-12,151.100006,153.0,148.0,148.550003,136.325134,11818556,42.067599,7.244,107.449997,19380.339844,52930.308594,3930.080078,77.418404,136.422222,74.011111,161099.0,100.6857,9.54,124422.952381,True,True,True,True,12.14029,0.400694,18.604952,153.101798,3.972968,14.832965,10.687245,13.634318,0.890422,7.327358,98
2022-05-13,150.0,150.0,143.5,144.149994,132.287216,22913410,36.321732,7.318,111.550003,19898.769531,52793.621094,4023.889893,77.443802,136.373016,73.965079,161987.0,100.6819,9.5,134163.571429,True,True,True,True,12.146532,0.400605,18.613911,153.158714,3.975274,15.243236,10.582646,14.062941,0.863726,7.106901,97
