,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2022-04-01,914.0,919.0,904.099976,908.700012,887.915039,1184766,58.83598,6.843,107.669998,22039.550781,59276.691406,4545.859863,75.909203,137.750794,75.253968,186256.05,100.777565,9.5,267850.85,True,True,True,True,16.294,0.575,35.988,233.379,11.257,15.7694,11.081075,4.282704,3.804606,24.672531,124
2022-04-04,908.0,928.799988,902.599976,926.049988,904.868164,1876408,64.226289,6.898,107.529999,22502.310547,60611.738281,4582.640137,75.994797,137.701587,75.207937,184558.1,100.77433,9.62,256200.7,True,True,True,True,16.292839,0.575,36.009778,233.507923,11.258077,15.588576,11.016932,4.204488,3.875107,25.128401,123
2022-04-05,928.0,940.700012,924.150024,929.099976,907.848389,2911697,65.091673,6.899,106.639999,22502.310547,60176.5,4525.120117,75.477997,137.652381,75.161905,182860.15,100.771095,9.74,244550.55,True,True,True,True,16.291677,0.575,36.031556,233.636847,11.259153,15.457313,10.940426,4.1927,3.885724,25.195925,122
2022-04-06,927.799988,938.799988,925.0,928.099976,906.871277,1881754,64.540405,6.917,101.07,22080.519531,59610.410156,4481.149902,75.450699,137.603175,75.115873,181162.2,100.76786,9.86,232900.4,True,True,True,True,16.290516,0.575,36.053335,233.76577,11.26023,14.611826,10.908009,4.199234,3.879401,25.153603,121
2022-04-07,928.099976,948.0,926.849976,930.950012,909.656189,2728625,65.438788,6.914,100.580002,21808.980469,59034.949219,4500.209961,75.945099,137.553968,75.069841,179464.25,100.764625,9.98,221250.25,True,True,True,True,16.289355,0.575,36.075113,233.894694,11.261306,14.547296,10.984249,4.188389,3.88917,25.215616,120
2022-04-08,937.0,937.299988,919.299988,924.599976,903.451294,1453271,61.688679,7.119,102.779999,21872.009766,59447.179688,4488.279785,75.9132,137.504762,75.02381,177766.3,100.76139,10.1,209600.1,True,True,True,True,16.288194,0.575,36.096891,234.023617,11.262383,14.437421,10.663464,4.219178,3.860513,25.028507,119
2022-04-11,920.0,933.549988,918.599976,925.400024,904.233032,1102625,61.984274,7.149,98.480003,21208.300781,58964.570312,4412.529785,75.917297,137.455556,74.977778,176068.35,100.758155,10.0625,197949.95,True,True,True,True,16.287032,0.575,36.118669,234.15254,11.26346,13.775354,10.619289,4.217552,3.861726,25.035059,118
2022-04-12,920.0,928.150024,911.400024,921.299988,900.226746,1420380,59.452662,7.189,104.639999,21319.130859,58576.371094,4397.450195,75.836998,137.406349,74.931746,174370.4,100.75492,10.025,186299.8,True,True,True,True,16.285871,0.575,36.140448,234.281464,11.264536,14.555571,10.549033,4.238352,3.842501,24.90912,117
2022-04-13,921.299988,943.0,921.299988,936.75,915.323425,1825531,65.217671,7.215,108.779999,21374.369141,58338.929688,4446.589844,76.149803,137.357143,74.885714,172672.45,100.751685,9.9875,174649.65,True,True,True,True,16.28471,0.575,36.162226,234.410387,11.265613,15.076923,10.554373,4.170444,3.90479,25.31159,116
2022-04-18,927.599976,941.049988,919.25,927.5,906.285034,1287320,59.741104,7.153,113.160004,21374.369141,57166.738281,4391.689941,76.331398,137.307937,74.839683,170974.5,100.74845,9.95,162999.5,True,True,True,True,16.283548,0.575,36.184004,234.53931,11.26669,15.819936,10.671243,4.214052,3.864107,25.046566,115
2022-04-19,930.950012,937.75,915.049988,922.0,900.910828,2001066,56.692677,7.151,107.25,21027.759766,56463.148438,4462.209961,76.280197,137.25873,74.793651,169276.55,100.745215,9.9125,151349.35,True,True,True,True,16.282387,0.575,36.205782,234.668234,11.267766,14.997902,10.667067,4.241218,3.839083,24.883065,114
2022-04-20,918.0,931.0,916.049988,923.5,902.376526,1455897,57.332142,7.105,106.800003,20944.669922,57037.5,4459.450195,76.445396,137.209524,74.747619,167578.6,100.74198,9.875,139699.2,True,True,True,True,16.281226,0.575,36.22756,234.797157,11.268843,15.031668,10.75938,4.236353,3.843217,24.908564,113
2022-04-21,931.0,946.0,920.599976,944.099976,922.50531,2410164,64.97988,7.144,108.330002,20682.220703,57911.679688,4393.660156,76.276199,137.160317,74.701587,165880.65,100.738745,9.8375,128049.05,True,True,True,True,16.280065,0.575,36.249339,234.926081,11.269919,15.163774,10.67696,4.145897,3.92679,25.448887,112
2022-04-22,941.0,942.25,918.349976,924.799988,903.64679,1745381,55.028276,7.167,106.650002,20638.519531,57197.148438,4271.779785,76.285202,137.111111,74.655556,164182.7,100.73551,9.8,116398.9,True,True,True,True,16.278903,0.575,36.271117,235.055004,11.270996,14.880703,10.643952,4.23444,3.844406,24.913674,111
2022-04-25,915.549988,922.349976,896.599976,900.0,879.414001,1146270,45.405475,7.043,102.32,19869.339844,56579.890625,4296.120117,76.463501,137.061905,74.609524,162484.75,100.732275,9.79,104748.75,True,True,True,True,16.277742,0.575,36.292895,235.183927,11.272073,14.5279,10.856666,4.353198,3.739261,24.231024,110
2022-04-26,905.0,924.75,904.049988,918.049988,897.051147,3142879,51.986441,7.053,104.989998,19934.710938,57356.609375,4175.200195,76.527802,137.012698,74.563492,160786.8,100.72904,9.78,93098.6,True,True,True,True,16.276581,0.575,36.314673,235.312851,11.273149,14.885864,10.85039,4.269643,3.812164,24.702168,109
2022-04-27,910.049988,921.700012,903.599976,906.099976,885.374451,1586283,47.872109,7.083,105.32,19946.359375,56819.390625,4183.959961,76.794098,136.963492,74.51746,159088.85,100.725805,9.77,81448.45,True,True,True,True,16.275419,0.575,36.336452,235.441774,11.274226,14.869406,10.84203,4.328015,3.760482,24.366013,108
2022-04-28,920.0,927.349976,909.299988,921.0,899.933716,3150038,52.879614,7.155,107.589996,20276.169922,57521.058594,4287.5,76.472198,136.914286,74.471429,157390.9,100.72257,9.76,69798.3,True,True,True,True,16.274258,0.575,36.35823,235.570698,11.275302,15.037037,10.687938,4.260023,3.820228,24.751857,107
2022-04-29,924.0,967.049988,919.549988,928.650024,907.40863,4290688,55.256153,7.139,109.339996,21089.390625,57060.871094,4131.930176,76.588997,136.865079,74.425397,155692.95,100.719335,9.75,58148.15,True,True,True,True,16.273097,0.575,36.380008,235.699621,11.276379,15.31587,10.728253,4.226941,3.849852,24.942508,106
2022-05-02,922.450012,925.0,902.549988,923.400024,902.278809,2119174,53.270497,7.119,109.360001,21089.390625,56975.988281,4155.379883,76.523102,136.766667,74.333333,154883.0,100.7123,9.73,56238.619048,True,True,True,True,16.271935,0.575,36.401786,235.828544,11.277456,15.361708,10.749136,4.252995,3.825995,24.786663,105
2022-05-04,920.099976,920.900024,895.0,900.900024,880.293457,3925917,45.692173,7.378,110.139999,20869.519531,55669.03125,4300.169922,76.4673,136.71746,74.287302,155771.0,100.7085,9.72,65979.238095,True,True,True,True,16.270774,0.575,36.423565,235.957468,11.278532,14.928165,10.364232,4.361285,3.730729,24.16824,104
2022-05-05,905.0,919.200012,872.599976,878.150024,858.063904,4462293,39.563522,7.403,110.900002,20793.400391,55702.230469,4146.870117,76.001602,136.668254,74.24127,156659.0,100.7047,9.71,75719.857143,True,True,True,True,16.269613,0.575,36.445343,236.086391,11.279609,14.980414,10.266325,4.476396,3.634534,23.543856,103
2022-05-06,862.0,885.700012,861.5,883.299988,863.096008,2350532,41.477143,7.451,112.389999,20001.960938,54835.578125,4123.339844,76.541801,136.619048,74.195238,157547.0,100.7009,9.7,85460.47619,True,True,True,True,16.268452,0.575,36.467121,236.215315,11.280685,15.083881,10.272688,4.45241,3.653853,23.667786,102
2022-05-09,868.049988,891.400024,868.049988,885.400024,865.14801,2522123,42.279731,7.465,105.940002,20001.960938,54470.671875,3991.23999,76.957497,136.569841,74.149206,158435.0,100.6971,9.66,95201.095238,True,True,True,True,16.26729,0.575,36.488899,236.344238,11.281762,14.191561,10.309109,4.443957,3.660542,23.709896,101
2022-05-10,885.0,890.849976,846.5,861.849976,842.136658,6975331,36.272264,7.301,102.459999,19633.689453,54364.851562,4001.050049,77.365501,136.520635,74.103175,159323.0,100.6933,9.62,104941.714286,True,True,True,True,16.266129,0.575,36.510677,236.473161,11.282839,14.033694,10.596562,4.567552,3.561236,23.06549,100
2022-05-11,853.0,867.0,851.0,854.799988,835.247864,2768829,34.683486,7.215,107.510002,19824.570312,54088.390625,3935.179932,77.2714,136.471429,74.057143,160211.0,100.6895,9.58,114682.333333,True,True,True,True,16.264968,0.575,36.532456,236.602085,11.283915,14.900901,10.709827,4.607405,3.53018,22.863173,99
2022-05-12,852.900024,855.849976,835.200012,850.0,830.557678,2700591,33.604244,7.244,107.449997,19380.339844,52930.308594,3930.080078,77.418404,136.422222,74.011111,161099.0,100.6857,9.54,124422.952381,True,True,True,True,16.263806,0.575,36.554234,236.731008,11.284992,14.832965,10.687245,4.635617,3.508445,22.721244,98
2022-05-13,862.950012,889.0,860.150024,882.5,862.31427,4870689,45.883083,7.318,111.550003,19898.769531,52793.621094,4023.889893,77.443802,136.373016,73.965079,161987.0,100.6819,9.5,134163.571429,True,True,True,True,16.262645,0.575,36.576012,236.859931,11.286069,15.243236,10.582646,4.467013,3.640608,23.575951,97
2022-05-16,881.950012,894.75,875.049988,885.599976,865.343384,2739020,46.891956,7.318,114.239998,19950.210938,52973.839844,4008.01001,77.486298,136.32381,73.919048,162875.0,100.6781,9.46,143904.190476,True,True,True,True,16.261484,0.575,36.59779,236.988855,11.287145,15.243236,10.582646,4.453481,3.65141,23.644689,96
2022-05-17,880.150024,895.599976,878.700012,891.75,871.352783,2317400,48.92621,7.366,111.93,20602.519531,54318.46875,4088.850098,77.805397,136.274603,73.873016,163763.0,100.6743,9.42,153644.809524,True,True,True,True,16.260323,0.575,36.619569,237.117778,11.288222,15.195493,10.562775,4.424857,3.674768,23.794731,95
2022-05-18,891.0,909.0,888.0,899.150024,878.583496,2878378,51.341369,7.355,109.110001,20644.279297,54208.53125,3923.679932,77.372398,136.225397,73.826984,164651.0,100.6705,9.38,163385.428571,True,True,True,True,16.259161,0.575,36.641347,237.246702,11.289298,14.834806,10.519701,4.390513,3.703249,23.977926,94
2022-05-19,885.0,900.0,878.349976,884.599976,864.366272,2715634,46.668462,7.32,112.040001,20120.679688,52792.230469,3900.790039,77.82,136.17619,73.780952,165539.0,100.6667,9.34,173126.047619,True,True,True,True,16.258,0.575,36.663125,237.375625,11.290375,15.306011,10.631147,4.464835,3.641344,23.575903,93
2022-05-20,893.0,917.700012,889.049988,915.650024,894.706055,2877917,55.894144,7.359,112.550003,20717.240234,54326.390625,3901.360107,77.421097,136.126984,73.734921,166427.0,100.6629,9.3,182866.666667,True,True,True,True,16.256839,0.575,36.684903,237.504548,11.291452,15.294198,10.5206,4.315466,3.767111,24.388944,92
2022-05-23,920.0,931.299988,916.599976,922.049988,900.959656,2195036,57.525116,7.386,113.419998,20470.060547,54288.609375,3973.75,77.818398,136.077778,73.688889,167315.0,100.6591,9.3,192607.285714,True,True,True,True,16.255677,0.575,36.706681,237.633472,11.292528,15.356079,10.535933,4.287532,3.791384,24.544841,91
2022-05-24,928.0,930.849976,907.0,909.900024,889.087524,2911410,53.481794,7.359,113.559998,20112.099609,54052.609375,3941.47998,77.526802,136.028571,73.642857,168203.0,100.6553,9.3,202347.904762,True,True,True,True,16.254516,0.575,36.72846,237.762395,11.293605,15.431444,10.534964,4.34683,3.739395,24.207046,90
2022-05-25,915.0,922.650024,907.25,911.200012,890.35791,2405811,53.855517,7.305,114.029999,20171.269531,53749.261719,3978.72998,77.478798,135.979365,73.596825,169091.0,100.6515,9.3,212088.52381,True,True,True,True,16.253355,0.575,36.750238,237.891319,11.294681,15.609856,10.606269,4.342672,3.742709,24.227269,89
2022-05-26,918.799988,922.450012,893.5,899.950012,879.365173,4113170,50.10408,7.294,117.400002,20116.199219,54252.53125,4057.840088,77.497299,135.930159,73.550794,169979.0,100.6477,9.3,221829.142857,True,True,True,True,16.252194,0.575,36.772016,238.020242,11.295758,16.095421,10.624801,4.399027,3.694497,23.913978,88
2022-05-27,901.950012,912.799988,896.0,903.900024,883.224854,2374509,51.384558,7.35,119.43,20697.359375,54884.660156,4158.240234,77.630203,135.880952,73.504762,170867.0,100.6439,9.3,231569.761905,True,True,True,True,16.251032,0.575,36.793794,238.149165,11.296835,16.24898,10.561932,4.381862,3.708704,24.004723,87
2022-05-30,905.0,915.5,886.5,888.299988,867.981689,3541617,46.32792,7.409,119.43,21123.929688,55925.738281,4158.240234,77.692001,135.831746,73.45873,171755.0,100.6401,9.3,241310.380952,True,True,True,True,16.249871,0.575,36.815573,238.278089,11.297911,16.24898,10.486166,4.46091,3.642726,23.576482,86
2022-05-31,867.25,882.799988,851.200012,860.599976,840.915222,24360628,38.990731,7.415,122.839996,21415.199219,55566.410156,4132.149902,77.520897,135.78254,73.412698,172643.0,100.6363,9.3,251051.0,True,True,True,True,16.24871,0.575,36.837351,238.407012,11.298988,16.566419,10.454605,4.606655,3.527225,22.827788,85
2022-06-01,875.0,875.0,832.599976,839.25,820.053589,5999099,34.46059,7.414,116.290001,21294.939453,55381.171875,4101.22998,77.598999,135.733333,73.366667,172971.954545,100.632141,9.3,252175.409091,False,True,True,True,16.247548,0.575,36.859129,238.535935,11.300065,15.68519,10.46655,4.726062,3.437862,22.248317,84
2022-06-02,836.75,862.900024,832.799988,859.549988,839.88916,3553217,41.428747,7.434,117.610001,21082.130859,55818.109375,4176.819824,77.584099,135.684127,73.320635,173300.909091,100.627982,9.3,253299.818182,True,True,True,True,16.246387,0.575,36.880907,238.664859,11.301141,15.820554,10.436387,4.616611,3.519115,22.773007,83
2022-06-03,862.150024,875.0,854.849976,865.099976,845.312256,2618353,43.206593,7.456,119.720001,21082.130859,55769.230469,4108.540039,77.360497,135.634921,73.274603,173629.863636,100.623823,9.3,254424.227273,True,True,True,True,16.245226,0.575,36.902685,238.793782,11.302218,16.056867,10.375603,4.589143,3.539926,22.906524,82
2022-06-06,865.0,873.950012,858.0,859.799988,840.133606,2095566,41.898684,7.5,119.510002,21653.900391,55675.320312,4121.430176,77.694199,135.585714,73.228571,173958.818182,100.619664,9.2,255548.636364,True,True,True,True,16.244065,0.575,36.924464,238.922706,11.303294,15.934667,10.359226,4.619594,3.516341,22.752764,81
2022-06-07,855.0,857.400024,838.599976,848.25,828.847778,3031449,39.11953,7.518,120.57,21531.669922,55107.339844,4160.680176,77.820999,135.536508,73.18254,174287.772727,100.615505,9.1,256673.045455,True,True,True,True,16.242903,0.575,36.946242,239.051629,11.304371,16.03751,10.35129,4.684687,3.467233,22.433886,80
2022-06-08,845.099976,854.0,837.599976,847.25,827.870605,3208941,38.879077,7.494,123.580002,22014.589844,54892.488281,4115.77002,77.670601,135.487302,73.136508,174616.727273,100.611345,9.0,257797.454545,False,True,True,True,16.241742,0.575,36.96802,239.180552,11.305448,16.490526,10.364372,4.692411,3.461279,22.394237,79
2022-06-09,846.0,862.099976,835.450012,858.849976,839.205322,2297715,43.237607,7.496,123.07,21869.050781,55320.28125,4017.820068,77.724297,135.438095,73.090476,174945.681818,100.607186,8.9,258921.863636,True,True,True,True,16.240581,0.575,36.989798,239.309476,11.306524,16.41809,10.36877,4.631197,3.506778,22.68748,78
2022-06-10,850.0,853.950012,842.0,845.700012,826.356018,2124778,39.774932,7.519,122.010002,21806.179688,54303.441406,3900.860107,77.818703,135.388889,73.044444,175274.636364,100.603027,8.8,260046.272727,False,True,True,True,16.239419,0.575,37.011577,239.438399,11.307601,16.226892,10.349608,4.705406,3.451226,22.326961,77
2022-06-13,840.0,851.0,819.75,829.5,810.526611,2191412,35.954767,7.604,122.269997,21067.580078,52846.699219,3749.629883,78.177597,135.339683,72.998413,175603.590909,100.598868,8.7,261170.681818,False,False,True,True,16.238258,0.575,37.033355,239.567323,11.308677,16.079694,10.281115,4.799541,3.383294,21.886394,76
2022-06-14,826.0,835.650024,821.849976,825.049988,806.178406,2461692,34.961439,7.581,121.169998,21067.990234,52693.570312,3735.47998,78.160599,135.290476,72.952381,175932.545455,100.594709,8.6,262295.090909,False,False,True,True,16.237097,0.575,37.055133,239.696246,11.309754,15.983379,10.310064,4.82768,3.363333,21.756187,75
2022-06-15,825.25,830.049988,819.150024,822.299988,803.491272,2008725,34.330236,7.592,118.510002,21308.210938,52541.390625,3789.98999,77.985497,135.24127,72.906349,176261.5,100.59055,8.5,263419.5,False,False,True,True,16.235935,0.575,37.076911,239.825169,11.310831,15.609853,10.272062,4.846084,3.350321,21.670933,74
2022-06-16,822.599976,826.0,806.549988,814.599976,795.967346,2327414,32.557771,7.617,119.809998,20845.429688,51495.789062,3666.77002,77.9002,135.192063,72.860317,176590.454545,100.586391,8.4,264543.909091,False,False,True,True,16.234774,0.575,37.09869,239.954093,11.311907,15.729289,10.22715,4.894171,3.317165,21.455403,73
2022-06-17,805.200012,810.299988,789.900024,793.400024,775.252319,5719089,28.235391,7.546,113.120003,21075.0,51360.421875,3674.840088,77.977699,135.142857,72.814286,176919.409091,100.582232,8.3,265668.318182,False,False,True,True,16.233613,0.575,37.120468,240.083016,11.312984,14.990724,10.333647,5.027286,3.229101,20.884767,72
2022-06-20,801.0,813.5,794.5,805.299988,786.880127,2745302,33.566878,7.427,113.120003,21163.910156,51597.839844,3674.840088,77.961403,135.093651,72.768254,177248.363636,100.578073,8.45,266792.727273,False,False,True,True,16.232452,0.575,37.142246,240.21194,11.31406,14.990724,10.497025,4.955302,3.275774,21.185583,71
2022-06-21,806.599976,820.299988,805.349976,817.450012,798.752258,1342717,38.583799,7.482,114.650002,21559.589844,52532.070312,3764.790039,77.933998,135.044444,72.722222,177577.318182,100.573914,8.6,267917.136364,False,False,True,True,16.23129,0.575,37.164024,240.340863,11.315137,15.323443,10.416199,4.88392,3.323414,21.49262,70
2022-06-22,814.0,821.0,803.25,809.299988,790.788574,2032073,36.587822,7.396,111.739998,21008.339844,51822.53125,3759.889893,78.134903,134.995238,72.67619,177906.272727,100.569755,8.75,269041.545455,False,False,True,True,16.230129,0.575,37.185802,240.469786,11.316214,15.108166,10.564481,4.935397,3.288515,21.265874,69
2022-06-23,809.5,826.5,808.5,824.900024,806.03186,1778752,42.698227,7.419,110.050003,21273.869141,52265.71875,3795.72998,78.1931,134.946032,72.630159,178235.227273,100.565595,8.9,270165.954545,False,False,True,True,16.228968,0.575,37.207581,240.59871,11.31729,14.833536,10.539574,4.844311,3.350109,21.663109,68
2022-06-24,827.900024,833.799988,821.5,824.599976,805.738708,1404748,42.613173,7.444,113.120003,21719.060547,52727.980469,3911.73999,78.142403,134.896825,72.584127,178564.181818,100.561436,9.05,271290.363636,False,False,True,True,16.227806,0.575,37.229359,240.727633,11.318367,15.196131,10.497367,4.848323,3.347097,21.642562,67
2022-06-27,828.0,848.0,828.0,835.650024,816.536011,2980249,46.814913,7.407,115.089996,22229.519531,53161.28125,3900.110107,78.252296,134.847619,72.538095,178893.136364,100.557277,9.2,272414.772727,False,False,True,True,16.226645,0.575,37.251137,240.856556,11.319444,15.538004,10.564641,4.786432,3.390134,21.919761,66
