,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2022-04-01,2538.0,2550.0,2491.850098,2520.850098,2487.193604,1208002,47.80441,6.843,107.669998,22039.550781,59276.691406,4545.859863,75.909203,137.750794,75.253968,186256.05,100.777565,9.5,267850.85,True,True,True,True,30.727,1.678,35.59,133.157,13.481,15.7694,11.081075,1.645033,18.678655,69.884619,124
2022-04-04,2540.350098,2562.0,2508.75,2517.0,2483.39502,1424995,47.404634,6.898,107.529999,22502.310547,60611.738281,4582.640137,75.994797,137.701587,75.207937,184558.1,100.77433,9.62,256200.7,True,True,True,True,30.735815,1.678246,35.59604,133.047048,13.474774,15.588576,11.016932,1.646661,18.66554,69.766047,123
2022-04-05,2532.0,2577.800049,2520.050049,2549.199951,2515.165283,1586304,51.088694,6.899,106.639999,22502.310547,60176.5,4525.120117,75.477997,137.652381,75.161905,182860.15,100.771095,9.74,244550.55,True,True,True,True,30.744629,1.678492,35.602081,132.937097,13.468548,15.457313,10.940426,1.624983,18.919965,70.646581,122
2022-04-06,2547.0,2564.899902,2523.300049,2540.050049,2506.137451,1349078,50.016584,6.917,101.07,22080.519531,59610.410156,4481.149902,75.450699,137.603175,75.115873,181162.2,100.76786,9.86,232900.4,True,True,True,True,30.753444,1.678738,35.608121,132.827145,13.462323,14.611826,10.908009,1.629955,18.86766,70.381064,121
2022-04-07,2502.300049,2544.449951,2452.0,2458.350098,2425.52832,2785215,41.61833,6.914,100.580002,21808.980469,59034.949219,4500.209961,75.945099,137.553968,75.069841,179464.25,100.764625,9.98,221250.25,True,True,True,True,30.762258,1.678984,35.614161,132.717194,13.456097,14.547296,10.984249,1.683213,18.275916,68.105726,120
2022-04-08,2468.350098,2532.649902,2465.0,2509.949951,2476.439209,1217812,47.602413,7.119,102.779999,21872.009766,59447.179688,4488.279785,75.9132,137.504762,75.02381,177766.3,100.76139,10.1,209600.1,True,True,True,True,30.771073,1.67923,35.620202,132.607242,13.449871,14.437421,10.663464,1.647715,18.674992,69.523447,119
2022-04-11,2503.0,2509.949951,2477.399902,2489.850098,2456.607666,660112,45.639977,7.149,98.480003,21208.300781,58964.570312,4412.529785,75.917297,137.455556,74.977778,176068.35,100.758155,10.0625,197949.95,True,True,True,True,30.779887,1.679476,35.626242,132.49729,13.443645,13.775354,10.619289,1.660115,18.540814,68.955004,118
2022-04-12,2480.0,2508.5,2440.25,2488.199951,2454.979736,1182427,45.474229,7.189,104.639999,21319.130859,58576.371094,4397.450195,75.836998,137.406349,74.931746,174370.4,100.75492,10.025,186299.8,True,True,True,True,30.788702,1.679722,35.632282,132.387339,13.437419,14.555571,10.549033,1.660313,18.543916,68.897628,117
2022-04-13,2492.199951,2495.949951,2441.100098,2461.350098,2428.488281,1165453,42.753551,7.215,108.779999,21374.369141,58338.929688,4446.589844,76.149803,137.357143,74.885714,172672.45,100.751685,9.9875,174649.65,True,True,True,True,30.797516,1.679968,35.638323,132.277387,13.431194,15.076923,10.554373,1.677511,18.359058,68.142609,116
2022-04-18,2435.0,2500.0,2410.0,2493.449951,2460.159424,1109814,46.847841,7.153,113.160004,21374.369141,57166.738281,4391.689941,76.331398,137.307937,74.839683,170974.5,100.74845,9.95,162999.5,True,True,True,True,30.806331,1.680214,35.644363,132.167435,13.424968,15.819936,10.671243,1.655012,18.613961,69.019593,115
2022-04-19,2509.399902,2520.600098,2441.0,2452.600098,2419.85498,929834,42.665854,7.151,107.25,21027.759766,56463.148438,4462.209961,76.280197,137.25873,74.793651,169276.55,100.745215,9.9125,151349.35,True,True,True,True,30.815145,1.68046,35.650403,132.057484,13.418742,14.997902,10.667067,1.681659,18.324255,67.877352,114
2022-04-20,2453.050049,2505.0,2442.699951,2482.699951,2449.552734,639190,46.458499,7.105,106.800003,20944.669922,57037.5,4459.450195,76.445396,137.209524,74.747619,167578.6,100.74198,9.875,139699.2,True,True,True,True,30.82396,1.680706,35.656444,131.947532,13.412516,15.031668,10.75938,1.660362,18.564597,68.69874,113
