,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2022-04-01,6603.0,6688.850098,6565.049805,6670.549805,6563.37793,216837,57.621532,6.843,107.669998,22039.550781,59276.691406,4545.859863,75.909203,137.750794,75.253968,186256.05,100.777565,9.5,267850.85,False,False,True,False,9.668,0.712,172.447,1884.528,5.78,15.7694,11.081075,2.775951,3.48277,38.060262,124
2022-04-04,6632.0,6758.450195,6622.0,6743.899902,6635.549805,268314,59.83408,6.898,107.529999,22502.310547,60611.738281,4582.640137,75.994797,137.701587,75.207937,184558.1,100.77433,9.62,256200.7,False,False,True,False,9.678331,0.712056,172.700774,1885.355835,5.786089,15.588576,11.016932,2.7499,3.519521,38.422235,123
2022-04-05,6770.0,6816.0,6680.049805,6726.149902,6618.084961,412049,59.030906,6.899,106.639999,22502.310547,60176.5,4525.120117,75.477997,137.652381,75.161905,182860.15,100.771095,9.74,244550.55,False,False,True,False,9.688661,0.712113,172.954548,1886.183669,5.792177,15.457313,10.940426,2.761312,3.508717,38.26488,122
2022-04-06,6700.0,6792.0,6690.0,6736.149902,6627.923828,297453,59.36187,6.917,101.07,22080.519531,59610.410156,4481.149902,75.450699,137.603175,75.115873,181162.2,100.76786,9.86,232900.4,False,False,True,False,9.698992,0.712169,173.208323,1887.011504,5.798266,14.611826,10.908009,2.761364,3.512392,38.26562,121
2022-04-07,6696.0,6796.5,6696.0,6736.649902,6628.416504,234000,59.37954,6.914,100.580002,21808.980469,59034.949219,4500.209961,75.945099,137.553968,75.069841,179464.25,100.764625,9.98,221250.25,False,False,False,False,9.709323,0.712226,173.462097,1887.839339,5.804355,14.547296,10.984249,2.765312,3.511113,38.212478,120
2022-04-08,6799.0,6850.0,6722.850098,6837.0,6727.153809,309692,62.869007,7.119,102.779999,21872.009766,59447.179688,4488.279785,75.9132,137.504762,75.02381,177766.3,100.76139,10.1,209600.1,False,False,False,False,9.719653,0.712282,173.715871,1888.667173,5.810444,14.437421,10.663464,2.72882,3.561852,38.725039,119
2022-04-11,6834.649902,6918.5,6800.0,6858.75,6748.554199,359038,63.598893,7.149,98.480003,21208.300781,58964.570312,4412.529785,75.917297,137.455556,74.977778,176068.35,100.758155,10.0625,197949.95,False,False,False,False,9.729984,0.712339,173.969645,1889.495008,5.816532,13.775354,10.619289,2.724251,3.571618,38.791562,118
2022-04-12,6850.0,6858.75,6721.799805,6775.549805,6666.691406,385829,58.834574,7.189,104.639999,21319.130859,58576.371094,4397.450195,75.836998,137.406349,74.931746,174370.4,100.75492,10.025,186299.8,False,False,False,False,9.740315,0.712395,174.223419,1890.322843,5.822621,14.555571,10.549033,2.761841,3.526748,38.265185,117
2022-04-13,6750.0,6840.0,6694.200195,6730.049805,6621.921875,386535,56.348547,7.215,108.779999,21374.369141,58338.929688,4446.589844,76.149803,137.357143,74.885714,172672.45,100.751685,9.9875,174649.65,False,False,False,False,9.750645,0.712452,174.477194,1891.150677,5.82871,15.076923,10.554373,2.784681,3.501531,37.952937,116
2022-04-18,6645.5,6689.899902,6570.049805,6639.600098,6532.925781,240392,51.674137,7.153,113.160004,21374.369141,57166.738281,4391.689941,76.331398,137.307937,74.839683,170974.5,100.74845,9.95,162999.5,False,False,False,False,9.760976,0.712508,174.730968,1891.978512,5.834798,15.819936,10.671243,2.826843,3.45296,37.388483,115
2022-04-19,6700.0,6764.25,6506.049805,6585.700195,6479.891602,353426,49.062234,7.151,107.25,21027.759766,56463.148438,4462.209961,76.280197,137.25873,74.793651,169276.55,100.745215,9.9125,151349.35,False,False,False,False,9.771306,0.712565,174.984742,1892.806347,5.840887,14.997902,10.667067,2.854244,3.423431,37.031181,114
2022-04-20,6587.0,6827.75,6585.700195,6807.149902,6697.783691,328054,58.372041,7.105,106.800003,20944.669922,57037.5,4459.450195,76.445396,137.209524,74.747619,167578.6,100.74198,9.875,139699.2,False,False,False,False,9.781637,0.712621,175.238516,1893.634181,5.846976,15.031668,10.75938,2.765518,3.537,38.220956,113
2022-04-21,6830.0,6887.0,6808.0,6846.5,6736.501465,181457,59.778773,7.144,108.330002,20682.220703,57911.679688,4393.660156,76.276199,137.160317,74.701587,165880.65,100.738745,9.8375,128049.05,False,False,False,False,9.791968,0.712677,175.49229,1894.462016,5.853065,15.163774,10.67696,2.753731,3.555892,38.38631,112
2022-04-22,6800.0,6809.950195,6710.100098,6744.100098,6635.746582,237385,54.607287,7.167,106.650002,20638.519531,57197.148438,4271.779785,76.285202,137.111111,74.655556,164182.7,100.73551,9.8,116398.9,False,False,False,False,9.802298,0.712734,175.746065,1895.289851,5.859153,14.880703,10.643952,2.799715,3.501178,37.757583,111
2022-04-25,6694.0,6713.049805,6556.649902,6595.049805,6489.091309,227496,48.086375,7.043,102.32,19869.339844,56579.890625,4296.120117,76.463501,137.061905,74.609524,162484.75,100.732275,9.79,104748.75,False,False,False,False,9.812629,0.71279,175.999839,1896.117685,5.865242,14.5279,10.856666,2.867258,3.422304,36.869871,110
2022-04-26,6680.0,6694.200195,6615.0,6660.200195,6553.194824,279555,50.849223,7.053,104.989998,19934.710938,57356.609375,4175.200195,76.527802,137.012698,74.563492,160786.8,100.72904,9.78,93098.6,False,False,False,False,9.82296,0.712847,176.253613,1896.94552,5.871331,14.885864,10.85039,2.84344,3.454604,37.180485,109
2022-04-27,6575.0,6629.850098,6536.049805,6548.450195,6443.240234,327597,46.297761,7.083,105.32,19946.359375,56819.390625,4183.959961,76.794098,136.963492,74.51746,159088.85,100.725805,9.77,81448.45,False,False,False,False,9.83329,0.712903,176.507387,1897.773355,5.877419,14.869406,10.84203,2.896269,3.395158,36.504083,108
2022-04-28,6598.0,6635.0,6551.049805,6616.950195,6510.639648,243308,49.293852,7.155,107.589996,20276.169922,57521.058594,4287.5,76.472198,136.914286,74.471429,157390.9,100.72257,9.76,69798.3,False,False,False,False,9.843621,0.71296,176.761161,1898.60119,5.883508,15.037037,10.687938,2.870549,3.429177,36.832976,107
2022-04-29,6617.399902,6797.0,6520.200195,6630.25,6523.725586,1139560,49.878542,7.139,109.339996,21089.390625,57060.871094,4131.930176,76.588997,136.865079,74.425397,155692.95,100.719335,9.75,58148.15,False,False,False,False,9.853952,0.713016,177.014935,1899.429024,5.889597,15.31587,10.728253,2.869048,3.434572,36.854097,106
2022-05-02,6607.600098,6730.0,6542.899902,6679.0,6571.692383,329548,52.060625,7.119,109.360001,21089.390625,56975.988281,4155.379883,76.523102,136.766667,74.333333,154883.0,100.7123,9.73,56238.619048,False,False,False,False,9.864282,0.713073,177.26871,1900.256859,5.895685,15.361708,10.749136,2.852335,3.458318,37.071925,105
2022-05-04,6679.0,6708.600098,6501.0,6521.950195,6417.166016,228457,45.229163,7.378,110.139999,20869.519531,55669.03125,4300.169922,76.4673,136.71746,74.287302,155771.0,100.7085,9.72,65979.238095,False,False,False,False,9.874613,0.713129,177.522484,1901.084694,5.901774,14.928165,10.364232,2.925353,3.375529,36.148469,104
2022-05-05,6560.0,6595.899902,6340.0,6355.700195,6253.586914,344367,39.343608,7.403,110.900002,20793.400391,55702.230469,4146.870117,76.001602,136.668254,74.24127,156659.0,100.7047,9.71,75719.857143,False,False,False,False,9.884944,0.713185,177.776258,1901.912528,5.907863,14.980414,10.266325,3.006322,3.288052,35.176727,103
2022-05-06,6300.0,6300.0,6160.0,6200.200195,6100.585449,499910,34.784239,7.451,112.389999,20001.960938,54835.578125,4123.339844,76.541801,136.619048,74.195238,157547.0,100.7009,9.7,85460.47619,False,False,False,False,9.895274,0.713242,178.030032,1902.740363,5.913952,15.083881,10.272688,3.086284,3.20621,34.26717,102
2022-05-09,6175.0,6274.899902,6115.0,6224.600098,6124.59375,355285,36.036812,7.465,105.940002,20001.960938,54470.671875,3991.23999,76.957497,136.569841,74.149206,158435.0,100.6971,9.66,95201.095238,False,False,False,False,9.905605,0.713298,178.283806,1903.568198,5.92004,14.191561,10.309109,3.078734,3.217428,34.353057,101
2022-05-10,6210.850098,6423.450195,6200.549805,6366.450195,6264.164062,359456,42.902638,7.301,102.459999,19633.689453,54364.851562,4001.050049,77.365501,136.520635,74.103175,159323.0,100.6933,9.62,104941.714286,False,False,False,False,9.915935,0.713355,178.537581,1904.396032,5.926129,14.033694,10.596562,3.014587,3.289318,35.085969,100
2022-05-11,6369.950195,6436.5,6209.950195,6340.200195,6238.336426,217452,42.004095,7.215,107.510002,19824.570312,54088.390625,3935.179932,77.2714,136.471429,74.057143,160211.0,100.6895,9.58,114682.333333,False,False,False,False,9.926266,0.713411,178.791355,1905.223867,5.932218,14.900901,10.709827,3.031539,3.274332,34.891712,99
2022-05-12,6300.0,6300.0,6077.600098,6185.450195,6086.071777,323730,37.074452,7.244,107.449997,19380.339844,52930.308594,3930.080078,77.418404,136.422222,74.011111,161099.0,100.6857,9.54,124422.952381,False,False,False,False,9.936597,0.713468,179.045129,1906.051702,5.938306,14.832965,10.687245,3.111969,3.193026,33.991831,98
2022-05-13,6268.399902,6292.799805,6142.799805,6196.549805,6096.993652,319217,37.639771,7.318,111.550003,19898.769531,52793.621094,4023.889893,77.443802,136.373016,73.965079,161987.0,100.6819,9.5,134163.571429,False,False,False,False,9.946927,0.713524,179.298903,1906.879536,5.944395,15.243236,10.582646,3.110975,3.197367,34.004634,97
2022-05-16,6194.700195,6194.700195,5821.0,6012.799805,5916.196289,685657,32.443433,7.318,114.239998,19950.210938,52973.839844,4008.01001,77.486298,136.32381,73.919048,162875.0,100.6781,9.46,143904.190476,False,False,False,False,9.957258,0.713581,179.552677,1907.707371,5.950484,15.243236,10.582646,3.210768,3.101207,32.949641,96
2022-05-17,6012.799805,6125.850098,5980.399902,6107.75,6009.620605,637179,37.263199,7.366,111.93,20602.519531,54318.46875,4088.850098,77.805397,136.274603,73.873016,163763.0,100.6743,9.42,153644.809524,False,False,False,False,9.967589,0.713637,179.806452,1908.535206,5.956573,15.195493,10.562775,3.165507,3.148813,33.42272,95
2022-05-18,6164.0,6279.0,6130.049805,6233.75,6133.596191,371945,43.067841,7.355,109.110001,20644.279297,54208.53125,3923.679932,77.372398,136.225397,73.826984,164651.0,100.6705,9.38,163385.428571,False,False,False,False,9.977919,0.713694,180.060226,1909.36304,5.962661,14.834806,10.519701,3.106085,3.212378,34.064137,94
2022-05-19,6129.0,6176.399902,6050.0,6072.600098,5975.035645,259111,38.199759,7.32,112.040001,20120.679688,52792.230469,3900.790039,77.82,136.17619,73.780952,165539.0,100.6667,9.34,173126.047619,False,False,False,False,9.98825,0.71375,180.314,1910.190875,5.96875,15.306011,10.631147,3.193197,3.127978,33.136837,93
2022-05-20,6165.0,6165.0,6064.200195,6128.649902,6030.184082,374540,40.709998,7.359,112.550003,20717.240234,54326.390625,3901.360107,77.421097,136.126984,73.734921,166427.0,100.6629,9.3,182866.666667,False,False,False,False,9.998581,0.713806,180.567774,1911.01871,5.974839,15.294198,10.5206,3.168639,3.155481,33.395683,92
