,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2022-04-01,591.700012,603.400024,589.299988,601.799988,594.0979,4283997,55.10488,6.843,107.669998,22039.550781,59276.691406,4545.859863,75.909203,137.750794,75.253968,186256.05,100.777565,9.5,267850.85,False,False,True,False,15.771,0.803,19.866,142.6,10.067,15.7694,11.081075,3.785478,4.166184,29.90526,124
2022-04-04,605.0,606.5,599.0,605.599976,597.849243,4427974,57.03261,6.898,107.529999,22502.310547,60611.738281,4582.640137,75.994797,137.701587,75.207937,184558.1,100.77433,9.62,256200.7,False,False,True,False,15.765585,0.802871,19.865952,142.604347,10.064665,15.588576,11.016932,3.760548,4.192363,30.094166,123
2022-04-05,605.450012,609.5,598.049988,599.150024,596.406006,6431244,52.881983,6.899,106.639999,22502.310547,60176.5,4525.120117,75.477997,137.652381,75.161905,182860.15,100.771095,9.74,244550.55,False,False,True,False,15.760169,0.802742,19.865903,142.608694,10.062331,15.457313,10.940426,3.768468,4.182115,30.02159,122
2022-04-06,598.0,598.0,591.0,593.549988,590.831543,4117951,49.512782,6.917,101.07,22080.519531,59610.410156,4481.149902,75.450699,137.603175,75.115873,181162.2,100.76786,9.86,232900.4,False,False,True,False,15.754754,0.802613,19.865855,142.61304,10.059996,14.611826,10.908009,3.802832,4.1429,29.741058,121
2022-04-07,592.0,592.0,577.5,580.849976,578.189697,7860765,42.845851,6.914,100.580002,21808.980469,59034.949219,4500.209961,75.945099,137.553968,75.069841,179464.25,100.764625,9.98,221250.25,False,False,True,False,15.749339,0.802484,19.865806,142.617387,10.057661,14.547296,10.984249,3.884762,4.054132,29.104768,120
2022-04-08,586.0,587.0,580.5,583.650024,580.97699,4318316,44.61651,7.119,102.779999,21872.009766,59447.179688,4488.279785,75.9132,137.504762,75.02381,177766.3,100.76139,10.1,209600.1,False,False,True,False,15.743923,0.802355,19.865758,142.621734,10.055327,14.437421,10.663464,3.864913,4.073552,29.245146,119
2022-04-11,584.0,584.25,568.099976,571.099976,568.484375,8582108,38.812555,7.149,98.480003,21208.300781,58964.570312,4412.529785,75.917297,137.455556,74.977778,176068.35,100.758155,10.0625,197949.95,False,False,True,False,15.738508,0.802226,19.86571,142.626081,10.052992,13.775354,10.619289,3.948608,3.985837,28.616364,118
2022-04-12,568.0,568.0,556.200012,558.700012,556.141235,8169266,34.093456,7.189,104.639999,21319.130859,58576.371094,4397.450195,75.836998,137.406349,74.931746,174370.4,100.75492,10.025,186299.8,False,False,True,False,15.733093,0.802097,19.865661,142.630427,10.050657,14.555571,10.549033,4.034978,3.899177,27.995103,117
2022-04-13,560.0,565.5,554.599976,559.200012,556.638916,5602288,34.439604,7.215,108.779999,21374.369141,58338.929688,4446.589844,76.149803,137.357143,74.885714,172672.45,100.751685,9.9875,174649.65,False,False,True,False,15.727677,0.801968,19.865613,142.634774,10.048323,15.076923,10.554373,4.030106,3.902547,28.020224,116
2022-04-18,549.849976,549.849976,536.0,538.599976,536.13324,9465031,27.930811,7.153,113.160004,21374.369141,57166.738281,4391.689941,76.331398,137.307937,74.839683,170974.5,100.74845,9.95,162999.5,False,False,True,False,15.722262,0.801839,19.865565,142.639121,10.045988,15.819936,10.671243,4.182933,3.758669,26.98807,115
