,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2007-12-03,62.053406,62.750809,59.010899,61.057117,49.680691,3281421,0.0,7.881,89.800003,28658.419922,19603.410156,1472.420044,39.493999,121.988462,73.7,126159.6,101.837455,26.02,130272.75,False,False,False,False,20.595924,1.713976,9.186693,55.366673,3.275004,11.394493,5.011293,22.953139,0.897303,5.407897,124
2007-12-04,61.846485,62.076397,60.179619,60.639446,49.340832,1934939,0.0,7.883,89.529999,28879.589844,19529.5,1462.790039,39.352001,122.115385,73.7,125534.2,101.83151,25.44,129486.5,False,False,False,False,20.584271,1.712717,9.199203,55.438801,3.27288,11.357351,4.992008,23.128254,0.890005,5.363598,123
2007-12-05,61.539936,62.076397,60.696922,61.455635,50.004944,3587785,67.788284,7.869,88.489998,29345.449219,19738.070312,1485.01001,39.397999,122.242308,73.7,124908.8,101.825565,24.86,128700.25,False,False,False,False,20.572618,1.711458,9.211713,55.510928,3.270757,11.245393,5.006735,22.837844,0.900813,5.428409,122
2007-12-06,61.99976,63.60915,60.930668,61.321518,49.895817,3349364,60.527468,7.878,90.18,29558.919922,19795.869141,1507.339966,39.391998,122.369231,73.7,124283.4,101.81962,24.28,127914.0,False,False,False,False,20.560964,1.710199,9.224223,55.583056,3.268633,11.447068,5.000254,22.90455,0.89768,5.409216,121
2007-12-07,61.386662,62.996048,59.470722,61.060951,49.6838,2419402,49.446333,7.874,88.639999,28842.470703,19966.0,1504.660034,39.360001,122.496154,73.7,123658.0,101.813675,23.7,127127.75,False,False,False,False,20.549311,1.70894,9.236733,55.655183,3.26651,11.257302,4.99873,23.019086,0.892708,5.378936,120
2007-12-10,61.455635,62.298649,59.853909,60.880852,49.537262,3127488,43.516242,7.877,88.040001,28501.099609,19930.679688,1515.959961,39.344002,122.623077,73.7,123032.6,101.80773,23.86,126341.5,False,False,False,False,20.537657,1.707681,9.249243,55.727311,3.264386,11.176844,4.994795,23.10399,0.888923,5.355818,119
2007-12-11,61.310024,63.927197,61.003471,63.911865,52.003517,6137032,82.202209,7.883,89.989998,29226.839844,20290.890625,1477.650024,39.292999,122.75,73.7,122407.2,101.801785,24.02,125555.25,False,False,False,False,20.526004,1.706422,9.261753,55.799438,3.262263,11.415704,4.984524,22.02427,0.931972,5.614868,118
2007-12-12,62.084061,67.107651,62.084061,66.946716,54.4729,5023348,89.762695,7.878,94.019997,28521.060547,20375.869141,1486.589966,39.293999,122.876923,73.7,121781.8,101.79584,24.18,124769.0,False,False,False,False,20.514351,1.705163,9.274263,55.871566,3.260139,11.934501,4.987814,21.041084,0.974966,5.873556,117
2007-12-13,67.594299,70.295776,65.141899,70.295776,57.19796,8057971,93.197081,7.885,92.120003,27744.449219,20104.390625,1488.410034,39.308998,123.003846,73.7,121156.4,101.789895,24.34,123982.75,False,False,False,False,20.502697,1.703904,9.286773,55.943693,3.258016,11.682943,4.985288,20.053103,1.02242,6.159078,116
2007-12-14,72.37648,72.805649,66.781944,69.759308,56.761444,6867066,88.098626,7.9,91.690002,27563.640625,20030.830078,1467.949951,39.240002,123.130769,73.7,120531.0,101.78395,24.5,123196.5,False,False,False,False,20.491044,1.702645,9.299283,56.015821,3.255892,11.606329,4.967089,20.221872,1.013311,6.103852,115
2007-12-17,70.353249,72.652374,67.441025,69.349297,56.42783,4659362,84.302731,7.898,91.290001,26596.580078,19261.349609,1445.900024,39.373001,123.257692,73.7,119905.6,101.778005,24.66,122410.25,False,False,False,False,20.47939,1.701386,9.311793,56.087948,3.253769,11.558623,4.985186,20.356037,1.00606,6.059824,114
2007-12-18,65.915939,69.663513,65.881454,67.065498,54.569557,5869395,66.988857,7.892,90.120003,26732.869141,19079.640625,1454.97998,39.373001,123.384615,73.7,119280.2,101.77206,24.82,121624.0,False,False,False,False,20.467737,1.700127,9.324303,56.160076,3.251645,11.419159,4.985186,21.064303,0.971679,5.852401,113
2007-12-19,68.437309,69.510239,66.68998,68.536942,55.766827,2644135,71.106289,7.882,91.480003,27029.259766,19091.960938,1453.0,39.490002,123.511538,73.7,118654.8,101.766115,24.98,120837.75,False,False,False,False,20.456084,1.698869,9.336813,56.232203,3.249522,11.606192,5.01015,20.626791,0.991724,5.972791,112
2007-12-20,69.356964,69.356964,67.824211,69.008263,56.150349,513925,72.298168,7.871,90.879997,27017.089844,19162.570312,1460.119995,39.488998,123.638462,73.7,118029.4,101.76017,25.14,120051.5,False,False,False,False,20.44443,1.69761,9.349323,56.304331,3.247398,11.546182,5.017024,20.500495,0.997265,6.00582,111
2007-12-24,72.115913,72.460785,72.115913,72.460785,58.959572,695703,79.099453,7.864,92.699997,28128.800781,19854.119141,1496.449951,39.251999,123.892308,73.7,116778.6,101.74828,24.9,118479.0,False,False,False,False,20.432777,1.696351,9.361833,56.376458,3.245275,11.787894,4.991353,19.537584,1.045819,6.297866,110
2007-12-26,76.024429,76.085739,74.529999,76.085739,61.909111,2004174,83.640887,7.87,93.940002,28128.800781,20192.519531,1497.660034,39.389999,124.019231,73.7,116153.2,101.742335,24.5,117692.75,False,False,False,False,20.421124,1.695092,9.374343,56.448586,3.243151,11.936468,5.005083,18.619934,1.096734,6.604102,109
2007-12-27,79.580406,79.890793,73.656326,79.890793,65.005188,3906989,86.866777,7.856,94.779999,27842.929688,20216.720703,1476.27002,39.196999,124.146154,73.7,115527.8,101.73639,24.1,116906.5,False,False,False,False,20.40947,1.693833,9.386853,56.520713,3.241028,12.064664,4.989435,17.745627,1.150113,6.925131,108
2007-12-28,81.159142,83.887436,77.787094,83.887436,68.257156,1647965,89.261939,7.811,93.879997,27370.599609,20206.949219,1478.48999,39.244999,124.273077,73.7,114902.4,101.730445,23.7,116120.25,False,False,False,False,20.397817,1.692574,9.399363,56.592841,3.238904,12.018947,5.024325,16.912079,1.206109,7.261892,107
