,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2007-12-03,187.949997,198.860001,184.399994,196.0,178.347336,14578850,100.0,7.881,89.800003,28658.419922,19603.410156,1472.420044,39.493999,121.988462,73.7,126159.6,101.837455,26.02,130272.75,False,False,False,False,14.581311,0.183677,1.864167,14.126996,6.026526,11.394493,5.011293,1.154994,12.624576,95.671313,124
2007-12-04,197.350006,211.0,195.199997,209.800003,190.904465,22742860,100.0,7.883,89.529999,28879.589844,19529.5,1462.790039,39.352001,122.115385,73.7,125534.2,101.83151,25.44,129486.5,False,False,False,False,14.593677,0.183681,1.86898,14.13312,6.034223,11.357351,4.992008,1.080405,13.507596,102.143659,123
2007-12-05,210.0,219.800003,210.0,216.800003,197.273972,13806600,100.0,7.869,88.489998,29345.449219,19738.070312,1485.01001,39.397999,122.242308,73.7,124908.8,101.825565,24.86,128700.25,False,False,False,False,14.606044,0.183685,1.873793,14.139243,6.04192,11.245393,5.006735,1.046861,13.95223,105.280567,122
2007-12-06,210.199997,221.520004,210.199997,218.020004,198.38414,8619680,100.0,7.878,90.18,29558.919922,19795.869141,1507.339966,39.391998,122.369231,73.7,124283.4,101.81962,24.28,127914.0,False,False,False,False,14.61841,0.183689,1.878606,14.145367,6.049618,11.447068,5.000254,1.042335,14.024673,105.601805,121
2007-12-07,220.0,226.740005,215.600006,220.0,200.185791,11182820,100.0,7.874,88.639999,28842.470703,19966.0,1504.660034,39.360001,122.496154,73.7,123658.0,101.813675,23.7,127127.75,False,False,False,False,14.630777,0.183693,1.883418,14.15149,6.057315,11.257302,4.99873,1.034276,14.145916,106.288544,120
2007-12-10,220.330002,222.0,212.309998,214.710007,195.372238,5028390,77.999547,7.877,88.040001,28501.099609,19930.679688,1515.959961,39.344002,122.623077,73.7,123032.6,101.80773,23.86,126341.5,False,False,False,False,14.643143,0.183697,1.888231,14.157614,6.065012,11.176844,4.994795,1.061113,13.7998,103.468395,119
2007-12-11,216.210007,217.800003,208.199997,209.199997,190.358475,3990645,62.560692,7.883,89.989998,29226.839844,20290.890625,1477.650024,39.292999,122.75,73.7,122407.2,101.801785,24.02,125555.25,False,False,False,False,14.65551,0.183701,1.893044,14.163737,6.072709,11.415704,4.984524,1.090452,13.439848,100.556824,118
2007-12-12,206.0,212.600006,203.199997,207.380005,188.702393,3637865,58.445626,7.878,94.019997,28521.060547,20375.869141,1486.589966,39.293999,122.876923,73.7,121781.8,101.79584,24.18,124769.0,False,False,False,False,14.667876,0.183705,1.897857,14.169861,6.080406,11.934501,4.987814,1.101426,13.317167,99.429217,117
2007-12-13,208.0,230.0,207.419998,226.229996,205.854691,15317195,76.030998,7.885,92.120003,27744.449219,20104.390625,1488.410034,39.308998,123.003846,73.7,121156.4,101.789895,24.34,123982.75,False,False,False,False,14.680243,0.183709,1.902669,14.175984,6.088104,11.682943,4.985288,1.010941,14.521369,108.192574,116
2007-12-14,221.029999,227.979996,220.220001,221.399994,201.459702,5345960,68.080761,7.9,91.690002,27563.640625,20030.830078,1467.949951,39.240002,123.130769,73.7,120531.0,101.78395,24.5,123196.5,False,False,False,False,14.69261,0.183713,1.907482,14.182108,6.095801,11.606329,4.967089,1.034312,14.205202,105.615515,115
2007-12-17,228.0,233.600006,204.300003,208.850006,190.040024,7024775,52.669745,7.898,91.290001,26596.580078,19261.349609,1445.900024,39.373001,123.257692,73.7,119905.6,101.778005,24.66,122410.25,False,False,False,False,14.704976,0.183717,1.912295,14.188231,6.103498,11.558623,4.985186,1.097861,13.394201,99.377994,114
2007-12-18,208.850006,208.850006,208.850006,208.850006,190.040024,0,52.669745,7.892,90.120003,26732.869141,19079.640625,1454.97998,39.373001,123.384615,73.7,119280.2,101.77206,24.82,121624.0,False,False,False,False,14.717343,0.183721,1.917108,14.194355,6.111195,11.419159,4.985186,1.099259,13.388423,99.128514,113
2007-12-19,218.199997,223.199997,209.259995,213.380005,194.162033,4228330,56.766599,7.882,91.480003,27029.259766,19091.960938,1453.0,39.490002,123.511538,73.7,118654.8,101.766115,24.98,120837.75,False,False,False,False,14.729709,0.183725,1.92192,14.200478,6.118892,11.606192,5.01015,1.07729,13.672922,101.025017,112
2007-12-20,216.699997,216.699997,210.199997,212.039993,192.942673,3116440,55.243295,7.871,90.879997,27017.089844,19162.570312,1460.119995,39.488998,123.638462,73.7,118029.4,101.76017,25.14,120051.5,False,False,False,False,14.742076,0.183729,1.926733,14.206602,6.12659,11.546182,5.017024,1.085477,13.581198,100.139805,111
2007-12-24,219.0,238.399994,217.050003,231.360001,210.52269,10304460,68.406778,7.864,92.699997,28128.800781,19854.119141,1496.449951,39.251999,123.892308,73.7,116778.6,101.74828,24.9,118479.0,False,False,False,False,14.754442,0.183733,1.931546,14.212725,6.134287,11.787894,4.991353,0.996096,14.812268,108.991818,110
2007-12-26,235.0,242.800003,229.600006,239.979996,218.366302,7335155,72.318647,7.87,93.940002,28128.800781,20192.519531,1497.660034,39.389999,124.019231,73.7,116153.2,101.742335,24.5,117692.75,False,False,False,False,14.766809,0.183737,1.936359,14.218849,6.141984,11.936468,5.005083,0.961536,15.357524,112.771625,109
2007-12-27,243.0,248.0,240.800003,242.330002,220.504639,4887475,73.289642,7.856,94.779999,27842.929688,20216.720703,1476.27002,39.196999,124.146154,73.7,115527.8,101.73639,24.1,116906.5,False,False,False,False,14.779175,0.183741,1.941171,14.224972,6.149681,12.064664,4.989435,0.953419,15.501235,113.5936,108
2007-12-28,237.880005,254.800003,235.0,249.820007,227.320099,5820690,76.159986,7.811,93.879997,27370.599609,20206.949219,1478.48999,39.244999,124.273077,73.7,114902.4,101.730445,23.7,116120.25,False,False,False,False,14.791542,0.183745,1.945984,14.231096,6.157378,12.018947,5.024325,0.926006,15.973478,116.814985,107
2007-12-31,252.669998,259.0,252.199997,253.759995,230.905197,3686245,77.528008,7.791,93.849998,27812.650391,20286.990234,1468.359985,39.244999,124.4,73.7,114277.0,101.7245,23.98,115334.0,False,False,False,False,14.803908,0.183749,1.950797,14.237219,6.165076,12.04595,5.037222,0.912784,16.21842,118.364555,106
2008-01-01,255.800003,263.799988,252.740005,259.369995,236.009949,2456740,79.345429,7.746,93.849998,27812.650391,20286.990234,1468.359985,39.244999,124.306452,73.7,115556.826087,101.716104,24.26,116729.434783,False,False,False,False,14.816275,0.183753,1.95561,14.243343,6.172773,12.04595,5.066486,0.894171,16.569843,120.683573,105
2008-01-02,262.049988,264.799988,254.0,261.48999,237.939026,3519075,80.003576,7.746,97.839996,27560.519531,20465.300781,1447.160034,39.375,124.212903,73.7,116836.652174,101.707709,24.54,118124.869565,False,False,False,False,14.828641,0.183757,1.960422,14.249466,6.18047,12.631035,5.083269,0.888044,16.698101,121.371311,104
2008-01-03,261.0,262.940002,252.229996,255.160004,232.179123,2525290,72.568156,7.755,97.599998,26887.279297,20345.199219,1447.160034,39.353001,124.119355,73.7,118116.478261,101.699313,24.82,119520.304348,False,False,False,False,14.841008,0.183761,1.965235,14.25559,6.188167,12.585429,5.074533,0.911225,16.286883,118.143182,103
2008-01-04,255.759995,258.959991,246.600006,248.070007,225.727692,2753975,65.252987,7.706,96.790001,27519.689453,20686.890625,1411.630005,39.095001,124.025806,73.7,119396.304348,101.690917,25.1,120915.73913,False,False,False,False,14.853375,0.183765,1.970048,14.261713,6.195865,12.560343,5.07332,0.938452,15.82753,114.579804,102
2008-01-07,248.0,255.779999,243.0,245.449997,223.343674,3154815,62.736246,7.66,94.389999,27179.490234,20812.650391,1416.180054,39.213001,123.932258,73.7,120676.130435,101.682522,25.24,122311.173913,False,False,False,False,14.865741,0.183769,1.974861,14.267837,6.203562,12.322454,5.119191,0.949666,15.653647,113.093389,101
2008-01-08,248.0,251.0,237.0,240.960007,219.258087,2652495,58.567353,7.673,95.540001,27112.900391,20873.330078,1390.189941,39.195999,123.83871,73.7,121955.956522,101.674126,25.38,123706.608696,False,False,False,False,14.878108,0.183773,1.979673,14.27396,6.211259,12.451453,5.108302,0.968582,15.360705,110.754682,100
2008-01-09,240.0,242.0,230.199997,236.050003,214.790253,3137535,54.31669,7.654,94.370003,27615.849609,20869.779297,1409.130005,39.213001,123.745161,73.7,123235.782609,101.66573,25.52,125102.043478,False,False,False,False,14.890474,0.183777,1.984486,14.280084,6.218956,12.329501,5.123204,0.989976,15.041246,108.2347,99
2008-01-10,237.0,239.960007,222.0,224.309998,204.107605,2194030,45.764109,7.586,92.220001,27230.859375,20582.080078,1420.329956,39.216,123.651613,73.7,124515.608696,101.657335,25.66,126497.478261,False,False,False,False,14.902841,0.183781,1.989299,14.286207,6.226653,12.156604,5.169523,1.043102,14.287039,102.602789,98
2008-01-11,225.600006,226.0,212.600006,217.169998,197.610657,3084690,41.485748,7.563,91.07,26867.009766,20827.449219,1401.02002,39.095001,123.558065,73.7,125795.434783,101.648939,25.8,127892.913043,False,False,False,False,14.915207,0.183785,1.994112,14.292331,6.234351,12.041518,5.169245,1.078753,13.826342,99.097092,97
