,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2007-12-03,99.099998,100.0,98.004997,98.660004,84.500641,157990,100.0,7.881,89.800003,28658.419922,19603.410156,1472.420044,39.493999,121.988462,73.7,126159.6,101.837455,26.02,130272.75,False,False,False,False,41.695092,2.014406,4.207665,11.800446,16.740506,11.394493,5.011293,5.822686,7.1608,20.082548,124
2007-12-04,99.599998,100.0,99.184998,99.529999,85.245781,26660,100.0,7.883,89.529999,28879.589844,19529.5,1462.790039,39.352001,122.115385,73.7,125534.2,101.83151,25.44,129486.5,False,False,False,False,41.654251,2.014809,4.20704,11.809614,16.727821,11.357351,4.992008,5.770615,7.218338,20.262651,123
2007-12-05,99.529999,100.695,99.105003,100.230003,85.845314,48290,100.0,7.869,88.489998,29345.449219,19738.070312,1485.01001,39.397999,122.242308,73.7,124908.8,101.825565,24.86,128700.25,False,False,False,False,41.61341,2.015211,4.206414,11.818781,16.715135,11.245393,5.006735,5.729139,7.263466,20.408193,122
2007-12-06,100.0,100.400002,98.504997,99.440002,85.168709,66800,63.929436,7.878,90.18,29558.919922,19795.869141,1507.339966,39.391998,122.369231,73.7,124283.4,101.81962,24.28,127914.0,False,False,False,False,41.57257,2.015614,4.205789,11.827948,16.70245,11.447068,5.000254,5.773461,7.200633,20.250353,121
2007-12-07,100.294998,100.294998,98.300003,99.489998,85.211517,674400,64.794893,7.874,88.639999,28842.470703,19966.0,1504.660034,39.360001,122.496154,73.7,123658.0,101.813675,23.7,127127.75,False,False,False,False,41.531729,2.016016,4.205163,11.837116,16.689765,11.257302,4.99873,5.769359,7.198672,20.263545,120
2007-12-10,99.300003,100.294998,98.5,99.504997,85.22435,187360,65.065709,7.877,88.040001,28501.099609,19930.679688,1515.959961,39.344002,122.623077,73.7,123032.6,101.80773,23.86,126341.5,False,False,False,False,41.490888,2.016418,4.204538,11.846283,16.67708,11.176844,4.994795,5.767281,7.194185,20.269612,119
2007-12-11,99.599998,100.589996,99.099998,99.955002,85.609802,573110,72.019874,7.883,89.989998,29226.839844,20290.890625,1477.650024,39.292999,122.75,73.7,122407.2,101.801785,24.02,125555.25,False,False,False,False,41.450048,2.016821,4.203912,11.85545,16.664394,11.415704,4.984524,5.740102,7.221135,20.364317,118
2007-12-12,100.099998,100.584999,99.5,99.660004,85.357124,196020,63.145772,7.878,94.019997,28521.060547,20375.869141,1486.589966,39.293999,122.876923,73.7,121781.8,101.79584,24.18,124769.0,False,False,False,False,41.409207,2.017223,4.203287,11.864618,16.651709,11.934501,4.987814,5.755869,7.194258,20.307233,117
2007-12-13,100.690002,100.699997,98.099998,98.394997,84.273682,102560,40.245263,7.885,92.120003,27744.449219,20104.390625,1488.410034,39.308998,123.003846,73.7,121156.4,101.789895,24.34,123982.75,False,False,False,False,41.368367,2.017625,4.202661,11.873785,16.639024,11.682943,4.985288,5.828618,7.097457,20.052456,116
2007-12-14,98.699997,100.695,98.699997,100.269997,85.879562,47470,62.153889,7.9,91.690002,27563.640625,20030.830078,1467.949951,39.240002,123.130769,73.7,120531.0,101.78395,24.5,123196.5,False,False,False,False,41.327526,2.018028,4.202036,11.882952,16.626339,11.606329,4.967089,5.718392,7.227123,20.437608,115
2007-12-17,99.5,100.5,99.099998,99.599998,85.305725,36900,54.46882,7.898,91.290001,26596.580078,19261.349609,1445.900024,39.373001,123.257692,73.7,119905.6,101.778005,24.66,122410.25,False,False,False,False,41.286685,2.01843,4.20141,11.89212,16.613653,11.558623,4.985186,5.755607,7.173299,20.304069,114
2007-12-18,100.400002,100.400002,98.540001,98.800003,84.620537,32790,46.996676,7.892,90.120003,26732.869141,19079.640625,1454.97998,39.373001,123.384615,73.7,119280.2,101.77206,24.82,121624.0,False,False,False,False,41.245845,2.018833,4.200785,11.901287,16.600968,11.419159,4.985186,5.80094,7.110201,20.143983,113
2007-12-19,99.199997,100.699997,99.105003,100.489998,86.067993,33330,59.603895,7.882,91.480003,27029.259766,19091.960938,1453.0,39.490002,123.511538,73.7,118654.8,101.766115,24.98,120837.75,False,False,False,False,41.205004,2.019235,4.200159,11.910454,16.588283,11.606192,5.01015,5.702123,7.226256,20.491602,112
2007-12-20,100.004997,102.400002,100.0,101.165001,86.646133,95140,63.353251,7.871,90.879997,27017.089844,19162.570312,1460.119995,39.488998,123.638462,73.7,118029.4,101.76017,25.14,120051.5,False,False,False,False,41.164163,2.019637,4.199534,11.919622,16.575598,11.546182,5.017024,5.662818,7.269202,20.632322,111
2007-12-24,107.220001,107.220001,101.0,105.209999,90.110596,126910,77.081213,7.864,92.699997,28128.800781,19854.119141,1496.449951,39.251999,123.892308,73.7,116778.6,101.74828,24.9,118479.0,False,False,False,False,41.123323,2.02004,4.198908,11.928789,16.562912,11.787894,4.991353,5.443882,7.554044,21.460482,110
2007-12-26,112.199997,112.199997,104.5,110.014999,94.225998,363010,84.506115,7.87,93.940002,28128.800781,20192.519531,1497.660034,39.389999,124.019231,73.7,116153.2,101.742335,24.5,117692.75,False,False,False,False,41.082482,2.020442,4.198283,11.937956,16.550227,11.936468,5.005083,5.204942,7.892976,22.443937,109
2007-12-27,111.5,112.5,108.400002,108.514999,92.941277,79620,76.20623,7.856,94.779999,27842.929688,20216.720703,1476.27002,39.196999,124.146154,73.7,115527.8,101.73639,24.1,116906.5,False,False,False,False,41.041641,2.020845,4.197657,11.947124,16.537542,12.064664,4.989435,5.275692,7.779385,22.141225,108
