,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2007-12-03,187.229996,189.979996,186.0,188.470001,167.81955,1810230,100.0,7.881,89.800003,28658.419922,19603.410156,1472.420044,39.493999,121.988462,73.7,126159.6,101.837455,26.02,130272.75,False,False,False,False,18.57188,0.050032,8.79957,54.336912,1.328323,11.394493,5.011293,6.013237,3.0885,19.071336,124
2007-12-04,189.399994,190.100006,188.0,188.860001,168.166794,2604970,100.0,7.883,89.529999,28879.589844,19529.5,1462.790039,39.352001,122.115385,73.7,125534.2,101.83151,25.44,129486.5,False,False,False,False,18.578586,0.050044,8.814908,54.368629,1.329319,11.357351,4.992008,6.00649,3.093085,19.077543,123
2007-12-05,188.600006,189.960007,187.0,188.020004,167.418808,2051215,30.124836,7.869,88.489998,29345.449219,19738.070312,1485.01001,39.397999,122.242308,73.7,124908.8,101.825565,24.86,128700.25,False,False,False,False,18.585291,0.050056,8.830247,54.400347,1.330315,11.245393,5.006735,6.039024,3.077532,18.959697,122
2007-12-06,189.020004,190.199997,183.330002,184.639999,164.409164,2505170,7.478966,7.878,90.18,29558.919922,19795.869141,1507.339966,39.391998,122.369231,73.7,124283.4,101.81962,24.28,127914.0,False,False,False,False,18.591996,0.050068,8.845586,54.432064,1.331311,11.447068,5.000254,6.155379,3.020447,18.586578,121
2007-12-07,186.240005,188.0,184.399994,187.710007,167.142822,1478035,46.683314,7.874,88.639999,28842.470703,19966.0,1504.660034,39.360001,122.496154,73.7,123658.0,101.813675,23.7,127127.75,False,False,False,False,18.598701,0.05008,8.860924,54.463781,1.332307,11.257302,4.99873,6.060419,3.06888,18.862911,120
2007-12-10,188.0,188.5,186.199997,187.929993,167.338684,965735,48.371512,7.877,88.040001,28501.099609,19930.679688,1515.959961,39.344002,122.623077,73.7,123032.6,101.80773,23.86,126341.5,False,False,False,False,18.605406,0.050092,8.876263,54.495498,1.333303,11.176844,4.994795,6.059035,3.070688,18.85238,119
2007-12-11,190.0,190.0,187.199997,188.199997,167.579102,2258165,50.445488,7.883,89.989998,29226.839844,20290.890625,1477.650024,39.292999,122.75,73.7,122407.2,101.801785,24.02,125555.25,False,False,False,False,18.612112,0.050104,8.891602,54.527215,1.334299,11.415704,4.984524,6.056045,3.073311,18.846897,118
2007-12-12,187.0,191.0,180.449997,188.410004,167.766129,5131770,52.058628,7.878,94.019997,28521.060547,20375.869141,1486.589966,39.293999,122.876923,73.7,121781.8,101.79584,24.18,124769.0,False,False,False,False,18.618817,0.050116,8.90694,54.558932,1.335295,11.934501,4.987814,6.054993,3.074953,18.835439,117
2007-12-13,189.0,195.800003,189.0,194.440002,173.135422,4608770,76.108176,7.885,92.120003,27744.449219,20104.390625,1488.410034,39.308998,123.003846,73.7,121156.4,101.789895,24.34,123982.75,False,False,False,False,18.625522,0.050127,8.922279,54.590649,1.336291,11.682943,4.985288,5.87274,3.171522,19.404843,116
2007-12-14,195.020004,199.789993,194.429993,198.929993,177.133408,8700010,82.961944,7.9,91.690002,27563.640625,20030.830078,1467.949951,39.240002,123.130769,73.7,120531.0,101.78395,24.5,123196.5,False,False,False,False,18.632227,0.050139,8.937618,54.622367,1.337287,11.606329,4.967089,5.745592,3.242873,19.818862,115
2007-12-17,199.050003,202.660004,192.440002,196.889999,175.316971,2976960,72.750563,7.898,91.290001,26596.580078,19261.349609,1445.900024,39.373001,123.257692,73.7,119905.6,101.778005,24.66,122410.25,False,False,False,False,18.638932,0.050151,8.952956,54.654084,1.338283,11.558623,4.985186,5.810583,3.207756,19.58202,114
2007-12-18,196.399994,199.600006,186.539993,190.610001,169.725037,455585,51.667336,7.892,90.120003,26732.869141,19079.640625,1454.97998,39.373001,123.384615,73.7,119280.2,101.77206,24.82,121624.0,False,False,False,False,18.645637,0.050163,8.968295,54.685801,1.339279,11.419159,4.985186,6.007668,3.10364,18.925006,113
2007-12-19,193.0,195.600006,185.399994,187.800003,167.222931,2179280,45.33626,7.882,91.480003,27029.259766,19091.960938,1453.0,39.490002,123.511538,73.7,118654.8,101.766115,24.98,120837.75,False,False,False,False,18.652343,0.050175,8.983633,54.717518,1.340275,11.606192,5.01015,6.103289,3.056113,18.614176,112
2007-12-20,188.220001,192.600006,185.039993,186.770004,166.305817,1589440,43.244519,7.871,90.879997,27017.089844,19162.570312,1460.119995,39.488998,123.638462,73.7,118029.4,101.76017,25.14,120051.5,False,False,False,False,18.659048,0.050187,8.998972,54.749235,1.341271,11.546182,5.017024,6.142711,3.037592,18.480535,111
2007-12-24,190.0,191.399994,187.300003,190.649994,169.760666,2345920,52.192704,7.864,92.699997,28128.800781,19854.119141,1496.449951,39.251999,123.892308,73.7,116778.6,101.74828,24.9,118479.0,False,False,False,False,18.665753,0.050199,9.014311,54.780952,1.342267,11.787894,4.991353,6.023349,3.0989,18.832351,110
2007-12-26,192.0,195.0,188.800003,194.190002,172.912796,1788985,58.605255,7.87,93.940002,28128.800781,20192.519531,1497.660034,39.389999,124.019231,73.7,116153.2,101.742335,24.5,117692.75,False,False,False,False,18.672458,0.050211,9.029649,54.812669,1.343263,11.936468,5.005083,5.919095,3.154614,19.149447,109
2007-12-27,194.800003,196.800003,190.199997,191.279999,170.321625,2548215,52.384881,7.856,94.779999,27842.929688,20216.720703,1476.27002,39.196999,124.146154,73.7,115527.8,101.73639,24.1,116906.5,False,False,False,False,18.679163,0.050223,9.044988,54.844386,1.344259,12.064664,4.989435,6.014781,3.105543,18.830497,108
2007-12-28,192.0,197.199997,190.600006,195.110001,173.73201,1774735,58.611468,7.811,93.879997,27370.599609,20206.949219,1478.48999,39.244999,124.273077,73.7,114902.4,101.730445,23.7,116120.25,False,False,False,False,18.685869,0.050235,9.060327,54.876104,1.345255,12.018947,5.024325,5.902238,3.165896,19.175027,107
