,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2007-12-03,673.75,697.75,665.0,693.8125,445.582916,706468,0.0,7.881,89.800003,28658.419922,19603.410156,1472.420044,39.493999,121.988462,73.7,126159.6,101.837455,26.02,130272.75,False,False,False,False,27.320956,1.285143,24.316932,60.536805,8.654733,11.394493,5.011293,3.71182,7.360529,18.323977,124
2007-12-04,675.25,696.125,675.25,692.237488,444.571381,401614,0.0,7.883,89.529999,28879.589844,19529.5,1462.790039,39.352001,122.115385,73.7,125534.2,101.83151,25.44,129486.5,False,False,False,False,27.368315,1.288697,24.302032,60.562857,8.671008,11.357351,4.992008,3.728318,7.340661,18.293589,123
2007-12-05,687.75,706.25,685.0,700.849976,450.102478,521604,85.483757,7.869,88.489998,29345.449219,19738.070312,1485.01001,39.397999,122.242308,73.7,124908.8,101.825565,24.86,128700.25,False,False,False,False,27.415673,1.292251,24.287131,60.588908,8.687283,11.245393,5.006735,3.690461,7.428793,18.53255,122
2007-12-06,695.0,710.0,676.262512,683.875,439.200775,348594,30.372994,7.878,90.18,29558.919922,19795.869141,1507.339966,39.391998,122.369231,73.7,124283.4,101.81962,24.28,127914.0,False,False,False,False,27.463032,1.295805,24.272231,60.61496,8.703558,11.447068,5.000254,3.790227,7.245749,18.094784,121
2007-12-07,710.0,710.0,670.299988,675.462524,433.798096,136812,22.597705,7.874,88.639999,28842.470703,19966.0,1504.660034,39.360001,122.496154,73.7,123658.0,101.813675,23.7,127127.75,False,False,False,False,27.51039,1.299359,24.257331,60.641012,8.719833,11.257302,4.99873,3.845701,7.153543,17.883175,120
2007-12-10,690.0,690.0,670.0,678.037476,435.451782,144824,28.620938,7.877,88.040001,28501.099609,19930.679688,1515.959961,39.344002,122.623077,73.7,123032.6,101.80773,23.86,126341.5,False,False,False,False,27.557749,1.302912,24.24243,60.667064,8.736108,11.176844,4.994795,3.839341,7.17773,17.962382,119
2007-12-11,680.0,700.3125,678.0,699.099976,448.97876,379414,57.650864,7.883,89.989998,29226.839844,20290.890625,1477.650024,39.292999,122.75,73.7,122407.2,101.801785,24.02,125555.25,False,False,False,False,27.605108,1.306466,24.22753,60.693116,8.752382,11.415704,4.984524,3.731669,7.397524,18.53176,118
2007-12-12,690.512512,700.200012,687.5,694.400024,445.960327,420052,52.51809,7.878,94.019997,28521.060547,20375.869141,1486.589966,39.293999,122.876923,73.7,121781.8,101.79584,24.18,124769.0,False,False,False,False,27.652466,1.31002,24.212629,60.719167,8.768657,11.934501,4.987814,3.764987,7.344638,18.4185,117
2007-12-13,702.5,708.25,691.1875,705.325012,452.976471,281784,61.171858,7.885,92.120003,27744.449219,20104.390625,1488.410034,39.308998,123.003846,73.7,121156.4,101.789895,24.34,123982.75,False,False,False,False,27.699825,1.313574,24.197729,60.745219,8.784932,11.682943,4.985288,3.714612,7.45699,18.719793,116
2007-12-14,682.75,713.75,682.75,707.5625,454.413483,263280,62.672344,7.9,91.690002,27563.640625,20030.830078,1467.949951,39.240002,123.130769,73.7,120531.0,101.78395,24.5,123196.5,False,False,False,False,27.747183,1.317127,24.182829,60.771271,8.801207,11.606329,4.967089,3.710787,7.477439,18.79075,115
2007-12-17,712.25,714.5,692.525024,697.887512,448.199921,229420,53.114255,7.898,91.290001,26596.580078,19261.349609,1445.900024,39.373001,123.257692,73.7,119905.6,101.778005,24.66,122410.25,False,False,False,False,27.794542,1.320681,24.167928,60.797323,8.817482,11.558623,4.985186,3.770268,7.372034,18.545235,114
2007-12-18,697.887512,697.887512,697.887512,697.887512,448.199921,0,53.114255,7.892,90.120003,26732.869141,19079.640625,1454.97998,39.373001,123.384615,73.7,119280.2,101.77206,24.82,121624.0,False,False,False,False,27.8419,1.324235,24.153028,60.823375,8.833757,11.419159,4.985186,3.77831,7.368876,18.556676,113
2007-12-19,711.75,711.75,686.25,695.5625,446.706818,300006,50.948685,7.882,91.480003,27029.259766,19091.960938,1453.0,39.490002,123.511538,73.7,118654.8,101.766115,24.98,120837.75,False,False,False,False,27.889259,1.327789,24.138127,60.849426,8.850032,11.606192,5.01015,3.799014,7.341184,18.506275,112
2007-12-20,688.0,700.049988,682.75,698.625,448.673645,206146,53.630502,7.871,90.879997,27017.089844,19162.570312,1460.119995,39.488998,123.638462,73.7,118029.4,101.76017,25.14,120051.5,False,False,False,False,27.936618,1.331343,24.123227,60.875478,8.866307,11.546182,5.017024,3.790405,7.370351,18.599238,111
2007-12-24,712.5,725.0,672.5,677.6875,435.227203,322498,38.238055,7.864,92.699997,28128.800781,19854.119141,1496.449951,39.251999,123.892308,73.7,116778.6,101.74828,24.9,118479.0,False,False,False,False,27.983976,1.334896,24.108327,60.90153,8.882582,11.787894,4.991353,3.91581,7.146408,18.052983,110
2007-12-26,696.224976,696.224976,664.75,670.075012,430.338226,348158,34.375047,7.87,93.940002,28128.800781,20192.519531,1497.660034,39.389999,124.019231,73.7,116153.2,101.742335,24.5,117692.75,False,False,False,False,28.031335,1.33845,24.093426,60.927582,8.898857,11.936468,5.005083,3.968696,7.06311,17.86123,109
2007-12-27,670.075012,683.75,647.25,671.825012,431.461975,1024116,35.976324,7.856,94.779999,27842.929688,20216.720703,1476.27002,39.196999,124.146154,73.7,115527.8,101.73639,24.1,116906.5,False,False,False,False,28.078693,1.342004,24.078526,60.953633,8.915131,12.064664,4.989435,3.966742,7.078528,17.918953,108
2007-12-28,677.25,677.25,645.0,652.75,419.211639,499578,27.966154,7.811,93.879997,27370.599609,20206.949219,1478.48999,39.244999,124.273077,73.7,114902.4,101.730445,23.7,116120.25,False,False,False,False,28.126052,1.345558,24.063625,60.979685,8.931406,12.018947,5.024325,4.091293,6.874611,17.420968,107
2007-12-31,656.25,662.375,652.5,656.974976,421.924988,183852,31.598877,7.791,93.849998,27812.650391,20286.990234,1468.359985,39.244999,124.4,73.7,114277.0,101.7245,23.98,115334.0,False,False,False,False,28.17341,1.349112,24.048725,61.005737,8.947681,12.04595,5.037222,4.073567,6.916153,17.544589,106
2008-01-01,657.5,657.5,650.275024,651.612488,418.481018,62122,29.56116,7.746,93.849998,27812.650391,20286.990234,1468.359985,39.244999,124.306452,73.7,115556.826087,101.716104,24.26,116729.434783,False,False,False,False,28.220769,1.352665,24.033825,61.031789,8.963956,12.04595,5.066486,4.115752,6.856771,17.412169,105
2008-01-02,651.5,657.25,640.049988,650.5,417.766632,231604,29.141309,7.746,97.839996,27560.519531,20465.300781,1447.160034,39.375,124.212903,73.7,116836.652174,101.707709,24.54,118124.869565,False,False,False,False,28.268127,1.356219,24.018924,61.057841,8.980231,12.631035,5.083269,4.131471,6.842146,17.393228,104
2008-01-03,645.0,650.0,641.674988,645.174988,414.346802,286374,27.153352,7.755,97.599998,26887.279297,20345.199219,1447.160034,39.353001,124.119355,73.7,118116.478261,101.699313,24.82,119520.304348,False,False,False,False,28.315486,1.359773,24.004024,61.083892,8.996506,12.585429,5.074533,4.17433,6.783242,17.261556,103
2008-01-04,649.5,651.174988,642.5,648.862488,416.714996,226100,30.679926,7.706,96.790001,27519.689453,20686.890625,1411.630005,39.095001,124.025806,73.7,119396.304348,101.690917,25.1,120915.73913,False,False,False,False,28.362845,1.363327,23.989124,61.109944,9.012781,12.560343,5.07332,4.159322,6.819103,17.370997,102
2008-01-07,638.0,649.75,631.25,634.025024,407.185944,280288,25.360006,7.66,94.389999,27179.490234,20812.650391,1416.180054,39.213001,123.932258,73.7,120676.130435,101.682522,25.24,122311.173913,False,False,False,False,28.410203,1.36688,23.974223,61.135996,9.029056,12.322454,5.119191,4.265585,6.660331,16.984323,101
2008-01-08,644.974976,649.724976,631.25,634.512512,407.499115,286290,25.815156,7.673,95.540001,27112.900391,20873.330078,1390.189941,39.195999,123.83871,73.7,121955.956522,101.674126,25.38,123706.608696,False,False,False,False,28.457562,1.370434,23.959323,61.162048,9.045331,12.451453,5.108302,4.271231,6.662614,17.007956,100
2008-01-09,631.25,644.950012,625.0,635.037476,407.836151,432534,26.336096,7.654,94.370003,27615.849609,20869.779297,1409.130005,39.213001,123.745161,73.7,123235.782609,101.66573,25.52,125102.043478,False,False,False,False,28.50492,1.373988,23.944422,61.1881,9.061606,12.329501,5.123204,4.276624,6.665285,17.032616,99
2008-01-10,637.5,654.75,625.0,628.0625,403.356659,185012,23.931506,7.586,92.220001,27230.859375,20582.080078,1420.329956,39.216,123.651613,73.7,124515.608696,101.657335,25.66,126497.478261,False,False,False,False,28.552279,1.377542,23.929522,61.214151,9.07788,12.156604,5.169523,4.333147,6.589271,16.856027,98
2008-01-11,649.950012,649.950012,620.75,629.450012,404.247772,511186,25.39086,7.563,91.07,26867.009766,20827.449219,1401.02002,39.095001,123.558065,73.7,125795.434783,101.648939,25.8,127892.913043,False,False,False,False,28.599637,1.381096,23.914622,61.240203,9.094155,12.041518,5.169245,4.332609,6.601019,16.903791,97
