,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2007-12-03,2695.0,2791.0,2660.0,2775.0,2717.704834,353200,100.0,7.881,89.800003,28658.419922,19603.410156,1472.420044,39.493999,121.988462,73.7,126159.6,101.837455,26.02,130272.75,False,False,False,False,1.572104,0.110837,0.253813,16.339857,0.178964,11.394493,5.011293,0.009452,166.323665,10707.519006,124
2007-12-04,2701.0,2784.5,2701.0,2779.699951,2722.306641,200800,100.0,7.883,89.529999,28879.589844,19529.5,1462.790039,39.352001,122.115385,73.7,125534.2,101.83151,25.44,129486.5,False,False,False,False,1.590892,0.1109,0.256618,16.355303,0.181076,11.357351,4.992008,0.009558,166.447951,10608.420406,123
2007-12-05,2751.0,2825.0,2740.0,2800.0,2742.187988,260800,100.0,7.869,88.489998,29345.449219,19738.070312,1485.01001,39.397999,122.242308,73.7,124908.8,101.825565,24.86,128700.25,False,False,False,False,1.609681,0.110964,0.259422,16.370749,0.183187,11.245393,5.006735,0.00961,167.505347,10570.362974,122
2007-12-06,2780.0,2840.0,2705.050049,2727.0,2670.695557,174200,23.881068,7.878,90.18,29558.919922,19795.869141,1507.339966,39.391998,122.369231,73.7,124283.4,101.81962,24.28,127914.0,False,False,False,False,1.62847,0.111028,0.262227,16.386195,0.185299,11.447068,5.000254,0.009992,162.984483,10184.666809,121
2007-12-07,2840.0,2840.0,2681.199951,2719.800049,2663.644287,68400,22.094695,7.874,88.639999,28842.470703,19966.0,1504.660034,39.360001,122.496154,73.7,123658.0,101.813675,23.7,127127.75,False,False,False,False,1.647259,0.111092,0.265032,16.401641,0.18741,11.257302,4.99873,0.010143,162.40108,10050.279092,120
2007-12-10,2760.0,2760.0,2680.0,2718.0,2661.881104,72400,21.658495,7.877,88.040001,28501.099609,19930.679688,1515.959961,39.344002,122.623077,73.7,123032.6,101.80773,23.86,126341.5,False,False,False,False,1.666048,0.111155,0.267837,16.417088,0.189522,11.176844,4.994795,0.010275,162.140884,9938.449685,119
2007-12-11,2720.0,2801.25,2712.0,2780.0,2722.601074,189700,54.776064,7.883,89.989998,29226.839844,20290.890625,1477.650024,39.292999,122.75,73.7,122407.2,101.801785,24.02,125555.25,False,False,False,False,1.684837,0.111219,0.270641,16.432534,0.191633,11.415704,4.984524,0.010169,165.683582,10059.808771,118
2007-12-12,2762.050049,2800.800049,2750.0,2779.899902,2722.503418,210000,54.735834,7.878,94.019997,28521.060547,20375.869141,1486.589966,39.293999,122.876923,73.7,121781.8,101.79584,24.18,124769.0,False,False,False,False,1.703625,0.111283,0.273446,16.44798,0.193745,11.934501,4.987814,0.010292,165.522052,9956.266597,117
2007-12-13,2799.0,2834.0,2761.0,2830.0,2771.568359,140900,67.573028,7.885,92.120003,27744.449219,20104.390625,1488.410034,39.308998,123.003846,73.7,121156.4,101.789895,24.34,123982.75,False,False,False,False,1.722414,0.111347,0.276251,16.463426,0.195857,11.682943,4.985288,0.010231,168.346996,10032.790467,116
2007-12-14,2731.0,2855.0,2731.0,2835.0,2776.465576,131600,68.532203,7.9,91.690002,27563.640625,20030.830078,1467.949951,39.240002,123.130769,73.7,120531.0,101.78395,24.5,123196.5,False,False,False,False,1.741203,0.11141,0.279056,16.478873,0.197968,11.606329,4.967089,0.010334,168.48638,9949.500444,115
