,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2007-12-03,31.576389,32.54797,31.576389,32.343941,29.003794,24887,100.0,7.881,89.800003,28658.419922,19603.410156,1472.420044,39.493999,121.988462,73.7,126159.6,101.837455,26.02,130272.75,False,False,False,False,2.765394,-0.008,0.788375,28.775789,0.142056,11.394493,5.011293,2.743655,1.007923,36.78936,124
2007-12-04,32.839447,33.422394,32.55283,32.931747,29.530897,50114,100.0,7.883,89.529999,28879.589844,19529.5,1462.790039,39.352001,122.115385,73.7,125534.2,101.83151,25.44,129486.5,False,False,False,False,2.770167,-0.008,0.789765,28.777335,0.142327,11.357351,4.992008,2.699479,1.026186,37.392008,123
2007-12-05,34.005344,34.976925,32.64513,33.043476,29.631086,48817,100.0,7.869,88.489998,29345.449219,19738.070312,1485.01001,39.397999,122.242308,73.7,124908.8,101.825565,24.86,128700.25,False,False,False,False,2.77494,-0.008,0.791155,28.77888,0.142598,11.245393,5.006735,2.695131,1.029612,37.452929,122
2007-12-06,31.187757,34.102501,31.187757,33.38839,29.940386,69947,100.0,7.878,90.18,29558.919922,19795.869141,1507.339966,39.391998,122.369231,73.7,124283.4,101.81962,24.28,127914.0,False,False,False,False,2.779713,-0.008,0.792546,28.780426,0.142869,11.447068,5.000254,2.672021,1.040304,37.777483,121
2007-12-07,34.870052,34.870052,33.033764,33.504978,30.04493,25494,100.0,7.874,88.639999,28842.470703,19966.0,1504.660034,39.360001,122.496154,73.7,123658.0,101.813675,23.7,127127.75,False,False,False,False,2.784486,-0.008,0.793936,28.781972,0.143139,11.257302,4.99873,2.667438,1.04388,37.843,120
2007-12-10,33.232937,33.903328,32.936604,33.13092,29.709503,891618,71.362665,7.877,88.040001,28501.099609,19930.679688,1515.959961,39.344002,122.623077,73.7,123032.6,101.80773,23.86,126341.5,False,False,False,False,2.789259,-0.008,0.795327,28.783518,0.14341,11.176844,4.994795,2.702323,1.032171,37.355094,119
2007-12-11,33.96648,35.025505,33.0872,34.35511,30.807276,2230837,85.747723,7.883,89.989998,29226.839844,20290.890625,1477.650024,39.292999,122.75,73.7,122407.2,101.801785,24.02,125555.25,False,False,False,False,2.794032,-0.008,0.796717,28.785064,0.143681,11.415704,4.984524,2.61063,1.070252,38.667771,118
2007-12-12,34.199657,37.30872,34.199657,36.448872,32.684811,856336,92.597042,7.878,94.019997,28521.060547,20375.869141,1486.589966,39.293999,122.876923,73.7,121781.8,101.79584,24.18,124769.0,False,False,False,False,2.798805,-0.008,0.798108,28.78661,0.143952,11.934501,4.987814,2.465001,1.135417,40.952889,117
2007-12-13,37.381588,38.32888,36.361427,36.589748,32.811138,325129,92.846157,7.885,92.120003,27744.449219,20104.390625,1488.410034,39.308998,123.003846,73.7,121156.4,101.789895,24.34,123982.75,False,False,False,False,2.803578,-0.008,0.799498,28.788155,0.144223,11.682943,4.985288,2.45983,1.139744,41.039675,116
2007-12-14,36.434296,36.716057,34.981781,35.98737,32.270973,147470,80.389326,7.9,91.690002,27563.640625,20030.830078,1467.949951,39.240002,123.130769,73.7,120531.0,101.78395,24.5,123196.5,False,False,False,False,2.808351,-0.008,0.800888,28.789701,0.144494,11.606329,4.967089,2.505396,1.120921,40.293968,115
2007-12-17,34.782608,35.948505,34.598007,34.976925,31.364876,155056,64.706654,7.898,91.290001,26596.580078,19261.349609,1445.900024,39.373001,123.257692,73.7,119905.6,101.778005,24.66,122410.25,False,False,False,False,2.813124,-0.008,0.802279,28.791247,0.144765,11.558623,4.985186,2.582294,1.089389,39.094729,114
2007-12-18,33.325237,38.863251,33.325237,36.434296,32.671738,292523,72.914087,7.892,90.120003,26732.869141,19079.640625,1454.97998,39.373001,123.384615,73.7,119280.2,101.77206,24.82,121624.0,False,False,False,False,2.817896,-0.008,0.803669,28.792793,0.145036,11.419159,4.985186,2.483342,1.134719,40.65321,113
2007-12-19,36.434296,36.920086,35.948505,36.011658,32.292751,121585,67.977118,7.882,91.480003,27029.259766,19091.960938,1453.0,39.490002,123.511538,73.7,118654.8,101.766115,24.98,120837.75,False,False,False,False,2.822669,-0.008,0.80506,28.794339,0.145307,11.606192,5.01015,2.516877,1.121497,40.112241,112
2007-12-20,35.948505,36.434296,34.296818,35.98737,32.270973,1683626,67.693453,7.871,90.879997,27017.089844,19162.570312,1460.119995,39.488998,123.638462,73.7,118029.4,101.76017,25.14,120051.5,False,False,False,False,2.827442,-0.008,0.80645,28.795884,0.145578,11.546182,5.017024,2.52297,1.12068,40.016077,111
2007-12-24,37.639057,38.085983,35.467571,35.885353,32.179482,274428,66.439361,7.864,92.699997,28128.800781,19854.119141,1496.449951,39.251999,123.892308,73.7,116778.6,101.74828,24.9,118479.0,False,False,False,False,2.832215,-0.008,0.807841,28.79743,0.145849,11.787894,4.991353,2.53455,1.117443,39.833947,110
2007-12-26,36.215691,37.114403,35.948505,35.98251,32.266621,163455,67.065145,7.87,93.940002,28128.800781,20192.519531,1497.660034,39.389999,124.019231,73.7,116153.2,101.742335,24.5,117692.75,False,False,False,False,2.836988,-0.008,0.809231,28.798976,0.14612,11.936468,5.005083,2.532101,1.120409,39.873185,109
2007-12-27,36.623756,39.057568,36.142822,36.536312,32.763218,195217,70.447761,7.856,94.779999,27842.929688,20216.720703,1476.27002,39.196999,124.146154,73.7,115527.8,101.73639,24.1,116906.5,False,False,False,False,2.841761,-0.008,0.810622,28.800522,0.14639,12.064664,4.989435,2.498051,1.137591,40.417405,108
2007-12-28,36.434296,42.59412,35.948505,41.675976,37.372116,2332095,85.417146,7.811,93.879997,27370.599609,20206.949219,1478.48999,39.244999,124.273077,73.7,114902.4,101.730445,23.7,116120.25,False,False,False,False,2.846534,-0.008,0.812012,28.802068,0.146661,12.018947,5.024325,2.193776,1.29755,46.024096,107
2007-12-31,38.965263,43.91547,38.965263,42.671848,38.265137,631733,86.81118,7.791,93.849998,27812.650391,20286.990234,1468.359985,39.244999,124.4,73.7,114277.0,101.7245,23.98,115334.0,False,False,False,False,2.851307,-0.008,0.813402,28.803614,0.146932,12.04595,5.037222,2.146286,1.328484,47.043305,106
2008-01-01,42.263783,43.721157,41.000729,41.476803,37.193512,866432,77.265992,7.746,93.849998,27812.650391,20286.990234,1468.359985,39.244999,124.306452,73.7,115556.826087,101.716104,24.26,116729.434783,False,False,False,False,2.85608,-0.008,0.814793,28.805159,0.147203,12.04595,5.066486,2.21194,1.29121,45.647815,105
2008-01-02,42.263783,45.858635,40.514938,44.440125,39.850807,668075,82.426075,7.746,97.839996,27560.519531,20465.300781,1447.160034,39.375,124.212903,73.7,116836.652174,101.707709,24.54,118124.869565,False,False,False,False,2.860853,-0.008,0.816183,28.806705,0.147474,12.631035,5.083269,2.068007,1.383387,48.825808,104
2008-01-03,45.649742,45.664318,42.263783,43.215935,38.753036,229481,74.866098,7.755,97.599998,26887.279297,20345.199219,1447.160034,39.353001,124.119355,73.7,118116.478261,101.699313,24.82,119520.304348,False,False,False,False,2.865625,-0.008,0.817574,28.808251,0.147745,12.585429,5.074533,2.13025,1.345206,47.400052,103
2008-01-04,44.692738,49.356327,43.42968,48.62764,43.605881,732064,82.505109,7.706,96.790001,27519.689453,20686.890625,1411.630005,39.095001,124.025806,73.7,119396.304348,101.690917,25.1,120915.73913,False,False,False,False,2.870398,-0.008,0.818964,28.809797,0.148016,12.560343,5.07332,1.896432,1.513578,53.245165,102
2008-01-07,47.607479,49.356327,44.989071,47.247997,42.368717,711119,76.150793,7.66,94.389999,27179.490234,20812.650391,1416.180054,39.213001,123.932258,73.7,120676.130435,101.682522,25.24,122311.173913,False,False,False,False,2.875171,-0.008,0.820355,28.811343,0.148287,12.322454,5.119191,1.955158,1.470557,51.646834,101
2008-01-08,48.967693,52.402233,47.510323,49.5555,44.43792,1296474,79.056181,7.673,95.540001,27112.900391,20873.330078,1390.189941,39.195999,123.83871,73.7,121955.956522,101.674126,25.38,123706.608696,False,False,False,False,2.879944,-0.008,0.821745,28.812888,0.148558,12.451453,5.108302,1.867313,1.542293,54.077504,100
2008-01-09,48.384747,51.182899,47.218849,49.16201,44.085072,528900,77.326233,7.654,94.370003,27615.849609,20869.779297,1409.130005,39.213001,123.745161,73.7,123235.782609,101.66573,25.52,125102.043478,False,False,False,False,2.884717,-0.008,0.823135,28.814434,0.148829,12.329501,5.123204,1.885479,1.529965,53.557493,99
2008-01-10,48.579063,50.327908,46.781635,47.617195,42.699787,233701,70.778014,7.586,92.220001,27230.859375,20582.080078,1420.329956,39.216,123.651613,73.7,124515.608696,101.657335,25.66,126497.478261,False,False,False,False,2.88949,-0.008,0.824526,28.81598,0.1491,12.156604,5.169523,1.949974,1.481809,51.787078,98
2008-01-11,53.330093,53.330093,46.344425,46.980812,42.12912,103645,68.215272,7.563,91.07,26867.009766,20827.449219,1401.02002,39.095001,123.558065,73.7,125795.434783,101.648939,25.8,127892.913043,False,False,False,False,2.894263,-0.008,0.825916,28.817526,0.149371,12.041518,5.169245,1.979759,1.461927,51.008944,97
2008-01-14,46.635899,47.656059,44.789894,45.873207,41.135899,142437,63.879944,7.544,92.919998,26468.130859,20728.050781,1416.25,39.216999,123.464516,73.7,127075.26087,101.640543,25.94,129288.347826,False,False,False,False,2.899036,-0.008,0.827307,28.819072,0.149641,12.317073,5.198436,2.031012,1.427385,49.722666,96
2008-01-15,46.635899,47.612339,42.365799,43.337379,38.86195,158576,55.226184,7.556,90.980003,25837.779297,20251.089844,1380.949951,39.192001,123.370968,73.7,128355.086957,101.632148,26.08,130683.782609,False,False,False,False,2.903809,-0.008,0.828697,28.820618,0.149912,12.040763,5.186872,2.153509,1.348408,46.895234,95
2008-01-16,42.846733,43.818314,41.875153,43.726013,39.210445,124837,56.205373,7.563,89.5,24450.849609,19868.109375,1373.199951,39.171001,123.277419,73.7,129634.913043,101.623752,26.22,132079.217391,False,False,False,False,2.908582,-0.008,0.830088,28.822163,0.150183,11.833928,5.179294,2.137992,1.360427,47.236512,94
2008-01-17,43.721157,46.927376,42.94389,44.79961,40.173172,248697,58.880682,7.554,88.75,25114.980469,19700.820312,1333.25,39.191002,123.183871,73.7,130914.73913,101.615357,26.36,133474.652174,False,False,False,False,2.913355,-0.008,0.831478,28.823709,0.150454,11.748742,5.188113,2.090293,1.393754,48.315371,93
2008-01-18,41.884869,44.692738,37.891666,42.360943,37.986351,287891,51.225811,7.551,89.230003,25201.869141,19013.699219,1325.189941,39.284,123.090323,73.7,132194.565217,101.606961,26.5,134870.086957,False,False,False,False,2.918127,-0.008,0.832869,28.825255,0.150725,11.816978,5.20249,2.214368,1.317815,45.609061,92
2008-01-21,43.52684,43.52684,32.314793,34.102501,30.580753,291936,34.749915,7.54,89.230003,23818.859375,17605.349609,1325.189941,39.476002,122.996774,73.7,133474.391304,101.598565,27.06,136265.521739,False,False,False,False,2.9229,-0.008,0.834259,28.826801,0.150996,11.816978,5.235544,2.755258,1.060845,36.656188,91
2008-01-22,35.851349,35.948505,27.30629,32.057323,28.746775,238147,32.004612,7.467,88.449997,21757.630859,16729.939453,1310.5,39.310001,122.903226,73.7,134754.217391,101.59017,27.62,137660.956522,False,False,False,False,2.927673,-0.008,0.835649,28.828347,0.151267,11.845453,5.264497,2.935981,0.99717,34.400521,90
2008-01-23,32.06218,38.464901,32.06218,37.367016,33.508144,79633,44.306323,7.385,86.620003,24090.169922,17594.070312,1338.599976,39.473,122.809677,73.7,136034.043478,101.581774,28.18,139056.391304,False,False,False,False,2.932446,-0.008,0.83704,28.829892,0.151538,11.729181,5.345024,2.523032,1.162271,40.03172,89
2008-01-24,40.310905,40.310905,33.339809,36.157394,32.423435,175466,42.423301,7.379,89.07,23539.269531,17221.740234,1352.069946,39.368999,122.716129,73.7,137313.869565,101.573378,28.74,140451.826087,False,False,False,False,2.937219,-0.008,0.83843,28.831438,0.151809,12.070741,5.335276,2.611822,1.124586,38.671594,88
2008-01-25,35.559872,39.349041,35.462715,39.203304,35.154789,56711,48.373292,7.431,90.900002,25122.369141,18361.660156,1330.609985,39.275002,122.622581,73.7,138593.695652,101.564983,29.3,141847.26087,False,False,False,False,2.941992,-0.008,0.839821,28.832984,0.15208,12.23254,5.285292,2.41294,1.219256,41.859873,87
2008-01-28,38.858391,39.349041,35.559872,39.07214,35.037174,70575,48.142573,7.438,91.379997,24053.609375,18152.779297,1353.959961,39.294998,122.529032,73.7,139873.521739,101.556587,28.92,143242.695652,False,False,False,False,2.946765,-0.008,0.841211,28.83453,0.152351,12.28556,5.283006,2.425098,1.215112,41.650867,86
