,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2007-12-03,424.041534,428.097198,413.316589,416.358337,385.923065,3716097,0.0,7.881,89.800003,28658.419922,19603.410156,1472.420044,39.493999,121.988462,73.7,126159.6,101.837455,26.02,130272.75,False,False,False,False,34.049896,0.692586,17.607518,63.478968,15.499116,11.394493,5.011293,5.600734,6.079542,21.918084,124
2007-12-04,419.084625,422.689667,411.446472,413.158875,382.95752,3155529,0.0,7.883,89.529999,28879.589844,19529.5,1462.790039,39.352001,122.115385,73.7,125534.2,101.83151,25.44,129486.5,False,False,False,False,34.020108,0.69243,17.620462,63.548956,15.488534,11.357351,4.992008,5.645384,6.026181,21.733682,123
2007-12-05,413.677094,416.786407,408.99054,414.781128,384.461212,7268153,35.318718,7.869,88.489998,29345.449219,19738.070312,1485.01001,39.397999,122.242308,73.7,124908.8,101.825565,24.86,128700.25,False,False,False,False,33.990319,0.692275,17.633406,63.618944,15.477952,11.245393,5.006735,5.624568,6.043188,21.803003,122
2007-12-06,416.380859,429.133636,414.578339,423.88382,392.898468,10396951,79.362928,7.878,90.18,29558.919922,19795.869141,1507.339966,39.391998,122.369231,73.7,124283.4,101.81962,24.28,127914.0,False,False,False,False,33.96053,0.69212,17.646351,63.688932,15.467371,11.447068,5.000254,5.50501,6.169023,22.26514,121
2007-12-07,430.350342,448.781067,427.26355,432.040192,400.458588,14910029,87.546166,7.874,88.639999,28842.470703,19966.0,1504.660034,39.360001,122.496154,73.7,123658.0,101.813675,23.7,127127.75,False,False,False,False,33.930741,0.691964,17.659295,63.75892,15.456789,11.257302,4.99873,5.402275,6.280824,22.67693,120
2007-12-10,434.856628,445.851959,430.350342,438.551788,406.494263,5641428,90.712469,7.877,88.040001,28501.099609,19930.679688,1515.959961,39.344002,122.623077,73.7,123032.6,101.80773,23.86,126341.5,False,False,False,False,33.900952,0.691809,17.672239,63.828908,15.446207,11.176844,4.994795,5.323226,6.368498,23.001854,119
2007-12-11,440.714813,470.230988,439.362915,466.918854,432.787659,11088214,95.764498,7.883,89.989998,29226.839844,20290.890625,1477.650024,39.292999,122.75,73.7,122407.2,101.801785,24.02,125555.25,False,False,False,False,33.871163,0.691653,17.685183,63.898896,15.435625,11.415704,4.984524,5.000905,6.773007,24.471766,118
2007-12-12,451.327118,482.037445,444.770447,477.103058,442.227448,7349570,96.500486,7.878,94.019997,28521.060547,20375.869141,1486.589966,39.293999,122.876923,73.7,121781.8,101.79584,24.18,124769.0,False,False,False,False,33.841375,0.691498,17.698127,63.968884,15.425044,11.934501,4.987814,4.895207,6.913165,24.987245,117
2007-12-13,478.567596,478.567596,442.967957,445.288696,412.738708,8689561,60.899587,7.885,92.120003,27744.449219,20104.390625,1488.410034,39.308998,123.003846,73.7,121156.4,101.789895,24.34,123982.75,False,False,False,False,33.811586,0.691343,17.711072,64.038873,15.414462,11.682943,4.985288,5.246069,6.445128,23.303994,116
2007-12-14,442.877808,450.178009,425.844055,430.034912,398.599976,6864177,51.155091,7.9,91.690002,27563.640625,20030.830078,1467.949951,39.240002,123.130769,73.7,120531.0,101.78395,24.5,123196.5,False,False,False,False,33.781797,0.691187,17.724016,64.108861,15.40388,11.606329,4.967089,5.433298,6.217549,22.489258,115
2007-12-17,428.052124,428.097198,402.884521,407.72879,377.924408,9867630,40.85916,7.898,91.290001,26596.580078,19261.349609,1445.900024,39.373001,123.257692,73.7,119905.6,101.778005,24.66,122410.25,False,False,False,False,33.752008,0.691032,17.73696,64.178849,15.393299,11.558623,4.985186,5.731741,5.888613,21.307169,114
2007-12-18,410.072052,418.115784,407.818909,410.072052,380.096344,5124601,42.175802,7.892,90.120003,26732.869141,19079.640625,1454.97998,39.373001,123.384615,73.7,119280.2,101.77206,24.82,121624.0,False,False,False,False,33.722219,0.690876,17.749904,64.248837,15.382717,11.419159,4.985186,5.700169,5.916004,21.413994,113
2007-12-19,416.380859,416.831482,406.016388,408.179413,378.342102,7283480,41.374593,7.882,91.480003,27029.259766,19091.960938,1453.0,39.490002,123.511538,73.7,118654.8,101.766115,24.98,120837.75,False,False,False,False,33.69243,0.690721,17.762849,64.318825,15.372135,11.606192,5.01015,5.727773,5.882292,21.29963,112
2007-12-20,408.179413,418.81424,406.467041,414.105194,383.834717,5136659,44.903719,7.871,90.879997,27017.089844,19162.570312,1460.119995,39.488998,123.638462,73.7,118029.4,101.76017,25.14,120051.5,False,False,False,False,33.662641,0.690566,17.775793,64.388813,15.361554,11.546182,5.017024,5.646955,5.961202,21.593114,111
