,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2007-12-03,32.825001,34.0,32.508331,33.570831,16.389521,5419512,100.0,7.881,89.800003,28658.419922,19603.410156,1472.420044,39.493999,121.988462,73.7,126159.6,101.837455,26.02,130272.75,False,False,False,False,8.825637,2.650896,2.30553,30.381235,2.40959,11.394493,5.011293,16.360074,0.539462,7.108787,124
2007-12-04,33.333332,35.416664,33.0,34.950001,17.062838,12595452,100.0,7.883,89.529999,28879.589844,19529.5,1462.790039,39.352001,122.115385,73.7,125534.2,101.83151,25.44,129486.5,False,False,False,False,8.784876,2.651108,2.295104,30.384948,2.397311,11.357351,4.992008,15.643823,0.561556,7.434452,123
2007-12-05,35.166664,36.237499,35.166664,35.791664,17.473747,20196528,100.0,7.869,88.489998,29345.449219,19738.070312,1485.01001,39.397999,122.242308,73.7,124908.8,101.825565,24.86,128700.25,False,False,False,False,8.744116,2.651319,2.284677,30.388661,2.385032,11.245393,5.006735,15.206925,0.575009,7.648234,122
2007-12-06,36.408333,36.625,35.0,35.3125,17.239813,8108244,80.441407,7.878,90.18,29558.919922,19795.869141,1507.339966,39.391998,122.369231,73.7,124283.4,101.81962,24.28,127914.0,False,False,False,False,8.703355,2.65153,2.274251,30.392375,2.372753,11.447068,5.000254,15.343299,0.567241,7.580435,121
2007-12-07,35.3125,35.916664,34.170834,35.099998,17.136068,9948600,73.569202,7.874,88.639999,28842.470703,19966.0,1504.660034,39.360001,122.496154,73.7,123658.0,101.813675,23.7,127127.75,False,False,False,False,8.662594,2.651741,2.263825,30.396088,2.360474,11.257302,4.99873,15.365774,0.563759,7.569521,120
2007-12-10,35.666664,36.366665,34.841667,35.554165,17.35779,4431024,77.912341,7.877,88.040001,28501.099609,19930.679688,1515.959961,39.344002,122.623077,73.7,123032.6,101.80773,23.86,126341.5,False,False,False,False,8.621833,2.651952,2.253398,30.399801,2.348195,11.176844,4.994795,15.099964,0.570984,7.702939,119
2007-12-11,35.916664,37.808334,35.25,36.608334,17.872452,12658524,84.343277,7.883,89.989998,29226.839844,20290.890625,1477.650024,39.292999,122.75,73.7,122407.2,101.801785,24.02,125555.25,False,False,False,False,8.581072,2.652163,2.242972,30.403514,2.335916,11.415704,4.984524,14.597591,0.587842,7.968201,118
2007-12-12,36.583332,37.599998,36.5,36.670834,17.902966,12318108,84.629023,7.878,94.019997,28521.060547,20375.869141,1486.589966,39.293999,122.876923,73.7,121781.8,101.79584,24.18,124769.0,False,False,False,False,8.540311,2.652375,2.232546,30.407227,2.323637,11.934501,4.987814,14.50526,0.588773,8.019081,117
2007-12-13,36.666664,37.470833,35.262501,35.691666,17.424927,13271880,64.704919,7.885,92.120003,27744.449219,20104.390625,1488.410034,39.308998,123.003846,73.7,121156.4,101.789895,24.34,123982.75,False,False,False,False,8.49955,2.652586,2.22212,30.41094,2.311359,11.682943,4.985288,14.833882,0.572982,7.841579,116
2007-12-14,36.166664,36.166664,34.495834,34.904167,17.040466,8609676,53.745683,7.9,91.690002,27563.640625,20030.830078,1467.949951,39.240002,123.130769,73.7,120531.0,101.78395,24.5,123196.5,False,False,False,False,8.458789,2.652797,2.211693,30.414653,2.29908,11.606329,4.967089,15.097658,0.560272,7.704715,115
