,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2007-12-03,145.505005,150.0,145.505005,146.809998,116.385635,18190,100.0,7.881,89.800003,28658.419922,19603.410156,1472.420044,39.493999,121.988462,73.7,126159.6,101.837455,26.02,130272.75,False,False,False,False,23.527705,2.330494,6.440259,29.801295,11.696677,11.394493,5.011293,6.024421,3.905389,18.071577,124
2007-12-04,149.300003,149.300003,147.009995,147.434998,116.881104,9840,100.0,7.883,89.529999,28879.589844,19529.5,1462.790039,39.352001,122.115385,73.7,125534.2,101.83151,25.44,129486.5,False,False,False,False,23.501845,2.331179,6.432231,29.806155,11.682681,11.357351,4.992008,5.993267,3.921375,18.171161,123
2007-12-05,149.0,152.5,147.199997,151.460007,120.072021,22910,100.0,7.869,88.489998,29345.449219,19738.070312,1485.01001,39.397999,122.242308,73.7,124908.8,101.825565,24.86,128700.25,False,False,False,False,23.475984,2.331865,6.424203,29.811016,11.668685,11.245393,5.006735,5.828526,4.027774,18.69057,122
2007-12-06,151.460007,155.699997,148.5,149.535004,118.545906,18330,68.958646,7.878,90.18,29558.919922,19795.869141,1507.339966,39.391998,122.369231,73.7,124283.4,101.81962,24.28,127914.0,False,False,False,False,23.450124,2.33255,6.416175,29.815876,11.654689,11.447068,5.000254,5.898019,3.975932,18.476102,121
2007-12-07,147.899994,152.800003,147.899994,149.070007,118.177284,9330,63.806278,7.874,88.639999,28842.470703,19966.0,1504.660034,39.360001,122.496154,73.7,123658.0,101.813675,23.7,127127.75,False,False,False,False,23.424263,2.333235,6.408147,29.820737,11.640693,11.257302,4.99873,5.910855,3.962923,18.441724,120
2007-12-10,149.0,149.0,144.899994,145.824997,115.604767,51710,40.861506,7.877,88.040001,28501.099609,19930.679688,1515.959961,39.344002,122.623077,73.7,123032.6,101.80773,23.86,126341.5,False,False,False,False,23.398402,2.33392,6.40012,29.825598,11.626697,11.176844,4.994795,6.0367,3.876025,18.062907,119
2007-12-11,148.100006,148.190002,144.125,145.970001,115.719719,300420,41.867485,7.883,89.989998,29226.839844,20290.890625,1477.650024,39.292999,122.75,73.7,122407.2,101.801785,24.02,125555.25,False,False,False,False,23.372542,2.334606,6.392092,29.830458,11.612701,11.415704,4.984524,6.02502,3.879247,18.103576,118
2007-12-12,144.800003,148.5,144.205002,148.354996,117.610466,45180,55.327609,7.878,94.019997,28521.060547,20375.869141,1486.589966,39.293999,122.876923,73.7,121781.8,101.79584,24.18,124769.0,False,False,False,False,23.346681,2.335291,6.384064,29.835319,11.598705,11.934501,4.987814,5.922565,3.941988,18.422508,117
2007-12-13,145.009995,152.5,145.009995,150.945007,119.663696,855150,64.846692,7.885,92.120003,27744.449219,20104.390625,1488.410034,39.308998,123.003846,73.7,121156.4,101.789895,24.34,123982.75,False,False,False,False,23.320821,2.335976,6.376036,29.840179,11.584709,11.682943,4.985288,5.815444,4.010153,18.767726,116
2007-12-14,142.264999,152.699997,142.264999,150.125,119.013618,25860,60.454463,7.9,91.690002,27563.640625,20030.830078,1467.949951,39.240002,123.130769,73.7,120531.0,101.78395,24.5,123196.5,False,False,False,False,23.29496,2.336661,6.368008,29.84504,11.570713,11.606329,4.967089,5.841676,3.987719,18.689301,115
2007-12-17,151.0,151.0,149.5,149.964996,118.88678,22190,59.606094,7.898,91.290001,26596.580078,19261.349609,1445.900024,39.373001,123.257692,73.7,119905.6,101.778005,24.66,122410.25,False,False,False,False,23.2691,2.337347,6.35998,29.8499,11.556717,11.558623,4.985186,5.842368,3.98282,18.692948,114
2007-12-18,149.964996,149.964996,149.964996,149.964996,118.88678,0,59.606094,7.892,90.120003,26732.869141,19079.640625,1454.97998,39.373001,123.384615,73.7,119280.2,101.77206,24.82,121624.0,False,False,False,False,23.243239,2.338032,6.351952,29.854761,11.542721,11.419159,4.985186,5.836825,3.982172,18.716573,113
2007-12-19,150.199997,151.199997,148.5,148.654999,117.84832,369230,52.597493,7.882,91.480003,27029.259766,19091.960938,1453.0,39.490002,123.511538,73.7,118654.8,101.766115,24.98,120837.75,False,False,False,False,23.217378,2.338717,6.343924,29.859622,11.528725,11.606192,5.01015,5.882665,3.946745,18.576565,112
2007-12-20,148.300003,149.990005,146.5,146.625,116.238953,18940,43.969627,7.871,90.879997,27017.089844,19162.570312,1460.119995,39.488998,123.638462,73.7,118029.4,101.76017,25.14,120051.5,False,False,False,False,23.191518,2.339402,6.335896,29.864482,11.514729,11.546182,5.017024,5.958439,3.892214,18.346094,111
2007-12-24,150.5,150.5,146.009995,146.705002,116.302391,25150,44.357007,7.864,92.699997,28128.800781,19854.119141,1496.449951,39.251999,123.892308,73.7,116778.6,101.74828,24.9,118479.0,False,False,False,False,23.165657,2.340088,6.327869,29.869343,11.500733,11.787894,4.991353,5.949516,3.893704,18.379394,110
2007-12-26,150.0,150.0,146.0,147.195007,116.690849,49700,46.783859,7.87,93.940002,28128.800781,20192.519531,1497.660034,39.389999,124.019231,73.7,116153.2,101.742335,24.5,117692.75,False,False,False,False,23.139797,2.340773,6.319841,29.874203,11.486737,11.936468,5.005083,5.924055,3.906074,18.464208,109
