,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2007-12-03,183.100006,188.0,183.100006,185.25,166.795654,1149546,0.0,7.881,89.800003,28658.419922,19603.410156,1472.420044,39.493999,121.988462,73.7,126159.6,101.837455,26.02,130272.75,False,False,False,False,19.361454,0.797096,9.629562,53.474665,12.886371,11.394493,5.011293,6.20728,3.119153,17.321209,124
2007-12-04,185.100006,187.149994,184.100006,185.199997,166.75058,1801666,0.0,7.883,89.529999,28879.589844,19529.5,1462.790039,39.352001,122.115385,73.7,125534.2,101.83151,25.44,129486.5,False,False,False,False,19.357375,0.797131,9.633147,53.50504,12.880884,11.357351,4.992008,6.211175,3.11654,17.310083,123
2007-12-05,186.0,191.100006,184.0,190.350006,171.387604,2044207,99.106477,7.869,88.489998,29345.449219,19738.070312,1485.01001,39.397999,122.242308,73.7,124908.8,101.825565,24.86,128700.25,False,False,False,False,19.353295,0.797167,9.636733,53.535414,12.875398,11.245393,5.006735,6.045284,3.201387,17.784824,122
2007-12-06,191.050003,203.449997,190.649994,198.399994,178.635635,4041510,99.665134,7.878,90.18,29558.919922,19795.869141,1507.339966,39.391998,122.369231,73.7,124283.4,101.81962,24.28,127914.0,False,False,False,False,19.349215,0.797203,9.640319,53.565789,12.869912,11.447068,5.000254,5.802067,3.334883,18.530055,121
2007-12-07,203.0,203.0,196.100006,197.5,177.825302,2073733,92.687777,7.874,88.639999,28842.470703,19966.0,1504.660034,39.360001,122.496154,73.7,123658.0,101.813675,23.7,127127.75,False,False,False,False,19.345135,0.797239,9.643904,53.596163,12.864426,11.257302,4.99873,5.830582,3.317874,18.43914,120
2007-12-10,199.0,199.899994,192.0,192.899994,173.683548,1428181,66.905855,7.877,88.040001,28501.099609,19930.679688,1515.959961,39.344002,122.623077,73.7,123032.6,101.80773,23.86,126341.5,False,False,False,False,19.341056,0.797275,9.64749,53.626538,12.85894,11.176844,4.994795,5.971745,3.238761,18.002978,119
2007-12-11,197.0,197.449997,194.0,195.75,176.249619,759960,72.086453,7.883,89.989998,29226.839844,20290.890625,1477.650024,39.292999,122.75,73.7,122407.2,101.801785,24.02,125555.25,False,False,False,False,19.336976,0.797311,9.651076,53.656912,12.853454,11.415704,4.984524,5.886892,3.284751,18.262173,118
2007-12-12,197.0,200.899994,190.800003,199.800003,179.896194,970791,77.481172,7.878,94.019997,28521.060547,20375.869141,1486.589966,39.293999,122.876923,73.7,121781.8,101.79584,24.18,124769.0,False,False,False,False,19.332896,0.797347,9.654661,53.687287,12.847968,11.934501,4.987814,5.769609,3.350816,18.633092,117
2007-12-13,200.0,207.550003,200.0,203.800003,183.497665,1624162,81.320889,7.885,92.120003,27744.449219,20104.390625,1488.410034,39.308998,123.003846,73.7,121156.4,101.789895,24.34,123982.75,False,False,False,False,19.328817,0.797382,9.658247,53.717661,12.842482,11.682943,4.985288,5.658376,3.415965,18.999065,116
2007-12-14,205.0,211.800003,204.5,209.300003,188.449844,2911830,85.086396,7.9,91.690002,27563.640625,20030.830078,1467.949951,39.240002,123.130769,73.7,120531.0,101.78395,24.5,123196.5,False,False,False,False,19.324737,0.797418,9.661833,53.748036,12.836996,11.606329,4.967089,5.511634,3.506172,19.504565,115
2007-12-17,209.899994,215.25,205.25,208.449997,187.684433,2971593,82.324297,7.898,91.290001,26596.580078,19261.349609,1445.900024,39.373001,123.257692,73.7,119905.6,101.778005,24.66,122410.25,False,False,False,False,19.320657,0.797454,9.665418,53.77841,12.83151,11.558623,4.985186,5.53607,3.489959,19.418139,114
2007-12-18,219.0,219.0,198.100006,215.699997,194.212234,2725629,86.384253,7.892,90.120003,26732.869141,19079.640625,1454.97998,39.373001,123.384615,73.7,119280.2,101.77206,24.82,121624.0,False,False,False,False,19.316578,0.79749,9.669004,53.808785,12.826024,11.419159,4.985186,5.351885,3.609303,20.086064,113
2007-12-19,218.399994,221.949997,210.0,215.399994,193.942093,1885239,85.509009,7.882,91.480003,27029.259766,19091.960938,1453.0,39.490002,123.511538,73.7,118654.8,101.766115,24.98,120837.75,False,False,False,False,19.312498,0.797526,9.67259,53.839159,12.820538,11.606192,5.01015,5.361233,3.60225,20.05069,112
2007-12-20,216.75,216.75,210.100006,211.050003,190.025452,641097,73.82841,7.871,90.879997,27017.089844,19162.570312,1460.119995,39.488998,123.638462,73.7,118029.4,101.76017,25.14,120051.5,False,False,False,False,19.308418,0.797562,9.676175,53.869534,12.815052,11.546182,5.017024,5.473664,3.527512,19.638488,111
2007-12-24,214.0,214.899994,211.25,213.899994,192.591553,690117,76.129118,7.864,92.699997,28128.800781,19854.119141,1496.449951,39.251999,123.892308,73.7,116778.6,101.74828,24.9,118479.0,False,False,False,False,19.304339,0.797598,9.679761,53.899908,12.809566,11.787894,4.991353,5.402636,3.573133,19.896313,110
2007-12-26,213.899994,219.0,212.050003,216.75,195.157623,906225,78.193562,7.87,93.940002,28128.800781,20192.519531,1497.660034,39.389999,124.019231,73.7,116153.2,101.742335,24.5,117692.75,False,False,False,False,19.300259,0.797633,9.683347,53.930283,12.80408,11.936468,5.005083,5.333476,3.618702,20.153944,109
2007-12-27,217.0,218.0,212.100006,214.850006,193.44693,1700212,73.622309,7.856,94.779999,27842.929688,20216.720703,1476.27002,39.196999,124.146154,73.7,115527.8,101.73639,24.1,116906.5,False,False,False,False,19.296179,0.797669,9.686932,53.960657,12.798594,12.064664,4.989435,5.382533,3.584962,19.969886,108
2007-12-28,214.0,217.5,213.0,214.600006,193.221817,686299,73.017438,7.811,93.879997,27370.599609,20206.949219,1478.48999,39.244999,124.273077,73.7,114902.4,101.730445,23.7,116120.25,False,False,False,False,19.2921,0.797705,9.690518,53.991032,12.793108,12.018947,5.024325,5.390697,3.578776,19.939266,107
2007-12-31,215.0,216.850006,210.850006,212.649994,191.466064,1006042,68.303551,7.791,93.849998,27812.650391,20286.990234,1468.359985,39.244999,124.4,73.7,114277.0,101.7245,23.98,115334.0,False,False,False,False,19.28802,0.797741,9.694104,54.021406,12.787622,12.04595,5.037222,5.44204,3.544263,19.750776,106
2008-01-01,215.0,216.0,210.300003,211.100006,190.070496,788440,64.726615,7.746,93.849998,27812.650391,20286.990234,1468.359985,39.244999,124.306452,73.7,115556.826087,101.716104,24.26,116729.434783,False,False,False,False,19.28394,0.797777,9.697689,54.051781,12.782135,12.04595,5.066486,5.48392,3.516452,19.599566,105
2008-01-02,211.149994,224.600006,209.0,218.850006,197.048462,1879937,72.485336,7.746,97.839996,27560.519531,20465.300781,1447.160034,39.375,124.212903,73.7,116836.652174,101.707709,24.54,118124.869565,False,False,False,False,19.279861,0.797813,9.701275,54.082155,12.776649,12.631035,5.083269,5.291573,3.643502,20.311605,104
2008-01-03,218.800003,218.800003,214.100006,216.350006,194.797501,1239789,67.339721,7.755,97.599998,26887.279297,20345.199219,1447.160034,39.353001,124.119355,73.7,118116.478261,101.699313,24.82,119520.304348,False,False,False,False,19.275781,0.797849,9.704861,54.11253,12.771163,12.585429,5.074533,5.354593,3.599859,20.072159,103
2008-01-04,214.399994,218.399994,212.550003,213.649994,192.366486,994393,62.203842,7.706,96.790001,27519.689453,20686.890625,1411.630005,39.095001,124.025806,73.7,119396.304348,101.690917,25.1,120915.73913,False,False,False,False,19.271701,0.797884,9.708446,54.142904,12.765677,12.560343,5.07332,5.424156,3.55294,19.814343,102
2008-01-07,210.300003,214.0,210.100006,212.649994,191.466064,1011810,60.367451,7.66,94.389999,27179.490234,20812.650391,1416.180054,39.213001,123.932258,73.7,120676.130435,101.682522,25.24,122311.173913,False,False,False,False,19.267622,0.79792,9.712032,54.173279,12.760191,12.322454,5.119191,5.451568,3.534327,19.714316,101
2008-01-08,215.800003,215.800003,208.25,209.899994,188.990021,1580349,55.513822,7.673,95.540001,27112.900391,20873.330078,1390.189941,39.195999,123.83871,73.7,121955.956522,101.674126,25.38,123706.608696,False,False,False,False,19.263542,0.797956,9.715618,54.203653,12.754705,12.451453,5.108302,5.524918,3.486666,19.452188,100
2008-01-09,210.0,211.899994,207.149994,209.449997,188.584854,726562,54.738261,7.654,94.370003,27615.849609,20869.779297,1409.130005,39.213001,123.745161,73.7,123235.782609,101.66573,25.52,125102.043478,False,False,False,False,19.259462,0.797992,9.719203,54.234028,12.749219,12.329501,5.123204,5.538717,3.477242,19.403325,99
2008-01-10,210.5,211.850006,200.600006,202.800003,182.597351,1779812,44.781649,7.586,92.220001,27230.859375,20582.080078,1420.329956,39.216,123.651613,73.7,124515.608696,101.657335,25.66,126497.478261,False,False,False,False,19.255382,0.798028,9.722789,54.264402,12.743733,12.156604,5.169523,5.722327,3.364956,18.780347,98
2008-01-11,206.949997,207.5,201.149994,205.449997,184.983337,1454880,48.779894,7.563,91.07,26867.009766,20827.449219,1401.02002,39.095001,123.558065,73.7,125795.434783,101.648939,25.8,127892.913043,False,False,False,False,19.251303,0.798064,9.726375,54.294777,12.738247,12.041518,5.169245,5.650483,3.407019,19.018735,97
2008-01-14,199.350006,207.399994,199.350006,205.25,184.803284,712604,48.494502,7.544,92.919998,26468.130859,20728.050781,1416.25,39.216999,123.464516,73.7,127075.26087,101.640543,25.94,129288.347826,False,False,False,False,19.247223,0.7981,9.72996,54.325151,12.732761,12.317073,5.198436,5.657953,3.4018,18.993221,96
2008-01-15,213.0,213.0,202.100006,204.949997,184.533157,931511,48.040461,7.556,90.980003,25837.779297,20251.089844,1380.949951,39.192001,123.370968,73.7,128355.086957,101.632148,26.08,130683.782609,False,False,False,False,19.243143,0.798135,9.733546,54.355526,12.727275,12.040763,5.186872,5.668202,3.394929,18.958472,95
2008-01-16,199.449997,210.050003,199.449997,205.949997,185.433502,1307223,49.730008,7.563,89.5,24450.849609,19868.109375,1373.199951,39.171001,123.277419,73.7,129634.913043,101.623752,26.22,132079.217391,False,False,False,False,19.239064,0.798171,9.737131,54.3859,12.721789,11.833928,5.179294,5.642636,3.409588,19.043956,94
2008-01-17,203.0,212.399994,203.0,209.899994,188.990021,1112125,55.838453,7.554,88.75,25114.980469,19700.820312,1333.25,39.191002,123.183871,73.7,130914.73913,101.615357,26.36,133474.652174,False,False,False,False,19.234984,0.798207,9.740717,54.416275,12.716303,11.748742,5.188113,5.538367,3.473042,19.402064,93
2008-01-18,210.0,210.0,199.0,202.600006,182.417236,1225955,44.964213,7.551,89.230003,25201.869141,19013.699219,1325.189941,39.284,123.090323,73.7,132194.565217,101.606961,26.5,134870.086957,False,False,False,False,19.230904,0.798243,9.744303,54.446649,12.710817,11.816978,5.20249,5.739909,3.350385,18.720399,92
2008-01-21,200.100006,201.25,182.25,190.100006,171.162506,2068965,33.083358,7.54,89.230003,23818.859375,17605.349609,1325.189941,39.476002,122.996774,73.7,133474.391304,101.598565,27.06,136265.521739,False,False,False,False,19.226825,0.798279,9.747888,54.477024,12.705331,11.816978,5.235544,6.119449,3.141921,17.558932,91
2008-01-22,189.0,196.0,160.100006,176.850006,159.232468,1241476,25.416913,7.467,88.449997,21757.630859,16729.939453,1310.5,39.310001,122.903226,73.7,134754.217391,101.59017,27.62,137660.956522,False,False,False,False,19.222745,0.798315,9.751474,54.507398,12.699845,11.845453,5.264497,6.580202,2.9213,16.329066,90
2008-01-23,177.5,188.899994,171.550003,182.149994,164.004456,1727965,32.186247,7.385,86.620003,24090.169922,17594.070312,1338.599976,39.473,122.809677,73.7,136034.043478,101.581774,28.18,139056.391304,False,False,False,False,19.218665,0.798351,9.75506,54.537773,12.694359,11.729181,5.345024,6.390943,3.007172,16.812245,89
2008-01-24,188.899994,188.899994,170.0,172.399994,155.225708,837668,27.280814,7.379,89.07,23539.269531,17221.740234,1352.069946,39.368999,122.716129,73.7,137313.869565,101.573378,28.74,140451.826087,False,False,False,False,19.214586,0.798386,9.758645,54.568147,12.688873,12.070741,5.335276,6.754708,2.844621,15.906481,88
2008-01-25,180.0,185.0,173.25,183.350006,165.084915,632756,38.599006,7.431,90.900002,25122.369141,18361.660156,1330.609985,39.275002,122.622581,73.7,138593.695652,101.564983,29.3,141847.26087,False,False,False,False,19.210506,0.798422,9.762231,54.598522,12.683386,12.23254,5.285292,6.353489,3.023615,16.910572,87
2008-01-28,180.5,186.399994,146.699997,184.649994,166.255402,676547,39.797002,7.438,91.379997,24053.609375,18152.779297,1353.959961,39.294998,122.529032,73.7,139873.521739,101.556587,28.92,143242.695652,False,False,False,False,19.206426,0.798458,9.765817,54.628896,12.6779,12.28556,5.283006,6.310928,3.04336,17.024219,86
2008-01-29,186.0,192.0,185.0,191.75,172.648102,637246,45.994575,7.542,92.0,24291.800781,18091.939453,1362.300049,39.209999,122.435484,73.7,141153.347826,101.548191,28.54,144638.130435,False,False,False,False,19.202347,0.798494,9.769402,54.659271,12.672414,12.198356,5.198886,6.079339,3.158624,17.67233,85
2008-01-30,191.0,193.0,185.0,189.199997,170.352127,1145730,44.23333,7.559,92.529999,23653.689453,17758.640625,1355.810059,39.347,122.341935,73.7,142433.173913,101.539796,28.16,146033.565217,False,False,False,False,19.198267,0.79853,9.772988,54.689645,12.666928,12.241037,5.205318,6.163389,3.114888,17.430915,84
2008-01-31,185.149994,192.0,184.5,189.25,170.397171,1055575,44.278388,7.529,92.209999,23455.740234,17648.710938,1378.550049,39.313999,122.248387,73.7,143713.0,101.5314,27.78,147429.0,False,False,False,False,19.194187,0.798566,9.776574,54.72002,12.661442,12.24731,5.221676,6.163872,3.113982,17.42913,83
2008-02-01,191.0,198.0,187.050003,196.399994,176.834885,594379,50.444209,7.487,89.440002,24123.580078,18242.580078,1395.420044,39.272999,122.154839,73.7,142771.0,101.519224,27.4,146412.238095,False,False,False,False,19.190108,0.798602,9.780159,54.750394,12.655956,11.94604,5.245492,5.941508,3.229838,18.080982,82
2008-02-04,199.0,204.699997,197.149994,199.399994,179.536026,929525,52.803996,7.515,90.400002,25032.080078,18660.320312,1380.819946,39.271999,122.06129,73.7,141829.0,101.507048,27.04,145395.47619,False,False,False,False,19.186028,0.798637,9.783745,54.780769,12.65047,12.029275,5.225815,5.85412,3.277355,18.35044,81
2008-02-05,199.399994,204.100006,197.0,203.5,183.2276,1126129,55.895096,7.518,88.82,24808.699219,18663.160156,1336.640015,39.451,121.967742,73.7,140887.0,101.494871,26.68,144378.714286,False,False,False,False,19.181948,0.798673,9.787331,54.811143,12.644984,11.814312,5.247539,5.738134,3.34289,18.720896,80
2008-02-06,180.600006,203.0,180.600006,202.199997,182.057083,579031,54.672394,7.488,87.779999,23469.460938,18139.490234,1326.449951,39.535999,121.874194,73.7,139945.0,101.482695,26.32,143361.952381,False,False,False,False,19.177869,0.798709,9.790916,54.841518,12.639498,11.722756,5.279914,5.776998,3.319694,18.594489,79
2008-02-07,203.449997,203.449997,192.300003,194.649994,175.259186,643241,48.092597,7.473,88.510002,23469.460938,17526.929688,1336.910034,39.459,121.780645,73.7,139003.0,101.470519,25.96,142345.190476,False,False,False,False,19.173789,0.798745,9.794502,54.871892,12.634012,11.843972,5.280209,6.003121,3.19397,17.893629,78
2008-02-08,194.0,199.0,190.600006,194.649994,175.259186,665211,48.092597,7.47,91.940002,23469.460938,17464.890625,1331.290039,39.535,121.687097,73.7,138061.0,101.458343,25.6,141328.428571,False,False,False,False,19.169709,0.798781,9.798088,54.902267,12.628526,12.307899,5.292503,6.005166,3.192203,17.887081,77
2008-02-11,191.100006,197.0,182.550003,185.800003,167.290848,981888,41.330517,7.439,93.529999,22616.109375,16630.910156,1339.130005,39.526001,121.593548,73.7,137119.0,101.446167,25.24,140311.666667,False,False,False,False,19.165629,0.798817,9.801673,54.932641,12.62304,12.572926,5.313349,6.293343,3.045381,17.06758,76
2008-02-12,190.949997,192.0,185.050003,186.550003,167.966141,513078,42.073844,7.453,92.860001,22921.669922,16608.009766,1348.859985,39.575001,121.5,73.7,136177.0,101.43399,24.88,139294.904762,False,False,False,False,19.16155,0.798853,9.805259,54.963016,12.617554,12.459412,5.309942,6.270172,3.055985,17.13021,75
2008-02-13,186.550003,190.0,178.149994,179.399994,161.528442,984581,37.230981,7.455,93.32,23169.550781,16949.140625,1367.209961,39.633999,121.406452,73.7,135235.0,101.421814,24.52,138278.142857,False,False,False,False,19.15747,0.798888,9.808845,54.99339,12.612068,12.517773,5.316432,6.522283,2.937234,16.467632,74
2008-02-14,183.5,185.0,179.050003,180.149994,162.20369,1190735,38.036664,7.464,95.160004,24021.679688,17766.630859,1348.859985,39.576,121.312903,73.7,134293.0,101.409638,24.16,137261.380952,False,False,False,False,19.15339,0.798924,9.81243,55.023765,12.606582,12.749197,5.302251,6.497335,2.947884,16.53043,73
2008-02-15,180.0,184.899994,178.550003,184.149994,165.805191,501658,42.291127,7.503,94.629997,24148.429688,18115.25,1349.98999,39.584999,121.219355,73.7,133351.0,101.397462,23.8,136244.619048,False,False,False,False,19.149311,0.79896,9.816016,55.054139,12.601096,12.612288,5.27589,6.358358,3.011675,16.891292,72
2008-02-18,185.0,186.899994,183.100006,184.800003,166.390442,261302,42.976315,7.543,94.629997,23759.25,18048.050781,1349.98999,39.636002,121.125806,73.7,132409.0,101.385286,23.92,135227.857143,False,False,False,False,19.145231,0.798996,9.819602,55.084514,12.59561,12.612288,5.254673,6.338139,3.020639,16.944724,71
2008-02-19,186.449997,189.600006,185.399994,188.350006,169.586807,351602,46.698518,7.562,98.559998,24123.169922,18075.660156,1348.780029,39.685001,121.032258,73.7,131467.0,101.37311,24.04,134211.095238,False,False,False,False,19.141151,0.799032,9.823187,55.114888,12.590124,13.033589,5.24795,6.220781,3.076969,17.263929,70
2008-02-20,186.0,187.600006,183.5,185.350006,166.885651,386148,44.079954,7.645,98.419998,23590.580078,17617.599609,1360.030029,40.133999,120.93871,73.7,130525.0,101.360933,24.16,133194.333333,False,False,False,False,19.137072,0.799068,9.826773,55.145263,12.584637,12.873773,5.249706,6.323605,3.026292,16.982752,69
2008-02-21,185.350006,189.899994,185.350006,188.75,169.946991,378217,47.661904,7.583,96.239998,23623.0,17734.679688,1342.530029,39.915001,120.845161,73.7,129583.0,101.348757,24.28,132177.571429,False,False,False,False,19.132992,0.799104,9.830359,55.175637,12.579151,12.691547,5.263748,6.21179,3.080109,17.287975,68
2008-02-22,188.75,200.0,186.0,198.800003,178.995834,1320630,56.526337,7.679,97.010002,23305.039062,17349.070312,1353.109985,39.974998,120.751613,73.7,128641.0,101.336581,24.4,131160.809524,False,False,False,False,19.128912,0.799139,9.833944,55.206012,12.573665,12.633156,5.205756,5.899752,3.242325,18.201835,67
2008-02-25,200.0,203.0,196.25,202.350006,182.192154,799462,59.157755,7.64,97.690002,23269.140625,17650.570312,1371.800049,39.912998,120.658065,73.7,127699.0,101.324405,24.52,130144.047619,False,False,False,False,19.124833,0.799175,9.83753,55.236386,12.568179,12.78665,5.224214,5.798201,3.298408,18.520112,66
2008-02-26,200.0,204.149994,199.5,201.600006,181.516861,340841,58.354132,7.631,99.470001,23714.75,17806.189453,1381.290039,39.814999,120.564516,73.7,126757.0,101.312229,24.64,129127.285714,False,False,False,False,19.120753,0.799211,9.841116,55.266761,12.562693,13.034989,5.217534,5.82173,3.284377,18.444744,65
2008-02-27,201.600006,204.899994,199.050003,202.199997,182.057083,671970,58.835889,7.629,98.269997,24483.839844,17825.990234,1380.02002,39.689999,120.470968,73.7,125815.0,101.300052,24.76,128110.52381,False,False,False,False,19.116673,0.799247,9.844701,55.297135,12.557207,12.881111,5.202517,5.806406,3.292342,18.492901,64
2008-02-28,202.899994,207.600006,199.100006,206.800003,186.198822,1151220,62.424745,7.602,100.900002,24591.689453,17824.480469,1367.680054,39.816002,120.377419,73.7,124873.0,101.287876,24.88,127093.761905,False,False,False,False,19.112594,0.799283,9.848287,55.32751,12.551721,13.272823,5.237569,5.679156,3.365393,18.906722,63
2008-02-29,205.850006,213.0,201.100006,207.100006,186.468964,2277567,62.653431,7.568,100.099998,24331.669922,17578.720703,1330.630005,39.91,120.283871,73.7,123931.0,101.2757,25.0,126077.0,False,False,False,False,19.108514,0.799319,9.851873,55.357884,12.546235,13.226744,5.27352,5.672831,3.368426,18.927261,62
2008-03-03,204.0,214.850006,190.0,211.649994,190.565704,2965236,66.030192,7.524,100.480003,23584.970703,16677.880859,1331.339966,40.254002,120.190323,73.7,126058.055556,101.258928,24.855556,128341.444444,False,False,False,False,19.104434,0.799355,9.855458,55.388259,12.540749,13.354599,5.35008,5.552738,3.440543,19.336057,61
2008-03-04,212.100006,215.0,198.5,200.25,180.301346,2653581,53.080397,7.582,97.519997,23119.869141,16339.889648,1326.75,40.209,120.096774,73.7,128185.111111,101.242156,24.711111,130605.888889,False,False,False,False,19.100355,0.79939,9.859044,55.418633,12.535263,12.862041,5.303218,5.870813,3.253443,18.287914,60
2008-03-05,201.0,206.75,200.550003,205.600006,185.118393,808526,57.311606,7.551,101.639999,23114.339844,16542.080078,1333.699951,40.174,120.003226,73.7,130312.166667,101.225383,24.566667,132870.333333,False,False,False,False,19.096275,0.799426,9.862629,55.449008,12.529777,13.460469,5.320355,5.719958,3.338534,18.769679,59
2008-03-07,204.0,205.0,196.649994,200.949997,180.931641,1243178,52.850492,7.59,102.379997,22501.330078,15975.519531,1293.369995,40.238998,119.909677,73.7,132439.222222,101.208611,24.422222,135134.777778,False,False,False,False,19.092195,0.799462,9.866215,55.479382,12.524291,13.488801,5.301581,5.854273,3.261241,18.338506,58
2008-03-10,199.800003,209.899994,196.199997,200.550003,180.571457,1590292,52.472124,7.62,104.160004,22705.050781,15923.719727,1273.369995,40.313999,119.816129,73.7,134566.277778,101.191839,24.277778,137399.222222,False,False,False,False,19.088116,0.799498,9.869801,55.509757,12.518805,13.669292,5.290551,5.867908,3.252968,18.29535,57
2008-03-11,200.0,204.899994,193.0,195.600006,176.114578,2725926,47.901745,7.604,105.25,22995.349609,16123.150391,1320.650024,40.174999,119.722581,73.7,136693.333333,101.175067,24.133333,139663.666667,False,False,False,False,19.084036,0.799534,9.873386,55.540131,12.513319,13.841399,5.283403,6.018411,3.170943,17.837302,56
2008-03-12,197.0,208.649994,197.0,204.899994,184.488113,2119786,55.707515,7.559,106.269997,23422.759766,16127.980469,1308.77002,39.979,119.629032,73.7,138820.388889,101.158294,23.988889,141928.111111,False,False,False,False,19.079956,0.79957,9.876972,55.570506,12.507833,14.058737,5.288927,5.747161,3.319893,18.67861,55
2008-03-13,202.399994,207.850006,196.0,201.0,180.976639,1508462,52.177001,7.569,107.540001,22301.640625,15357.349609,1315.47998,40.124001,119.535484,73.7,140947.444444,101.141522,23.844444,144192.555556,False,False,False,False,19.075876,0.799606,9.880558,55.60088,12.502347,14.207954,5.301097,5.860621,3.254924,18.31644,54
2008-03-14,204.0,206.800003,198.75,205.600006,185.118393,1186774,55.739993,7.63,106.199997,22237.109375,15760.519531,1288.140015,40.075001,119.441935,73.7,143074.5,101.12475,23.7,146457.0,False,False,False,False,19.071797,0.799641,9.884143,55.631255,12.496861,13.918741,5.252294,5.731402,3.327597,18.728825,53
2008-03-17,201.0,204.5,198.600006,200.449997,180.48143,1023660,51.145674,7.633,101.75,21084.609375,14809.490234,1276.599976,40.374001,119.348387,73.7,145201.555556,101.107978,24.2,148721.444444,False,False,False,False,19.067717,0.799677,9.887729,55.661629,12.491375,13.330276,5.289401,5.880606,3.242475,18.253072,52
