,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2007-12-03,409.75,424.75,408.274994,414.975006,353.265167,479892,0.0,7.881,89.800003,28658.419922,19603.410156,1472.420044,39.493999,121.988462,73.7,126159.6,101.837455,26.02,130272.75,False,False,False,False,42.900916,3.883008,15.087243,43.223418,31.789749,11.394493,5.011293,5.2491,8.173004,23.414826,124
2007-12-04,422.5,422.5,410.0,413.662506,352.147888,247364,0.0,7.883,89.529999,28879.589844,19529.5,1462.790039,39.352001,122.115385,73.7,125534.2,101.83151,25.44,129486.5,False,False,False,False,42.86051,3.845761,15.097709,43.28145,31.77453,11.357351,4.992008,5.267858,8.136231,23.324591,123
2007-12-05,415.0,452.462494,411.25,448.399994,381.719666,1387284,96.610463,7.869,88.489998,29345.449219,19738.070312,1485.01001,39.397999,122.242308,73.7,124908.8,101.825565,24.86,128700.25,False,False,False,False,42.820104,3.808514,15.108175,43.339482,31.759311,11.245393,5.006735,4.861686,8.807666,25.265769,122
2007-12-06,452.5,458.75,437.799988,443.225006,377.31427,877088,83.645731,7.878,90.18,29558.919922,19795.869141,1507.339966,39.391998,122.369231,73.7,124283.4,101.81962,24.28,127914.0,False,False,False,False,42.779697,3.771267,15.118641,43.397514,31.744092,11.447068,5.000254,4.920388,8.694375,24.95689,121
2007-12-07,450.0,452.487488,428.787506,448.337494,381.666412,499040,85.688965,7.874,88.639999,28842.470703,19966.0,1504.660034,39.360001,122.496154,73.7,123658.0,101.813675,23.7,127127.75,False,False,False,False,42.739291,3.73402,15.129108,43.455546,31.728873,11.257302,4.99873,4.866185,8.782916,25.227292,120
2007-12-10,451.25,451.25,432.5,436.350006,371.461609,352080,65.139089,7.877,88.040001,28501.099609,19930.679688,1515.959961,39.344002,122.623077,73.7,123032.6,101.80773,23.86,126341.5,False,False,False,False,42.698884,3.696773,15.139574,43.513578,31.713653,11.176844,4.994795,5.001812,8.536683,24.535804,119
2007-12-11,440.0,454.5,437.537506,441.649994,375.97345,645960,68.711788,7.883,89.989998,29226.839844,20290.890625,1477.650024,39.292999,122.75,73.7,122407.2,101.801785,24.02,125555.25,False,False,False,False,42.658478,3.659526,15.15004,43.57161,31.698434,11.415704,4.984524,4.943696,8.628863,24.816664,118
2007-12-12,425.25,450.0,425.25,444.537506,378.431488,233744,70.486439,7.878,94.019997,28521.060547,20375.869141,1486.589966,39.293999,122.876923,73.7,121781.8,101.79584,24.18,124769.0,False,False,False,False,42.618072,3.622279,15.160506,43.629641,31.683215,11.934501,4.987814,4.913468,8.673724,24.961666,117
2007-12-13,445.0,470.5,442.5,464.887512,395.755371,1027020,79.368138,7.885,92.120003,27744.449219,20104.390625,1488.410034,39.308998,123.003846,73.7,121156.4,101.789895,24.34,123982.75,False,False,False,False,42.577665,3.585032,15.170972,43.687673,31.667996,11.682943,4.985288,4.700174,9.058742,26.086355,116
2007-12-14,466.0,471.25,458.462494,461.725006,393.06311,491292,75.56246,7.9,91.690002,27563.640625,20030.830078,1467.949951,39.240002,123.130769,73.7,120531.0,101.78395,24.5,123196.5,False,False,False,False,42.537259,3.547785,15.181438,43.745705,31.652777,11.606329,4.967089,4.734157,8.985182,25.891032,115
