,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2007-12-03,633.0,650.799988,625.0,646.5,569.627319,500839,100.0,7.881,89.800003,28658.419922,19603.410156,1472.420044,39.493999,121.988462,73.7,126159.6,101.837455,26.02,130272.75,False,False,False,False,-5.042629,0.743195,30.215809,259.914797,-2.68706,11.394493,5.011293,-2.300897,2.191592,18.851963,124
2007-12-04,649.700012,730.0,644.0,657.25,579.09906,574053,100.0,7.883,89.529999,28879.589844,19529.5,1462.790039,39.352001,122.115385,73.7,125534.2,101.83151,25.44,129486.5,False,False,False,False,-5.123116,0.744143,30.183737,259.787096,-2.729207,11.357351,4.992008,-2.298258,2.229129,19.185797,123
2007-12-05,664.0,674.0,654.0,664.349976,585.354736,228900,100.0,7.869,88.489998,29345.449219,19738.070312,1485.01001,39.397999,122.242308,73.7,124908.8,101.825565,24.86,128700.25,False,False,False,False,-5.203602,0.745092,30.151665,259.659394,-2.771355,11.245393,5.006735,-2.308282,2.254318,19.413678,122
2007-12-06,665.0,675.0,657.150024,664.950012,585.883423,391509,100.0,7.878,90.18,29558.919922,19795.869141,1507.339966,39.391998,122.369231,73.7,124283.4,101.81962,24.28,127914.0,False,False,False,False,-5.284088,0.74604,30.119594,259.531693,-2.813502,11.447068,5.000254,-2.340719,2.257464,19.451903,121
2007-12-07,662.0,675.0,653.0,670.849976,591.081909,189854,100.0,7.874,88.639999,28842.470703,19966.0,1504.660034,39.360001,122.496154,73.7,123658.0,101.813675,23.7,127127.75,False,False,False,False,-5.364574,0.746988,30.087522,259.403992,-2.855649,11.257302,4.99873,-2.354313,2.278615,19.645417,120
2007-12-10,672.0,675.0,651.349976,656.299988,578.262024,187968,57.484525,7.877,88.040001,28501.099609,19930.679688,1515.959961,39.344002,122.623077,73.7,123032.6,101.80773,23.86,126341.5,False,False,False,False,-5.44506,0.747936,30.05545,259.276291,-2.897797,11.176844,4.994795,-2.44141,2.230293,19.239839,119
2007-12-11,660.0,675.25,660.0,674.599976,594.386047,305113,73.020847,7.883,89.989998,29226.839844,20290.890625,1477.650024,39.292999,122.75,73.7,122407.2,101.801785,24.02,125555.25,False,False,False,False,-5.525546,0.748884,30.023378,259.14859,-2.939944,11.415704,4.984524,-2.409103,2.293611,19.79744,118
2007-12-12,670.0,688.650024,658.200012,686.700012,605.04718,288771,78.591519,7.878,94.019997,28521.060547,20375.869141,1486.589966,39.293999,122.876923,73.7,121781.8,101.79584,24.18,124769.0,False,False,False,False,-5.606032,0.749833,29.991307,259.020888,-2.982092,11.934501,4.987814,-2.399944,2.335901,20.174085,117
2007-12-13,688.0,713.950012,683.0,707.099976,623.021606,710939,84.428977,7.885,92.120003,27744.449219,20104.390625,1488.410034,39.308998,123.003846,73.7,121156.4,101.789895,24.34,123982.75,False,False,False,False,-5.686518,0.750781,29.959235,258.893187,-3.024239,11.682943,4.985288,-2.363001,2.406481,20.795645,116
2007-12-14,709.0,730.0,701.049988,724.099976,638.000122,425179,87.490186,7.9,91.690002,27563.640625,20030.830078,1467.949951,39.240002,123.130769,73.7,120531.0,101.78395,24.5,123196.5,False,False,False,False,-5.767004,0.751729,29.927163,258.765486,-3.066386,11.606329,4.967089,-2.33903,2.465553,21.31843,115
2007-12-17,724.0,725.0,712.049988,719.549988,633.99115,1025329,82.798343,7.898,91.290001,26596.580078,19261.349609,1445.900024,39.373001,123.257692,73.7,119905.6,101.778005,24.66,122410.25,False,False,False,False,-5.84749,0.752677,29.895092,258.637785,-3.108534,11.558623,4.985186,-2.385494,2.45127,21.207199,114
2007-12-18,730.0,730.0,710.0,718.200012,632.801758,630576,81.403493,7.892,90.120003,26732.869141,19079.640625,1454.97998,39.373001,123.384615,73.7,119280.2,101.77206,24.82,121624.0,False,False,False,False,-5.927976,0.753625,29.86302,258.510084,-3.150681,11.419159,4.985186,-2.421677,2.44788,21.190146,113
2007-12-19,715.0,718.0,690.049988,698.900024,615.796631,698538,64.638205,7.882,91.480003,27029.259766,19091.960938,1453.0,39.490002,123.511538,73.7,118654.8,101.766115,24.98,120837.75,False,False,False,False,-6.008462,0.754574,29.830948,258.382382,-3.192829,11.606192,5.01015,-2.521093,2.383276,20.642878,112
2007-12-20,698.900024,738.700012,698.900024,720.900024,635.180664,490044,71.774332,7.871,90.879997,27017.089844,19162.570312,1460.119995,39.488998,123.638462,73.7,118029.4,101.76017,25.14,120051.5,False,False,False,False,-6.088948,0.755522,29.798876,258.254681,-3.234976,11.546182,5.017024,-2.475673,2.459513,21.315591,111
2007-12-24,730.0,738.0,711.450012,719.349976,633.815002,473579,70.691888,7.864,92.699997,28128.800781,19854.119141,1496.449951,39.251999,123.892308,73.7,116778.6,101.74828,24.9,118479.0,False,False,False,False,-6.169434,0.75647,29.766805,258.12698,-3.277124,11.787894,4.991353,-2.512559,2.455439,21.292678,110
