,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2007-12-03,44.400002,45.0,43.625,44.73,35.731953,108380,100.0,7.881,89.800003,28658.419922,19603.410156,1472.420044,39.493999,121.988462,73.7,126159.6,101.837455,26.02,130272.75,False,False,False,False,15.882343,1.737526,2.745108,31.641096,6.400717,11.394493,5.011293,14.064015,1.129289,13.016595,124
2007-12-04,46.865002,47.0,45.200001,46.395,37.062012,287290,100.0,7.883,89.529999,28879.589844,19529.5,1462.790039,39.352001,122.115385,73.7,125534.2,101.83151,25.44,129486.5,False,False,False,False,15.898721,1.736223,2.749773,31.736131,6.410486,11.357351,4.992008,13.614045,1.167818,13.478208,123
2007-12-05,47.5,51.799999,44.84,49.884998,39.849949,1012190,100.0,7.869,88.489998,29345.449219,19738.070312,1485.01001,39.397999,122.242308,73.7,124908.8,101.825565,24.86,128700.25,False,False,False,False,15.9151,1.73492,2.754438,31.831167,6.420255,11.245393,5.006735,12.712593,1.251916,14.467541,122
2007-12-06,51.5,52.0,50.0,50.555,40.385178,969760,100.0,7.878,90.18,29558.919922,19795.869141,1507.339966,39.391998,122.369231,73.7,124283.4,101.81962,24.28,127914.0,False,False,False,False,15.931478,1.733618,2.759104,31.926203,6.430024,11.447068,5.000254,12.594512,1.264954,14.637065,121
2007-12-07,51.5,58.799999,51.5,54.244999,43.332878,3251290,100.0,7.874,88.639999,28842.470703,19966.0,1504.660034,39.360001,122.496154,73.7,123658.0,101.813675,23.7,127127.75,False,False,False,False,15.947857,1.732315,2.763769,32.021239,6.439793,11.257302,4.99873,11.784819,1.353254,15.678908,120
2007-12-10,54.200001,64.400002,44.665001,47.705002,38.10849,16670900,55.132635,7.877,88.040001,28501.099609,19930.679688,1515.959961,39.344002,122.623077,73.7,123032.6,101.80773,23.86,126341.5,False,False,False,False,15.964235,1.731012,2.768434,32.116275,6.449562,11.176844,4.994795,13.454004,1.186579,13.765358,119
2007-12-11,49.400002,50.470001,46.355,46.935001,37.493382,10174470,52.165017,7.883,89.989998,29226.839844,20290.890625,1477.650024,39.292999,122.75,73.7,122407.2,101.801785,24.02,125555.25,False,False,False,False,15.980614,1.729709,2.7731,32.211311,6.459331,11.415704,4.984524,13.729263,1.163982,13.520388,118
2007-12-12,45.974998,48.0,44.009998,47.035,37.573265,5865320,52.522434,7.878,94.019997,28521.060547,20375.869141,1486.589966,39.293999,122.876923,73.7,121781.8,101.79584,24.18,124769.0,False,False,False,False,15.996992,1.728406,2.777765,32.306347,6.4691,11.934501,4.987814,13.754577,1.16303,13.526438,117
2007-12-13,48.990002,48.990002,45.5,45.959999,36.71452,1034790,48.340826,7.885,92.120003,27744.449219,20104.390625,1488.410034,39.308998,123.003846,73.7,121156.4,101.789895,24.34,123982.75,False,False,False,False,16.013371,1.727104,2.78243,32.401382,6.478869,11.682943,4.985288,14.132157,1.133116,13.195126,116
2007-12-14,46.009998,46.474998,44.599998,45.029999,35.971603,923540,45.002748,7.9,91.690002,27563.640625,20030.830078,1467.949951,39.240002,123.130769,73.7,120531.0,101.78395,24.5,123196.5,False,False,False,False,16.029749,1.725801,2.787096,32.496418,6.488637,11.606329,4.967089,14.481129,1.106941,12.906483,115
2007-12-17,44.470001,45.299999,40.5,41.130001,32.856136,1517310,34.304747,7.898,91.290001,26596.580078,19261.349609,1445.900024,39.373001,123.257692,73.7,119905.6,101.778005,24.66,122410.25,False,False,False,False,16.046127,1.724498,2.791761,32.591454,6.498406,11.558623,4.985186,15.916863,1.008121,11.768965,114
2007-12-18,41.990002,43.0,40.25,40.5,32.352875,986260,32.942422,7.892,90.120003,26732.869141,19079.640625,1454.97998,39.373001,123.384615,73.7,119280.2,101.77206,24.82,121624.0,False,False,False,False,16.062506,1.723195,2.796426,32.68649,6.508175,11.419159,4.985186,16.228139,0.989793,11.569364,113
2007-12-19,41.494999,41.82,40.325001,40.610001,32.44075,635160,33.439451,7.882,91.480003,27029.259766,19091.960938,1453.0,39.490002,123.511538,73.7,118654.8,101.766115,24.98,120837.75,False,False,False,False,16.078884,1.721892,2.801092,32.781526,6.517944,11.606192,5.01015,16.247786,0.989605,11.581467,112
2007-12-20,41.380001,41.380001,39.02,39.525002,31.574011,496280,30.998841,7.871,90.879997,27017.089844,19162.570312,1460.119995,39.488998,123.638462,73.7,118029.4,101.76017,25.14,120051.5,False,False,False,False,16.095263,1.72059,2.805757,32.876562,6.527713,11.546182,5.017024,16.759255,0.960381,11.253295,111
2007-12-24,39.735001,40.900002,37.209999,40.145,32.069286,711310,33.964773,7.864,92.699997,28128.800781,19854.119141,1496.449951,39.251999,123.892308,73.7,116778.6,101.74828,24.9,118479.0,False,False,False,False,16.111641,1.719287,2.810422,32.971598,6.537482,11.787894,4.991353,16.564964,0.972634,11.410842,110
