,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2007-12-03,586.374878,600.239014,580.333923,592.276978,509.161163,357530,0.0,7.881,89.800003,28658.419922,19603.410156,1472.420044,39.493999,121.988462,73.7,126159.6,101.837455,26.02,130272.75,False,False,False,False,30.80361,0.847466,52.22604,234.468227,13.72898,11.394493,5.011293,14.185033,2.171557,9.749182,124
2007-12-04,594.066895,599.93042,585.5802,588.218811,505.672485,547675,0.0,7.883,89.529999,28879.589844,19529.5,1462.790039,39.352001,122.115385,73.7,125534.2,101.83151,25.44,129486.5,False,False,False,False,30.734713,0.847016,52.167805,234.674187,13.702598,11.357351,4.992008,14.263469,2.154785,9.693191,123
2007-12-05,590.980835,594.830688,577.093567,586.081726,503.835388,523281,0.0,7.869,88.489998,29345.449219,19738.070312,1485.01001,39.397999,122.242308,73.7,124908.8,101.825565,24.86,128700.25,False,False,False,False,30.665817,0.846566,52.10957,234.880147,13.676215,11.245393,5.006735,14.295922,2.145074,9.668769,122
2007-12-06,561.046021,587.894775,561.046021,568.275146,488.527679,1498207,0.0,7.878,90.18,29558.919922,19795.869141,1507.339966,39.391998,122.369231,73.7,124283.4,101.81962,24.28,127914.0,False,False,False,False,30.59692,0.846116,52.051335,235.086108,13.649833,11.447068,5.000254,14.723651,2.07808,9.385498,121
2007-12-07,574.007507,578.636597,555.645386,562.843628,483.858398,494215,0.0,7.874,88.639999,28842.470703,19966.0,1504.660034,39.360001,122.496154,73.7,123658.0,101.813675,23.7,127127.75,False,False,False,False,30.528024,0.845665,51.9931,235.292068,13.62345,11.257302,4.99873,14.845256,2.056416,9.306204,120
2007-12-10,563.206238,563.206238,554.719604,556.609802,478.499268,444138,0.0,7.877,88.040001,28501.099609,19930.679688,1515.959961,39.344002,122.623077,73.7,123032.6,101.80773,23.86,126341.5,False,False,False,False,30.459127,0.845215,51.934865,235.498028,13.597068,11.176844,4.994795,14.990753,2.031861,9.21345,119
2007-12-11,560.58313,578.790894,557.049561,575.619934,494.841736,336966,39.497977,7.883,89.989998,29226.839844,20290.890625,1477.650024,39.292999,122.75,73.7,122407.2,101.801785,24.02,125555.25,False,False,False,False,30.390231,0.844765,51.876629,235.703988,13.570685,11.415704,4.984524,14.475535,2.09942,9.538818,118
2007-12-12,569.687012,581.159424,569.687012,574.632385,493.992676,2660918,38.64406,7.878,94.019997,28521.060547,20375.869141,1486.589966,39.293999,122.876923,73.7,121781.8,101.79584,24.18,124769.0,False,False,False,False,30.321335,0.844315,51.818394,235.909948,13.544303,11.934501,4.987814,14.480183,2.093988,9.533153,117
2007-12-13,575.550537,578.94519,569.710144,573.289978,492.838715,416323,37.458558,7.885,92.120003,27744.449219,20104.390625,1488.410034,39.308998,123.003846,73.7,121156.4,101.789895,24.34,123982.75,False,False,False,False,30.252438,0.843865,51.760159,236.115908,13.51792,11.682943,4.985288,14.493752,2.087275,9.521584,116
2007-12-14,570.149902,593.141052,567.063843,576.136841,495.286072,1710438,41.553476,7.9,91.690002,27563.640625,20030.830078,1467.949951,39.240002,123.130769,73.7,120531.0,101.78395,24.5,123196.5,False,False,False,False,30.183542,0.843414,51.701924,236.321869,13.491538,11.606329,4.967089,14.40184,2.095811,9.579645,115
2007-12-17,578.636597,580.133301,554.411011,560.382507,481.742584,487145,29.890127,7.898,91.290001,26596.580078,19261.349609,1445.900024,39.373001,123.257692,73.7,119905.6,101.778005,24.66,122410.25,False,False,False,False,30.114645,0.842964,51.643689,236.527829,13.465155,11.558623,4.985186,14.785805,2.036727,9.328198,114
2007-12-18,570.76709,570.76709,549.928467,560.891724,482.180298,453885,30.568486,7.892,90.120003,26732.869141,19079.640625,1454.97998,39.373001,123.384615,73.7,119280.2,101.77206,24.82,121624.0,False,False,False,False,30.045749,0.842514,51.585454,236.733789,13.438773,11.419159,4.985186,14.75142,2.036804,9.347214,113
2007-12-19,563.206238,570.921448,547.930237,551.04718,473.717316,441216,25.443083,7.882,91.480003,27029.259766,19091.960938,1453.0,39.490002,123.511538,73.7,118654.8,101.766115,24.98,120837.75,False,False,False,False,29.976853,0.842064,51.527219,236.939749,13.41239,11.606192,5.01015,14.993558,1.999316,9.193535,112
2007-12-20,554.102356,554.719604,538.849548,546.811584,470.075958,476153,23.608937,7.871,90.879997,27017.089844,19162.570312,1460.119995,39.488998,123.638462,73.7,118029.4,101.76017,25.14,120051.5,False,False,False,False,29.907956,0.841614,51.468984,237.145709,13.386008,11.546182,5.017024,15.08808,1.982224,9.133189,111
