,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2007-12-03,81.099998,81.099998,77.75,78.449997,52.759571,1449040,0.0,7.881,89.800003,28658.419922,19603.410156,1472.420044,39.493999,121.988462,73.7,126159.6,101.837455,26.02,130272.75,False,False,False,False,27.83547,1.148793,4.538996,17.548873,15.235988,11.394493,5.011293,9.258626,3.006437,11.623621,124
2007-12-04,78.449997,78.75,77.400002,77.925003,52.406479,1926620,0.0,7.883,89.529999,28879.589844,19529.5,1462.790039,39.352001,122.115385,73.7,125534.2,101.83151,25.44,129486.5,False,False,False,False,27.848896,1.148215,4.54312,17.559825,15.223359,11.357351,4.992008,9.331322,2.984453,11.535351,123
2007-12-05,77.287498,78.5,76.400002,77.962502,52.431728,1733528,7.142664,7.869,88.489998,29345.449219,19738.070312,1485.01001,39.397999,122.242308,73.7,124908.8,101.825565,24.86,128700.25,False,False,False,False,27.862323,1.147637,4.547243,17.570777,15.210729,11.245393,5.006735,9.337145,2.98403,11.530443,122
2007-12-06,78.25,78.875,77.324997,77.875,52.372871,2189044,6.055708,7.878,90.18,29558.919922,19795.869141,1507.339966,39.391998,122.369231,73.7,124283.4,101.81962,24.28,127914.0,False,False,False,False,27.875749,1.14706,4.551367,17.581729,15.1981,11.447068,5.000254,9.357972,2.978824,11.507065,121
2007-12-07,79.175003,81.125,76.775002,79.787498,53.659069,3954644,79.496961,7.874,88.639999,28842.470703,19966.0,1504.660034,39.360001,122.496154,73.7,123658.0,101.813675,23.7,127127.75,False,False,False,False,27.889175,1.146482,4.55549,17.592681,15.18547,11.257302,4.99873,9.143755,3.050079,11.778989,120
2007-12-10,80.0,80.75,76.875,77.387497,52.04501,2826364,38.656652,7.877,88.040001,28501.099609,19930.679688,1515.959961,39.344002,122.623077,73.7,123032.6,101.80773,23.86,126341.5,False,False,False,False,27.902602,1.145904,4.559614,17.603633,15.172841,11.176844,4.994795,9.437738,2.956492,11.414347,119
2007-12-11,78.5,79.5,77.0625,79.162498,53.238747,6853144,56.468647,7.883,89.989998,29226.839844,20290.890625,1477.650024,39.292999,122.75,73.7,122407.2,101.801785,24.02,125555.25,False,False,False,False,27.916028,1.145327,4.563737,17.614586,15.160211,11.415704,4.984524,9.236304,3.022424,11.665603,118
2007-12-12,78.25,79.987503,77.4375,79.650002,53.566593,2486140,59.91157,7.878,94.019997,28521.060547,20375.869141,1486.589966,39.293999,122.876923,73.7,121781.8,101.79584,24.18,124769.0,False,False,False,False,27.929454,1.144749,4.567861,17.625538,15.147582,11.934501,4.987814,9.1899,3.039147,11.726845,117
2007-12-13,79.474998,79.474998,76.512497,76.800003,51.649891,1111476,39.995969,7.885,92.120003,27744.449219,20104.390625,1488.410034,39.308998,123.003846,73.7,121156.4,101.789895,24.34,123982.75,False,False,False,False,27.94288,1.144171,4.571984,17.63649,15.134952,11.682943,4.985288,9.54144,2.928581,11.297041,116
2007-12-14,76.787498,78.224998,76.525002,76.974998,51.767574,1076332,41.286555,7.9,91.690002,27563.640625,20030.830078,1467.949951,39.240002,123.130769,73.7,120531.0,101.78395,24.5,123196.5,False,False,False,False,27.956307,1.143594,4.576108,17.647442,15.122323,11.606329,4.967089,9.530238,2.933432,11.312578,115
2007-12-17,76.75,77.224998,75.5,75.987503,51.103493,1508708,36.51392,7.898,91.290001,26596.580078,19261.349609,1445.900024,39.373001,123.257692,73.7,119905.6,101.778005,24.66,122410.25,False,False,False,False,27.969733,1.143016,4.580231,17.658394,15.109693,11.558623,4.985186,9.664713,2.894006,11.157405,114
2007-12-18,77.474998,77.474998,74.662498,74.75,50.271225,1621580,31.586232,7.892,90.120003,26732.869141,19079.640625,1454.97998,39.373001,123.384615,73.7,119280.2,101.77206,24.82,121624.0,False,False,False,False,27.983159,1.142438,4.584355,17.669347,15.097064,11.419159,4.985186,9.83553,2.845109,10.965824,113
2007-12-19,76.5,77.25,74.525002,75.675003,50.893314,1273956,38.290041,7.882,91.480003,27029.259766,19091.960938,1453.0,39.490002,123.511538,73.7,118654.8,101.766115,24.98,120837.75,False,False,False,False,27.996586,1.141861,4.588478,17.680299,15.084434,11.606192,5.01015,9.725993,2.878532,11.091546,112
2007-12-20,76.0,78.5,75.387497,78.012497,52.465321,1559304,51.281643,7.871,90.879997,27017.089844,19162.570312,1460.119995,39.488998,123.638462,73.7,118029.4,101.76017,25.14,120051.5,False,False,False,False,28.010012,1.141283,4.592602,17.691251,15.071805,11.546182,5.017024,9.444947,2.965608,11.423878,111
2007-12-24,78.5,82.25,77.012497,81.599998,54.87801,3071712,63.857808,7.864,92.699997,28128.800781,19854.119141,1496.449951,39.251999,123.892308,73.7,116778.6,101.74828,24.9,118479.0,False,False,False,False,28.023438,1.140705,4.596725,17.702203,15.059175,11.787894,4.991353,9.039624,3.100067,11.938502,110
2007-12-26,82.25,82.5,65.287498,80.900002,54.407253,1216320,60.572186,7.87,93.940002,28128.800781,20192.519531,1497.660034,39.389999,124.019231,73.7,116153.2,101.742335,24.5,117692.75,False,False,False,False,28.036865,1.140127,4.600849,17.713155,15.046546,11.936468,5.005083,9.127852,3.071573,11.825482,109
2007-12-27,80.087502,82.5,77.8125,79.412498,53.406868,4046904,54.191319,7.856,94.779999,27842.929688,20216.720703,1476.27002,39.196999,124.146154,73.7,115527.8,101.73639,24.1,116906.5,False,False,False,False,28.050291,1.13955,4.604972,17.724108,15.033916,12.064664,4.989435,9.309034,3.013233,11.597653,108
2007-12-28,80.75,83.75,78.125,82.175003,55.264709,2289140,62.163046,7.811,93.879997,27370.599609,20206.949219,1478.48999,39.244999,124.273077,73.7,114902.4,101.730445,23.7,116120.25,False,False,False,False,28.063717,1.138972,4.609096,17.73506,15.021287,12.018947,5.024325,9.005959,3.116128,11.990359,107
2007-12-31,83.25,83.875,80.0,82.412498,55.424435,6910092,62.762998,7.791,93.849998,27812.650391,20286.990234,1468.359985,39.244999,124.4,73.7,114277.0,101.7245,23.98,115334.0,False,False,False,False,28.077143,1.138394,4.613219,17.746012,15.008657,12.04595,5.037222,8.989849,3.123205,12.014264,106
2008-01-01,83.0,83.612503,80.074997,80.512497,54.146645,730260,55.219451,7.746,93.849998,27812.650391,20286.990234,1468.359985,39.244999,124.306452,73.7,115556.826087,101.716104,24.26,116729.434783,False,False,False,False,28.09057,1.137817,4.617343,17.756964,14.996028,12.04595,5.066486,9.21208,3.049319,11.726798,105
2008-01-02,80.487503,81.474998,78.262497,78.587502,52.852043,1896700,48.817558,7.746,97.839996,27560.519531,20465.300781,1447.160034,39.375,124.212903,73.7,116836.652174,101.707709,24.54,118124.869565,False,False,False,False,28.103996,1.137239,4.621466,17.767916,14.983398,12.631035,5.083269,9.448063,2.974577,11.436207,104
2008-01-03,79.0,79.1875,77.012497,77.5,52.120674,2943936,45.60111,7.755,97.599998,26887.279297,20345.199219,1447.160034,39.353001,124.119355,73.7,118116.478261,101.699313,24.82,119520.304348,False,False,False,False,28.117422,1.136661,4.62559,17.778869,14.970769,12.585429,5.074533,9.591126,2.931608,11.267898,103
2008-01-04,77.75,79.237503,77.012497,78.762497,52.96973,2431480,49.741094,7.706,96.790001,27519.689453,20686.890625,1411.630005,39.095001,124.025806,73.7,119396.304348,101.690917,25.1,120915.73913,False,False,False,False,28.130849,1.136084,4.629713,17.789821,14.958139,12.560343,5.07332,9.447712,2.97753,11.441255,102
2008-01-07,79.0,79.0,74.400002,74.824997,50.321667,5565516,39.614976,7.66,94.389999,27179.490234,20812.650391,1416.180054,39.213001,123.932258,73.7,120676.130435,101.682522,25.24,122311.173913,False,False,False,False,28.144275,1.135506,4.633837,17.800773,14.94551,12.322454,5.119191,9.955748,2.826937,10.859612,101
2008-01-08,73.8125,76.599998,73.8125,75.212502,50.582241,3877976,40.89032,7.673,95.540001,27112.900391,20873.330078,1390.189941,39.195999,123.83871,73.7,121955.956522,101.674126,25.38,123706.608696,False,False,False,False,28.157701,1.134928,4.63796,17.811725,14.93288,12.451453,5.108302,9.915283,2.839828,10.90614,100
2008-01-09,77.099998,77.099998,74.75,75.025002,50.456173,4305368,40.445203,7.654,94.370003,27615.849609,20869.779297,1409.130005,39.213001,123.745161,73.7,123235.782609,101.66573,25.52,125102.043478,False,False,False,False,28.171127,1.134351,4.642084,17.822677,14.920251,12.329501,5.123204,9.950912,2.83101,10.869294,99
2008-01-10,76.25,76.25,73.775002,74.050003,49.800472,1519052,38.121347,7.586,92.220001,27230.859375,20582.080078,1420.329956,39.216,123.651613,73.7,124515.608696,101.657335,25.66,126497.478261,False,False,False,False,28.184554,1.133773,4.646207,17.833629,14.907622,12.156604,5.169523,10.092934,2.792503,10.718522,98
2008-01-11,74.5,75.0,71.150002,72.224998,48.573086,3117668,34.164397,7.563,91.07,26867.009766,20827.449219,1401.02002,39.095001,123.558065,73.7,125795.434783,101.648939,25.8,127892.913043,False,False,False,False,28.19798,1.133195,4.650331,17.844582,14.894992,12.041518,5.169245,10.359259,2.722008,10.445082,97
2008-01-14,72.512497,73.0,70.0,70.974998,47.732445,1338160,31.734672,7.544,92.919998,26468.130859,20728.050781,1416.25,39.216999,123.464516,73.7,127075.26087,101.640543,25.94,129288.347826,False,False,False,False,28.211406,1.132618,4.654454,17.855534,14.882363,12.317073,5.198436,10.553193,2.673258,10.255219,96
2008-01-15,71.25,72.25,69.0,69.224998,46.555519,1828536,28.661448,7.556,90.980003,25837.779297,20251.089844,1380.949951,39.192001,123.370968,73.7,128355.086957,101.632148,26.08,130683.782609,False,False,False,False,28.224833,1.13204,4.658578,17.866486,14.869733,12.040763,5.186872,10.831768,2.605746,9.993505,95
2008-01-16,69.4375,69.4375,66.525002,67.262497,45.235699,3882984,25.660354,7.563,89.5,24450.849609,19868.109375,1373.199951,39.171001,123.277419,73.7,129634.913043,101.623752,26.22,132079.217391,False,False,False,False,28.238259,1.131462,4.662701,17.877438,14.857104,11.833928,5.179294,11.159941,2.530323,9.701608,94
2008-01-17,68.724998,68.724998,66.5,66.925003,45.008709,1989320,25.172215,7.554,88.75,25114.980469,19700.820312,1333.25,39.191002,123.183871,73.7,130914.73913,101.615357,26.36,133474.652174,False,False,False,False,28.251685,1.130884,4.666825,17.88839,14.844474,11.748742,5.188113,11.228431,2.516085,9.644397,93
