,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2007-12-03,173.5,173.5,168.0,169.610001,149.253571,4904520,100.0,7.881,89.800003,28658.419922,19603.410156,1472.420044,39.493999,121.988462,73.7,126159.6,101.837455,26.02,130272.75,False,False,False,False,10.139873,0.06,3.749044,50.581689,0.916347,11.394493,5.011293,3.436379,2.950743,39.811103,124
2007-12-04,172.800003,172.800003,169.065002,170.164993,149.741959,2623660,100.0,7.883,89.529999,28879.589844,19529.5,1462.790039,39.352001,122.115385,73.7,125534.2,101.83151,25.44,129486.5,False,False,False,False,10.115825,0.06,3.747685,50.681323,0.915602,11.357351,4.992008,3.423779,2.954579,39.955852,123
2007-12-05,170.5,173.800003,169.5,172.380005,151.691116,8200970,100.0,7.869,88.489998,29345.449219,19738.070312,1485.01001,39.397999,122.242308,73.7,124908.8,101.825565,24.86,128700.25,False,False,False,False,10.091777,0.06,3.746327,50.780956,0.914857,11.245393,5.006735,3.378379,2.987165,40.490627,122
2007-12-06,174.0,178.0,167.220001,168.994995,148.712402,5180210,42.824121,7.878,90.18,29558.919922,19795.869141,1507.339966,39.391998,122.369231,73.7,124283.4,101.81962,24.28,127914.0,False,False,False,False,10.067729,0.06,3.744968,50.88059,0.914112,11.447068,5.000254,3.444582,2.922773,39.709925,121
2007-12-07,171.0,174.0,171.0,171.979996,151.339142,5919750,62.944457,7.874,88.639999,28842.470703,19966.0,1504.660034,39.360001,122.496154,73.7,123658.0,101.813675,23.7,127127.75,False,False,False,False,10.043681,0.06,3.74361,50.980223,0.913367,11.257302,4.99873,3.383322,2.968585,40.425995,120
2007-12-10,172.0,173.0,167.740005,168.794998,148.536362,4095970,44.820636,7.877,88.040001,28501.099609,19930.679688,1515.959961,39.344002,122.623077,73.7,123032.6,101.80773,23.86,126341.5,False,False,False,False,10.019633,0.06,3.742251,51.079857,0.912622,11.176844,4.994795,3.445631,2.907924,39.691715,119
2007-12-11,168.800003,179.5,168.5,178.054993,156.684982,3630750,70.981546,7.883,89.989998,29226.839844,20290.890625,1477.650024,39.292999,122.75,73.7,122407.2,101.801785,24.02,125555.25,False,False,False,False,9.995586,0.06,3.740892,51.17949,0.911876,11.415704,4.984524,3.264952,3.06148,41.884386,118
2007-12-12,177.699997,179.880005,172.100006,178.404999,156.992996,7496460,71.530958,7.878,94.019997,28521.060547,20375.869141,1486.589966,39.293999,122.876923,73.7,121781.8,101.79584,24.18,124769.0,False,False,False,False,9.971538,0.06,3.739534,51.279124,0.911131,11.934501,4.987814,3.257035,3.061538,41.981969,117
2007-12-13,177.5,177.789993,174.399994,175.634995,154.555435,3982280,61.592055,7.885,92.120003,27744.449219,20104.390625,1488.410034,39.308998,123.003846,73.7,121156.4,101.789895,24.34,123982.75,False,False,False,False,9.94749,0.06,3.738175,51.378757,0.910386,11.682943,4.985288,3.306837,3.008158,41.345154,116
2007-12-14,176.5,176.5,170.0,172.445007,151.748322,4778240,52.538568,7.9,91.690002,27563.640625,20030.830078,1467.949951,39.240002,123.130769,73.7,120531.0,101.78395,24.5,123196.5,False,False,False,False,9.923442,0.06,3.736817,51.47839,0.909641,11.606329,4.967089,3.366382,2.947806,40.608981,115
