,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2007-12-03,720.549988,728.0,698.25,704.900024,424.704865,223805,0.0,7.881,89.800003,28658.419922,19603.410156,1472.420044,39.493999,121.988462,73.7,126159.6,101.837455,26.02,130272.75,False,False,False,False,37.031028,2.211227,59.117012,177.171016,22.263685,11.394493,5.011293,15.447963,2.397146,7.18414,124
2007-12-04,714.0,714.0,695.150024,697.849976,420.457153,201750,0.0,7.883,89.529999,28879.589844,19529.5,1462.790039,39.352001,122.115385,73.7,125534.2,101.83151,25.44,129486.5,False,False,False,False,37.040163,2.211187,59.179641,177.333522,22.272442,11.357351,4.992008,15.622193,2.370996,7.10476,123
2007-12-05,705.0,709.900024,689.099976,696.900024,419.884888,329608,0.0,7.869,88.489998,29345.449219,19738.070312,1485.01001,39.397999,122.242308,73.7,124908.8,101.825565,24.86,128700.25,False,False,False,False,37.049299,2.211147,59.242271,177.496028,22.281199,11.245393,5.006735,15.661681,2.365602,7.087589,122
2007-12-06,702.0,709.900024,684.25,690.849976,416.239563,117749,0.0,7.878,90.18,29558.919922,19795.869141,1507.339966,39.391998,122.369231,73.7,124283.4,101.81962,24.28,127914.0,False,False,False,False,37.058434,2.211108,59.3049,177.658534,22.289956,11.447068,5.000254,15.817206,2.342919,7.018637,121
2007-12-07,697.0,699.950012,682.5,689.25,415.275726,140226,0.0,7.874,88.639999,28842.470703,19966.0,1504.660034,39.360001,122.496154,73.7,123658.0,101.813675,23.7,127127.75,False,False,False,False,37.06757,2.211068,59.36753,177.82104,22.298713,11.257302,4.99873,15.872331,2.335358,6.994998,120
2007-12-10,694.0,694.0,680.0,688.5,414.823761,91320,0.0,7.877,88.040001,28501.099609,19930.679688,1515.959961,39.344002,122.623077,73.7,123032.6,101.80773,23.86,126341.5,False,False,False,False,37.076705,2.211028,59.430159,177.983546,22.30747,11.176844,4.994795,15.908065,2.330686,6.980021,119
2007-12-11,690.0,704.950012,685.0,701.150024,422.445526,114763,50.31157,7.883,89.989998,29226.839844,20290.890625,1477.650024,39.292999,122.75,73.7,122407.2,101.801785,24.02,125555.25,False,False,False,False,37.085841,2.210988,59.492789,178.146052,22.316227,11.415704,4.984524,15.639167,2.371344,7.100785,118
2007-12-12,699.599976,711.0,696.200012,706.900024,425.909912,279584,60.130602,7.878,94.019997,28521.060547,20375.869141,1486.589966,39.293999,122.876923,73.7,121781.8,101.79584,24.18,124769.0,False,False,False,False,37.094976,2.210948,59.555418,178.308558,22.324984,11.934501,4.987814,15.529931,2.388612,7.151489,117
2007-12-13,715.0,723.0,711.25,714.400024,430.428711,169747,68.793085,7.885,92.120003,27744.449219,20104.390625,1488.410034,39.308998,123.003846,73.7,121156.4,101.789895,24.34,123982.75,False,False,False,False,37.104112,2.210908,59.618048,178.471064,22.333741,11.682943,4.985288,15.384685,2.411756,7.219772,116
2007-12-14,728.0,728.0,701.150024,714.049988,430.217743,53060,68.04995,7.9,91.690002,27563.640625,20030.830078,1467.949951,39.240002,123.130769,73.7,120531.0,101.78395,24.5,123196.5,False,False,False,False,37.113247,2.210869,59.680677,178.63357,22.342498,11.606329,4.967089,15.410038,2.408381,7.208661,115
2007-12-17,714.049988,727.799988,703.299988,708.5,426.873932,158032,57.452636,7.898,91.290001,26596.580078,19261.349609,1445.900024,39.373001,123.257692,73.7,119905.6,101.778005,24.66,122410.25,False,False,False,False,37.122382,2.210829,59.743307,178.796076,22.351255,11.558623,4.985186,15.548704,2.38749,7.145134,114
