,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2007-12-03,171.291855,176.276535,168.663559,173.920135,150.172775,2460663,100.0,7.881,89.800003,28658.419922,19603.410156,1472.420044,39.493999,121.988462,73.7,126159.6,101.837455,26.02,130272.75,False,False,False,False,6.38851,1.016518,7.68041,103.952371,1.821087,11.394493,5.011293,4.422245,1.444631,19.552702,124
2007-12-04,173.104462,177.137527,171.291855,176.231216,152.168304,2435169,100.0,7.883,89.529999,28879.589844,19529.5,1462.790039,39.352001,122.115385,73.7,125534.2,101.83151,25.44,129486.5,False,False,False,False,6.335701,1.015462,7.625689,103.812884,1.804682,11.357351,4.992008,4.322368,1.465794,19.954695,123
2007-12-05,176.820312,181.986267,174.55455,180.853378,156.159348,3212361,100.0,7.869,88.489998,29345.449219,19738.070312,1485.01001,39.397999,122.242308,73.7,124908.8,101.825565,24.86,128700.25,False,False,False,False,6.282892,1.014406,7.570968,103.673398,1.788278,11.245393,5.006735,4.17118,1.506262,20.626074,122
2007-12-06,182.665985,183.028519,173.738876,175.053024,151.150986,3180699,52.004005,7.878,90.18,29558.919922,19795.869141,1507.339966,39.391998,122.369231,73.7,124283.4,101.81962,24.28,127914.0,False,False,False,False,6.230084,1.013351,7.516247,103.533912,1.771873,11.447068,5.000254,4.267421,1.459918,20.109901,121
2007-12-07,175.053024,178.45166,167.757248,170.294907,147.042542,4959838,36.519554,7.874,88.639999,28842.470703,19966.0,1504.660034,39.360001,122.496154,73.7,123658.0,101.813675,23.7,127127.75,False,False,False,False,6.177275,1.012295,7.461526,103.394426,1.755468,11.257302,4.99873,4.343612,1.422152,19.706766,120
2007-12-10,170.385544,176.367157,170.294907,175.188965,151.268356,1947740,52.263899,7.877,88.040001,28501.099609,19930.679688,1515.959961,39.344002,122.623077,73.7,123032.6,101.80773,23.86,126341.5,False,False,False,False,6.124466,1.011239,7.406805,103.25494,1.739063,11.176844,4.994795,4.180527,1.464999,20.42289,119
2007-12-11,181.079956,181.714371,175.370224,180.128326,155.53331,3009645,62.399778,7.883,89.989998,29226.839844,20290.890625,1477.650024,39.292999,122.75,73.7,122407.2,101.801785,24.02,125555.25,False,False,False,False,6.071657,1.010183,7.352084,103.115454,1.722659,11.415704,4.984524,4.025387,1.508341,21.154997,118
2007-12-12,178.542297,188.421036,176.729691,186.925629,161.402496,6796963,71.399649,7.878,94.019997,28521.060547,20375.869141,1486.589966,39.293999,122.876923,73.7,121781.8,101.79584,24.18,124769.0,False,False,False,False,6.018849,1.009127,7.297363,102.975968,1.706254,11.934501,4.987814,3.840069,1.56738,22.117922,117
2007-12-13,188.511658,195.263641,187.152206,189.689865,163.789291,10637084,74.113254,7.885,92.120003,27744.449219,20104.390625,1488.410034,39.308998,123.003846,73.7,121156.4,101.789895,24.34,123982.75,False,False,False,False,5.96604,1.008072,7.242641,102.836482,1.689849,11.682943,4.985288,3.745828,1.592716,22.61458,116
2007-12-14,192.136887,196.668411,188.964813,193.224457,166.841217,5078063,77.104634,7.9,91.690002,27563.640625,20030.830078,1467.949951,39.240002,123.130769,73.7,120531.0,101.78395,24.5,123196.5,False,False,False,False,5.913231,1.007016,7.18792,102.696996,1.673444,11.606329,4.967089,3.639814,1.624597,23.211334,115
2007-12-17,192.725983,192.95256,178.542297,181.986267,157.137558,3901089,55.245504,7.898,91.290001,26596.580078,19261.349609,1445.900024,39.373001,123.257692,73.7,119905.6,101.778005,24.66,122410.25,False,False,False,False,5.860422,1.00596,7.133199,102.55751,1.657039,11.558623,4.985186,3.824867,1.53219,22.029044,114
2007-12-18,192.136887,192.136887,175.370224,180.581482,155.924576,3434920,53.214636,7.892,90.120003,26732.869141,19079.640625,1454.97998,39.373001,123.384615,73.7,119280.2,101.77206,24.82,121624.0,False,False,False,False,5.807614,1.004904,7.078478,102.418024,1.640635,11.419159,4.985186,3.814692,1.522433,22.02798,113
2007-12-19,183.073822,184.523911,173.195084,179.901749,155.337646,3610880,52.214432,7.882,91.480003,27029.259766,19091.960938,1453.0,39.490002,123.511538,73.7,118654.8,101.766115,24.98,120837.75,False,False,False,False,5.754805,1.003849,7.023757,102.278538,1.62423,11.606192,5.01015,3.78912,1.518771,22.116034,112
2007-12-20,185.3396,185.702118,179.856445,180.581482,155.924576,2987341,53.162492,7.871,90.879997,27017.089844,19162.570312,1460.119995,39.488998,123.638462,73.7,118029.4,101.76017,25.14,120051.5,False,False,False,False,5.701996,1.002793,6.969036,102.139052,1.607825,11.546182,5.017024,3.735117,1.526591,22.373909,111
2007-12-24,181.261215,184.433289,180.354904,182.530045,157.607101,2277434,55.86568,7.864,92.699997,28128.800781,19854.119141,1496.449951,39.251999,123.892308,73.7,116778.6,101.74828,24.9,118479.0,False,False,False,False,5.649187,1.001737,6.914315,101.999566,1.59142,11.787894,4.991353,3.65602,1.545174,22.79432,110
2007-12-26,182.258148,191.683731,182.258148,189.871124,163.945755,3599172,64.239385,7.87,93.940002,28128.800781,20192.519531,1497.660034,39.389999,124.019231,73.7,116153.2,101.742335,24.5,117692.75,False,False,False,False,5.596378,1.000681,6.859594,101.86008,1.575016,11.936468,5.005083,3.47705,1.609519,23.900214,109
2007-12-27,190.414902,196.215271,189.871124,191.185272,165.08049,5885155,65.501252,7.856,94.779999,27842.929688,20216.720703,1476.27002,39.196999,124.146154,73.7,115527.8,101.73639,24.1,116906.5,False,False,False,False,5.54357,0.999625,6.804873,101.720594,1.558611,12.064664,4.989435,3.41588,1.622882,24.25916,108
2007-12-28,191.230576,194.855804,188.692932,192.680679,166.371689,1967548,66.931221,7.811,93.879997,27370.599609,20206.949219,1478.48999,39.244999,124.273077,73.7,114902.4,101.730445,23.7,116120.25,False,False,False,False,5.490761,0.99857,6.750151,101.581108,1.542206,12.018947,5.024325,3.352479,1.637821,24.647105,107
2007-12-31,193.586975,200.701477,193.088516,194.719864,168.132492,2858682,68.82863,7.791,93.849998,27812.650391,20286.990234,1468.359985,39.244999,124.4,73.7,114277.0,101.7245,23.98,115334.0,False,False,False,False,5.437952,0.997514,6.69543,101.441622,1.525801,12.04595,5.037222,3.280952,1.657431,25.111529,106
2008-01-01,195.762115,197.665359,193.405716,195.30896,168.641113,1408592,69.375305,7.746,93.849998,27812.650391,20286.990234,1468.359985,39.244999,124.306452,73.7,115556.826087,101.716104,24.26,116729.434783,False,False,False,False,5.385143,0.996458,6.640709,101.302135,1.509396,12.04595,5.066486,3.234837,1.664734,25.395046,105
2008-01-02,197.302826,199.115448,190.596161,196.985626,170.088898,3015583,70.937554,7.746,97.839996,27560.519531,20465.300781,1447.160034,39.375,124.212903,73.7,116836.652174,101.707709,24.54,118124.869565,False,False,False,False,5.332335,0.995402,6.585988,101.162649,1.492992,12.631035,5.083269,3.171477,1.681341,25.825874,104
