,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2007-12-03,207.0,208.449997,204.550003,206.050003,150.940094,2440773,100.0,7.881,89.800003,28658.419922,19603.410156,1472.420044,39.493999,121.988462,73.7,126159.6,101.837455,26.02,130272.75,False,False,False,False,103.642,2.125,9.87,12.233,25.893,11.394493,5.011293,7.115118,14.566449,18.053837,124
2007-12-04,206.899994,207.75,205.350006,206.550003,151.306351,1707081,100.0,7.883,89.529999,28879.589844,19529.5,1462.790039,39.352001,122.115385,73.7,125534.2,101.83151,25.44,129486.5,False,False,False,False,103.642,2.125,9.87,12.233,25.893,11.357351,4.992008,7.115118,14.566449,18.053837,123
2007-12-05,206.25,207.850006,205.350006,206.0,150.903473,2142666,45.77451,7.869,88.489998,29345.449219,19738.070312,1485.01001,39.397999,122.242308,73.7,124908.8,101.825565,24.86,128700.25,False,False,False,False,103.642,2.125,9.87,12.233,25.893,11.245393,5.006735,7.115118,14.566449,18.053837,122
2007-12-06,206.0,208.949997,206.0,207.649994,152.112122,2881367,80.295141,7.878,90.18,29558.919922,19795.869141,1507.339966,39.391998,122.369231,73.7,124283.4,101.81962,24.28,127914.0,False,False,False,False,103.642,2.125,9.87,12.233,25.893,11.447068,5.000254,7.115118,14.566449,18.053837,121
2007-12-07,209.949997,212.399994,207.100006,208.600006,152.80809,1399834,85.87198,7.874,88.639999,28842.470703,19966.0,1504.660034,39.360001,122.496154,73.7,123658.0,101.813675,23.7,127127.75,False,False,False,False,103.642,2.125,9.87,12.233,25.893,11.257302,4.99873,7.115118,14.566449,18.053837,120
2007-12-10,209.100006,209.100006,201.600006,205.899994,150.830185,4638523,46.013475,7.877,88.040001,28501.099609,19930.679688,1515.959961,39.344002,122.623077,73.7,123032.6,101.80773,23.86,126341.5,False,False,False,False,103.642,2.125,9.87,12.233,25.893,11.176844,4.994795,7.115118,14.566449,18.053837,119
2007-12-11,207.949997,211.899994,204.0,210.699997,154.346405,1592361,71.41526,7.883,89.989998,29226.839844,20290.890625,1477.650024,39.292999,122.75,73.7,122407.2,101.801785,24.02,125555.25,False,False,False,False,103.642,2.125,9.87,12.233,25.893,11.415704,4.984524,7.115118,14.566449,18.053837,118
2007-12-12,206.550003,211.800003,206.550003,210.25,154.016754,1773167,68.176589,7.878,94.019997,28521.060547,20375.869141,1486.589966,39.293999,122.876923,73.7,121781.8,101.79584,24.18,124769.0,False,False,False,False,103.642,2.125,9.87,12.233,25.893,11.934501,4.987814,7.115118,14.566449,18.053837,117
2007-12-13,210.25,215.800003,210.0,212.0,155.298691,1523764,73.25602,7.885,92.120003,27744.449219,20104.390625,1488.410034,39.308998,123.003846,73.7,121156.4,101.789895,24.34,123982.75,False,False,False,False,103.642,2.125,9.87,12.233,25.893,11.682943,4.985288,7.115118,14.566449,18.053837,116
2007-12-14,212.0,220.0,211.0,218.699997,160.206726,1840154,83.870673,7.9,91.690002,27563.640625,20030.830078,1467.949951,39.240002,123.130769,73.7,120531.0,101.78395,24.5,123196.5,False,False,False,False,103.642,2.125,9.87,12.233,25.893,11.606329,4.967089,7.115118,14.566449,18.053837,115
