,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2007-12-03,214.545456,216.0,210.227264,211.27272,169.018051,19461491,0.0,7.881,89.800003,28658.419922,19603.410156,1472.420044,39.493999,121.988462,73.7,126159.6,101.837455,26.02,130272.75,False,False,False,False,8.436355,0.078,5.953598,75.318215,0.749649,11.394493,5.011293,3.759428,2.244053,28.38923,124
2007-12-04,211.818176,211.818176,206.036362,207.218185,165.774414,14058313,0.0,7.883,89.529999,28879.589844,19529.5,1462.790039,39.352001,122.115385,73.7,125534.2,101.83151,25.44,129486.5,False,False,False,False,8.428363,0.078,5.954072,75.331546,0.749518,11.357351,4.992008,3.830034,2.200598,27.842193,123
2007-12-05,208.181824,214.0,205.636368,211.645447,169.316238,23374835,54.042487,7.869,88.489998,29345.449219,19738.070312,1485.01001,39.397999,122.242308,73.7,124908.8,101.825565,24.86,128700.25,False,False,False,False,8.420371,0.078,5.954546,75.344876,0.749386,11.245393,5.006735,3.747023,2.247216,28.434786,122
2007-12-06,217.963638,221.763641,214.545456,218.309097,174.647141,16549208,75.502206,7.878,90.18,29558.919922,19795.869141,1507.339966,39.391998,122.369231,73.7,124283.4,101.81962,24.28,127914.0,False,False,False,False,8.412378,0.078,5.95502,75.358207,0.749255,11.447068,5.000254,3.629843,2.31756,29.327717,121
2007-12-07,220.545456,227.27272,218.590912,226.836365,181.468948,17958550,85.09415,7.874,88.639999,28842.470703,19966.0,1504.660034,39.360001,122.496154,73.7,123658.0,101.813675,23.7,127127.75,False,False,False,False,8.404386,0.078,5.955494,75.371538,0.749124,11.257302,4.99873,3.490688,2.407659,30.470847,120
2007-12-10,227.290909,233.600006,224.909088,231.172729,184.938019,14356430,87.726026,7.877,88.040001,28501.099609,19930.679688,1515.959961,39.344002,122.623077,73.7,123032.6,101.80773,23.86,126341.5,False,False,False,False,8.396394,0.078,5.955968,75.384869,0.748992,11.176844,4.994795,3.422558,2.453251,31.050874,119
2007-12-11,231.172729,241.199997,230.890915,238.963638,191.170731,15404339,90.851445,7.883,89.989998,29226.839844,20290.890625,1477.650024,39.292999,122.75,73.7,122407.2,101.801785,24.02,125555.25,False,False,False,False,8.388402,0.078,5.956442,75.398199,0.748861,11.415704,4.984524,3.308406,2.535481,32.094785,118
2007-12-12,231.818176,238.709091,230.909088,234.527267,187.621689,13529422,78.580886,7.878,94.019997,28521.060547,20375.869141,1486.589966,39.293999,122.876923,73.7,121781.8,101.79584,24.18,124769.0,False,False,False,False,8.38041,0.078,5.956916,75.41153,0.748729,11.934501,4.987814,3.368372,2.487971,31.496445,117
2007-12-13,234.545456,236.27272,223.836365,225.972733,180.778046,13176014,61.368804,7.885,92.120003,27744.449219,20104.390625,1488.410034,39.308998,123.003846,73.7,121156.4,101.789895,24.34,123982.75,False,False,False,False,8.372418,0.078,5.95739,75.424861,0.748598,11.682943,4.985288,3.49317,2.396797,30.345173,116
2007-12-14,220.045456,227.709091,218.727264,219.44545,175.556229,11536921,52.008106,7.9,91.690002,27563.640625,20030.830078,1467.949951,39.240002,123.130769,73.7,120531.0,101.78395,24.5,123196.5,False,False,False,False,8.364426,0.078,5.957865,75.438191,0.748466,11.606329,4.967089,3.594274,2.327153,29.466301,115
2007-12-17,225.236359,225.236359,210.0,212.045456,169.636215,10195174,43.843275,7.898,91.290001,26596.580078,19261.349609,1445.900024,39.373001,123.257692,73.7,119905.6,101.778005,24.66,122410.25,False,False,False,False,8.356434,0.078,5.958339,75.451522,0.748335,11.558623,4.985186,3.716811,2.248281,28.470388,114
2007-12-18,212.727264,214.872726,205.5,206.954544,165.563507,17114284,39.275104,7.892,90.120003,26732.869141,19079.640625,1454.97998,39.373001,123.384615,73.7,119280.2,101.77206,24.82,121624.0,False,False,False,False,8.348442,0.078,5.958813,75.464853,0.748203,11.419159,4.985186,3.805271,2.193915,27.784647,113
