,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2007-12-03,121.0,123.949997,119.150002,119.650002,106.089355,1966541,0.0,7.881,89.800003,28658.419922,19603.410156,1472.420044,39.493999,121.988462,73.7,126159.6,101.837455,26.02,130272.75,False,False,False,False,8.679633,0.033096,3.650398,45.373721,0.504582,11.394493,5.011293,3.712222,2.338123,29.062405,124
2007-12-04,121.5,122.0,116.5,117.449997,104.138702,1120825,0.0,7.883,89.529999,28879.589844,19529.5,1462.790039,39.352001,122.115385,73.7,125534.2,101.83151,25.44,129486.5,False,False,False,False,8.693996,0.033131,3.658048,45.392367,0.50555,11.357351,4.992008,3.789571,2.29419,28.468382,123
2007-12-05,118.199997,129.199997,118.199997,127.349998,112.916687,3952138,82.89471,7.869,88.489998,29345.449219,19738.070312,1485.01001,39.397999,122.242308,73.7,124908.8,101.825565,24.86,128700.25,False,False,False,False,8.708359,0.033167,3.665697,45.411012,0.506518,11.245393,5.006735,3.502187,2.486549,30.803604,122
2007-12-06,134.5,134.5,125.0,128.199997,113.670341,3077289,84.112441,7.878,90.18,29558.919922,19795.869141,1507.339966,39.391998,122.369231,73.7,124283.4,101.81962,24.28,127914.0,False,False,False,False,8.722721,0.033203,3.673347,45.429657,0.507486,11.447068,5.000254,3.486136,2.502118,30.944627,121
2007-12-07,130.699997,132.0,121.300003,127.949997,113.448662,2888207,82.257613,7.874,88.639999,28842.470703,19966.0,1504.660034,39.360001,122.496154,73.7,123658.0,101.813675,23.7,127127.75,False,False,False,False,8.737084,0.033239,3.680996,45.448303,0.508454,11.257302,4.99873,3.500135,2.496213,30.820099,120
2007-12-10,128.0,136.800003,128.0,130.649994,115.842674,4686683,85.879278,7.877,88.040001,28501.099609,19930.679688,1515.959961,39.344002,122.623077,73.7,123032.6,101.80773,23.86,126341.5,False,False,False,False,8.751446,0.033275,3.688645,45.466948,0.509422,11.176844,4.994795,3.434844,2.547844,31.405207,119
2007-12-11,133.0,133.649994,129.0,131.100006,116.241669,1636745,86.37836,7.883,89.989998,29226.839844,20290.890625,1477.650024,39.292999,122.75,73.7,122407.2,101.801785,24.02,125555.25,False,False,False,False,8.765809,0.033311,3.696295,45.485594,0.51039,11.415704,4.984524,3.430078,2.555571,31.448159,118
2007-12-12,128.899994,131.449997,125.300003,129.25,114.601334,1729454,74.691002,7.878,94.019997,28521.060547,20375.869141,1486.589966,39.293999,122.876923,73.7,121781.8,101.79584,24.18,124769.0,False,False,False,False,8.780171,0.033347,3.703944,45.504239,0.511359,11.934501,4.987814,3.486303,2.518476,30.940351,117
2007-12-13,129.25,131.649994,126.099998,127.400002,112.961006,1845965,65.191797,7.885,92.120003,27744.449219,20104.390625,1488.410034,39.308998,123.003846,73.7,121156.4,101.789895,24.34,123982.75,False,False,False,False,8.794534,0.033382,3.711594,45.522884,0.512327,11.682943,4.985288,3.544166,2.481411,30.434637,116
2007-12-14,127.0,128.899994,125.400002,127.449997,113.005341,1109150,65.32016,7.9,91.690002,27563.640625,20030.830078,1467.949951,39.240002,123.130769,73.7,120531.0,101.78395,24.5,123196.5,False,False,False,False,8.808896,0.033418,3.719243,45.54153,0.513295,11.606329,4.967089,3.550015,2.481369,30.383962,115
2007-12-17,126.449997,127.699997,120.0,121.400002,107.641022,1233842,44.117895,7.898,91.290001,26596.580078,19261.349609,1445.900024,39.373001,123.257692,73.7,119905.6,101.778005,24.66,122410.25,False,False,False,False,8.823259,0.033454,3.726892,45.560175,0.514263,11.558623,4.985186,3.734536,2.362612,28.882245,114
