,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2007-12-03,200.3125,204.0,198.574997,200.043747,141.476273,20101040,100.0,7.881,89.800003,28658.419922,19603.410156,1472.420044,39.493999,121.988462,73.7,126159.6,101.837455,26.02,130272.75,False,False,False,False,36.161096,1.143566,13.55602,39.664434,31.479195,11.394493,5.011293,10.138162,3.566829,10.436417,124
2007-12-04,199.8125,203.462494,198.850006,201.912506,142.797974,11367656,100.0,7.883,89.529999,28879.589844,19529.5,1462.790039,39.352001,122.115385,73.7,125534.2,101.83151,25.44,129486.5,False,False,False,False,36.176131,1.144028,13.576402,39.695972,31.491143,11.357351,4.992008,10.056492,3.597291,10.518101,123
2007-12-05,202.462494,202.462494,198.8125,200.4375,141.754761,9996752,54.053697,7.869,88.489998,29345.449219,19738.070312,1485.01001,39.397999,122.242308,73.7,124908.8,101.825565,24.86,128700.25,False,False,False,False,36.191167,1.14449,13.596785,39.72751,31.503092,11.245393,5.006735,10.142763,3.568176,10.425609,122
2007-12-06,201.412506,206.125,201.412506,204.418747,144.570404,14144400,80.327427,7.878,90.18,29558.919922,19795.869141,1507.339966,39.391998,122.369231,73.7,124283.4,101.81962,24.28,127914.0,False,False,False,False,36.206203,1.144952,13.617167,39.759048,31.51504,11.447068,5.000254,9.957254,3.636164,10.616775,121
2007-12-07,206.25,218.662506,203.78125,215.287506,152.257126,21737160,92.662744,7.874,88.639999,28842.470703,19966.0,1504.660034,39.360001,122.496154,73.7,123658.0,101.813675,23.7,127127.75,False,False,False,False,36.221239,1.145414,13.63755,39.790586,31.526988,11.257302,4.99873,9.465989,3.826461,11.164551,120
2007-12-10,217.4375,220.962494,212.5,218.587494,154.590958,12426168,93.911116,7.877,88.040001,28501.099609,19930.679688,1515.959961,39.344002,122.623077,73.7,123032.6,101.80773,23.86,126341.5,False,False,False,False,36.236275,1.145876,13.657932,39.822124,31.538936,11.176844,4.994795,9.334346,3.882037,11.318767,119
2007-12-11,218.587494,219.875,213.375,218.037506,154.20195,8444392,91.128272,7.883,89.989998,29226.839844,20290.890625,1477.650024,39.292999,122.75,73.7,122407.2,101.801785,24.02,125555.25,False,False,False,False,36.251311,1.146339,13.678315,39.853661,31.550884,11.415704,4.984524,9.369191,3.869204,11.273461,118
2007-12-12,213.75,215.0,207.125,210.71875,149.025925,12351000,63.964955,7.878,94.019997,28521.060547,20375.869141,1486.589966,39.293999,122.876923,73.7,121781.8,101.79584,24.18,124769.0,False,False,False,False,36.266347,1.146801,13.698697,39.885199,31.562833,11.934501,4.987814,9.706301,3.736372,10.878839,117
2007-12-13,211.75,212.362503,206.53125,207.493744,146.745132,6652856,56.038258,7.885,92.120003,27744.449219,20104.390625,1488.410034,39.308998,123.003846,73.7,121156.4,101.789895,24.34,123982.75,False,False,False,False,36.281382,1.147263,13.71908,39.916737,31.574781,11.682943,4.985288,9.869046,3.676281,10.696427,116
2007-12-14,206.5,209.337494,204.762497,205.787506,145.538406,4281176,52.342542,7.9,91.690002,27563.640625,20030.830078,1467.949951,39.240002,123.130769,73.7,120531.0,101.78395,24.5,123196.5,False,False,False,False,36.296418,1.147725,13.739462,39.948275,31.586729,11.606329,4.967089,9.962864,3.643171,10.59273,115
