,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2007-12-03,63.633331,64.466667,62.733334,63.883331,42.882133,7361967,100.0,7.881,89.800003,28658.419922,19603.410156,1472.420044,39.493999,121.988462,73.7,126159.6,101.837455,26.02,130272.75,False,False,False,False,26.258064,0.867645,2.888916,11.898482,18.005554,11.394493,5.011293,7.285811,3.604,14.843674,124
2007-12-04,64.133331,64.599998,63.5,64.083336,43.016388,7144158,100.0,7.883,89.529999,28879.589844,19529.5,1462.790039,39.352001,122.115385,73.7,125534.2,101.83151,25.44,129486.5,False,False,False,False,26.249088,0.867637,2.88951,11.904538,18.000386,11.357351,4.992008,7.264284,3.613445,14.887088,123
2007-12-05,64.333336,64.666664,62.716667,64.23333,43.117073,13149420,100.0,7.869,88.489998,29345.449219,19738.070312,1485.01001,39.397999,122.242308,73.7,124908.8,101.825565,24.86,128700.25,False,False,False,False,26.240112,0.867629,2.890104,11.910594,17.995219,11.245393,5.006735,7.248528,3.620061,14.918868,122
2007-12-06,64.23333,65.650002,63.75,64.366669,43.206581,9547956,100.0,7.878,90.18,29558.919922,19795.869141,1507.339966,39.391998,122.369231,73.7,124283.4,101.81962,24.28,127914.0,False,False,False,False,26.231135,0.867622,2.890697,11.916649,17.990052,11.447068,5.000254,7.234714,3.625732,14.946768,121
2007-12-07,64.366669,64.900002,61.566666,62.716667,42.099003,15352212,20.030269,7.874,88.639999,28842.470703,19966.0,1504.660034,39.360001,122.496154,73.7,123658.0,101.813675,23.7,127127.75,False,False,False,False,26.222159,0.867614,2.891291,11.922705,17.984884,11.257302,4.99873,7.426282,3.530994,14.560625,120
2007-12-10,63.733334,63.966667,61.783333,62.233334,41.774563,7486173,15.995114,7.877,88.040001,28501.099609,19930.679688,1515.959961,39.344002,122.623077,73.7,123032.6,101.80773,23.86,126341.5,False,False,False,False,26.213183,0.867606,2.891884,11.928761,17.979717,11.176844,4.994795,7.485196,3.502004,14.445447,119
2007-12-11,65.933334,65.933334,61.700001,62.5,41.953556,8611248,24.975271,7.883,89.989998,29226.839844,20290.890625,1477.650024,39.292999,122.75,73.7,122407.2,101.801785,24.02,125555.25,False,False,False,False,26.204207,0.867598,2.892478,11.934817,17.97455,11.415704,4.984524,7.454491,3.515224,14.504364,118
2007-12-12,62.166664,63.516666,61.466667,63.200001,42.423447,22703952,42.386165,7.878,94.019997,28521.060547,20375.869141,1486.589966,39.293999,122.876923,73.7,121781.8,101.79584,24.18,124769.0,False,False,False,False,26.195231,0.86759,2.893072,11.940873,17.969382,11.934501,4.987814,7.373138,3.552793,14.663807,117
2007-12-13,63.666664,67.5,63.666664,65.449997,43.933769,27276984,68.051111,7.885,92.120003,27744.449219,20104.390625,1488.410034,39.308998,123.003846,73.7,121156.4,101.789895,24.34,123982.75,False,False,False,False,26.186255,0.867582,2.893665,11.946928,17.964215,11.682943,4.985288,7.120839,3.677411,15.18274,116
2007-12-14,66.166664,67.966667,65.099998,66.900002,44.907089,29973714,75.59592,7.9,91.690002,27563.640625,20030.830078,1467.949951,39.240002,123.130769,73.7,120531.0,101.78395,24.5,123196.5,False,False,False,False,26.177279,0.867574,2.894259,11.952984,17.959048,11.606329,4.967089,6.967644,3.756977,15.51592,115
2007-12-17,66.966667,69.0,63.416664,64.5,43.296085,22486215,53.201377,7.898,91.290001,26596.580078,19261.349609,1445.900024,39.373001,123.257692,73.7,119905.6,101.778005,24.66,122410.25,False,False,False,False,26.168303,0.867566,2.894853,11.95904,17.95388,11.558623,4.985186,7.228085,3.620365,14.956231,114
2007-12-18,66.666664,70.0,64.016663,65.849998,44.202274,12371538,60.321751,7.892,90.120003,26732.869141,19079.640625,1454.97998,39.373001,123.384615,73.7,119280.2,101.77206,24.82,121624.0,False,False,False,False,26.159327,0.867558,2.895446,11.965096,17.948713,11.419159,4.985186,7.081057,3.694268,15.266136,113
